"","cand_A","cand_B","cand_C","cand_D","cand_F"
"1",9,3,2,4,3
"2",0,10,5,5,5
"3",7,8,5,5,1
"4",8,4,6,6,6
"5",8,4,0,3,2
"6",8,2,3,8,5
"7",1,10,2,3,6
"8",10,5,8,5,5
"9",10,5,0,10,8
"10",5,6,3,4,0
"11",3,10,10,9,3
"12",5,8,5,5,1
"13",3,6,0,2,1
"14",8,4,6,8,1
"15",5,8,7,3,1
"16",5,1,1,4,1
"17",10,1,4,10,1
"18",10,3,2,10,6
"19",7,3,2,6,1
"20",8,3,3,4,2
"21",9,4,5,6,4
"22",9,7,1,5,0
"23",5,2,3,2,1
"24",10,8,8,8,0
"25",6,8,7,6,1
"26",5,5,0,2,0
"27",9,1,0,9,8
"28",1,9,1,1,5
"29",2,2,6,2,8
"30",5,10,4,5,4
"31",2,3,0,0,1
"32",10,5,0,0,6
"33",9,5,2,3,1
"34",9,5,7,7,3
"35",4,8,8,6,1
"36",4,7,5,5,2
"37",9,3,2,5,5
"38",6,10,5,9,8
"39",7,7,5,4,0
"40",5,7,5,2,0
"41",0,5,8,0,0
"42",6,0,0,5,1
"43",5,8,7,5,0
"44",5,5,6,2,2
"45",7,0,0,7,7
"46",10,0,0,10,2
"47",8,5,5,5,5
"48",0,0,1,4,5
"49",10,0,0,10,10
"50",0,10,0,0,2
"51",10,2,1,10,0
"52",6,0,1,4,8
"53",4,6,7,4,0
"54",7,7,8,0,0
"56",5,0,0,10,5
"57",7,5,5,5,2
"58",2,6,8,0,0
"59",2,5,7,1,1
"60",6,7,6,6,8
"61",4,7,9,4,0
"62",5,3,1,7,10
"63",0,10,0,0,0
"64",0,10,10,0,0
"65",4,7,8,3,0
"66",0,8,10,3,0
"67",0,9,6,1,0
"68",3,5,6,4,0
"69",5,5,5,5,5
"70",8,9,6,5,6
"71",6,0,0,5,10
"72",9,5,2,5,5
"73",4,5,2,2,3
"74",9,0,0,9,10
"75",9,5,0,8,0
"76",4,9,9,4,0
"77",6,10,5,6,2
"78",2,10,5,5,5
"79",5,10,5,4,0
"80",9,8,4,6,7
"81",5,7,7,2,1
"82",5,7,6,3,1
