"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"1977",2,3,0,0,4,1
"1978",2,5,5,8,8,7
"1979",5,3,0,6,2,5
"1981",7,7,2,2,1,7
"1983",3,9,3,4,5,9
"1987",3,5,0,5,0,8
"1988",2,7,0,3,7,7
"1990",4,7,2,7,7,2
"1991",4,7,1,6,8,6
"1992",3,9,0,2,6,6
"1993",4,8,0,5,5,8
"1994",5,6,5,3,6,1
"1995",0,6,0,8,5,5
"1996",8,5,5,7,8,6
"1997",5,3,3,2,1,1
"1998",2,4,1,1,1,4
"1999",4,5,1,8,9,8
"2002",7,8,1,6,8,3
"2003",9,6,4,4,4,0
"2004",6,5,4,10,6,2
"2005",5,5,1,8,1,1
"2006",9,7,0,7,0,3
"2007",3,5,3,4,7,4
"2008",5,5,4,5,1,1
"2010",3,3,4,0,0,0
"2011",5,5,8,5,5,5
"2012",8,0,5,5,5,0
"2014",5,8,2,6,4,4
"2015",5,5,5,2,5,0
"2017",5,5,5,5,5,5
"2018",3,6,2,4,8,8
"2019",2,2,2,2,2,2
"2022",6,3,9,8,3,1
"2024",3,4,1,2,1,3
"2026",5,7,2,3,3,2
"2027",9,5,4,6,5,5
"2028",2,2,0,2,10,2
"2029",3,5,0,4,3,4
"2031",7,4,5,9,2,6
"2033",7,5,2,2,6,3
"2034",5,5,7,5,2,2
"2035",8,5,6,5,5,4
"2036",7,3,5,5,5,5
"2037",4,2,9,3,2,0
"2038",5,8,0,2,2,3
"2039",9,3,7,5,2,3
"2040",9,1,7,4,5,1
"2041",8,3,5,5,8,2
"2042",9,3,8,3,1,2
"2043",6,2,5,7,4,3
"2044",7,3,7,8,5,3
"2046",5,5,8,4,2,1
"2047",6,1,5,6,4,2
"2048",3,5,3,0,3,5
"2050",5,0,7,1,0,0
"2052",6,3,4,2,3,3
"2053",8,4,5,6,5,3
"2054",7,3,8,3,8,0
"2055",7,0,7,2,2,1
"2056",6,4,9,4,2,1
"2057",8,5,7,6,3,0
"2058",4,6,9,5,6,2
"2059",7,2,9,2,7,0
"2060",7,1,9,7,7,1
"2061",4,6,10,3,0,0
"2062",2,5,8,3,4,1
"2063",7,3,10,1,3,1
"2064",9,6,5,6,2,3
"2065",7,1,7,1,4,0
"2066",9,5,7,3,5,2
"2067",7,3,9,3,6,1
"2068",5,4,7,6,8,0
"2069",7,4,10,3,2,0
"2072",7,2,10,5,2,0
"2073",8,0,10,6,0,0
"2074",7,2,8,5,3,2
"2075",1,1,1,1,1,1
"2076",0,0,0,0,5,1
"2078",3,1,9,0,9,0
"2080",2,2,4,2,2,2
"2081",10,4,6,3,1,5
"2085",6,9,8,4,5,7
"2086",0,10,0,4,2,4
"2087",0,3,0,3,3,4
"2088",2,4,0,2,3,5
"2089",0,4,0,3,4,10
"2090",0,3,0,3,8,9
"2092",2,9,0,3,7,7
"2093",1,1,1,1,8,8
"2094",0,4,0,2,2,6
"2096",3,7,1,5,9,5
"2097",4,8,2,4,8,5
"2098",3,10,2,3,5,3
