"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"3171",0,0,1,6,6,5,2
"3172",9,3,6,6,2,2,4
"3173",4,5,5,6,6,5,3
"3174",4,0,7,7,6,9,6
"3175",9,7,6,7,2,3,5
"3177",5,5,7,6,7,4,7
"3178",9,3,0,5,8,3,7
"3179",7,7,3,2,1,1,1
"3180",1,0,4,5,5,8,7
"3181",5,0,8,8,6,8,6
"3183",7,10,5,1,3,3,3
"3184",3,1,8,5,5,8,10
"3185",9,8,2,2,3,2,2
"3187",7,10,3,6,2,4,1
"3188",7,4,3,5,3,5,3
"3189",6,2,8,6,7,9,7
"3190",2,0,8,8,6,7,7
"3191",7,0,4,4,0,0,2
"3192",3,3,7,3,3,6,7
"3193",1,1,5,3,7,6,6
"3195",4,0,6,5,8,7,7
"3197",6,2,5,8,1,1,2
"3198",0,3,3,1,0,0,0
"3199",8,0,6,7,3,8,1
"3200",10,8,2,2,1,0,0
"3201",8,9,2,2,0,0,0
"3202",0,0,10,2,2,2,2
"3203",3,0,9,5,7,7,7
"3204",1,5,1,0,1,0,5
"3205",9,5,4,4,2,0,2
"3206",6,0,2,0,7,7,7
"3207",3,0,3,5,4,4,1
"3208",3,3,9,8,0,0,0
"3209",5,1,5,8,3,8,3
"3210",9,10,6,7,0,0,0
"3211",7,3,9,5,2,1,0
"3212",5,1,5,5,4,4,3
"3214",5,4,4,4,4,3,4
"3216",8,5,7,6,5,5,5
"3217",10,7,4,4,0,0,0
"3219",5,0,5,3,4,1,1
"3220",8,3,9,10,9,9,9
"3221",3,0,7,7,10,9,10
"3222",7,3,7,8,0,0,0
"3224",2,10,0,0,0,2,2
"3225",9,6,4,7,1,2,4
"3226",6,9,2,2,9,2,9
"3227",7,0,7,8,6,7,2
"3228",6,1,7,8,5,6,2
"3229",4,0,7,5,6,6,3
"3230",6,6,2,4,3,4,3
"3231",8,8,4,9,0,0,0
"3232",0,0,5,6,6,7,3
"3233",2,0,8,7,5,5,2
"3234",0,0,4,4,8,5,6
"3235",4,4,6,5,4,3,4
"3236",1,1,5,2,4,5,3
"3237",5,4,5,5,6,5,5
"3238",2,0,4,4,2,0,2
"3239",8,8,8,7,6,8,3
"3240",6,3,3,7,3,2,2
"3241",4,4,4,4,5,5,4
"3242",6,0,7,8,3,5,1
"3243",7,1,0,9,1,5,0
"3244",2,0,8,8,7,9,5
"3245",6,3,5,10,4,4,3
"3246",3,0,4,8,2,0,0
"3247",1,0,9,9,3,5,0
"3248",3,0,9,7,2,4,0
"3249",1,1,4,3,6,6,10
"3250",0,0,5,3,8,8,5
"3251",8,4,5,6,6,2,3
"3252",7,0,6,5,6,8,0
"3254",8,1,10,10,8,8,1
"3255",6,6,4,5,2,2,9
"3256",0,0,5,5,10,10,5
"3257",1,1,6,6,7,10,10
"3260",6,0,7,6,2,4,5
"3262",3,0,6,3,8,8,6
"3263",2,0,5,9,8,8,1
"3264",5,1,6,4,7,8,7
"3265",7,9,6,6,9,3,8
"3267",10,0,0,8,0,0,0
"3268",6,5,5,5,5,5,5
"3271",9,2,4,4,2,2,1
"3272",1,1,1,10,1,1,1
"3273",4,0,8,5,8,8,3
"3274",3,1,6,7,4,4,0
"3275",5,5,5,5,5,5,5
"3276",3,7,3,3,3,2,3
"3277",0,0,5,4,2,5,2
"3278",7,1,6,7,2,6,2
"3281",3,1,3,3,3,1,0
"3282",2,1,6,2,8,7,8
"3283",10,8,5,3,3,0,3
"3285",3,3,6,4,5,8,6
"3286",2,2,5,8,1,6,6
"3287",0,0,3,0,8,8,0
"3288",7,8,0,0,6,0,1
"3289",7,8,6,3,7,7,5
"3290",3,1,7,7,3,4,2
"3291",5,4,6,6,5,6,6
"3292",9,2,4,10,2,2,0
"3293",0,0,3,2,5,2,3
"3294",7,6,6,6,6,6,3
"3295",3,1,2,8,3,5,4
"3296",7,3,5,8,7,8,5
"3297",0,0,2,5,5,7,4
"3298",6,6,8,4,7,4,3
"3299",8,6,3,7,3,3,2
"3300",3,0,8,4,0,0,2
"3301",1,0,1,4,2,2,9
"3302",7,4,6,8,3,5,1
"3303",5,0,5,9,0,2,2
"3305",4,1,6,6,6,8,6
"3306",8,6,7,7,5,8,7
"3307",7,6,8,6,6,2,3
"3308",2,8,7,2,2,7,8
"3309",10,9,5,9,1,1,1
"3310",9,1,6,3,3,0,0
"3312",2,0,10,4,4,4,0
"3313",5,2,6,7,5,7,3
"3314",8,7,5,7,0,3,2
"3315",0,4,0,6,4,1,4
"3316",7,1,3,4,10,6,8
"3317",10,6,7,8,5,7,7
"3319",8,3,4,6,1,0,3
"3320",2,0,5,6,8,9,7
"3321",7,4,7,6,6,6,5
"3322",6,6,3,2,3,1,2
"3323",8,6,8,8,7,6,8
"3325",0,0,4,5,6,7,4
"3326",3,0,5,8,4,8,6
"3327",6,4,6,4,3,1,6
"3328",2,0,7,8,5,5,1
"3330",8,3,5,4,3,4,7
"3331",9,5,7,4,1,2,6
"3332",4,10,5,7,3,0,4
"3333",4,2,5,7,7,7,7
"3334",9,9,4,4,3,0,0
"3335",0,0,5,5,5,8,2
"3336",7,0,7,8,5,10,0
"3337",8,4,6,8,3,3,1
"3338",0,0,8,5,8,10,7
"3341",9,7,5,7,0,2,0
"3342",4,6,3,4,6,3,3
"3343",6,5,6,6,3,0,0
"3344",5,5,5,5,5,5,5
"3345",3,2,6,4,3,3,0
"3347",2,0,5,5,4,5,3
"3348",0,0,5,0,6,4,8
"3349",6,6,7,6,6,4,3
"3350",1,0,6,3,7,10,9
"3351",7,4,6,8,3,6,4
"3352",9,7,2,0,7,0,1
"3353",6,8,4,4,0,0,0
"3354",8,1,4,8,2,4,1
"3355",8,10,10,7,2,1,1
