"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"4183",4,4,7,5,4,8,5
"4185",6,1,8,6,1,6,0
"4187",3,7,5,1,7,6,0
"4189",3,10,5,3,3,3,3
"4190",4,7,7,0,6,5,0
"4192",1,1,3,0,1,6,1
"4193",3,9,6,0,6,6,1
"4196",2,2,5,3,1,2,2
"4197",0,0,0,0,0,2,0
"4198",0,0,6,6,6,5,5
"4199",10,0,0,0,0,0,0
"4200",5,6,7,1,3,2,2
"4201",7,5,6,2,5,6,0
"4203",4,0,10,0,6,0,0
"4204",1,1,1,10,1,1,1
"4205",5,5,3,5,1,1,3
"4206",7,1,8,2,3,1,0
"4207",10,1,5,7,1,1,0
"4208",3,6,8,1,7,2,1
"4212",9,0,5,7,4,7,7
"4213",4,8,4,1,8,7,1
"4214",2,5,2,0,5,5,0
"4215",8,0,7,3,4,5,0
"4216",8,1,1,1,2,1,1
"4218",0,7,3,0,0,5,0
"4219",3,8,8,2,5,7,2
"4220",6,4,5,9,7,6,0
"4222",4,1,10,6,3,4,3
"4224",10,0,0,0,3,0,0
"4226",8,4,10,4,6,8,0
"4228",0,0,7,0,7,0,0
"4230",4,9,5,0,6,3,0
"4231",1,1,1,0,1,1,0
"4232",0,8,3,0,1,5,0
"4239",0,2,0,0,10,1,1
"4240",1,8,7,2,5,5,0
"4241",7,2,5,0,4,2,2
"4242",4,5,5,0,5,4,0
"4243",6,4,0,4,5,8,6
"4244",4,5,3,1,10,5,1
"4245",9,4,10,6,2,6,2
"4246",2,9,5,2,9,9,0
"4247",7,4,7,0,5,7,0
"4249",5,0,4,10,3,0,0
"4250",5,5,5,5,5,5,5
"4254",10,1,8,7,7,8,0
"4256",0,0,0,0,0,0,0
"4258",3,5,7,0,8,5,0
"4259",7,0,1,0,1,5,0
"4260",2,9,5,1,6,4,0
"4261",10,4,7,3,5,7,0
"4262",8,3,5,4,6,4,2
"4263",5,2,7,2,5,6,1
"4264",7,4,9,1,6,4,2
"4266",4,2,5,2,6,6,5
"4267",0,2,8,5,8,3,3
"4268",7,2,7,0,4,4,0
"4269",0,9,3,0,2,2,3
"4270",7,6,6,0,4,7,0
"4271",2,2,5,0,10,5,0
"4272",10,1,6,5,6,6,3
"4273",6,2,4,7,1,4,4
"4274",8,0,1,1,1,3,0
"4276",2,8,8,2,0,8,2
"4277",1,7,4,0,8,7,0
"4278",0,0,0,0,0,0,0
"4279",5,3,5,0,8,4,0
"4280",5,6,3,2,3,5,0
"4282",5,5,3,5,5,5,5
"4284",1,10,0,1,5,8,5
"4285",9,4,7,7,4,4,7
"4288",0,0,0,10,3,3,2
"4290",8,3,9,7,3,3,0
"4296",9,0,7,10,0,4,0
"4297",6,2,6,4,5,0,0
"4299",10,4,5,0,2,0,0
"4300",6,1,9,4,2,6,0
"4301",0,5,5,0,10,0,0
"4304",0,7,0,0,5,5,0
"4305",9,5,7,8,6,6,1
"4306",5,5,8,0,8,6,0
"4307",2,6,5,1,4,4,7
"4310",5,0,5,10,2,5,0
"4311",10,0,5,0,0,5,0
"4312",5,8,8,0,6,8,4
"4315",4,0,2,0,4,0,0
"4316",6,3,6,3,5,6,0
"4317",0,0,10,10,0,0,0
"4318",7,5,6,1,6,2,0
"4320",10,0,7,0,5,6,0
"4321",5,1,3,0,2,2,0
"4324",2,8,3,0,4,0,0
"4325",10,2,5,9,2,4,1
"4326",7,2,4,2,2,6,0
"4328",0,10,0,0,3,1,5
"4329",2,6,5,0,7,8,0
"4332",9,0,2,9,0,0,5
"4335",0,1,0,0,1,0,0
"4336",0,8,3,4,3,0,10
"4337",3,9,7,3,3,5,0
"4338",10,0,10,0,0,0,0
"4342",7,1,6,2,4,1,0
"4343",4,5,5,3,8,4,3
"4344",2,7,10,2,8,4,2
"4345",2,7,6,0,5,8,0
"4347",2,2,8,0,7,5,0
"4348",4,2,7,8,1,1,0
"4349",5,6,3,4,8,4,5
"4351",0,0,2,0,0,0,0
"4352",7,3,7,0,9,0,0
"4353",1,8,6,0,5,1,4
"4355",4,2,6,9,2,0,0
"4356",4,9,7,0,6,4,0
"4357",3,7,2,4,1,5,3
"4358",7,0,9,0,0,7,0
"4359",0,8,0,0,7,5,2
"4360",5,0,8,0,8,7,0
"4361",1,9,0,0,7,0,0
"4366",0,10,4,0,5,1,0
"4367",3,3,3,4,3,4,3
"4369",8,3,5,3,4,3,0
"4370",5,1,7,3,2,1,2
"4371",6,6,5,0,5,5,0
"4373",6,3,1,2,2,5,2
"4374",6,3,4,4,3,3,4
"4376",0,0,8,8,0,0,0
"4380",0,0,7,9,0,0,0
"4381",10,2,5,9,5,6,7
"4382",5,6,5,5,5,5,5
"4384",7,6,6,7,4,3,2
"4386",0,0,2,10,1,3,1
"4387",0,0,7,10,5,5,0
"4388",0,8,3,1,5,1,3
"4389",0,4,5,0,9,3,0
"4390",9,0,7,8,7,0,0
"4391",5,5,5,5,5,5,6
"4394",6,4,8,2,3,3,1
"4395",3,5,2,1,3,3,1
"4396",3,3,4,4,3,4,4
"4397",0,0,0,10,0,0,10
"4399",5,5,6,3,3,7,0
"4400",0,2,2,7,5,0,4
"4402",8,3,6,9,8,10,3
"4403",2,6,8,0,2,8,0
"4404",4,0,3,10,0,0,0
"4405",0,5,3,0,5,6,0
"4406",6,1,4,7,2,4,5
"4408",4,8,0,0,6,6,0
"4410",0,8,2,0,5,3,7
"4411",5,9,6,1,1,5,1
"4412",6,2,10,8,4,2,0
"4413",8,3,9,8,6,6,0
"4414",9,2,8,8,8,8,0
"4415",5,1,5,7,5,9,0
"4416",9,5,8,0,10,0,0
"4417",2,8,2,0,3,2,0
"4418",6,3,5,1,8,1,1
"4419",7,1,9,6,4,5,0
"4420",0,3,5,10,4,3,3
"4423",7,5,5,10,5,5,5
"4425",7,2,7,2,3,7,2
"4426",0,0,0,0,0,0,0
"4427",3,2,8,4,1,3,0
"4429",6,8,4,0,7,2,0
"4431",4,7,3,2,5,4,3
"4432",3,6,7,0,4,8,0
"4434",9,0,5,8,1,1,1
"4435",9,4,8,0,5,4,0
"4436",1,8,7,0,6,4,3
"4437",6,3,7,0,4,6,0
"4438",0,9,0,0,4,7,7
"4440",0,1,8,0,4,9,0
"4442",3,2,8,5,3,8,0
"4443",1,7,6,0,8,6,0
"4444",8,0,6,5,1,3,0
"4445",0,10,0,0,0,0,0
"4446",4,1,8,5,4,3,0
"4447",7,1,3,4,4,4,1
"4448",0,0,0,0,0,0,0
"4449",4,4,7,0,4,3,1
"4450",0,2,1,0,1,0,2
"4451",1,8,3,1,4,2,1
"4454",0,4,2,8,3,4,4
"4456",7,5,8,3,8,9,0
"4457",0,6,5,0,0,3,0
"4459",10,0,5,8,5,4,3
"4460",2,8,3,0,6,2,1
"4461",3,7,3,0,5,0,0
"4467",9,2,5,2,1,1,0
"4468",3,0,5,8,0,0,0
"4469",0,10,3,0,3,3,2
"4470",9,5,8,5,5,5,5
"4471",7,5,7,2,8,5,1
"4474",8,4,9,7,4,7,1
