"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"4889",5,0,6,4,0,0,6,0,0
"4895",0,2,0,0,0,0,0,0,0
"4910",0,2,1,0,0,0,0,0,0
"4912",5,0,3,0,4,4,5,4,0
"4914",1,4,5,2,5,5,6,5,1
"4915",0,2,0,1,0,4,1,1,1
"4916",4,0,2,2,3,2,2,3,2
"4917",8,0,0,0,0,0,0,0,0
"4918",5,0,6,6,1,5,5,3,1
"4919",0,10,0,0,0,0,0,0,0
"4920",0,10,0,0,0,0,0,0,0
"4923",4,5,6,6,5,6,4,4,4
"4933",0,0,0,0,0,0,0,0,0
"4936",5,4,3,2,3,0,4,0,3
"4937",3,2,2,2,2,2,3,2,3
"4939",3,5,3,5,3,2,6,4,4
"4940",7,0,6,6,5,0,5,5,4
"4942",0,5,0,0,0,0,0,0,0
"4946",4,10,5,4,3,1,6,5,4
"4956",10,4,3,4,5,7,4,4,3
"4959",4,2,4,5,3,2,3,5,4
"4961",2,5,5,2,1,8,5,2,0
"4963",10,0,8,6,4,10,9,5,2
"4964",0,10,0,0,0,0,0,0,0
"4966",0,10,0,0,3,8,0,1,3
"4972",9,4,7,7,2,10,3,6,10
"4975",5,8,2,5,3,2,5,3,3
"4978",0,10,10,10,10,10,10,1,10
"4979",0,0,0,0,0,0,0,0,0
"4980",9,10,7,3,6,5,6,8,6
"4986",6,4,10,3,8,7,9,2,1
"4994",2,7,2,9,8,3,5,1,8
"4997",9,4,7,5,0,9,5,3,0
"5001",4,2,6,3,1,3,3,2,1
"5006",0,10,0,0,0,0,0,0,0
"5020",10,0,0,0,1,2,1,0,1
"5021",7,10,2,6,6,0,6,4,8
"5022",2,10,9,5,8,7,10,2,5
"5027",6,8,3,2,6,5,6,4,6
"5039",0,5,0,2,0,0,8,2,3
"5045",4,0,0,0,0,0,2,0,0
"5047",0,0,0,0,0,0,0,2,0
"5048",5,1,0,5,5,0,5,5,5
"5056",5,5,10,2,2,0,0,1,0
"5057",8,1,6,9,4,3,8,3,5
"5061",3,3,3,3,4,4,5,4,4
"5065",8,0,5,3,5,3,5,5,8
"5071",0,10,0,0,0,0,5,0,0
"5073",0,10,0,0,0,0,0,0,0
"5074",7,2,5,3,3,5,4,2,2
"5075",5,0,0,2,0,0,0,4,2
"5081",0,10,0,10,0,2,10,0,10
"5084",8,2,10,10,3,10,10,9,8
"5085",3,10,4,0,0,0,6,9,0
"5091",0,10,7,4,5,0,5,8,8
"5102",7,0,5,2,0,0,0,0,0
"5108",0,0,1,0,0,0,0,0,0
"5113",3,7,8,2,0,9,3,1,0
"5114",4,6,3,3,1,1,5,4,3
"5115",10,0,0,0,0,0,0,0,0
"5118",0,5,0,0,0,0,0,0,0
"5121",0,0,0,0,0,0,0,0,0
"5123",3,10,4,2,2,0,5,2,2
"5124",1,1,1,1,1,1,1,1,1
"5125",0,10,0,9,5,0,8,6,0
"5127",3,0,0,0,0,0,5,0,0
"5136",0,10,0,0,0,0,0,0,0
"5138",3,10,3,3,3,3,3,3,3
"5140",0,4,2,5,0,0,4,0,3
"5144",5,10,5,0,4,0,0,0,3
"5146",0,0,0,0,0,0,0,0,0
"5150",7,0,4,4,6,2,2,4,4
"5151",6,7,6,7,6,8,7,7,7
"5156",1,10,2,1,0,0,0,0,1
"5166",3,0,5,3,4,2,3,3,3
"5169",1,8,5,1,2,2,1,1,2
"5180",10,10,10,7,7,7,7,7,7
"5190",5,10,5,5,5,10,7,5,3
"5195",10,10,10,10,10,0,10,0,0
"5199",0,10,0,0,0,0,0,0,0
"5208",1,10,1,1,1,1,1,1,1
"5210",2,10,8,7,9,8,3,6,4
"5220",10,0,5,0,0,0,0,0,0
"5222",6,0,9,5,5,0,6,0,0
"5225",10,10,10,5,5,10,10,5,5
"5231",0,10,0,5,5,0,8,1,2
"5232",5,0,3,0,5,0,1,5,0
"5239",10,0,0,0,0,0,0,0,0
"5249",3,0,5,4,2,8,5,0,0
"5252",0,1,1,0,1,0,0,0,0
"5257",0,10,0,0,0,0,8,0,0
"5261",10,10,6,3,6,5,1,1,1
"5271",8,8,2,5,6,5,3,5,5
"5273",10,0,10,10,0,0,10,10,0
"5274",10,0,0,2,6,6,2,10,8
"5276",0,9,0,2,2,2,5,3,2
"5277",0,0,0,0,0,0,0,0,0
"5279",3,8,3,1,0,0,7,0,0
"5283",0,10,0,0,0,0,0,0,0
"5292",0,9,0,1,2,0,2,2,0
"5295",5,1,7,2,2,2,2,2,7
"5299",3,9,0,3,2,0,6,2,3
"5300",10,0,1,0,0,2,2,1,1
"5302",0,4,0,2,0,2,4,0,0
"5310",1,0,3,0,0,3,2,1,0
"5322",0,9,0,0,1,0,8,0,0
"5324",0,0,0,0,0,0,0,0,0
"5326",0,10,0,0,0,0,0,0,0
"5327",0,10,0,0,8,0,3,2,0
"5329",9,0,7,5,7,5,5,5,5
"5337",4,7,0,8,1,2,6,8,0
"5338",0,0,0,0,0,0,0,0,0
"5351",10,5,5,5,5,9,7,4,2
"5355",0,10,0,0,0,0,0,0,0
"5361",4,0,2,3,5,3,3,3,5
"5369",1,1,1,1,1,1,1,1,1
"5378",7,8,0,6,3,0,6,0,0
"5380",0,10,0,0,0,0,5,0,0
"5381",0,0,0,0,0,0,0,0,0
"5382",10,0,0,2,3,2,3,4,2
"5383",0,10,0,0,0,0,0,0,0
"5386",0,1,0,0,0,1,0,0,0
"5388",10,0,0,0,0,0,0,0,0
"5392",0,5,0,4,5,5,5,0,0
"5393",6,8,10,6,9,4,1,8,4
"5394",10,0,0,3,0,7,3,0,1
"5395",3,5,2,1,2,1,2,2,3
"5397",2,0,0,3,2,2,3,2,2
"5398",0,10,0,0,0,0,0,0,0
"5399",6,1,3,2,3,3,5,4,5
"5400",0,10,1,7,6,0,7,5,6
"5401",2,10,3,5,5,0,0,3,0
"5402",5,8,3,3,1,7,1,2,4
"5403",0,0,0,0,0,0,0,0,0
"5404",10,0,4,3,4,5,6,3,5
"5405",8,8,9,5,5,6,9,4,4
"5406",5,2,5,5,4,6,4,7,4
"5415",4,10,8,2,1,8,7,9,7
"5417",1,4,8,2,4,3,1,2,1
"5422",0,0,0,0,0,0,0,0,0
"5425",10,0,0,0,0,0,0,0,0
"5438",8,5,4,3,4,5,4,4,4
"5440",1,0,5,4,2,5,2,0,0
"5442",8,8,10,3,0,3,8,2,2
"5444",0,0,7,0,0,10,0,0,0
"5450",7,10,9,5,8,3,8,8,7
"5454",2,1,2,2,1,0,1,1,1
"5455",10,10,10,10,0,0,0,10,0
"5463",0,0,0,0,0,0,0,0,0
"5464",7,0,7,5,2,5,5,2,5
"5466",5,3,6,1,1,3,4,1,3
"5473",3,10,3,6,10,0,1,0,2
"5485",0,10,0,0,0,0,0,0,0
"5486",10,0,0,0,0,0,0,0,0
"5498",0,0,0,0,0,0,0,0,0
"5513",10,0,0,0,0,1,0,0,0
"5518",5,8,8,8,1,7,7,2,0
"5525",1,1,1,1,0,1,1,1,1
"5526",2,4,3,3,2,3,3,1,2
"5532",0,2,7,3,0,6,1,0,0
"5539",0,10,0,0,0,0,8,0,0
"5541",2,8,2,0,0,3,4,0,0
"5542",5,0,0,0,0,0,0,0,0
"5547",0,0,5,5,0,5,0,0,5
"5551",0,0,0,0,0,0,0,0,0
"5553",3,4,2,0,1,1,2,1,1
"5554",9,5,6,7,3,4,7,6,9
"5558",5,8,2,4,3,4,4,1,3
"5559",0,0,0,0,0,0,1,0,0
"5566",0,10,0,0,6,3,0,3,5
"5569",5,10,7,5,4,6,3,4,3
"5576",3,8,5,6,6,10,4,2,4
"5578",0,3,3,0,5,0,3,5,3
"5580",9,0,8,4,4,3,6,8,4
"5581",7,2,2,3,2,2,4,4,5
"5582",8,10,10,6,3,6,9,4,6
"5583",1,10,1,3,4,6,3,5,6
"5584",10,0,10,0,0,0,4,0,0
"5585",9,0,0,7,6,0,7,2,2
"5586",10,5,10,0,10,10,0,10,0
"5589",0,6,0,2,0,0,5,0,2
"5590",0,2,3,2,0,0,0,1,0
"5595",3,5,5,5,4,5,5,5,5
"5596",8,9,6,3,8,4,8,6,4
"5598",2,7,6,2,2,7,2,3,2
"5601",8,0,0,3,3,3,8,3,3
"5614",2,7,3,1,0,3,4,3,1
"5617",3,8,5,4,5,2,5,4,3
"5619",8,0,0,0,0,0,0,0,2
"5620",3,1,3,3,3,1,3,3,2
"5623",7,10,10,10,5,7,7,8,7
"5624",0,0,0,0,0,0,0,0,0
"5625",1,3,3,2,1,10,3,2,2
"5628",0,0,0,0,0,0,0,0,0
"5629",10,0,1,3,0,0,5,2,0
"5630",5,9,5,4,5,5,5,4,4
"5632",0,10,10,0,10,0,0,0,10
"5635",5,7,5,5,5,5,5,4,4
"5637",5,4,10,5,7,4,3,7,1
"5639",10,0,2,5,4,6,0,7,8
"5642",0,10,0,0,0,0,0,0,0
"5644",0,0,0,0,0,0,0,0,0
"5650",5,3,2,3,2,3,1,2,3
"5651",0,2,0,0,0,0,0,0,0
"5653",7,10,8,7,4,6,9,4,9
"5656",4,1,4,4,3,6,7,4,3
"5657",5,4,4,2,3,0,4,3,4
"5658",0,9,0,8,0,6,5,5,5
"5660",2,5,0,2,0,0,2,0,2
"5663",4,0,5,4,4,4,6,3,5
"5664",0,10,10,0,0,1,8,5,0
"5665",4,3,3,2,0,3,2,2,3
"5669",4,8,9,5,2,1,4,3,2
"5673",7,4,6,4,4,7,4,6,3
"5695",0,2,0,0,0,0,0,0,0
"5696",5,5,2,0,5,2,5,3,0
"5698",3,3,7,3,5,6,6,5,3
"5699",1,4,1,1,1,2,2,1,1
"5700",7,0,0,2,2,0,2,0,0
"5713",8,0,5,4,3,6,4,6,4
"5721",0,5,0,0,0,0,0,0,0
"5723",0,0,0,0,0,0,0,0,0
"5724",0,0,0,0,0,0,0,0,0
"5725",0,0,8,0,0,5,0,0,0
"5726",1,1,1,1,1,1,1,1,1
"5727",0,0,5,0,0,0,0,0,0
"5728",1,1,1,1,1,1,1,1,1
"5730",0,10,0,0,0,0,0,0,0
"5731",0,0,0,0,0,0,0,0,0
"5732",0,0,6,0,0,5,2,0,0
"5733",0,0,0,0,0,0,0,0,0
"5734",0,10,0,0,0,0,0,0,0
"5737",5,4,4,1,5,5,5,4,3
"5738",2,2,4,3,2,2,2,8,2
"5739",6,3,7,9,7,6,7,4,5
"5741",1,2,3,4,5,5,2,1,1
"5746",3,4,3,3,0,3,3,3,3
"5747",5,4,5,4,8,1,5,7,5
"5748",8,0,0,2,1,1,0,2,2
"5749",3,7,10,7,2,10,10,6,1
"5750",6,5,6,2,1,6,5,6,6
"5751",5,1,5,1,1,4,1,2,5
"5752",0,0,0,0,0,0,0,0,0
"5753",0,0,0,0,0,0,0,0,0
"5754",0,0,0,0,0,0,0,0,0
"5755",4,10,3,4,4,3,3,3,4
"5764",5,10,5,5,5,8,5,5,5
"5767",10,0,4,6,3,3,4,3,3
"5769",8,0,4,2,10,0,3,2,0
"5771",10,0,4,0,0,0,0,0,0
"5772",5,5,5,3,2,5,3,2,2
"5773",7,0,9,6,1,2,7,0,6
"5774",9,0,5,0,0,0,0,0,0
"5776",2,0,6,1,1,10,1,1,1
"5778",9,0,5,0,4,3,0,4,4
"5784",4,6,0,2,3,0,3,3,3
"5785",0,10,0,0,0,0,0,0,0
"5789",0,0,0,5,0,0,0,0,0
"5791",10,0,0,0,0,0,0,0,0
"5792",0,0,0,0,0,0,0,0,0
"5793",0,0,0,0,0,0,0,0,0
"5794",5,5,5,5,5,5,5,5,5
"5795",9,0,0,0,0,8,0,0,0
"5796",0,0,0,0,0,0,0,0,0
