"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"7247",2,9,2,7,6,1
"7248",6,7,8,8,7,4
"7249",0,1,9,7,8,0
"7250",3,4,0,10,1,0
"7252",2,5,9,7,5,0
"7253",4,8,4,9,0,0
"7254",6,5,4,2,0,8
"7255",0,6,7,0,7,0
"7257",1,2,4,2,4,1
"7259",0,3,8,4,4,0
"7261",5,5,3,3,3,0
"7262",0,6,9,5,10,0
"7263",0,6,9,5,8,0
"7264",0,8,7,5,10,0
"7266",1,5,7,9,7,2
"7267",5,7,7,7,2,0
"7268",4,4,4,5,6,5
"7269",8,3,5,5,3,8
"7273",0,8,4,0,2,0
"7274",10,0,2,2,1,1
"7275",5,8,5,0,6,0
"7276",0,6,4,1,5,0
"7278",7,9,5,4,4,2
"7279",6,4,2,5,2,2
"7280",9,7,7,10,7,8
"7281",6,7,5,9,2,3
"7282",0,3,8,6,8,0
"7284",7,5,6,6,6,0
"7286",0,0,0,10,10,0
"7288",0,7,7,7,8,0
"7289",5,7,7,4,5,3
"7290",5,3,4,7,4,8
"7291",0,5,10,5,6,0
"7293",4,8,9,6,7,2
"7294",10,4,6,0,2,3
"7295",0,6,7,8,6,0
"7297",5,7,6,6,6,4
"7298",2,2,5,9,2,0
"7299",0,10,4,7,4,3
"7301",8,10,3,1,4,0
"7302",7,8,5,6,5,4
"7303",3,6,7,8,5,1
"7304",0,0,1,5,2,1
"7305",5,0,2,7,0,0
"7307",0,5,5,7,2,2
"7308",5,5,6,8,3,1
"7309",6,7,6,8,6,6
"7310",5,5,5,5,5,5
"7311",8,5,5,5,7,8
"7312",0,10,0,5,0,0
"7313",0,8,7,3,7,0
"7314",2,6,7,7,3,0
"7389",1,7,6,2,6,1
"7534",7,8,5,0,1,0
"7662",0,2,1,5,7,0
"7663",8,5,6,5,1,1
"7664",1,3,7,8,5,0
"7666",5,2,7,10,8,1
"7667",7,3,4,1,0,5
"7668",7,6,5,3,4,0
"7669",3,8,7,8,7,1
"7670",0,6,5,5,2,0
"7671",6,9,6,3,3,3
"7672",5,5,5,5,5,5
"7673",3,8,7,4,5,1
"7674",6,6,4,1,0,0
"7675",8,8,9,8,7,6
"7676",3,5,3,2,5,0
"7678",3,5,6,8,4,5
"7679",1,3,1,6,4,3
"7681",4,8,7,10,8,5
"7682",3,8,6,2,6,0
"7683",4,4,8,8,2,2
"7684",0,8,9,0,10,0
"7685",0,4,4,6,8,5
"7686",0,4,7,8,4,0
"7687",5,2,6,8,2,5
"7688",7,7,7,7,3,5
"7689",4,6,8,8,6,2
"7690",4,4,6,8,4,2
"7692",5,6,5,4,6,0
"7693",1,5,8,3,7,0
"7746",2,6,8,9,8,0
"7747",3,7,8,6,6,0
"7748",3,4,5,7,3,0
"7750",1,8,5,1,2,0
"7751",1,6,5,7,7,1
"7753",2,7,7,0,7,0
"7754",4,6,6,2,7,1
"7755",3,5,4,6,4,1
"7756",7,5,6,3,5,0
"7757",8,5,3,0,0,0
"7758",0,7,5,4,8,0
"7759",4,7,6,6,5,3
"7760",2,9,9,6,7,1
"7761",8,5,3,6,2,7
"7762",3,7,6,7,4,2
"7763",5,8,8,7,6,4
"7765",7,4,6,8,4,6
"7766",5,7,6,0,5,0
"7768",5,6,5,4,4,3
"7770",2,7,5,4,2,0
"7771",0,3,4,4,4,0
"7772",8,4,6,4,1,4
"7773",1,6,7,5,7,0
"7774",0,3,3,8,3,0
"7775",4,8,7,8,4,1
"7776",1,7,7,6,7,0
"7779",1,4,7,7,6,0
"7780",0,5,7,4,8,0
"7781",3,7,7,3,6,0
"7782",7,5,2,4,2,0
"7783",6,2,6,7,1,4
"7784",7,2,5,7,6,9
"7785",2,7,5,0,2,0
"7786",0,1,7,9,6,0
"7787",5,7,6,7,4,3
"7788",4,5,5,8,6,6
"7791",0,5,6,0,8,0
"7792",7,7,3,4,0,0
"7991",8,2,4,7,6,1
"8355",8,7,6,5,4,3
"8358",6,8,5,1,4,0
"8359",3,6,6,7,2,2
"8360",3,7,3,4,3,3
"8361",5,7,3,3,0,0
