"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"10115",0,0,0,0,0,0,0,0,0
"10117",0,0,0,6,3,0,10,0,5
"10118",0,0,0,0,0,5,0,0,0
"10119",6,6,9,9,9,9,1,5,1
"10120",5,6,4,5,6,4,7,6,5
"10122",0,0,0,0,0,0,0,0,0
"10123",0,0,1,5,4,5,5,0,5
"10124",0,0,0,0,0,0,0,0,0
"10125",0,0,6,6,6,6,6,0,6
"10126",0,0,0,0,0,0,0,0,0
"10127",0,0,0,0,0,8,0,0,0
"10128",2,2,2,2,2,2,2,2,2
"10130",0,0,0,5,5,7,5,0,5
"10131",0,0,0,0,0,0,0,0,0
"10132",3,2,3,2,2,2,3,1,2
"10133",0,0,0,0,0,0,0,0,0
"10134",4,3,6,5,7,5,2,2,2
"10135",0,3,4,4,3,3,3,3,4
"10136",0,0,1,7,5,9,3,0,4
"10137",0,0,0,6,2,7,7,0,3
"10142",0,0,0,0,0,0,0,0,0
"10143",0,0,0,5,0,6,8,0,6
"10144",0,0,0,3,2,9,5,0,3
"10148",0,0,0,0,0,0,1,0,5
"10153",0,0,0,4,0,4,4,0,0
"10154",0,0,0,0,0,0,0,0,0
"10155",0,0,0,1,1,1,3,0,1
"10156",0,0,0,6,5,2,2,3,4
"10157",1,1,1,1,1,1,1,1,1
"10158",9,7,0,0,0,0,0,6,0
"10159",5,5,4,3,4,1,1,1,1
"10162",10,9,6,3,5,4,3,7,5
"10163",10,10,2,2,2,2,2,2,2
"10164",8,4,3,1,0,2,1,4,3
"10165",5,5,0,0,0,0,0,3,0
"10166",5,2,5,0,0,0,0,0,0
"10167",0,0,0,0,0,0,0,0,0
"10168",1,1,1,1,1,1,1,1,1
"10169",7,9,1,0,0,0,0,7,0
"10170",0,0,5,5,5,0,6,0,5
"10172",0,0,0,0,0,0,0,0,0
"10173",0,0,0,0,0,0,0,0,0
"10174",0,0,0,0,0,0,0,0,0
"10175",0,0,0,3,3,0,0,0,2
"10176",0,0,0,0,0,0,0,0,0
"10177",6,6,5,5,5,5,4,5,3
"10178",10,10,1,1,1,1,1,10,1
"10179",0,0,0,0,0,0,0,0,0
"10180",0,0,0,0,0,0,0,0,0
