"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"11779",0,0,2,0,0,0
"11780",5,7,6,5,5,6
"11781",10,0,0,0,0,0
"11782",10,10,10,10,10,10
"11783",3,5,6,0,0,0
"11784",0,0,10,0,0,0
"11785",6,5,4,4,4,3
"11786",5,7,4,6,6,6
"11791",10,8,3,8,2,9
"11792",1,0,0,2,2,1
"11794",0,0,0,0,0,0
"11795",5,5,3,4,2,3
"11796",5,0,8,5,5,2
"11798",6,0,8,2,0,0
"11799",6,7,4,5,2,2
"11801",5,10,0,7,5,7
"11803",5,1,2,5,5,1
"11805",0,9,0,4,0,0
"11807",6,10,2,5,3,3
"11808",0,0,0,8,0,0
"11809",2,0,6,5,1,2
"11810",4,1,7,4,3,2
"11811",0,0,0,0,0,0
"11813",7,2,0,4,1,3
"11814",5,5,4,7,5,7
"11817",6,2,8,5,2,4
"11819",0,0,7,0,2,6
"11824",7,7,8,5,4,4
"11825",8,2,1,9,1,7
"11828",0,0,0,0,0,0
"11829",0,0,0,10,0,10
"11830",1,0,4,0,0,0
"11832",7,7,7,7,7,7
"11833",0,0,10,6,0,5
"11834",1,4,2,1,1,1
"11835",0,0,7,0,0,0
"11836",4,8,4,3,1,1
"11837",0,10,5,0,5,5
"11839",2,5,2,2,3,2
"11840",7,5,7,4,3,5
"11841",1,5,4,6,2,2
"11842",10,0,0,0,0,0
"11843",9,5,7,10,8,7
"11847",5,4,0,4,1,2
"11849",8,3,5,7,3,4
"11850",3,0,5,8,0,0
"11851",2,4,5,7,3,3
"11852",0,7,0,2,4,1
"11853",0,4,0,5,3,0
"11854",0,1,1,1,1,1
"11855",0,0,0,0,0,0
"11856",0,0,0,0,0,0
"11857",8,0,0,6,0,0
"11858",7,8,2,8,0,0
"11859",4,1,1,1,4,2
"11865",7,0,5,7,0,0
"11867",3,3,5,3,3,3
"11868",10,0,10,5,4,0
"11869",7,5,8,5,4,3
"11870",8,5,3,6,4,1
"11871",0,5,0,0,5,0
"11872",2,1,5,7,1,5
"11873",3,7,5,3,4,4
"11875",2,10,0,2,5,5
"11876",10,10,0,0,0,0
"11877",0,5,0,0,0,2
"11879",6,0,8,8,0,2
"11883",4,7,4,1,6,1
"11884",0,0,10,8,0,0
"11885",0,10,0,0,0,0
"11888",0,0,7,1,0,0
"11889",0,10,6,5,0,10
"11890",3,5,8,6,4,2
"11891",0,0,0,8,0,0
"11893",6,3,7,4,5,3
"11894",0,0,0,0,0,0
"11895",5,5,7,5,6,5
"11896",4,2,5,2,1,1
"11897",5,5,5,5,5,5
"11899",2,1,0,2,2,0
"11901",0,8,0,0,5,0
"11902",3,0,5,2,3,0
"11904",0,0,0,0,0,0
"11905",5,5,5,5,3,7
"11906",0,10,3,0,3,5
"11907",6,6,7,6,6,5
"11908",8,10,0,0,0,1
