"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"13160",9,4,0,9,2,7,9
"13161",7,8,0,5,5,8,5
"13162",8,4,0,5,5,6,8
"13163",10,7,0,8,1,8,10
"13164",3,6,0,4,5,8,2
"13165",4,9,0,3,6,8,2
"13166",2,2,1,6,3,1,3
"13167",6,6,7,5,5,5,4
"13168",9,8,0,5,5,7,7
"13169",10,10,0,8,7,8,0
"13170",9,10,0,7,9,8,10
"13171",7,9,0,5,7,8,4
"13172",5,8,0,0,7,7,2
"13173",1,3,0,4,8,7,0
"13174",2,5,0,1,8,9,0
"13175",9,7,0,8,6,8,7
"13176",9,7,0,5,10,8,9
"13177",9,8,0,5,4,8,5
"13178",6,1,1,7,1,3,10
"13179",6,8,0,5,4,7,6
"13180",6,8,0,6,7,6,5
"13181",10,3,0,4,6,10,8
"13182",9,8,0,7,5,8,7
"13183",4,7,0,0,5,6,0
"13184",8,8,0,8,6,8,5
"13185",5,1,1,5,5,8,0
"13186",8,6,0,7,0,6,6
"13187",10,5,0,8,5,5,8
"13188",10,7,0,7,0,8,5
"13189",9,7,6,9,4,9,10
"13190",6,7,0,5,5,9,0
"13191",8,2,0,8,0,6,1
"13192",6,8,0,4,2,9,5
"13193",10,8,0,5,6,9,5
"13194",6,9,2,7,8,9,4
"13195",9,8,0,5,2,7,5
"13197",10,8,0,5,0,8,0
"13198",10,5,0,4,5,0,9
"13199",8,9,0,8,7,8,5
"13200",10,5,2,7,3,4,5
"13201",9,8,0,6,5,7,5
"13202",8,3,10,8,10,0,7
"13203",7,6,0,6,3,4,6
"13204",2,6,0,5,7,8,0
"13205",5,5,1,7,0,2,8
"13206",10,10,0,8,5,7,9
"13207",2,6,0,5,8,6,2
"13208",4,4,2,5,6,6,7
"13209",9,6,6,7,5,4,4
"13210",5,7,0,3,5,6,5
"13211",9,6,0,8,6,6,7
"13212",8,7,0,8,3,8,8
"13213",6,8,0,7,7,6,3
"13214",8,6,1,7,5,8,4
"13215",3,3,0,3,2,5,3
"13216",10,7,0,5,3,8,7
"13217",5,6,0,2,8,7,3
"13218",5,7,0,7,1,3,7
"13219",7,9,0,6,5,7,5
"13220",6,8,0,5,5,7,4
"13221",2,2,7,6,1,1,3
"13222",8,5,0,6,0,6,7
"13223",7,5,1,3,4,7,3
"13224",6,7,0,4,5,8,3
"13225",1,4,0,2,4,7,0
"13226",2,7,5,0,5,2,0
"13227",8,7,0,10,4,6,8
"13228",0,5,0,0,6,0,0
"13229",5,6,0,4,8,7,3
"13230",7,6,3,9,5,6,9
"13231",6,0,0,0,5,6,0
"13232",8,10,5,1,8,10,2
"13233",4,6,0,2,8,8,1
"13234",0,10,0,0,0,8,0
"13235",8,9,1,8,7,7,7
"13236",3,7,0,1,6,9,1
"13237",9,9,0,8,7,9,7
"13238",8,7,0,9,6,6,6
"13239",4,6,0,5,9,5,2
"13240",9,7,1,7,6,8,3
"13241",9,9,7,8,7,8,5
"13242",6,7,1,7,5,9,4
"13243",8,10,0,6,7,6,2
"13244",5,7,0,5,0,5,5
"13245",7,9,0,8,5,10,3
"13246",4,6,0,5,4,5,1
"13247",3,8,0,6,10,9,1
"13248",6,8,1,6,5,9,2
"13249",6,6,0,5,7,8,5
"13250",4,5,0,3,4,6,2
"13251",2,6,0,7,10,9,1
"13252",3,9,0,1,7,8,0
"13253",5,8,0,3,3,8,0
"13254",4,5,0,2,7,8,2
"13255",5,4,0,5,1,3,3
"13256",2,4,3,1,8,5,3
"13257",9,8,0,8,5,8,8
"13258",7,7,0,5,4,7,3
"13261",9,7,0,5,5,7,3
"13262",7,9,0,5,6,9,6
"13263",3,9,3,5,8,8,2
"13264",3,3,0,3,6,5,2
"13265",7,5,0,8,6,6,2
"13266",8,7,1,9,8,7,7
"13267",0,7,0,5,10,7,4
"13270",9,7,0,7,6,9,5
"13271",8,9,0,5,8,6,9
"13272",6,4,0,9,2,6,1
"13273",9,7,2,7,3,8,10
"13274",9,8,1,8,5,7,8
"13276",8,5,1,5,5,5,5
"13277",7,9,0,3,7,8,4
"13278",9,9,2,8,7,9,6
"13279",8,10,0,7,5,9,7
"13280",7,7,1,7,5,5,1
"13281",4,8,1,4,5,9,3
"13282",9,9,5,7,4,5,9
"13283",8,8,0,4,3,7,5
"13284",8,7,0,8,9,8,8
"13285",3,2,2,8,4,5,2
"13286",6,7,0,1,8,9,4
"13287",10,7,0,8,5,8,5
"13289",6,6,0,5,1,6,2
"13290",8,5,1,6,3,6,6
"13291",9,8,0,6,6,8,2
"13293",10,8,0,8,1,9,4
"13294",8,9,0,3,4,6,5
"13295",5,8,0,4,5,9,0
"13296",8,8,0,7,5,7,6
"13298",5,6,0,2,8,8,2
"13299",8,6,0,6,0,7,4
"13300",5,6,0,4,7,7,0
"13301",2,6,9,1,7,0,6
"13303",5,5,6,3,6,4,5
"13304",8,7,0,10,1,7,5
"13305",10,7,0,7,0,7,5
"13306",10,8,0,9,0,8,7
"13307",6,8,0,5,1,10,3
"13308",10,6,5,5,5,7,9
"13309",9,2,0,9,0,7,2
"13310",8,8,0,8,6,7,8
"13311",7,9,0,8,8,10,7
"13312",7,9,1,4,1,2,6
"13313",6,2,10,0,0,0,8
"13314",3,9,5,4,8,3,6
"13315",7,9,1,4,5,6,3
"13316",2,4,8,3,7,2,4
"13317",10,9,0,5,0,8,10
"13318",7,8,0,6,1,5,5
"13319",7,10,0,6,4,8,4
"13320",5,6,0,3,1,10,2
"13321",10,3,0,5,1,6,8
"13323",10,8,0,5,1,5,7
"13324",8,8,0,5,5,7,5
"13325",10,8,0,8,3,6,7
"13326",5,8,0,6,5,7,3
"13327",9,8,0,8,0,8,5
"13328",7,5,7,7,5,7,7
"13329",5,7,0,5,5,10,3
"13330",9,8,0,9,5,8,8
"13331",9,7,0,10,6,4,8
"13332",8,9,0,6,5,7,5
"13333",3,7,0,2,2,3,0
"13334",9,3,0,8,5,6,3
"13335",7,5,3,5,2,5,5
"13336",6,5,0,3,0,5,7
"13337",5,2,3,9,0,1,8
"13338",8,5,0,8,2,6,2
"13339",10,9,5,7,5,8,8
"13340",8,4,0,3,4,3,3
"13341",8,8,0,8,7,4,7
"13342",9,7,0,5,4,0,9
"13343",0,5,10,9,1,6,10
"13344",7,7,2,7,6,7,7
"13345",8,6,0,5,2,5,8
"13346",9,8,0,5,6,5,9
"13347",6,8,0,6,6,9,8
"13348",3,7,0,7,2,1,0
"13349",8,6,0,7,6,0,10
"13351",6,10,0,3,2,7,2
"13352",8,5,0,8,1,8,0
"13353",9,9,0,7,6,9,8
"13354",10,7,0,8,0,8,5
"13355",5,10,0,5,8,10,1
"13356",1,2,0,0,2,2,0
"13357",10,8,0,7,4,7,6
"13358",8,10,4,4,7,3,9
"13359",8,7,1,6,5,6,8
"13360",8,10,4,9,8,7,3
"13361",8,7,0,7,4,6,3
"13362",8,9,0,8,9,6,7
"13363",6,2,6,2,0,0,8
"13364",9,7,0,8,0,1,9
"13365",10,9,2,7,6,7,9
"13366",2,5,0,4,1,5,1
"13367",8,9,0,7,1,9,5
"13368",6,10,0,5,3,7,7
