"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"15180",6,5,2,5,4,5,5,4,1
"15181",7,2,0,8,4,5,5,2,0
"15182",3,7,1,0,0,0,5,0,2
"15183",3,2,0,8,8,9,2,9,0
"15184",6,3,0,6,8,10,4,10,0
"15185",10,2,0,2,7,4,2,0,0
"15187",4,3,0,6,10,10,3,9,0
"15188",8,3,1,7,7,4,2,2,0
"15189",7,3,0,5,9,5,4,6,0
"15191",5,10,7,5,5,0,6,1,6
"15192",8,0,0,9,5,3,6,5,0
"15193",5,3,1,1,1,3,5,3,1
"15194",6,6,2,9,7,6,4,6,0
"15195",7,6,7,3,1,2,8,2,2
"15196",7,0,0,8,9,9,3,9,0
"15197",2,5,0,7,9,6,0,9,0
"15199",5,4,8,0,2,4,4,0,10
"15200",5,7,10,0,2,2,7,0,0
"15201",7,6,0,0,0,0,5,0,0
"15203",0,0,0,0,5,0,0,0,0
"15204",3,7,7,2,1,0,7,0,5
"15206",10,3,2,6,3,3,3,0,0
"15207",7,0,2,3,7,10,3,1,0
"15208",8,3,8,0,2,1,5,1,5
"15209",7,5,4,7,3,3,3,0,1
"15211",5,4,8,2,2,2,2,2,2
"15212",1,10,1,9,1,0,8,0,0
"15213",9,4,4,4,5,0,3,0,0
"15214",7,3,2,4,7,5,5,4,0
"15217",7,4,0,7,10,7,3,6,0
"15218",5,2,0,5,8,6,3,8,0
"15219",7,8,4,8,4,3,7,3,4
"15220",10,4,0,6,6,6,4,2,0
"15221",5,9,4,5,3,2,6,2,2
"15222",3,7,1,1,1,0,3,0,2
"15223",0,5,9,4,0,0,0,0,9
"15224",8,3,3,10,2,7,3,6,0
"15225",7,4,10,2,4,1,6,4,8
"15226",8,4,3,8,6,6,7,5,0
"15227",7,3,1,5,8,8,4,8,1
"15228",4,0,0,5,7,8,3,8,0
"15229",2,2,1,3,2,2,2,2,0
"15230",6,6,2,8,7,7,6,7,1
"15231",6,6,0,8,3,6,3,1,0
"15232",5,4,7,0,0,0,6,0,9
"15233",6,7,8,1,3,2,5,2,5
"15234",3,7,0,1,0,0,5,0,2
"15236",7,4,1,7,6,4,5,5,0
"15237",7,2,1,7,8,9,3,4,0
"15238",8,8,7,1,1,1,9,1,7
"15240",5,5,3,0,5,3,5,5,5
"15241",7,8,2,8,2,3,10,2,4
"15243",5,6,6,0,2,0,5,0,0
"15245",8,8,7,7,8,3,8,4,3
"15246",5,2,0,8,6,7,3,5,0
"15247",7,2,0,9,10,8,5,8,0
"15249",5,6,0,4,0,4,3,0,0
"15250",7,7,4,6,2,3,8,1,5
"15251",5,6,0,10,5,3,1,2,0
"15253",7,3,5,2,4,8,3,0,0
"15254",4,10,9,4,1,0,6,0,9
"15256",7,0,0,5,10,10,1,4,0
"15257",9,9,7,4,7,3,9,3,2
"15258",3,2,0,6,8,10,2,9,0
"15259",9,7,5,6,6,5,6,4,2
"15261",8,7,0,7,6,4,4,0,0
"15262",5,7,4,7,4,2,8,2,3
"15264",5,2,0,5,6,8,3,8,0
"15266",7,10,2,7,1,2,9,0,0
"15267",7,9,6,5,3,2,8,1,3
"15269",5,7,2,5,3,3,7,5,2
"15270",1,2,2,1,6,2,2,0,0
"15271",8,5,0,5,5,5,2,0,0
"15272",10,4,1,7,9,5,1,1,0
"15273",5,2,0,7,8,10,2,10,0
"15274",1,10,8,0,0,0,9,0,0
"15275",7,0,1,2,9,9,6,9,0
"15276",8,0,5,0,10,0,5,0,10
"15277",3,10,6,4,0,1,9,2,6
"15278",7,9,8,9,7,8,9,6,5
"15279",5,10,10,4,4,0,7,0,5
"15280",5,9,10,0,2,0,9,0,0
"15281",9,5,5,0,5,0,0,0,0
"15282",8,1,1,7,8,5,5,5,0
"15283",7,4,1,5,9,5,4,8,0
"15284",7,4,8,0,5,5,6,4,5
"15285",5,5,1,3,1,1,5,1,5
"15286",7,8,9,5,0,0,8,0,8
"15287",6,6,0,9,8,5,3,8,0
"15288",7,7,7,0,0,0,5,0,0
"15290",3,7,1,4,1,0,6,1,1
"15291",4,10,8,1,1,1,1,1,1
"15292",8,1,3,2,8,9,1,2,0
"15293",7,5,1,8,7,6,6,5,0
"15294",3,8,7,0,2,0,6,1,0
"15296",3,7,3,0,0,0,3,0,0
"15297",4,8,3,5,2,0,10,0,1
"15298",9,5,4,8,8,8,4,4,1
"15299",0,10,9,3,0,1,2,7,1
"15300",6,9,0,9,5,3,7,5,0
"15301",6,9,0,1,2,2,9,0,0
"15302",5,7,5,2,6,2,8,0,2
"15303",8,8,5,5,6,0,5,0,3
"15304",4,6,7,0,1,0,0,0,8
"15305",4,9,5,1,0,0,9,2,3
"15306",7,6,8,2,5,4,2,1,0
"15309",6,8,1,7,5,5,7,1,2
"15310",9,1,0,8,10,10,1,10,0
"15311",4,2,8,0,0,0,4,0,10
"15312",9,0,0,4,10,9,2,9,0
"15313",9,3,0,6,5,4,4,0,0
"15314",8,5,4,8,7,6,5,5,0
"15315",5,6,2,3,2,2,9,2,1
"15317",8,8,1,7,6,2,8,0,0
"15318",6,7,2,2,2,5,5,2,2
