"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"16525",0,3,8,2,1,0,4,0,0
"16526",8,0,2,4,9,9,8,0,0
"16527",8,3,5,2,7,6,1,1,0
"16528",7,0,2,2,8,9,4,6,0
"16529",10,6,3,2,9,8,3,3,1
"16530",5,7,0,0,4,8,1,2,0
"16531",9,0,0,0,8,10,2,2,0
"16532",7,0,2,1,9,8,4,0,0
"16533",8,0,1,1,1,6,8,6,0
"16535",7,0,2,4,8,9,5,2,0
"16536",5,9,10,8,6,1,7,6,2
"16537",7,0,3,3,7,9,4,1,1
"16539",0,0,0,0,0,0,0,0,0
"16540",7,5,6,3,7,2,5,8,4
"16541",5,1,0,1,6,5,4,1,0
"16542",7,6,7,9,6,6,7,7,6
"16543",6,3,6,5,5,7,5,5,0
"16544",5,0,0,0,5,9,1,0,0
"16545",3,5,4,9,5,5,8,7,3
"16546",8,6,6,6,8,7,7,7,6
"16547",9,7,6,5,8,7,5,6,4
"16548",5,5,8,5,8,8,5,5,6
"16549",7,0,8,9,8,6,7,8,1
"16550",5,0,5,0,10,8,5,0,0
"16552",8,3,3,2,4,1,1,1,1
"16553",3,7,8,6,4,1,2,3,0
"16554",8,9,0,0,10,9,0,0,9
"16555",5,7,5,2,5,4,0,0,3
"16557",2,10,8,7,3,0,2,8,1
"16558",8,0,0,3,7,8,7,7,0
"16559",5,1,2,4,8,8,7,2,1
"16560",5,0,7,3,4,0,0,3,0
"16561",10,5,7,5,8,7,6,4,4
"16562",6,7,4,2,2,2,2,2,0
"16563",5,3,4,3,5,5,2,1,0
"16564",4,2,7,7,1,0,0,3,0
"16565",6,9,3,2,1,4,2,5,7
"16566",5,5,6,6,7,4,4,4,5
"16567",2,2,1,2,1,2,0,1,0
"16569",8,1,7,5,8,5,4,4,0
"16570",9,0,5,4,7,9,0,0,0
"16571",5,5,9,10,2,3,6,6,1
"16572",5,7,4,3,6,5,4,6,1
"16573",0,1,0,0,5,0,0,1,0
"16574",0,0,0,0,0,0,0,10,10
"16576",4,3,3,7,2,2,2,2,0
"16577",3,2,4,3,3,2,1,1,2
"16578",3,6,3,8,3,1,1,8,4
"16579",9,8,2,5,7,6,4,3,0
"16580",6,4,6,9,6,6,5,6,6
"16582",6,8,4,3,1,6,4,5,0
"16583",0,0,0,0,0,0,0,0,0
"16585",6,0,4,1,2,6,3,0,0
"16586",3,6,7,7,5,0,0,3,3
"16587",9,10,1,1,6,5,3,5,0
"16588",7,0,2,2,7,7,8,1,0
"16590",0,10,6,2,0,0,1,2,1
"16591",9,0,3,3,10,9,8,0,0
"16592",6,4,0,5,10,7,4,4,2
"16593",1,7,8,6,2,0,4,6,5
"16594",3,5,8,8,5,1,1,4,0
"16595",6,0,1,2,9,10,3,0,1
"16596",7,1,3,6,8,10,6,6,0
"16597",7,0,6,9,5,0,5,4,0
"16598",6,1,4,4,8,8,7,0,0
