"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_G"
"18070",0,7,7,2,2,5
"18071",8,2,7,2,7,6
"18072",4,5,2,4,3,2
"18073",2,0,4,2,5,0
"18074",8,0,3,0,2,1
"18075",0,0,0,10,0,5
"18076",0,10,0,0,0,0
"18077",0,10,0,5,0,0
"18078",8,0,0,0,5,3
"18079",4,0,0,6,6,10
"18080",7,0,7,7,7,7
"18081",5,0,5,2,4,2
"18082",2,0,10,0,0,0
"18083",5,1,7,5,3,4
"18084",8,8,6,2,0,0
"18085",8,0,5,0,5,5
"18086",5,0,1,10,9,10
"18087",5,0,10,2,1,0
"18088",5,2,3,6,2,0
"18090",1,0,0,8,7,7
"18091",10,0,0,7,8,8
"18092",9,0,3,7,8,3
"18093",8,0,0,10,5,2
"18094",8,0,2,5,8,6
"18095",2,0,1,8,5,5
"18096",9,0,5,3,5,3
"18097",5,0,1,5,7,8
"18098",7,0,8,0,5,5
"18099",3,0,0,5,3,6
"18100",4,0,5,7,5,5
"18101",7,0,6,0,3,2
"18102",2,5,7,0,0,0
"18103",2,1,1,0,5,4
"18104",5,0,0,0,5,0
"18105",8,0,3,3,5,5
"18106",4,2,4,2,2,10
"18108",6,1,3,6,8,8
"18109",5,0,7,0,5,1
"18110",6,2,5,7,5,5
"18111",2,5,1,6,2,7
"18112",5,0,6,0,2,2
"18113",5,0,3,8,5,4
"18114",8,0,0,2,7,6
"18115",4,0,1,8,6,6
"18116",5,0,1,10,6,5
"18118",4,3,5,0,2,2
"18120",5,0,3,8,4,5
"18121",8,0,0,1,5,7
"18122",0,8,3,0,0,0
"18123",1,3,0,2,2,5
"18124",7,0,5,3,6,5
"18125",0,10,0,4,0,2
"18126",0,5,2,10,5,2
"18128",5,0,8,5,0,0
"18129",5,5,5,0,0,1
"18130",9,9,9,5,9,9
"18131",5,5,5,5,5,5
"18132",5,5,5,5,5,5
"18133",5,5,10,6,3,10
"18134",4,0,2,8,5,6
"18135",0,10,3,7,5,2
"18136",7,0,10,0,2,2
"18137",9,0,2,5,7,3
"18138",8,0,3,2,5,6
"18139",5,2,5,5,6,7
"18140",5,0,3,4,1,4
"18141",5,0,0,9,6,2
"18142",5,3,4,5,5,5
"18143",0,3,0,3,0,3
"18144",7,0,0,7,7,8
"18145",6,0,1,3,5,4
"18146",3,0,3,0,5,2
"18147",3,0,1,7,4,4
"18148",3,0,2,8,6,5
"18149",0,8,8,5,0,0
"18151",0,0,0,8,5,0
"18152",7,0,4,5,6,7
"18154",10,0,9,0,0,0
"18155",10,0,7,1,6,2
"18156",5,1,6,0,2,4
"18157",0,0,2,6,0,3
"18158",5,6,6,5,5,5
"18159",6,1,1,7,7,8
"18160",1,0,0,7,10,7
"18161",5,6,8,0,0,5
"18162",0,7,6,0,0,9
"18163",9,0,4,2,9,8
"18164",8,0,9,1,2,5
"18166",0,8,0,2,0,6
"18167",6,0,0,4,4,5
"18168",0,10,0,0,0,5
"18169",0,5,0,8,1,3
"18170",3,0,10,0,0,2
"18171",5,0,3,6,7,6
"18172",9,0,2,8,6,4
"18173",5,5,5,5,5,5
"18174",10,0,4,2,4,3
"18176",1,1,3,2,0,6
"18177",0,9,0,2,0,0
"18178",6,0,7,0,0,0
"18179",1,0,1,9,5,8
"18180",9,0,5,0,3,1
"18181",9,0,3,0,3,1
"18183",9,0,4,1,7,7
"18184",6,0,6,3,3,3
"18185",5,0,6,0,4,1
"18186",7,0,0,4,6,8
"18187",7,0,4,0,2,1
"18188",7,0,8,0,2,2
"18189",8,0,5,1,4,3
"18190",6,0,9,6,0,4
"18191",7,0,0,8,0,6
"18192",3,0,4,5,3,7
"18193",9,0,3,0,7,7
"18194",5,3,1,8,8,5
"18195",5,0,5,2,6,4
"18196",5,0,1,10,6,5
"18197",10,0,5,0,10,10
"18198",0,10,0,0,0,0
"18199",3,0,0,8,7,8
"18201",0,5,0,0,0,0
"18202",7,0,3,4,7,9
"18203",0,5,0,0,0,5
"18204",2,0,2,10,2,2
"18205",8,0,3,4,4,3
"18206",0,0,7,0,5,3
"18207",0,9,7,1,4,4
"18208",5,0,2,10,2,4
"18209",5,0,5,3,5,3
"18210",0,10,0,0,0,0
"18211",0,5,3,3,5,0
"18212",0,0,4,7,0,0
"18213",5,4,5,5,5,4
"18214",10,0,5,0,0,0
"18215",8,0,0,5,5,0
"18216",0,5,0,10,0,2
"18217",0,0,0,0,0,0
"18218",4,0,4,4,4,4
"18219",0,10,0,8,0,10
"18221",6,6,6,6,6,4
"18222",1,0,0,1,1,0
"18223",8,1,2,7,4,9
"18224",6,0,8,7,3,5
"18225",5,0,5,0,2,5
"18226",5,0,4,4,3,3
"18227",3,2,7,3,0,0
"18228",5,5,5,5,5,5
"18229",0,0,8,0,0,0
"18230",3,0,0,9,7,4
"18231",8,0,0,0,1,0
"18232",0,5,5,6,5,5
"18233",2,9,4,0,0,4
"18234",0,10,0,0,0,7
"18235",0,0,0,10,0,6
"18236",4,6,6,0,2,1
"18238",7,1,7,5,8,6
"18239",5,0,5,0,4,5
"18240",0,9,6,7,0,7
"18241",1,9,0,5,3,0
"18242",3,0,0,8,8,4
"18243",5,0,6,0,3,3
"18244",2,7,4,6,2,0
"18245",10,0,5,2,6,5
"18246",0,0,0,2,1,2
"18247",3,8,9,7,0,0
"18248",0,10,0,0,0,0
"18249",5,5,5,1,0,2
"18250",6,0,0,6,2,2
"18251",0,0,0,10,4,9
"18252",4,4,0,3,9,7
"18253",9,0,8,2,4,4
"18254",1,0,1,9,3,7
"18255",0,0,0,10,8,9
"18256",3,0,3,5,3,3
"18258",2,1,2,3,0,0
"18259",9,0,2,8,0,2
"18260",2,1,1,6,3,6
"18262",5,0,7,0,3,3
"18263",5,8,6,0,6,3
"18264",8,0,3,2,5,3
"18266",7,2,3,7,7,7
"18267",5,0,3,10,5,1
"18268",6,0,8,0,6,5
"18269",5,0,5,5,5,5
"18270",4,0,0,7,8,4
"18271",0,0,2,9,3,5
"18272",10,0,3,3,3,10
"18273",1,1,8,1,1,1
"18274",2,0,1,7,7,6
"18275",0,6,7,0,2,5
"18276",8,0,5,5,8,6
"18278",5,0,5,0,5,5
"18279",4,0,3,7,7,6
"18280",10,0,5,5,5,5
"18281",0,8,0,0,0,0
"18282",0,0,0,8,5,4
"18283",8,6,9,7,0,0
"18284",9,0,8,2,4,3
"18286",5,0,10,0,0,0
"18288",7,2,6,5,3,6
"18289",0,10,0,4,0,0
"18290",2,0,2,9,8,7
"18291",0,10,1,6,0,2
"18292",4,0,2,10,6,6
"18293",8,1,4,1,4,5
"18294",4,0,2,8,7,4
"18295",2,1,2,7,4,3
"18296",0,0,0,0,0,0
"18297",5,5,3,6,4,5
"18298",2,5,2,3,2,1
"18299",8,1,4,3,4,3
"18300",10,0,0,0,2,3
"18301",8,0,5,8,6,0
"18302",0,5,1,0,0,0
"18303",6,2,7,0,3,6
"18304",10,0,1,5,6,4
"18305",5,1,5,0,3,4
"18306",6,0,2,5,9,8
"18307",5,0,2,7,7,7
"18308",4,0,1,8,5,6
"18309",0,5,0,9,5,6
"18310",0,0,0,5,0,2
"18311",0,8,8,0,0,4
"18312",0,6,7,0,2,4
"18313",5,0,5,10,5,5
"18314",0,0,6,6,8,8
"18315",0,10,0,0,0,0
"18316",9,0,0,5,5,5
"18317",2,10,1,1,3,0
"18318",5,0,8,7,3,10
"18319",3,4,4,3,4,6
"18320",5,0,2,8,6,7
"18321",7,0,3,10,5,5
"18322",9,0,0,5,10,5
"18323",3,2,3,5,8,6
"18324",3,10,4,7,3,6
"18325",8,5,8,4,5,5
"18326",5,5,2,5,8,8
"18327",5,5,5,9,5,5
"18328",4,0,5,2,3,3
"18329",4,2,3,9,3,7
"18330",6,5,5,5,5,5
"18331",5,1,6,3,4,6
"18332",5,0,0,9,5,0
"18333",6,0,6,1,3,3
"18334",4,2,2,6,4,2
"18335",0,0,5,5,5,0
"18336",3,7,5,5,6,3
"18338",5,0,7,0,0,0
"18339",6,1,7,5,5,5
"18340",10,0,2,3,5,3
"18343",0,10,0,0,0,0
"18344",8,0,0,10,5,7
"18345",2,8,5,5,5,5
"18346",5,6,5,0,0,5
"18347",7,0,3,2,9,7
"18348",2,7,8,8,6,5
"18349",9,7,5,3,3,5
"18350",1,3,1,1,0,5
"18351",6,1,6,5,5,3
"18352",7,0,5,0,5,6
"18353",4,0,5,3,4,4
"18354",4,4,5,5,5,4
"18355",5,0,3,0,0,5
"18356",10,0,9,0,5,4
"18357",8,0,5,5,9,9
"18358",6,0,2,8,9,9
"18359",6,5,8,0,3,0
"18360",5,0,6,2,4,6
"18361",5,0,8,0,3,0
"18362",0,0,8,2,2,0
"18363",0,5,0,0,0,0
"18364",5,0,0,0,2,0
"18365",0,10,4,2,0,2
"18366",4,0,1,2,5,5
"18367",2,9,3,3,3,3
"18368",3,3,3,3,3,3
"18369",5,0,3,5,10,6
"18370",4,0,2,8,6,6
"18371",0,10,0,7,2,0
"18372",5,0,4,4,0,0
"18373",4,0,7,2,4,3
"18374",4,0,0,0,5,0
"18375",5,3,7,0,3,5
"18376",0,0,0,10,9,9
"18377",1,8,0,2,1,4
"18378",0,0,10,5,0,5
"18379",9,2,6,5,7,2
"18380",0,0,0,7,0,2
"18381",0,0,0,7,5,8
"18382",5,0,5,1,2,5
"18383",6,2,5,5,5,3
"18384",6,0,2,10,8,0
"18385",0,5,0,3,0,0
"18386",0,10,0,0,0,0
"18388",1,5,5,9,2,1
"18389",0,8,0,3,1,1
"18390",10,0,10,0,0,0
"18391",8,0,8,0,0,3
"18392",5,5,5,5,5,8
"18393",7,0,0,5,8,5
"18394",7,0,7,0,6,2
"18395",4,8,4,2,2,2
"18396",6,0,2,7,7,8
"18397",0,0,0,3,5,0
"18398",8,2,7,1,2,1
"18399",0,0,10,0,0,0
"18401",5,0,0,6,5,3
"18403",5,1,8,0,2,3
"18404",4,0,3,3,4,6
"18405",8,0,5,5,5,5
"18406",10,9,9,1,0,2
"18407",3,2,4,3,3,3
"18408",7,3,5,3,4,3
"18410",10,0,4,0,8,7
"18411",7,0,5,2,3,2
"18412",8,8,8,8,8,8
"18413",4,0,1,6,5,5
"18414",5,0,4,8,8,6
"18415",7,0,3,3,7,7
"18416",9,2,5,5,7,8
"18417",7,0,0,5,5,5
"18418",0,0,0,0,0,0
"18419",7,1,3,2,3,3
"18420",8,0,3,4,7,5
"18421",5,1,7,1,2,1
"18422",5,0,6,0,0,5
"18423",2,0,2,8,5,3
"18424",7,0,4,6,6,0
"18425",0,10,0,3,0,0
"18426",4,5,5,0,2,0
"18427",8,5,5,0,0,4
"18428",5,0,8,0,0,0
"18429",9,0,7,0,3,2
"18430",8,0,4,1,7,5
"18431",5,0,8,0,5,0
"18432",5,5,5,7,2,5
"18433",5,5,5,5,5,5
"18434",6,4,5,10,6,8
"18435",6,0,1,6,6,7
"18436",5,0,0,5,5,0
"18437",6,0,0,5,8,6
"18438",0,10,7,5,0,3
"18439",7,0,5,5,5,1
"18440",0,1,3,8,3,8
"18441",1,10,7,8,1,1
"18442",3,5,7,7,4,7
"18443",5,8,8,0,0,0
"18444",10,0,2,1,2,3
"18446",10,0,2,5,10,6
"18447",3,0,2,10,6,8
"18448",8,0,2,10,8,6
"18449",5,3,4,5,4,5
"18450",4,8,7,5,1,1
"18451",4,8,5,7,5,7
"18452",5,5,5,5,5,5
"18453",4,9,9,6,0,0
"18454",7,0,6,0,0,0
"18455",5,0,4,4,8,8
"18456",5,0,5,2,5,5
"18457",6,0,2,8,8,8
"18458",2,0,4,1,1,3
"18459",5,8,8,5,0,2
"18460",7,0,2,0,3,5
"18461",6,10,0,0,0,6
"18462",0,10,5,0,2,9
"18463",6,0,1,2,3,1
"18464",5,0,0,8,7,8
"18465",0,10,0,10,5,5
"18466",7,0,8,5,2,5
"18467",0,8,0,6,1,2
"18468",7,0,2,8,7,7
"18469",5,8,5,5,3,4
"18470",7,0,2,0,8,7
"18471",10,0,8,0,3,5
"18472",0,0,0,10,6,6
"18473",0,6,0,0,0,0
"18474",0,9,7,0,0,0
"18475",8,0,7,0,3,0
"18476",8,0,6,1,2,3
"18477",3,6,3,8,0,6
"18478",5,5,3,1,2,6
"18479",0,10,9,8,5,4
"18481",9,10,2,0,4,3
"18482",8,0,8,8,8,8
"18483",7,0,7,5,5,4
"18484",0,7,2,5,0,7
"18485",6,1,10,0,0,1
"18486",7,0,2,0,7,0
"18487",7,0,5,0,3,2
"18488",5,0,9,0,0,5
"18489",9,0,4,2,6,6
"18490",0,7,0,3,0,1
"18491",7,0,7,4,5,1
"18492",6,1,5,2,5,4
"18493",5,8,6,2,2,5
"18494",3,0,0,10,7,5
"18495",6,6,5,10,0,0
"18496",0,10,4,0,2,4
"18497",2,5,4,6,3,6
"18498",2,0,2,8,7,10
"18499",7,0,8,0,2,2
"18500",0,10,0,0,0,0
"18501",1,10,0,1,0,1
"18502",0,10,0,0,0,0
"18504",5,0,6,3,3,6
"18505",3,8,0,5,0,3
"18506",5,0,1,7,6,8
"18507",0,0,0,10,0,9
"18508",4,0,2,7,4,8
"18509",4,6,9,2,2,3
"18510",1,9,3,2,2,2
"18511",5,10,5,5,5,5
"18512",0,7,7,0,0,3
"18513",8,0,2,5,8,8
"18514",0,10,3,0,0,0
"18515",6,0,3,6,8,5
"18516",4,7,3,6,5,3
"18517",8,0,8,0,1,2
"18518",7,0,7,8,7,9
"18519",5,2,5,7,6,5
"18520",7,0,4,0,6,3
"18521",3,0,1,6,5,7
"18522",4,0,0,7,4,3
"18524",0,8,0,0,0,0
"18525",0,8,0,6,1,5
"18526",5,0,0,10,7,10
"18527",4,0,0,7,5,5
"18528",4,5,0,10,0,6
"18529",5,2,3,2,0,0
"18530",5,7,3,6,6,6
"18532",3,0,2,7,4,7
"18533",5,0,1,10,10,10
"18534",4,0,0,6,2,3
"18535",5,2,5,2,4,3
"18536",10,0,3,6,7,8
"18537",9,0,5,0,10,9
"18538",0,0,0,10,9,10
"18539",5,0,5,4,5,0
"18540",6,0,5,6,5,6
"18541",5,0,10,0,2,2
"18542",8,0,2,5,5,7
"18543",5,0,1,5,5,5
"18544",8,0,6,2,6,2
"18545",0,0,0,1,0,0
"18546",2,0,2,7,7,5
"18547",9,0,2,7,8,5
"18548",5,0,1,7,7,6
"18549",5,7,8,0,0,0
"18550",5,0,8,2,1,1
"18551",5,10,6,0,0,0
"18552",8,4,7,7,5,8
"18553",9,0,3,3,5,6
"18555",6,0,6,4,6,8
"18556",0,0,0,0,0,0
"18557",5,0,1,6,8,7
"18558",0,10,0,0,0,0
"18559",0,0,0,0,0,6
"18560",5,0,1,2,3,4
"18562",10,0,8,4,5,2
"18563",5,0,8,1,2,5
"18564",6,0,2,6,6,6
"18565",8,0,3,8,3,7
"18566",7,0,3,5,4,4
"18567",8,0,3,6,3,3
"18568",6,5,3,5,4,6
"18569",10,0,3,8,5,6
"18570",10,10,10,10,10,10
"18571",4,0,2,10,5,8
"18572",8,0,0,4,4,2
"18573",4,8,2,2,2,2
"18574",3,0,6,2,0,0
"18575",3,8,4,3,3,4
"18576",7,0,5,3,4,4
"18577",7,0,7,0,7,7
"18579",5,0,3,2,5,0
"18580",3,0,0,10,8,8
"18581",4,5,10,0,0,3
"18582",9,0,0,8,6,3
"18583",8,0,3,6,8,9
"18584",3,0,4,2,0,3
"18586",0,0,10,0,0,5
"18587",5,10,7,5,0,4
"18588",8,0,2,5,8,8
"18589",4,1,5,2,2,2
"18590",4,5,5,5,5,6
"18591",10,0,4,0,7,5
"18592",6,0,3,4,5,7
"18593",6,0,0,3,5,7
"18594",7,0,6,8,5,8
"18595",5,0,2,7,5,3
"18596",8,0,1,0,5,6
"18597",1,5,0,9,7,7
"18598",5,2,2,10,2,2
"18599",6,3,3,8,5,3
"18600",1,10,0,2,2,1
"18601",4,0,1,9,5,5
"18602",10,0,3,2,4,4
"18603",5,0,10,0,2,4
"18604",0,10,0,0,0,0
"18605",3,0,2,10,3,3
"18606",5,0,8,0,0,4
"18607",2,0,2,10,3,3
"18608",9,0,3,5,5,5
"18609",5,0,0,10,4,0
"18610",5,0,0,8,0,8
"18611",6,7,7,4,0,3
"18612",6,0,0,9,9,7
"18613",5,1,5,3,6,7
"18614",10,0,6,5,5,7
"18615",5,0,3,4,4,4
"18616",0,2,10,0,2,0
"18617",0,0,7,0,0,0
"18618",7,0,3,8,7,7
"18619",0,5,7,0,0,0
"18620",2,1,0,8,6,9
"18621",0,10,0,0,0,0
"18622",7,0,2,8,6,0
"18623",5,0,0,5,10,10
"18624",0,0,0,0,0,0
"18625",6,4,5,7,5,6
"18626",0,0,0,10,6,5
"18627",0,10,0,0,0,7
"18628",4,4,7,0,0,4
"18629",4,3,6,2,3,0
"18630",0,0,0,10,4,4
"18631",5,0,2,4,9,6
"18632",10,0,4,7,6,5
"18633",2,5,2,3,3,3
"18634",7,0,8,0,5,8
"18635",1,0,1,9,9,10
"18636",5,3,5,10,5,10
"18637",2,0,2,10,2,8
"18638",7,0,5,5,2,4
"18640",5,1,5,1,3,3
"18641",2,6,2,4,2,2
"18642",1,0,1,7,1,1
"18643",2,8,5,5,5,7
"18644",9,0,8,0,2,0
"18645",3,2,0,7,4,4
"18646",4,0,1,2,4,2
"18647",4,0,2,10,5,2
"18648",8,0,6,2,5,8
"18649",5,0,5,0,5,8
"18650",6,0,2,7,3,8
"18651",6,0,0,8,5,6
"18652",5,1,8,2,3,3
"18653",7,1,7,6,2,7
"18654",4,0,2,2,2,4
"18655",6,0,2,5,6,2
"18656",7,2,5,2,3,3
"18657",9,0,4,2,2,8
"18658",5,2,8,2,3,0
"18659",5,0,3,4,4,3
"18660",4,3,8,0,0,0
"18662",0,1,0,8,0,9
"18663",9,0,5,0,6,7
"18664",5,0,5,4,5,4
"18665",6,0,0,7,7,7
"18666",5,0,2,10,8,8
"18667",7,2,8,1,3,2
"18668",0,6,0,10,0,5
"18669",4,5,5,2,2,2
"18670",0,10,0,1,0,0
"18671",0,0,5,9,5,7
"18672",7,0,7,1,4,4
"18673",8,8,8,0,0,0
"18674",2,0,0,9,10,8
"18676",7,0,1,0,7,8
"18677",10,0,5,0,0,0
"18678",5,5,5,5,5,5
"18679",3,10,3,5,5,3
"18680",10,0,3,1,6,6
"18681",6,0,2,5,6,5
"18684",4,6,0,4,0,3
"18685",0,0,10,1,2,0
"18686",5,0,0,9,0,5
"18687",6,0,0,5,3,6
"18688",0,0,0,6,4,2
"18689",3,10,8,0,0,0
"18690",7,0,3,2,3,3
"18691",6,0,5,5,2,6
"18693",2,0,3,0,2,3
"18694",3,0,0,3,3,7
"18695",10,0,0,0,0,0
"18696",2,0,0,8,7,7
"18697",1,1,1,5,3,1
"18698",5,1,5,3,3,2
"18699",10,0,4,8,8,5
"18700",3,10,0,0,3,0
"18701",6,0,6,3,4,2
"18702",0,10,3,7,4,0
"18703",6,0,6,1,3,0
"18704",5,0,0,1,5,2
"18705",5,0,0,3,5,3
"18706",2,7,3,5,3,3
"18707",10,0,6,0,3,0
"18708",4,1,2,10,5,4
"18709",10,0,1,0,6,1
"18710",9,0,6,4,2,2
"18711",0,0,0,0,0,0
"18712",5,0,0,0,0,5
"18713",7,0,3,3,7,7
"18715",5,0,0,0,5,5
"18716",0,0,0,10,6,0
"18717",3,0,0,8,6,7
"18718",5,5,10,0,0,0
"18719",5,5,5,5,5,5
"18720",0,10,0,8,0,8
"18722",4,9,8,5,6,5
"18723",4,5,3,9,3,10
"18724",10,0,5,0,0,0
"18725",0,10,10,0,0,6
"18726",6,0,7,3,5,9
"18727",0,0,0,0,0,0
"18728",6,6,7,3,5,4
"18729",2,8,7,0,0,1
"18730",5,0,5,0,3,0
"18731",7,0,4,2,7,6
"18732",6,1,3,4,5,3
"18733",9,0,2,5,8,6
"18734",8,0,4,4,8,8
"18735",5,2,2,5,8,8
"18736",6,0,2,2,6,2
"18737",8,0,4,0,6,6
"18738",0,0,0,5,0,0
"18739",7,7,8,0,6,4
"18740",8,4,5,6,5,3
"18741",10,0,10,10,7,0
"18742",3,0,2,4,2,0
