"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"20798",0,5,2,0,0,4,0,3
"20799",0,0,0,0,0,0,0,0
"20800",0,5,1,2,2,3,2,4
"20801",0,0,0,0,0,0,0,0
"20802",5,4,6,3,4,5,7,4
"20803",1,0,0,0,1,0,0,0
"20804",4,2,0,4,5,3,0,0
"20805",0,0,0,0,1,0,0,0
"20806",9,7,0,8,10,7,4,8
"20807",6,3,0,2,1,7,3,8
"20808",2,3,0,3,2,4,0,7
"20809",6,0,0,2,4,0,3,5
"20810",6,3,0,4,5,4,3,3
"20811",9,3,0,3,3,4,7,8
"20812",5,5,0,0,0,5,0,5
"20813",5,5,0,5,5,5,5,5
"20814",7,3,0,2,2,2,4,0
"20815",0,5,0,2,3,2,0,2
"20816",8,2,0,1,0,1,8,2
"20817",3,3,0,3,3,6,3,6
"20818",0,7,0,5,2,4,4,5
"20819",0,5,1,0,5,0,0,0
"20820",2,3,0,5,0,3,0,1
"20822",10,0,0,5,0,1,8,0
"20823",10,0,0,0,1,0,8,2
"20824",7,5,0,5,4,5,3,4
"20825",5,0,0,0,5,0,0,5
"20826",5,4,0,1,6,9,1,6
"20827",5,5,0,10,0,10,0,10
"20828",5,7,0,2,7,4,0,4
"20829",0,5,0,8,5,6,0,0
"20830",5,4,0,2,4,4,2,2
"20831",0,10,7,5,5,7,1,7
"20832",0,5,0,0,3,5,0,2
"20833",0,5,5,5,3,6,2,5
"20834",5,2,0,1,5,0,3,0
"20835",1,10,5,2,0,8,0,5
"20836",5,5,0,10,3,6,5,7
"20837",0,0,0,0,0,0,0,0
"20838",5,7,0,1,1,0,2,0
"20840",6,3,1,0,0,0,4,2
"20841",0,7,0,5,1,3,0,0
"20842",0,10,0,2,0,2,0,3
"20843",3,7,4,3,2,1,1,1
"20844",0,5,0,5,0,5,0,8
"20845",5,4,2,3,3,5,1,7
"20846",2,8,8,4,5,2,4,5
"20847",10,0,0,3,2,0,0,0
"20848",0,0,0,2,10,1,0,0
"20849",0,5,0,0,0,4,0,3
"20850",3,2,0,2,2,2,2,1
"20851",6,7,0,6,5,6,6,4
"20852",5,0,0,0,10,0,0,0
"20854",0,0,0,0,0,0,0,0
"20855",5,9,8,4,0,3,4,6
"20857",10,0,0,0,0,5,4,0
"20859",3,0,0,0,0,0,0,0
"20860",1,2,0,1,5,1,0,0
"20861",3,3,0,3,9,3,3,3
"20862",5,5,0,7,4,4,4,0
"20863",0,6,0,5,4,4,0,3
"20865",0,5,0,10,2,6,0,6
"20866",0,5,0,5,0,5,0,5
"20867",7,3,0,0,0,0,2,0
"20868",6,4,0,0,1,0,0,0
"20869",5,5,5,5,5,5,5,5
"20870",0,5,0,10,7,6,0,7
"20871",5,8,5,5,0,7,0,6
"20872",10,0,0,0,3,0,3,0
"20873",0,10,0,0,0,0,0,0
"20874",4,6,4,0,4,4,4,4
"20875",3,2,0,2,2,3,3,3
"20876",5,6,0,3,3,3,3,3
"20877",0,10,0,3,0,2,0,1
"20878",0,0,0,0,0,0,0,0
"20879",0,0,0,0,0,0,0,0
"20880",8,1,0,2,6,0,1,5
"20881",7,0,0,5,1,6,3,2
"20882",0,0,0,0,0,0,0,0
