"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_I"
"21832",2,8,5,2,3,5
"21834",0,0,0,5,0,0
"21836",6,7,7,8,6,6
"21837",6,6,5,5,8,3
"21839",3,4,3,3,4,3
"21840",5,4,5,5,5,5
"21841",10,0,0,10,10,0
"21842",2,7,6,3,3,3
"21843",8,0,0,8,8,0
"21845",0,9,6,0,0,7
"21847",2,4,4,2,3,2
"21849",7,0,0,5,5,0
"21851",0,5,7,0,7,5
"21852",7,3,7,6,3,0
"21854",8,0,3,5,0,0
"21855",0,7,5,0,0,2
"21856",0,7,6,0,0,5
"21857",0,8,8,0,2,4
"21858",2,2,4,3,4,2
"21859",8,3,4,6,7,4
"21861",6,0,2,7,6,2
"21862",3,3,3,3,3,3
"21863",0,6,6,2,1,6
"21866",0,7,6,0,0,6
"21867",0,8,3,5,2,8
"21868",0,6,2,4,2,5
"21870",5,8,4,5,8,5
"21871",0,8,9,0,7,6
"21877",1,5,5,1,5,1
"21881",3,5,5,3,3,3
"21884",9,2,5,9,9,0
"21885",10,0,0,10,0,0
"21889",10,0,0,10,0,0
"21894",5,7,5,3,7,6
"21895",10,5,0,7,5,3
"21898",0,5,10,0,5,5
"21901",0,5,4,0,0,5
"21911",8,4,4,0,8,0
"21912",9,3,4,6,5,0
"21915",10,0,0,9,0,0
"21918",7,0,0,5,5,0
"21919",3,5,3,3,3,9
"21920",4,10,9,5,4,3
"21921",8,2,4,8,7,0
"21924",8,0,0,7,7,0
"21930",0,8,5,0,0,5
"21932",6,7,7,5,6,5
"21933",10,5,3,10,10,0
"21937",0,0,0,0,0,0
"21939",2,5,5,3,5,5
"21940",3,3,4,3,0,0
"21941",3,2,2,4,4,4
"21943",10,1,0,8,6,0
"21944",2,8,7,3,3,6
"21947",10,0,5,5,5,0
"21951",1,7,8,1,0,5
"21955",3,4,4,3,4,3
"21957",0,3,5,0,0,5
"21958",0,10,10,0,0,10
"21960",0,0,0,0,0,0
"21961",0,6,4,0,1,5
"21966",2,8,8,5,8,5
"21968",2,4,4,1,3,2
"21972",2,3,3,2,4,0
"21977",0,0,0,0,0,0
"21979",6,5,7,6,4,2
"21980",7,3,6,7,6,3
"21981",5,0,5,3,2,1
"21983",1,5,10,5,5,5
"21984",0,10,10,0,5,10
"21985",3,6,6,2,2,5
"21986",0,8,8,0,0,0
"21988",9,8,2,9,7,5
"21991",5,0,5,10,0,0
"21994",2,5,4,3,2,5
"21995",0,7,7,0,2,7
"21996",7,0,4,7,8,0
"21998",8,0,0,6,5,0
"22000",3,7,8,4,3,4
"22001",5,5,6,6,4,3
"22002",2,8,7,4,4,4
"22003",10,5,0,5,5,10
"22006",3,7,6,3,5,5
"22010",7,2,0,5,2,0
"22014",6,4,4,6,7,3
"22015",0,7,5,0,0,5
"22016",0,10,10,0,0,10
"22017",0,4,5,0,2,4
"22018",8,7,5,8,6,6
"22023",3,7,6,4,5,6
"22024",4,5,5,4,4,4
"22027",0,0,0,0,0,0
"22028",0,6,9,0,7,9
"22032",5,7,8,5,6,6
"22033",5,5,4,5,5,5
"22034",4,4,5,6,4,3
"22035",7,4,3,6,6,0
"22037",5,5,5,5,6,3
"22039",0,0,0,0,0,0
"22045",0,8,7,0,0,5
"22047",4,6,7,4,4,7
"22048",6,5,4,5,5,5
"22049",5,5,5,5,5,5
"22052",3,2,2,2,3,1
"22053",7,3,3,7,6,1
"22055",8,3,5,7,8,0
"22056",4,0,3,5,5,0
"22057",7,6,5,5,5,4
"22058",7,5,7,7,5,5
"22060",3,4,5,4,4,3
"22062",8,0,0,8,0,0
"22064",8,7,7,4,7,7
"22066",8,5,3,7,7,0
"22067",1,7,6,2,5,6
"22068",0,5,5,6,6,5
"22070",8,4,2,6,7,3
"22072",10,0,0,10,8,0
"22073",10,0,0,10,10,0
"22076",0,3,0,0,3,3
"22078",8,5,0,5,2,0
"22079",2,8,6,2,5,8
"22080",10,4,6,7,8,0
"22081",5,3,5,5,3,7
"22082",0,9,8,0,1,1
"22083",0,5,5,0,5,3
"22085",2,5,7,0,3,6
"22087",5,1,3,5,4,1
"22090",8,10,4,10,5,7
"22091",5,7,8,6,4,4
"22092",3,7,8,3,4,6
"22094",3,5,6,5,4,6
"22095",9,5,6,8,8,3
"22096",6,3,2,7,6,2
"22099",7,2,6,5,7,3
"22100",0,5,9,5,5,5
"22102",10,0,5,8,8,0
"22104",6,4,2,5,4,3
"22105",8,5,2,8,4,0
"22106",10,0,0,5,0,0
"22107",8,3,5,9,8,0
"22108",2,0,6,3,5,0
"22112",7,0,3,6,9,0
"22113",6,2,3,6,5,6
"22114",7,5,5,6,6,4
"22115",2,0,0,4,3,0
"22117",2,4,4,2,3,3
"22118",6,3,3,7,7,3
"22124",5,7,7,5,5,6
"22125",0,10,10,0,0,0
