"","cand_A","cand_B","cand_C","cand_D","cand_E"
"22784",8,6,3,1,2
"22785",3,0,0,0,0
"22786",0,0,0,7,1
"22787",2,6,3,3,5
"22788",2,6,2,3,1
"22789",9,3,4,2,5
"22790",10,0,0,3,0
"22791",7,0,0,5,5
"22792",1,10,1,3,0
"22793",7,10,0,0,0
"22794",0,0,0,0,0
"22795",0,0,0,0,0
"22796",0,0,4,0,7
"22797",10,0,1,4,1
"22798",0,5,4,0,7
"22799",0,7,6,0,6
"22800",2,8,1,4,2
"22801",0,0,5,5,10
"22802",7,1,0,2,0
"22803",0,5,10,0,10
"22805",0,2,1,1,2
"22806",0,3,2,3,8
"22807",3,3,3,5,3
"22810",9,4,3,2,0
"22811",0,0,10,3,10
"22812",0,7,2,2,2
"22813",5,9,5,5,7
"22814",7,0,0,0,0
"22815",0,10,10,5,10
"22816",0,0,0,0,0
"22817",8,2,2,1,1
"22818",5,3,3,5,2
"22819",10,1,0,0,0
"22820",5,5,3,5,5
"22821",6,7,6,7,3
"22822",2,8,0,2,1
"22823",0,3,3,0,4
"22824",1,8,0,2,2
"22825",8,5,2,4,3
"22826",9,0,1,2,1
"22827",10,10,10,0,0
"22828",7,0,0,5,5
"22829",8,6,6,4,4
"22830",0,0,0,0,0
"22831",5,3,0,5,3
"22832",3,3,4,3,3
"22833",8,6,6,4,4
"22835",6,0,0,0,0
"22836",7,0,7,7,7
"22837",5,10,0,0,0
"22838",0,0,0,0,0
"22839",0,10,0,1,2
"22840",1,1,7,5,10
"22841",5,5,5,5,5
"22842",2,4,4,4,2
"22843",2,4,4,4,2
"22844",0,0,0,0,0
"22845",1,3,9,5,8
"22846",1,4,6,3,6
"22847",6,2,0,3,0
"22849",10,5,0,0,0
"22850",0,0,5,0,10
"22851",7,0,0,0,0
"22852",10,0,0,0,0
"22853",2,0,2,7,2
"22854",9,4,1,1,2
"22855",0,9,3,0,3
"22856",6,2,10,4,6
"22857",6,4,1,1,1
"22858",8,5,2,2,2
"22860",6,2,0,0,0
"22861",10,0,0,0,0
"22862",0,0,0,0,0
"22863",10,0,0,0,0
"22864",1,4,6,3,6
"22866",5,8,1,3,1
"22867",0,0,0,0,0
"22868",0,0,3,0,6
"22869",2,5,4,7,3
"22870",8,2,0,3,0
"22871",0,2,2,1,1
"22872",1,6,3,5,5
"22874",1,4,5,6,5
"22875",0,3,5,6,5
"22876",0,2,0,5,0
"22877",5,3,0,3,0
"22878",4,6,3,3,3
"22879",0,0,0,0,0
"22880",1,1,3,0,4
"22881",5,5,5,5,5
"22882",3,4,5,0,3
"22883",8,7,2,5,6
"22884",10,5,0,0,0
"22885",10,4,3,0,0
"22886",0,10,0,2,1
"22887",9,2,0,1,0
"22888",6,2,0,0,0
"22889",10,0,0,0,0
"22890",0,0,0,0,0
"22891",5,0,5,5,5
"22892",8,0,0,0,0
"22893",3,2,5,4,4
"22894",3,7,4,6,6
"22895",7,4,4,5,2
"22896",10,0,0,0,0
"22897",5,0,0,0,0
"22898",10,0,0,0,0
"22899",10,1,1,2,1
"22900",7,0,0,2,0
"22902",10,0,5,0,0
"22903",9,3,3,0,0
"22904",2,0,2,2,2
"22905",4,4,6,3,5
"22906",1,0,0,0,7
"22907",9,1,3,4,3
"22908",0,0,0,0,0
"22909",10,0,5,0,0
"22910",10,0,0,0,0
"22911",6,5,2,3,2
"22912",8,6,3,2,1
"22913",0,10,0,0,0
"22914",1,8,2,0,1
"22915",6,4,2,1,2
"22916",1,0,2,3,2
"22917",0,0,0,0,0
"22918",0,10,3,0,5
