"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"23905",7,8,0,5,2,6,8
"23906",8,7,0,5,0,4,6
"23907",8,0,0,4,4,6,10
"23908",9,10,0,0,0,0,0
"23909",6,4,3,5,3,4,5
"23910",10,0,0,8,8,2,2
"23911",9,7,1,9,0,0,10
"23912",10,8,4,7,1,3,5
"23915",4,8,0,5,2,6,6
"23916",7,6,0,7,5,3,4
"23917",10,7,0,7,0,4,7
"23918",1,8,6,0,4,3,3
"23920",5,3,1,3,1,4,1
"23921",10,3,1,2,5,10,3
"23922",7,5,4,6,3,7,5
"23923",4,4,2,3,2,6,2
"23925",9,6,3,4,2,2,1
"23926",4,9,8,0,6,5,3
"23928",1,8,5,0,1,5,3
"23929",8,3,1,5,1,6,6
"23930",3,10,2,1,3,5,4
"23931",7,7,0,7,2,3,4
"23932",5,5,5,0,6,5,0
"23933",9,3,0,7,1,3,9
"23934",7,7,0,6,2,2,5
"23935",10,1,0,7,0,7,7
"23936",10,10,3,8,3,6,8
"23938",10,7,2,6,2,5,5
"23939",8,7,4,5,1,4,5
"23940",0,0,10,0,5,3,2
"23941",0,10,0,0,0,0,8
"23942",0,10,5,0,0,0,3
"23944",7,5,1,8,1,4,6
"23946",7,9,7,4,4,4,5
"23947",6,5,0,5,0,5,4
"23948",5,5,0,5,0,2,1
"23949",7,5,0,4,0,5,6
"23950",6,8,4,5,4,3,8
"23951",3,4,7,7,3,8,6
"23952",4,4,4,2,8,8,5
"23953",2,2,6,5,6,6,7
"23955",4,10,4,3,6,5,5
"23956",0,10,9,3,5,8,5
"23957",9,3,1,7,2,4,6
"23958",7,2,0,6,5,5,5
"23959",7,3,1,7,6,6,5
"23961",4,7,2,2,3,0,2
"23962",10,2,3,9,0,1,1
"23963",1,4,0,3,0,4,2
"23964",6,8,0,6,1,3,4
"23965",6,6,0,5,2,3,5
"23966",6,8,5,1,6,4,2
"23967",2,2,10,0,2,2,0
"23968",2,4,8,2,6,7,4
"23969",2,5,7,0,3,3,0
"23970",4,8,5,3,6,7,3
"23972",3,0,0,7,5,9,0
"23976",8,7,2,4,4,4,3
"23977",9,5,0,7,0,4,7
"23978",9,6,0,3,3,5,5
"23979",9,6,1,3,0,1,3
"23980",0,0,10,2,5,3,4
"23981",4,1,2,2,7,8,1
"23982",6,7,9,2,6,3,7
"23983",8,4,3,4,3,3,3
"23984",10,5,0,5,0,5,3
"23985",2,8,7,1,8,7,6
"23986",5,8,1,0,0,5,5
"23987",8,7,0,6,0,2,4
"23988",8,5,0,4,3,3,4
"23989",1,1,3,0,10,7,9
"23990",4,2,0,5,3,9,8
"23991",1,6,0,2,6,6,6
"23992",3,6,8,4,6,1,2
"23993",4,9,0,0,0,0,0
"23994",5,3,1,7,5,7,9
"23995",1,10,5,1,2,2,1
"23996",5,4,4,9,1,1,10
"23997",7,6,0,4,1,5,6
"23998",8,4,0,2,0,6,4
"23999",10,5,0,8,0,4,4
"24000",10,5,0,8,0,2,6
"24001",6,7,3,3,3,7,5
"24002",1,3,8,0,8,8,7
"24003",10,3,0,5,3,4,2
"24004",7,9,0,5,3,3,5
"24005",3,5,10,2,7,7,6
"24006",5,6,1,4,0,1,0
"24007",7,10,0,5,3,2,0
"24008",9,6,3,8,4,4,9
"24010",7,4,2,7,3,3,7
"24011",10,0,0,7,0,5,5
"24012",4,6,6,4,8,5,5
"24013",0,10,5,5,5,10,0
"24014",0,10,0,0,2,2,0
"24015",5,5,10,4,9,7,7
"24016",7,9,3,5,2,7,9
"24017",6,8,4,5,0,1,3
"24018",8,7,0,6,2,8,6
"24021",4,7,0,5,0,4,6
"24022",7,4,1,2,0,4,3
"24023",8,5,1,5,3,5,6
"24024",6,4,1,8,2,7,9
"24025",0,0,0,0,0,0,0
"24026",5,4,2,2,5,2,3
"24027",4,7,9,3,9,10,5
"24028",5,10,2,0,1,5,2
"24029",8,6,0,7,1,2,5
