"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"24901",4,6,2,0,1,4,4
"24902",2,7,9,0,3,4,0
"24903",8,7,0,8,7,5,0
"24904",8,6,0,4,6,4,0
"24905",2,8,7,3,6,6,5
"24906",8,3,5,1,5,2,4
"24907",0,7,7,0,3,7,7
"24908",10,8,0,6,9,5,0
"24909",4,5,0,4,6,5,3
"24910",6,7,6,2,4,6,8
"24911",2,7,8,0,6,9,6
"24912",2,10,6,0,7,10,7
"24913",0,4,7,1,2,4,4
"24917",6,3,0,5,5,5,5
"24918",2,9,8,1,5,8,5
"24920",0,9,9,0,0,6,7
"24921",0,6,7,0,2,4,2
"24922",2,7,2,1,3,5,6
"24923",0,10,10,0,5,8,0
"24925",1,3,7,1,4,1,1
"24926",6,5,5,2,8,6,3
"24929",3,3,5,1,4,5,1
"24930",8,7,0,5,6,7,2
"24931",10,5,0,6,6,6,3
"24932",5,0,0,6,7,7,10
"24933",7,5,4,2,5,5,4
"24934",1,5,8,2,3,6,5
"24935",4,7,7,2,6,8,5
"24936",6,9,3,1,7,6,2
"24937",5,10,0,7,5,9,3
"24938",1,10,8,0,5,8,9
"24939",4,9,3,3,5,7,8
"24940",9,2,0,8,8,5,3
"24941",10,5,7,3,7,7,5
"24942",4,7,6,2,5,5,4
"24943",2,9,5,0,7,8,2
"24944",9,0,1,6,6,3,1
"24945",1,7,6,1,0,2,4
"24946",7,0,0,10,6,0,0
"24947",5,1,0,1,1,1,1
"24948",5,4,2,5,4,4,3
"24950",10,6,0,4,3,6,0
"24951",3,8,6,3,7,5,8
"24952",9,4,0,6,6,6,3
"24953",6,8,4,2,7,10,0
"24954",8,8,1,7,5,5,5
"24955",3,8,7,3,5,8,6
"24957",9,4,2,6,5,6,5
"24958",4,10,8,3,5,7,8
"24959",1,7,8,1,6,7,5
"24960",2,10,8,0,1,8,5
"24961",5,5,3,5,2,4,4
"24962",7,10,10,3,0,4,5
"24963",4,6,3,3,6,6,3
"24964",8,6,2,3,6,7,3
"24965",9,4,0,8,5,7,5
"24966",7,7,6,7,5,6,7
"24967",5,6,1,5,5,5,4
"24969",4,8,7,0,5,8,7
"24970",4,8,6,2,3,6,7
"24971",5,7,5,2,7,8,6
"24972",6,7,2,5,4,6,4
"24973",8,4,0,5,0,5,0
"24976",6,3,2,6,8,5,3
"24977",8,4,0,6,3,4,3
"24978",1,6,9,1,5,6,9
"24979",2,6,6,2,6,6,7
"24980",6,4,2,8,5,4,2
"24981",7,4,4,6,4,4,4
"24982",0,9,8,0,7,8,6
"24983",0,9,8,0,4,8,6
"24984",8,5,2,4,6,5,2
"24985",2,7,6,2,5,6,6
"24986",6,8,6,4,6,6,5
"24987",5,10,9,4,5,7,8
"24990",6,5,4,4,6,4,2
"24991",1,6,1,8,3,6,6
"24993",5,8,8,2,4,6,5
"24994",6,5,0,4,10,5,0
"24995",8,5,0,8,0,3,0
"24996",4,5,0,3,4,6,4
"24997",0,8,7,0,0,1,2
"24999",8,7,3,3,5,7,4
"25000",10,0,0,9,3,1,2
"25001",8,3,0,5,8,4,2
"25002",7,8,0,2,4,5,4
"25003",10,6,3,8,5,5,2
"25004",0,3,3,0,1,3,1
"25005",5,9,4,2,6,6,8
"25006",5,4,7,2,2,7,4
"25007",2,8,8,7,5,8,5
"25008",4,6,4,1,6,5,1
"25009",5,5,5,2,6,8,3
"25010",3,5,8,3,1,3,5
"25011",1,7,5,2,0,5,5
"25013",6,4,5,4,5,5,0
"25014",0,3,5,0,2,2,1
"25015",8,4,0,6,2,4,4
"25016",5,7,7,3,7,9,4
"25017",5,4,3,4,4,8,4
"25018",9,7,0,7,5,6,4
"25019",8,7,4,6,8,7,4
"25020",8,4,2,6,3,5,2
"25021",0,10,10,0,5,7,0
"25022",2,5,5,0,7,5,4
"25023",10,5,0,8,4,5,5
"25026",2,4,5,4,3,3,2
"25027",8,6,5,5,6,6,4
"25028",7,6,2,6,6,6,4
