"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"26108",0,9,4,0,8,7,6,5
"26109",6,8,5,1,6,6,4,7
"26111",7,5,5,3,5,3,5,7
"26113",6,2,2,5,2,2,8,2
"26114",4,4,4,0,3,0,0,0
"26115",1,8,9,0,1,5,1,4
"26117",4,8,8,3,5,5,3,6
"26118",0,3,3,2,4,2,2,0
"26119",5,3,1,5,10,1,4,2
"26121",6,4,4,8,6,2,5,3
"26122",8,4,2,1,3,1,1,4
"26124",0,7,0,4,0,6,5,0
"26126",6,8,0,0,5,3,0,3
"26127",1,1,2,9,1,1,9,2
"26128",8,7,8,0,6,6,0,8
"26129",2,2,10,0,4,8,0,8
"26130",0,2,5,6,8,4,6,0
"26131",0,8,7,2,5,4,5,4
"26132",5,5,6,1,3,5,2,8
"26133",5,0,0,5,0,0,5,0
"26135",8,3,2,4,5,1,5,3
"26136",8,5,6,6,6,4,6,8
"26138",5,5,0,6,10,0,5,0
"26139",0,5,1,0,0,0,0,0
"26140",7,3,4,10,8,0,1,3
"26142",7,0,0,10,6,0,9,0
"26144",10,5,1,8,8,0,4,5
"26145",9,4,5,5,7,4,0,6
"26146",5,5,4,5,5,4,6,4
"26147",2,9,5,8,8,0,5,4
"26149",8,9,5,0,8,0,5,4
"26150",7,8,7,5,7,5,5,8
"26151",3,7,5,5,7,5,5,7
"26152",8,5,5,5,6,5,3,8
"26153",4,8,9,1,7,7,6,7
"26156",3,4,4,0,3,2,1,3
"26158",4,4,6,2,2,4,3,5
"26160",2,7,5,2,4,5,5,5
"26161",3,3,0,3,3,0,4,0
"26163",6,5,4,2,4,0,2,10
"26164",7,4,0,5,7,8,2,3
"26166",7,7,3,2,2,2,5,6
"26167",1,9,5,7,5,4,6,5
"26168",4,1,2,1,2,2,1,1
"26169",5,6,6,7,7,2,7,6
"26170",5,5,4,3,5,4,4,5
"26171",0,0,5,5,2,7,10,5
"26172",7,3,3,6,6,3,4,5
"26173",2,5,3,4,4,4,6,5
"26174",8,7,5,7,7,6,5,4
"26176",8,3,2,4,5,0,3,5
"26177",0,6,5,0,0,10,10,2
"26180",10,4,0,7,6,0,10,0
"26181",6,3,5,4,5,4,3,6
"26183",0,10,8,0,4,6,2,4
"26184",5,6,5,3,3,5,4,7
"26185",9,4,2,7,7,0,2,7
"26186",8,5,1,9,6,0,8,2
"26187",4,8,6,0,6,3,0,3
"26188",9,7,3,1,1,5,5,7
"26189",6,4,5,0,4,2,6,3
"26190",5,8,8,5,6,5,4,5
"26191",6,5,1,8,6,3,8,4
"26192",9,5,1,0,7,1,1,0
"26193",4,8,6,4,5,4,7,3
"26194",9,1,0,1,5,0,2,1
"26195",0,0,0,0,0,0,0,0
"26197",7,5,5,5,5,0,5,5
"26198",9,2,2,0,5,0,3,7
"26201",2,10,10,0,5,9,7,5
"26203",6,4,0,8,7,0,4,2
"26204",6,6,6,2,4,6,2,5
"26205",5,10,7,0,7,7,5,4
"26206",5,10,0,0,10,0,0,0
"26207",9,6,3,1,5,3,3,1
"26209",5,5,5,5,5,2,5,5
"26212",3,8,5,1,6,5,7,4
"26214",0,9,7,3,4,10,7,5
"26215",8,5,4,7,7,1,2,6
"26216",6,8,1,4,8,2,5,1
"26217",5,2,3,3,3,6,2,4
"26218",4,6,7,4,5,7,5,8
"26219",10,3,0,6,3,0,0,0
"26220",5,4,3,2,6,1,6,2
"26221",0,10,5,0,0,5,0,0
"26224",9,6,7,4,6,0,0,6
"26225",5,4,5,0,0,5,4,8
"26226",2,9,6,4,6,8,5,5
"26227",9,8,4,0,6,0,4,4
"26228",3,6,9,0,5,7,2,6
"26230",8,6,4,7,9,6,5,6
"26231",1,8,8,1,4,4,6,1
"26232",1,8,8,1,2,7,8,5
"26233",3,2,2,0,5,5,5,4
"26234",0,8,8,6,5,6,7,3
"26237",5,7,5,0,7,6,0,9
"26238",2,3,2,8,5,1,9,2
"26239",6,3,3,9,8,2,3,4
"26240",2,10,5,4,4,6,4,4
"26241",4,8,8,0,1,7,5,7
"26242",8,9,5,5,7,10,5,8
"26243",9,2,0,7,7,0,4,8
"26244",4,7,7,0,3,6,0,3
"26245",8,8,4,0,4,0,0,7
"26247",9,7,5,6,5,1,1,2
"26249",6,8,9,0,7,5,1,7
"26250",3,6,6,0,4,6,5,5
"26251",5,5,5,5,5,5,5,5
"26252",2,8,6,0,5,6,0,2
"26254",7,3,4,3,6,1,2,5
"26255",7,3,2,4,6,1,2,8
"26256",10,4,0,2,6,0,2,6
"26257",2,9,5,2,5,6,4,3
"26258",0,5,4,8,5,0,9,4
"26259",10,10,10,10,10,10,10,10
"26260",0,7,9,0,5,9,0,2
"26262",8,0,2,8,5,0,5,5
"26265",5,4,4,10,9,0,8,4
"26266",3,10,0,0,5,5,7,0
"26267",8,0,5,6,0,0,7,4
"26268",5,5,2,2,6,2,4,2
"26269",4,6,4,6,4,3,5,6
"26270",5,4,7,3,5,3,4,3
"26271",10,0,0,6,7,0,0,6
"26272",8,6,3,8,6,4,7,4
"26273",10,7,0,5,7,0,5,4
"26274",1,8,5,4,2,8,8,4
"26275",2,6,5,6,4,5,5,5
"26276",5,5,5,4,6,3,10,2
