"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"28066",10,4,0,9,9,1,1,9
"28067",10,5,0,7,3,0,0,2
"28068",5,7,3,3,3,5,3,3
"28069",0,5,2,0,1,4,1,1
"28070",1,1,4,0,0,8,4,1
"28071",10,0,0,10,5,0,0,5
"28072",8,0,0,3,3,0,0,5
"28073",5,4,1,5,5,2,1,5
"28074",10,5,0,2,2,0,0,8
"28075",7,3,0,7,7,3,2,8
"28077",5,5,0,5,5,5,5,5
"28078",3,0,3,3,3,1,0,4
"28079",5,5,0,0,0,5,3,2
"28080",10,6,0,8,6,0,0,6
"28081",10,0,0,4,0,3,3,3
"28082",7,5,0,9,7,0,8,10
"28083",0,5,3,3,3,7,5,5
"28085",10,0,0,8,9,0,0,10
"28086",7,5,1,8,8,1,0,6
"28087",6,6,2,1,1,4,0,6
"28088",7,6,8,9,9,2,5,7
"28089",6,8,0,4,2,7,7,5
"28090",3,5,5,4,6,6,4,4
"28091",10,0,0,2,4,2,6,8
"28093",7,5,0,3,3,0,3,6
"28094",5,0,0,0,0,0,4,3
"28095",8,5,1,5,4,5,3,3
"28096",7,10,0,0,0,7,5,4
"28097",2,4,9,5,5,5,8,7
"28098",6,5,1,0,1,7,5,5
"28099",8,6,1,3,3,8,4,4
"28100",7,4,1,2,2,2,1,2
"28102",6,7,2,4,4,7,3,5
"28103",3,5,5,3,3,7,5,5
"28104",0,5,5,0,0,7,0,0
"28105",10,4,7,7,8,0,0,5
"28106",4,5,0,1,1,0,0,0
"28107",10,0,0,0,0,0,2,8
"28108",3,3,3,1,1,2,2,2
"28109",7,6,0,3,2,0,0,10
"28110",6,0,0,8,8,3,0,5
"28111",4,8,1,4,5,7,5,3
"28112",4,3,6,2,2,1,1,0
"28113",5,1,1,1,1,1,1,1
"28114",3,3,4,4,5,1,6,5
"28115",10,0,0,4,6,0,0,7
"28117",6,8,5,1,0,2,3,5
"28118",6,4,0,6,7,4,1,8
"28119",6,4,0,2,2,1,6,6
"28120",4,5,0,0,0,2,3,5
"28121",0,4,0,0,0,6,6,2
"28122",4,4,0,0,0,0,0,5
"28123",6,7,0,2,2,5,6,7
"28125",2,5,6,1,1,8,2,0
"28127",4,8,2,2,2,4,5,5
"28129",7,0,0,2,1,3,3,8
"28130",8,5,0,0,0,0,5,3
"28132",10,0,0,10,6,0,0,4
"28133",4,8,4,0,0,6,7,5
"28134",8,4,0,8,8,4,0,7
"28136",8,10,5,0,0,6,3,5
"28137",7,7,0,0,0,3,6,3
"28138",4,6,4,0,0,8,6,3
"28139",2,5,7,2,0,4,4,2
"28140",10,0,0,7,5,0,0,8
"28141",9,6,5,4,4,2,3,6
"28142",4,6,2,0,0,0,1,7
"28143",8,5,3,1,1,6,4,6
"28145",1,8,4,3,3,6,7,0
"28146",0,9,2,0,0,10,3,1
"28147",8,7,1,4,4,2,3,5
"28148",6,0,0,5,5,3,0,3
"28149",4,8,4,3,2,6,6,5
"28150",6,6,0,0,0,0,4,3
"28151",6,2,2,3,3,1,5,7
"28152",0,5,5,3,0,7,5,0
"28153",3,5,5,5,5,6,3,4
"28154",6,8,3,3,2,1,1,0
"28155",8,8,1,4,2,2,1,2
"28156",3,8,2,2,0,2,4,2
"28158",9,5,3,1,1,2,4,3
"28159",0,8,8,1,0,9,8,5
"28160",0,0,0,0,0,5,5,5
"28162",0,3,3,2,2,9,3,0
"28163",8,4,2,10,10,4,0,7
"28164",5,0,0,9,10,0,0,5
"28166",0,5,2,1,0,5,2,0
"28167",3,6,4,3,2,4,3,3
"28169",0,2,6,0,0,6,6,3
"28170",0,5,6,6,4,3,4,1
"28171",0,3,4,3,2,3,0,2
"28172",2,4,2,2,1,6,5,3
"28173",8,0,0,8,8,0,0,10
"28174",10,5,0,9,8,2,1,4
"28175",8,4,0,8,6,0,0,5
"28176",1,6,2,2,2,7,5,3
"28177",6,0,1,10,10,2,0,5
"28178",5,2,0,8,7,4,1,8
"28179",5,5,0,0,0,5,0,0
"28180",7,8,8,7,6,7,8,6
"28181",0,8,0,0,0,8,5,5
"28182",6,8,5,2,2,7,6,5
"28183",5,5,0,0,0,3,0,3
"28184",7,8,4,2,1,5,6,5
"28185",6,5,0,2,1,0,0,4
