"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"29137",7,1,6,0,2,5
"29138",6,4,6,6,6,1
"29139",3,7,0,0,0,5
"29140",0,6,0,0,0,0
"29141",7,7,7,0,6,0
"29142",5,5,5,5,5,5
"29143",2,0,1,0,0,0
"29144",6,8,3,3,3,4
"29145",8,0,0,0,0,2
"29146",8,4,4,5,6,7
"29147",5,7,7,3,4,2
"29148",8,0,8,0,8,0
"29149",5,4,1,0,0,2
"29150",7,5,6,6,6,5
"29151",5,4,10,8,7,4
"29152",8,0,7,5,1,2
"29154",5,2,2,0,0,5
"29155",5,5,5,5,5,2
"29156",4,0,0,2,0,0
"29157",10,0,7,2,5,0
"29158",6,4,6,5,6,5
"29159",5,5,8,7,8,3
"29160",2,2,0,0,0,2
"29161",8,3,2,0,0,5
"29162",8,3,5,3,3,0
"29163",7,1,8,5,7,0
"29164",10,5,0,0,0,4
"29165",7,4,4,2,3,6
"29166",0,0,10,9,9,0
"29167",0,5,0,0,0,3
"29168",6,2,4,2,2,2
"29169",2,6,0,0,0,8
"29170",5,0,5,0,0,0
"29172",7,0,10,7,7,0
"29174",7,2,5,2,2,3
"29175",0,10,0,0,0,0
"29176",4,5,0,0,0,8
"29177",7,5,4,3,4,5
"29178",0,0,0,0,0,0
"29179",5,10,1,2,1,8
"29181",5,5,5,5,5,5
"29183",0,0,10,2,2,0
"29184",4,4,9,7,7,4
"29185",3,4,4,5,5,2
"29186",8,3,1,2,2,2
"29187",1,0,7,7,4,0
"29188",0,0,0,0,0,0
"29189",5,3,4,1,1,1
"29190",4,8,0,5,0,0
"29191",1,1,0,0,0,0
"29192",6,7,4,0,1,7
"29194",0,5,0,0,0,0
"29195",9,4,5,2,5,5
"29197",2,3,6,5,6,3
"29198",3,3,3,3,3,3
"29199",8,2,8,2,0,0
"29200",6,5,5,6,6,6
"29201",0,0,0,0,0,1
"29202",4,1,10,8,7,6
"29203",0,6,0,0,0,5
"29204",2,2,2,1,0,0
"29205",5,5,3,0,5,0
"29206",4,4,0,0,0,2
"29207",3,6,5,5,5,3
"29209",5,6,3,0,0,0
"29210",8,2,7,0,0,5
"29211",0,9,0,0,0,3
"29212",6,0,9,0,10,0
"29213",0,2,0,0,0,0
"29215",5,5,0,0,0,5
"29216",10,10,10,10,10,10
"29217",4,7,2,2,3,4
"29218",8,4,2,1,1,3
"29219",4,4,0,0,0,5
"29220",0,6,0,0,1,1
"29221",0,6,8,8,8,0
"29222",0,5,0,1,1,10
"29223",5,3,3,8,7,0
"29224",0,5,0,0,0,10
"29225",0,8,0,3,0,4
"29226",0,5,9,8,7,0
"29228",7,2,8,5,7,0
"29229",7,3,8,6,7,0
"29230",2,5,0,1,0,0
"29231",8,6,2,2,4,6
"29232",7,7,8,9,8,2
"29233",7,3,7,4,8,0
"29234",3,3,6,4,6,0
"29235",6,8,0,0,0,9
"29236",0,0,6,0,0,0
"29237",5,5,0,0,2,0
"29238",4,4,10,4,10,0
"29239",2,4,10,8,8,6
"29240",5,5,4,5,4,5
"29241",3,5,3,3,3,7
"29242",8,4,8,6,7,4
"29243",3,4,0,0,0,3
"29244",10,0,3,0,3,0
"29245",0,5,0,0,0,0
"29246",7,2,0,0,0,4
"29248",10,2,5,0,0,2
"29249",5,7,0,3,0,6
"29250",2,6,0,0,0,4
"29251",3,1,0,1,2,10
"29252",0,10,0,3,1,1
"29253",10,0,3,0,0,3
"29254",5,5,0,0,0,7
"29255",7,7,6,6,4,4
"29256",8,0,0,1,0,0
"29257",0,0,7,2,6,0
"29258",7,2,0,0,0,0
"29259",2,8,8,9,8,2
"29260",8,0,0,0,0,0
"29261",7,7,1,0,2,1
"29262",6,0,0,0,0,7
"29263",2,3,0,0,0,3
"29264",0,9,0,0,0,5
"29265",0,0,6,4,7,3
"29266",4,0,1,1,3,1
"29267",4,0,7,5,8,0
"29269",0,10,0,0,0,0
"29270",6,6,6,7,5,7
"29271",3,7,0,0,0,3
"29274",5,0,7,6,9,1
"29275",4,8,0,0,0,5
"29276",7,2,0,2,2,2
"29277",5,0,9,6,8,0
"29279",10,0,0,0,0,0
"29280",6,1,8,10,6,0
"29281",3,5,4,4,7,5
"29282",0,0,0,0,0,0
"29283",0,0,6,0,10,0
"29284",0,0,10,10,7,0
"29285",10,5,3,8,8,5
"29286",10,0,0,0,0,0
"29287",1,8,4,4,4,9
"29288",6,0,7,9,6,5
"29289",5,7,0,0,0,7
"29290",0,5,5,5,5,0
"29291",2,5,0,0,0,0
"29292",6,2,3,0,0,0
"29293",4,4,9,8,8,0
"29294",5,0,10,5,9,0
"29295",6,4,5,5,6,6
"29296",0,8,0,0,1,4
"29297",9,0,7,1,5,3
"29298",6,3,5,1,1,0
"29299",0,3,10,5,4,0
"29300",1,8,0,2,1,5
"29301",10,0,0,0,0,0
"29302",5,0,2,2,3,0
"29303",10,5,10,5,10,0
"29305",0,0,10,8,8,0
"29306",2,6,8,8,5,0
"29307",4,5,3,3,5,2
"29308",0,0,10,5,8,0
"29309",0,8,0,0,0,6
"29310",0,6,0,0,0,2
"29311",10,0,3,0,0,0
"29312",8,0,0,2,2,0
"29313",7,8,0,4,0,8
"29314",7,0,4,1,4,4
"29315",6,0,7,5,7,0
"29316",0,0,3,0,0,0
"29318",7,3,7,3,7,3
"29319",6,6,0,0,0,3
"29320",8,6,8,6,9,0
"29321",2,0,0,0,0,0
"29322",4,0,2,1,2,1
"29323",8,7,0,0,0,7
"29324",7,1,0,0,0,1
"29325",10,6,0,0,0,8
"29326",1,5,0,0,0,6
"29327",2,1,0,3,1,1
"29328",9,2,2,2,2,2
"29329",3,3,0,0,0,6
"29330",10,0,10,5,10,0
"29331",6,3,0,0,3,4
"29332",9,2,3,0,2,4
"29334",5,5,0,0,0,2
"29335",4,0,10,6,8,0
"29336",8,3,6,1,2,2
"29337",5,5,1,1,1,8
"29338",2,0,10,7,10,0
"29339",0,0,7,6,6,0
"29340",10,0,0,0,0,0
"29341",3,7,0,0,0,1
"29342",0,3,0,0,0,10
"29344",10,0,0,0,0,0
"29345",0,6,0,0,5,5
"29346",7,3,4,5,4,2
"29347",0,6,0,2,2,0
"29349",1,1,8,3,1,1
"29350",6,8,5,6,5,7
"29351",2,0,10,5,7,0
"29352",2,0,10,6,10,0
"29353",1,0,10,1,3,0
"29354",2,7,0,3,0,5
"29355",7,5,5,6,5,2
"29356",10,0,2,0,0,4
"29357",0,0,4,0,0,0
"29358",4,5,3,2,0,0
"29359",2,5,5,5,5,3
"29360",0,1,5,8,6,2
"29361",10,2,4,3,4,2
"29362",5,5,8,8,8,0
"29363",9,0,7,6,7,5
"29364",8,8,0,2,0,8
"29365",7,0,0,0,0,0
"29366",1,0,0,0,0,0
"29367",0,9,0,0,0,1
"29368",3,1,6,8,7,1
"29369",1,5,7,7,6,5
"29370",4,2,10,4,4,4
"29371",8,4,0,0,0,2
"29372",7,0,10,4,6,0
"29373",10,2,6,2,4,2
"29374",7,3,6,2,2,1
"29375",0,8,0,2,0,3
"29376",7,2,2,0,0,0
"29377",10,0,0,0,0,0
"29378",4,7,6,4,2,6
"29379",5,3,0,0,0,4
"29380",8,4,6,4,5,5
"29381",3,5,3,2,2,4
"29382",8,6,3,5,3,6
"29383",4,0,10,4,8,0
"29384",10,0,0,4,0,6
"29385",0,5,0,0,0,0
"29386",8,3,0,0,1,2
"29387",3,5,1,1,1,8
"29388",5,5,4,3,3,5
"29389",7,0,7,0,0,0
"29390",0,2,0,0,0,0
"29391",0,6,0,0,0,6
"29392",4,2,0,0,0,0
"29393",6,4,8,5,5,0
"29394",0,3,0,0,0,0
"29395",5,4,9,9,10,2
"29396",0,6,3,4,5,0
"29397",6,4,8,8,8,2
"29398",4,7,0,2,0,9
"29399",3,4,0,0,3,3
"29400",0,8,3,0,0,0
"29401",5,5,8,9,8,2
"29402",10,1,5,5,3,1
"29403",6,3,0,0,0,4
"29405",3,3,0,0,0,5
"29407",8,5,0,0,2,6
"29408",1,4,8,6,9,0
"29409",7,8,0,0,0,6
"29410",9,6,3,7,4,0
"29411",5,9,6,4,4,7
"29413",4,10,2,1,6,5
"29414",10,2,8,0,0,5
"29415",7,2,2,2,0,2
"29416",10,3,0,0,0,5
"29417",0,0,2,0,0,1
"29418",5,5,0,1,2,8
"29419",0,0,8,5,8,0
"29420",7,2,7,6,6,0
"29421",10,7,4,0,3,3
"29422",2,3,2,1,1,1
"29423",5,10,0,0,0,9
"29424",6,7,0,0,0,6
"29425",0,0,10,10,9,0
"29426",0,10,2,0,1,6
"29427",3,8,0,0,0,0
"29428",8,0,8,6,0,0
"29429",6,3,6,2,5,5
"29430",4,5,3,4,4,4
"29431",0,10,0,0,0,0
"29432",7,4,8,5,5,4
"29433",10,7,9,7,5,5
"29435",0,3,0,0,0,5
"29436",0,10,0,0,0,0
"29437",3,4,0,0,0,6
"29438",0,5,4,10,5,0
"29439",0,0,0,0,0,0
"29440",9,1,3,0,1,2
"29441",5,8,7,6,6,4
"29442",8,5,5,0,0,7
"29443",2,4,3,0,2,0
"29444",6,7,1,0,1,7
"29445",2,7,3,5,2,2
"29446",2,2,4,3,3,1
"29447",1,8,1,1,1,6
"29448",6,3,4,4,2,9
"29449",3,5,1,2,3,1
"29450",6,7,5,4,4,4
"29451",1,8,0,5,4,3
"29452",0,2,0,0,0,4
"29453",3,1,1,1,0,1
"29454",9,0,8,0,5,0
"29455",2,2,5,3,6,1
"29456",0,5,0,0,0,6
"29457",5,7,0,2,1,9
"29458",0,5,7,7,7,3
"29459",5,0,0,8,7,0
"29460",6,8,3,4,4,5
"29461",7,4,7,7,7,5
"29462",0,5,0,5,0,0
"29463",5,0,10,6,10,1
"29464",0,0,0,0,0,0
"29465",0,6,0,0,0,5
"29467",4,4,0,0,0,4
"29470",8,1,5,3,3,0
"29472",6,5,7,5,5,5
"29473",2,0,0,0,0,8
"29474",4,5,0,0,0,6
"29475",7,4,7,6,5,5
"29476",6,7,5,5,0,3
"29477",5,0,10,9,5,3
"29478",0,2,5,3,4,0
"29480",9,4,2,0,0,2
"29481",3,5,3,0,0,10
"29483",9,0,4,2,0,0
"29484",6,4,4,2,4,4
"29485",6,10,6,5,6,4
"29486",5,8,5,0,0,0
"29487",4,7,3,5,4,5
"29489",10,4,8,4,4,5
"29490",0,10,0,3,0,5
"29491",6,1,6,1,6,1
"29492",8,4,1,2,2,5
"29493",9,4,10,8,9,3
"29494",2,7,0,0,0,3
"29495",5,5,4,3,0,0
"29496",8,0,7,3,4,1
"29497",5,6,3,5,2,7
"29498",5,7,0,4,1,5
"29499",0,10,0,0,0,0
"29500",6,6,1,3,4,6
"29501",5,5,7,10,8,5
"29502",4,4,9,10,7,3
"29503",5,0,10,5,7,5
"29504",1,10,2,1,0,0
"29505",10,2,10,4,8,0
"29506",6,4,8,6,8,6
"29507",5,4,5,7,7,3
"29508",6,0,4,4,4,0
"29509",0,0,7,2,8,0
"29510",0,0,10,5,8,0
"29511",6,6,3,5,5,6
"29512",7,4,8,6,8,4
"29513",0,6,0,0,0,0
"29515",3,4,8,0,0,6
"29516",1,5,5,6,0,5
"29517",5,10,3,3,0,6
"29518",7,6,5,2,1,7
"29519",1,7,1,1,1,10
"29520",0,0,0,0,0,0
"29522",7,3,5,3,4,0
"29523",10,6,5,0,0,2
"29524",0,6,0,0,0,0
"29525",2,7,0,0,0,7
"29526",1,0,9,9,10,0
"29527",5,3,6,7,6,3
"29528",10,1,3,2,2,0
"29529",8,4,5,3,2,2
"29530",5,7,1,4,3,5
"29531",3,3,3,2,6,2
"29533",8,5,10,4,7,2
"29534",0,0,8,10,6,0
"29535",5,5,5,6,5,5
"29536",5,6,3,2,3,7
"29537",6,8,5,1,4,8
"29538",5,7,5,3,0,5
"29539",10,3,7,0,6,0
"29540",6,10,0,4,0,5
"29541",3,0,10,6,7,0
"29543",5,6,2,2,2,7
"29544",2,8,4,4,5,5
"29545",6,6,5,6,6,6
"29546",5,5,2,2,0,2
"29547",7,5,4,6,6,7
"29548",5,5,7,7,7,4
"29550",5,6,0,0,0,6
"29551",0,5,7,3,2,0
"29552",5,3,1,3,1,6
"29554",1,5,9,8,8,1
"29555",0,1,2,0,2,0
"29556",7,0,9,0,7,1
"29558",9,5,7,4,3,4
"29559",6,10,0,8,7,5
"29560",6,4,6,2,4,6
"29561",0,7,0,0,0,2
"29562",0,0,8,8,6,0
"29564",0,6,0,0,0,7
"29565",2,7,1,1,1,1
"29566",0,2,0,1,1,3
"29567",10,1,3,0,1,7
"29568",0,4,8,5,7,3
"29569",10,0,8,0,0,0
"29570",6,5,6,7,8,4
"29571",3,1,2,1,3,1
"29573",10,0,0,0,0,0
"29574",3,0,0,0,0,0
"29575",10,0,5,4,4,0
"29576",3,8,0,2,3,5
"29577",10,3,0,0,0,5
"29578",9,3,8,2,4,7
"29579",0,6,2,7,4,5
"29581",6,4,9,7,8,0
"29582",8,2,10,5,0,0
"29583",2,6,0,3,1,0
"29584",8,7,5,5,8,3
"29585",1,5,1,1,1,0
"29586",7,1,1,1,1,4
"29587",7,2,6,3,2,2
"29588",3,0,8,5,0,3
"29589",1,8,1,1,0,2
"29590",7,2,6,5,6,3
"29591",3,3,3,3,3,3
"29592",9,2,6,3,4,2
"29593",0,8,0,0,0,5
"29594",5,6,2,0,0,6
"29595",0,0,8,5,10,0
"29596",3,3,5,5,5,3
"29597",0,4,0,0,0,7
"29598",7,4,7,5,5,5
"29600",9,0,10,8,10,0
"29601",6,3,0,0,2,2
"29602",5,5,8,5,4,4
"29603",0,6,0,0,0,5
"29604",10,0,3,0,0,0
"29605",3,2,3,2,2,3
"29606",5,3,1,1,1,1
"29607",7,5,0,0,0,6
"29608",0,7,9,9,4,0
"29610",1,0,0,0,0,0
"29611",4,7,2,2,3,6
"29612",1,2,5,5,3,2
"29613",7,7,0,0,0,5
"29614",0,0,10,10,10,0
"29615",5,8,0,1,1,4
"29616",6,1,4,2,1,1
"29617",5,3,0,1,0,4
"29618",0,6,0,0,0,3
"29619",9,3,7,1,4,4
"29620",0,2,3,5,7,0
"29621",8,5,6,7,7,7
"29622",10,5,5,0,0,0
"29623",7,2,2,1,5,6
"29624",0,0,8,4,10,0
"29625",10,0,0,0,0,0
"29626",3,2,5,6,6,1
"29627",0,3,0,0,0,6
"29628",1,6,1,0,3,9
"29629",3,4,0,0,0,0
"29630",7,4,0,0,0,7
"29631",1,6,5,1,5,7
"29632",10,0,0,0,0,0
"29633",5,6,0,2,0,6
"29634",8,0,8,0,0,0
"29635",9,0,3,0,0,1
"29636",3,0,7,5,6,0
"29637",10,0,3,0,0,0
"29638",6,0,3,0,0,0
"29640",0,0,0,10,0,0
"29641",10,6,8,7,7,6
"29642",10,5,6,3,4,8
"29643",5,8,0,0,0,5
"29644",6,7,1,0,1,6
"29645",4,6,0,1,5,2
"29646",4,0,10,3,0,0
"29647",4,4,5,6,5,6
"29648",0,4,0,0,0,5
"29649",8,3,0,0,0,0
"29650",0,4,0,0,0,0
"29651",0,7,0,2,0,1
"29652",6,8,2,2,3,7
"29653",3,10,3,4,4,3
"29655",4,2,9,7,5,8
"29656",8,10,10,3,10,2
"29657",2,7,0,0,0,3
"29658",1,0,0,0,0,0
"29659",10,0,8,0,0,0
"29660",1,0,2,6,3,1
"29661",0,2,5,10,7,0
"29662",1,1,9,9,9,1
"29663",8,9,0,4,4,6
"29664",0,0,0,0,0,0
"29666",7,0,0,0,0,2
"29667",0,7,0,0,0,4
"29668",2,7,7,9,7,3
"29669",8,7,0,0,0,0
"29670",4,7,1,3,2,7
"29671",7,7,6,6,8,7
"29672",3,5,0,2,2,2
"29673",10,3,4,0,3,3
"29674",0,8,0,3,3,0
"29675",4,7,1,3,3,2
"29676",4,4,0,1,2,8
"29677",7,1,5,2,1,1
"29679",0,8,0,1,0,0
"29680",10,4,7,5,7,4
"29681",8,6,0,0,0,6
"29683",1,1,1,0,0,1
"29684",0,10,6,9,2,1
"29685",7,5,6,5,7,7
"29686",8,2,4,1,1,3
"29687",7,0,3,0,3,0
"29688",1,5,3,6,6,8
"29689",0,0,0,5,0,0
"29690",1,8,1,4,6,0
"29691",7,2,1,6,4,6
"29692",0,7,0,4,0,5
"29693",6,5,5,6,7,4
"29694",6,4,8,5,7,3
"29695",5,8,2,2,2,6
"29696",0,10,0,4,0,6
"29697",0,5,0,0,0,0
"29698",9,7,5,0,3,8
"29699",0,4,4,4,0,0
"29700",5,5,10,8,5,5
"29701",6,5,5,5,6,4
"29702",8,0,8,0,0,2
"29703",10,0,0,4,0,0
"29705",0,10,1,4,0,5
"29706",0,8,0,0,0,0
"29707",2,6,0,0,2,0
"29708",10,9,7,9,8,7
"29709",7,4,0,0,0,1
"29710",7,5,6,5,5,5
"29711",8,7,8,7,8,6
"29712",8,5,0,0,0,8
"29713",9,1,8,7,4,3
"29714",5,5,8,6,7,2
"29715",4,6,4,5,5,7
"29716",2,1,7,6,3,2
"29717",4,0,10,7,5,4
"29718",3,3,4,5,5,0
"29719",6,7,4,5,5,6
"29720",3,3,0,0,0,0
"29722",10,0,0,0,0,10
"29725",6,0,0,1,0,0
"29726",5,5,1,0,0,0
"29727",8,0,10,3,0,0
"29728",1,8,1,5,0,7
"29729",7,7,7,6,7,6
"29730",6,5,8,4,8,0
"29731",3,7,8,5,5,4
"29732",9,1,2,0,0,0
"29733",8,7,7,7,7,7
"29734",1,0,1,0,0,0
"29735",6,6,7,6,6,6
"29736",2,0,10,5,6,0
"29738",10,0,0,0,0,0
"29739",0,0,7,7,6,0
"29741",6,4,0,0,0,6
"29742",10,1,10,9,9,7
"29743",10,3,0,0,2,6
"29745",2,7,0,0,0,5
"29746",3,8,0,0,0,0
"29747",8,3,0,0,0,0
"29748",0,10,0,0,0,0
"29749",9,0,7,1,5,0
"29750",5,6,6,5,6,5
"29751",0,5,0,0,0,8
"29752",9,2,7,10,6,1
"29753",0,0,0,0,0,0
"29754",7,3,0,0,0,6
"29755",9,8,5,7,10,10
"29756",10,5,6,0,6,5
"29757",7,7,2,3,2,6
"29758",0,0,0,0,0,0
"29760",9,0,0,0,0,0
"29761",8,2,8,8,8,3
"29762",10,0,0,0,0,0
"29763",5,0,0,10,5,2
"29764",10,10,10,10,10,10
"29765",3,8,1,3,1,4
"29766",0,3,3,4,5,4
"29767",6,6,6,6,5,6
"29768",10,4,10,0,0,2
"29769",0,0,9,8,0,0
"29772",4,0,7,8,8,3
"29773",7,3,3,3,3,7
"29774",10,4,4,4,4,4
"29775",2,0,8,10,0,0
"29776",6,0,0,0,0,0
"29777",6,3,0,0,0,3
"29778",6,0,9,8,9,2
"29779",5,5,6,4,5,0
"29780",0,0,7,8,7,4
"29781",9,0,1,0,0,0
"29782",8,7,2,3,5,6
"29783",10,7,8,8,7,9
"29784",3,6,0,0,0,7
"29785",0,4,10,9,7,2
"29786",4,4,4,4,3,3
"29787",3,10,0,5,1,10
"29790",0,4,0,3,1,6
"29791",8,3,0,2,2,5
"29792",10,0,0,0,0,0
"29793",10,8,6,10,8,6
"29794",8,3,3,2,3,3
"29795",10,0,0,0,0,8
"29796",7,1,6,0,0,3
"29797",4,6,0,0,0,0
"29799",5,8,0,0,0,3
"29800",5,2,0,0,2,2
"29801",0,6,0,0,0,1
"29802",9,4,0,0,0,5
"29803",6,6,0,0,0,8
"29804",0,1,7,2,10,0
"29805",6,9,0,4,0,7
"29806",0,5,1,1,0,3
"29807",8,0,6,0,8,7
"29808",0,7,0,0,0,9
"29809",10,0,0,5,4,0
"29810",7,3,0,0,0,2
"29812",4,0,0,0,0,0
"29813",10,0,6,0,0,0
"29814",6,7,1,0,2,6
"29815",2,2,10,5,5,3
"29816",8,4,5,3,5,5
"29817",10,2,3,5,3,5
"29818",10,0,6,3,6,0
