"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"31021",6,5,2,10,2,3
"31022",8,5,5,5,4,5
"31023",8,1,5,6,2,4
"31024",6,3,3,0,0,6
"31025",8,5,0,0,0,0
"31026",6,6,2,4,3,5
"31027",4,6,2,1,5,2
"31029",5,8,5,5,3,2
"31030",5,5,5,5,5,5
"31031",5,2,2,2,1,2
"31032",7,5,5,3,0,6
"31034",5,8,2,4,7,3
"31035",6,4,2,2,1,5
"31036",7,0,3,1,1,4
"31037",8,8,3,3,3,8
"31038",5,4,4,2,2,4
"31039",5,5,8,3,3,9
"31040",9,1,8,7,0,8
"31041",10,0,0,0,0,0
"31042",3,4,4,4,5,3
"31043",5,5,5,5,5,5
"31044",6,3,4,4,3,5
"31045",5,5,5,5,5,5
"31046",6,6,8,6,6,6
"31047",5,4,5,5,5,4
"31048",1,3,4,1,0,2
"31049",10,0,0,0,0,0
"31050",7,0,0,4,0,5
"31051",6,3,3,3,1,4
"31052",3,7,4,5,2,3
"31053",5,5,5,5,3,5
"31054",6,3,4,7,0,3
"31056",7,1,2,6,0,3
"31057",0,7,3,1,3,2
"31058",2,4,0,0,0,1
"31059",5,6,5,5,2,3
"31060",5,8,3,2,2,6
"31061",7,0,2,0,0,7
"31062",5,3,2,2,1,2
"31063",5,1,2,4,3,0
"31064",7,8,1,5,5,4
"31065",0,7,1,1,10,1
"31066",5,6,6,1,1,4
"31068",1,6,6,2,6,6
"31069",4,2,2,0,3,2
"31070",9,4,7,7,0,9
"31071",5,0,0,0,0,0
"31073",8,5,5,6,2,6
"31074",3,8,0,0,6,0
"31075",4,6,1,6,6,0
"31076",7,5,0,2,5,7
"31077",5,5,5,5,5,5
"31078",4,5,5,5,4,5
"31079",8,0,0,0,0,8
"31080",5,7,1,0,6,1
"31081",8,6,3,5,0,7
"31082",5,5,5,5,5,5
"31083",0,8,5,5,7,5
"31084",6,5,3,4,2,3
"31085",6,4,5,1,4,1
"31086",5,5,3,2,4,5
"31087",8,1,1,3,0,1
"31088",4,5,6,2,1,5
"31089",4,5,4,7,6,3
"31090",5,7,6,3,3,6
"31091",8,2,0,7,0,5
"31092",8,1,0,3,0,2
"31093",3,5,4,5,6,4
"31094",3,5,2,2,4,4
"31095",5,5,2,3,3,2
"31096",5,0,0,8,0,0
"31097",5,5,5,1,1,5
"31098",0,7,2,0,6,0
"31099",9,1,3,5,0,2
"31100",7,5,5,5,5,5
"31101",5,5,5,5,5,5
"31102",7,5,5,4,4,5
"31103",4,7,5,3,3,6
"31104",8,5,5,5,5,5
"31105",5,5,5,5,5,5
"31106",5,0,0,1,1,1
"31107",4,3,4,3,3,2
"31108",5,5,2,5,5,4
"31109",5,3,4,3,5,4
"31110",5,6,5,5,6,5
"31111",5,5,5,4,5,3
"31112",2,3,4,0,6,2
"31113",5,8,2,1,1,1
"31115",5,5,5,2,0,5
"31116",0,5,3,0,3,3
"31117",9,0,3,0,0,1
"31118",1,1,1,1,1,1
"31119",5,5,5,5,5,5
"31120",8,4,6,0,4,4
"31121",9,5,6,4,2,5
"31122",7,3,5,3,5,6
"31123",5,7,3,3,3,5
"31124",8,4,3,5,1,4
