"","cand_A","cand_B","cand_C","cand_D"
"32689",4,5,6,5
"32690",3,5,7,6
"32691",4,5,7,3
"32692",5,6,7,5
"32693",5,5,5,4
"32694",5,5,5,5
"32695",4,4,7,6
"32696",7,4,5,4
"32697",4,6,6,4
"32698",4,7,6,6
"32699",4,8,7,5
"32700",2,3,8,6
"32701",7,3,3,1
"32702",6,4,4,4
"32703",3,3,3,1
"32704",6,5,4,4
"32705",2,9,3,3
"32706",1,8,5,5
"32707",4,6,5,5
"32708",2,4,4,4
"32709",2,2,2,2
"32710",4,6,4,4
"32711",6,5,5,5
"32712",2,8,6,5
"32713",1,9,6,5
"32714",9,1,2,2
"32715",10,1,2,2
"32716",2,9,2,5
"32717",3,5,8,5
"32718",4,4,4,4
"32719",3,5,8,5
"32720",2,3,8,6
"32721",3,4,8,6
"32722",3,7,5,5
"32723",9,2,4,1
"32724",3,8,7,8
"32725",5,6,8,4
"32726",7,5,5,3
"32727",8,3,4,3
"32728",8,2,3,4
"32729",9,1,4,2
"32730",6,3,5,2
"32731",10,0,4,5
"32732",6,4,5,2
"32733",10,0,3,0
"32734",3,5,6,4
"32735",4,8,7,5
"32736",4,6,6,4
"32737",4,7,6,4
"32738",5,7,6,5
"32739",4,5,5,5
"32740",3,7,6,4
"32741",3,6,6,5
"32742",4,6,5,4
"32743",3,6,5,4
"32744",8,5,5,4
"32745",4,6,5,4
"32746",5,4,5,4
"32747",8,4,5,5
"32748",8,3,4,1
"32749",8,4,5,2
"32750",2,8,6,5
"32751",7,4,5,5
"32752",2,8,7,7
"32753",2,7,7,7
"32754",2,7,7,6
"32755",2,8,7,7
"32756",7,5,5,5
"32757",3,7,8,7
"32758",2,7,5,6
"32759",8,5,6,4
"32760",4,8,8,7
"32761",8,3,3,2
"32762",2,7,6,6
"32763",4,8,7,7
"32764",4,9,6,6
"32765",3,7,8,5
"32766",3,8,5,6
"32767",5,8,6,3
"32768",5,5,7,3
"32769",2,8,5,1
"32770",7,3,4,2
"32771",7,3,6,1
"32772",6,7,7,1
"32773",2,2,2,0
"32774",5,5,5,1
"32775",7,4,4,3
"32776",6,2,7,1
"32777",3,5,5,0
"32778",9,3,4,1
"32779",4,5,7,4
"32780",5,5,7,5
"32781",4,4,5,5
"32782",4,4,5,4
"32783",5,7,7,3
"32784",6,5,5,5
"32785",6,5,4,4
"32786",7,5,4,5
"32787",7,5,5,5
"32788",3,5,3,3
"32789",6,5,6,5
"32790",8,5,5,4
"32791",5,6,6,4
"32792",7,5,4,4
"32793",7,5,4,4
"32797",5,4,4,2
"32798",6,6,5,5
"32799",8,6,1,4
"32800",7,6,5,5
"32801",2,2,6,3
"32802",8,6,6,6
"32803",3,2,6,5
"32804",6,5,1,5
"32805",8,5,2,6
"32806",6,7,5,5
"32807",6,8,5,5
"32808",5,7,5,4
"32809",3,5,8,7
"32810",8,5,6,4
"32811",4,6,6,5
"32812",4,5,6,7
"32813",6,5,8,6
"32814",6,6,8,6
"32815",5,6,7,7
"32816",6,7,6,5
"32817",7,4,6,5
"32818",5,6,7,5
"32819",7,5,6,4
"32820",8,6,6,4
"32821",5,7,9,8
"32822",7,6,6,6
"32823",6,5,5,4
"32824",8,6,6,3
"32825",5,7,8,6
"32826",6,7,5,5
"32827",4,9,7,5
"32828",4,6,8,7
"32829",4,8,8,8
"32830",7,3,3,2
"32831",3,7,8,6
"32832",7,3,3,3
"32833",8,3,5,2
"32834",5,9,7,5
"32835",8,6,4,4
"32836",7,5,3,4
"32837",8,7,4,4
"32838",8,6,2,1
"32839",4,8,6,5
"32840",4,5,5,4
"32841",8,5,6,6
"32842",4,5,4,4
"32843",3,8,6,6
"32844",8,4,5,4
"32845",3,8,6,5
"32847",6,5,4,3
"32854",6,8,5,5
"32855",4,5,8,5
"32856",6,9,5,4
"32857",6,9,7,7
"32858",9,7,6,6
"32859",6,8,5,5
"32860",5,8,6,6
"32861",5,7,6,6
"32862",4,7,3,4
"32863",5,6,6,6
"32864",6,9,7,6
"32865",9,7,7,7
"32866",5,8,7,7
"32867",8,6,5,6
"32868",8,5,4,5
"32869",3,3,3,3
"32870",3,4,8,7
"32871",5,5,6,3
"32872",5,8,3,3
"32873",5,5,5,5
"32874",6,8,5,4
"32875",6,6,8,3
"32876",8,5,3,3
"32877",6,7,7,2
"32878",9,1,4,2
"32879",5,7,7,5
"32880",10,0,3,0
