"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"33895",4,7,6,5,9,3,5,2
"33903",10,1,3,7,2,2,2,2
"33905",3,7,6,3,3,3,3,3
"33906",5,4,7,8,10,10,10,10
"33907",6,5,4,6,9,8,9,10
"33908",1,5,2,4,0,0,5,4
"33910",6,5,4,3,2,1,0,0
"33911",2,7,8,5,8,7,7,6
"33912",2,5,6,4,7,5,5,4
"33913",4,8,6,6,7,5,6,3
"33914",5,5,5,5,9,5,5,5
"33915",3,8,8,6,8,6,5,5
"33916",3,7,9,7,7,6,6,4
"33917",4,9,8,8,7,7,6,5
"33918",8,8,8,5,9,4,5,4
"33919",5,8,7,8,8,6,6,7
"33920",3,9,7,7,9,6,5,4
"33921",5,7,7,6,8,6,6,5
"33922",5,5,5,5,5,4,3,2
"33923",3,8,6,6,2,2,2,2
"33924",5,6,7,6,5,4,3,2
"33925",4,5,5,6,7,8,9,10
"33926",5,5,6,6,4,3,2,1
"33928",4,7,7,6,5,5,4,5
"33929",3,6,5,5,4,3,2,4
"33930",4,6,5,6,5,4,4,4
"33931",6,7,4,6,5,4,3,3
"33932",4,9,8,5,6,3,5,6
"33933",2,9,7,2,5,3,4,4
"33934",9,8,6,4,4,2,4,4
"33935",4,10,7,5,4,2,3,3
"33936",7,8,8,7,6,8,7,3
"33937",9,8,5,6,7,5,5,5
"33939",1,5,10,4,4,2,4,2
"33940",6,5,5,4,4,3,4,3
"33941",6,10,3,4,6,5,3,2
"33944",3,7,9,6,4,4,6,5
"33946",1,8,7,4,1,10,0,0
"33947",2,6,5,5,2,6,1,1
"33948",0,6,6,4,1,6,1,1
"33949",2,6,5,5,2,6,2,2
"33950",1,7,9,6,1,9,1,1
"33951",1,7,6,4,2,9,1,1
"33953",1,7,6,3,2,10,1,2
"33954",2,5,6,5,2,8,2,1
"33955",9,7,3,5,7,0,3,3
"33956",8,2,5,3,4,3,2,5
"33957",0,0,0,0,0,0,0,0
"33958",9,2,1,7,5,0,0,0
"33959",0,6,0,0,0,0,0,0
"33960",10,6,3,3,3,3,3,3
"33961",4,1,7,4,0,0,2,0
"33962",0,9,4,6,5,7,6,5
"33964",0,0,6,5,0,0,0,0
"33965",0,10,0,2,7,2,1,1
"33968",0,7,4,4,0,0,0,0
"33969",8,8,8,7,0,0,0,0
"33970",0,8,8,5,9,7,3,3
"33978",3,5,4,3,3,3,4,5
"33981",2,9,8,7,2,9,1,1
"33983",2,6,5,5,2,6,2,1
"33984",1,8,7,5,1,9,1,1
"33986",2,9,8,7,2,9,1,1
"33992",4,8,6,5,5,3,4,1
"33994",6,7,6,6,6,6,6,6
"33995",3,6,6,6,6,4,4,3
"33997",2,6,6,5,4,3,3,1
"33998",8,3,3,6,4,4,3,1
"34000",3,7,5,4,4,3,4,3
"34001",3,8,6,4,4,2,4,4
"34002",5,8,7,3,4,1,6,3
"34004",0,8,5,3,2,0,8,7
"34005",5,8,6,5,3,0,6,6
"34008",1,7,5,4,1,0,4,2
"34009",5,5,5,5,5,5,5,5
"34010",5,7,6,5,3,2,4,3
"34012",2,9,6,3,10,3,3,2
"34013",0,0,0,0,0,0,0,0
"34014",5,7,5,2,7,2,2,1
"34015",4,8,4,4,6,4,1,1
"34016",5,9,3,2,5,1,2,1
"34017",5,6,5,3,5,1,2,1
"34018",3,7,4,5,7,5,6,3
"34019",3,6,3,2,4,4,1,1
"34020",4,7,9,2,3,1,1,0
"34021",6,10,4,4,6,4,4,0
"34022",4,10,4,3,7,2,6,0
"34023",4,7,6,6,7,3,2,2
"34024",7,9,7,5,9,7,6,6
"34025",5,6,6,5,7,5,5,6
"34026",6,5,4,6,5,4,5,5
"34027",5,6,6,5,6,5,5,5
"34028",4,6,5,5,6,5,5,5
"34029",3,6,6,4,5,5,5,5
"34030",4,7,4,4,7,4,5,5
"34031",5,6,4,4,6,5,5,5
"34032",6,5,4,5,5,4,5,5
"34036",8,8,7,6,6,4,3,2
"34037",9,5,7,5,4,4,3,2
"34038",7,9,4,4,3,6,8,5
"34039",7,5,5,3,9,6,3,6
"34040",2,2,2,2,2,2,2,2
"34042",9,6,3,5,4,4,1,1
"34043",8,5,4,2,5,6,3,1
"34045",10,3,5,1,1,0,0,0
"34046",9,10,8,6,6,4,3,4
"34051",4,4,4,4,4,5,4,4
"34052",0,5,3,0,0,0,0,0
"34058",4,7,6,5,8,5,5,5
"34059",5,7,5,5,6,5,6,5
"34060",4,6,6,5,6,5,6,6
"34063",2,2,2,2,2,6,4,4
"34064",2,3,2,3,2,7,5,5
"34065",1,1,1,1,2,7,6,4
"34066",3,4,3,3,3,8,7,5
"34067",3,3,2,2,3,9,7,6
"34068",2,3,2,2,2,2,2,2
"34069",1,2,1,1,1,1,1,1
"34070",2,3,2,2,2,6,4,3
"34071",2,3,2,2,3,8,7,7
"34072",2,2,2,2,2,2,2,2
"34073",3,7,10,7,5,2,7,9
"34075",10,5,0,4,6,7,3,0
"34076",6,5,6,5,5,5,5,5
"34077",2,9,6,5,8,2,10,9
"34078",1,7,2,3,10,1,10,10
"34080",5,5,5,6,5,5,5,5
"34081",0,8,6,1,2,3,5,4
"34082",7,3,1,5,2,2,1,0
"34083",0,3,6,1,3,0,2,1
"34084",1,2,1,1,0,0,2,0
"34085",2,4,1,2,2,1,0,0
"34086",0,1,1,1,0,1,0,0
"34087",6,3,1,5,2,1,0,0
"34089",1,4,5,2,1,1,6,4
"34091",0,5,4,2,2,1,1,1
"34094",7,4,1,3,1,0,1,0
"34096",2,0,2,2,2,4,10,8
"34097",0,1,1,0,0,0,1,0
"34098",6,4,1,3,2,1,1,1
"34102",0,10,0,0,10,0,5,0
"34103",1,9,10,6,7,2,6,9
"34104",0,10,3,5,10,3,0,0
"34105",1,10,2,0,0,1,1,0
"34106",5,9,5,3,8,2,2,2
"34108",4,5,3,5,6,1,2,2
"34109",2,9,5,3,1,5,3,0
"34110",0,5,2,3,1,0,0,0
"34111",0,5,3,2,3,0,0,0
"34112",1,8,8,1,1,1,1,5
"34113",10,5,0,5,0,0,0,0
"34114",5,9,7,3,4,0,2,2
"34115",1,5,10,1,1,1,1,1
"34116",1,1,1,1,1,1,1,8
"34117",5,5,10,2,4,4,4,0
"34118",10,5,0,0,0,0,0,0
"34119",6,5,4,4,4,10,7,3
"34120",0,5,5,5,5,0,5,5
"34121",6,8,8,6,5,7,8,4
"34122",9,8,4,7,9,5,6,3
"34123",10,7,8,6,7,9,5,4
"34124",6,9,7,6,1,0,1,1
"34125",7,7,3,5,2,0,2,1
"34126",4,6,8,5,1,0,0,0
"34127",8,8,5,5,0,0,1,1
"34128",7,8,5,5,0,0,0,3
"34129",6,7,9,7,2,0,2,1
"34130",5,7,8,6,5,0,1,1
"34132",0,6,8,8,9,0,0,0
"34133",6,7,9,7,5,0,0,0
"34135",4,6,5,4,4,4,5,5
"34140",6,10,4,6,5,5,4,4
"34142",4,7,3,5,5,1,1,1
"34143",7,7,3,5,5,0,0,0
"34144",1,1,1,0,1,1,1,1
"34145",10,6,1,1,1,0,0,0
"34146",2,4,4,9,4,0,0,0
"34147",0,3,4,0,0,0,2,2
"34148",1,5,5,1,1,1,6,9
"34149",2,3,3,9,3,0,1,0
"34150",10,6,1,1,1,1,1,1
"34151",0,2,6,2,2,0,6,9
"34152",6,10,0,0,0,0,0,0
"34153",0,0,6,0,0,0,9,6
"34154",0,0,9,0,0,0,5,5
"34155",1,3,3,1,1,1,2,2
"34156",0,0,0,0,0,0,0,0
"34157",6,10,0,0,0,0,0,0
"34158",0,4,5,0,0,0,6,9
"34161",3,5,5,5,1,1,2,1
"34162",2,8,2,5,0,0,2,2
"34163",4,4,4,7,0,0,0,0
"34164",0,7,0,2,0,0,2,3
"34166",0,9,0,4,0,0,0,0
"34169",8,1,0,1,0,0,0,0
"34170",10,0,0,0,0,0,0,0
"34171",1,8,0,4,2,0,0,0
"34172",5,5,3,7,7,6,5,4
"34173",5,6,4,3,3,4,5,6
"34174",3,3,2,0,1,5,5,5
"34175",4,5,5,5,5,4,4,5
"34176",3,3,3,1,1,1,1,0
"34177",2,10,6,5,9,3,7,4
"34178",1,8,7,5,7,9,8,9
"34179",2,8,8,4,7,6,8,10
"34180",3,6,8,4,8,3,8,6
"34181",4,8,8,4,10,4,8,5
"34182",2,8,6,4,9,8,10,3
"34183",0,3,3,5,8,0,5,3
"34184",4,8,8,4,10,4,8,5
"34185",3,6,8,4,8,3,8,6
"34186",2,8,8,4,7,6,9,10
"34187",2,9,7,5,8,3,8,7
"34188",1,7,7,5,7,4,6,10
"34189",4,9,6,5,9,3,6,4
"34190",3,9,6,5,8,3,7,4
"34191",4,8,9,5,8,5,7,3
"34192",0,8,8,4,6,4,6,10
