"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"35278",2,5,6,7,5,5,5
"35280",10,0,0,3,2,3,4
"35282",1,1,1,1,1,1,1
"35283",10,0,0,7,0,9,3
"35284",8,0,2,6,3,5,1
"35285",10,0,0,5,0,8,3
"35288",0,0,0,0,0,0,0
"35289",8,0,0,0,0,5,2
"35291",0,0,0,0,0,0,0
"35292",5,3,6,1,1,1,7
"35293",0,10,6,5,0,0,0
"35294",0,10,10,10,10,0,0
"35296",0,10,5,7,3,0,0
"35299",1,10,10,10,3,1,2
"35300",10,0,3,5,6,8,7
"35302",0,0,0,0,0,0,0
"35303",0,0,0,0,0,0,0
"35304",0,0,0,0,0,0,0
"35305",0,9,4,7,0,0,0
"35306",3,5,7,8,5,5,1
"35307",3,7,3,7,2,2,2
"35308",5,2,4,10,2,2,2
"35309",2,4,4,5,2,2,1
"35310",9,1,1,1,1,7,3
"35311",0,10,0,6,0,0,0
"35312",3,3,3,10,3,3,2
"35313",0,0,0,10,0,0,0
"35314",5,6,4,6,2,1,2
"35315",5,7,7,9,3,3,3
"35316",4,6,6,9,4,4,4
"35319",0,0,0,5,0,0,0
"35320",0,7,0,6,0,0,0
"35322",10,0,0,0,0,10,0
"35323",10,0,0,0,0,0,0
"35324",10,0,0,0,0,0,0
"35325",0,10,10,8,3,0,0
"35326",7,1,1,1,3,4,2
"35327",0,10,7,4,2,0,0
"35328",0,8,8,7,0,0,0
"35329",10,9,2,1,7,8,1
"35330",0,10,8,6,7,5,2
"35331",0,1,3,4,7,5,0
"35332",0,0,0,0,0,0,0
"35333",8,0,0,0,0,5,0
"35334",10,0,0,0,3,4,0
"35335",1,1,4,7,5,0,0
"35336",3,2,3,10,10,0,0
"35337",3,2,1,1,0,2,0
"35338",10,4,3,7,1,1,0
"35339",9,3,0,0,0,0,0
"35340",10,0,0,0,0,0,0
"35341",7,10,9,4,2,7,0
"35342",0,5,5,5,0,0,0
"35343",8,5,3,10,6,7,8
"35344",0,5,10,6,3,1,1
"35345",5,6,6,7,5,2,2
"35346",5,2,2,1,1,1,1
"35347",0,0,0,7,1,0,0
"35348",8,0,0,0,4,2,0
"35361",9,1,1,3,3,3,3
"35363",7,2,2,5,6,5,9
"35365",1,1,1,7,1,1,1
"35367",0,6,6,4,4,3,4
"35368",10,0,0,0,2,2,2
"35369",8,7,3,6,3,5,2
"35370",9,3,3,4,4,3,3
"35371",9,3,3,3,2,2,4
"35372",5,3,3,5,5,4,10
"35373",5,1,4,4,4,3,9
"35374",9,3,2,3,3,4,5
"35375",10,1,3,6,4,5,1
"35376",9,3,4,4,4,4,3
"35377",10,0,2,1,1,1,4
"35378",5,3,3,3,4,4,8
"35379",2,1,3,4,4,4,9
"35380",7,3,4,4,5,5,10
"35381",6,3,3,4,4,3,10
"35382",9,0,1,4,3,3,6
"35383",5,2,3,4,4,0,8
"35384",5,2,3,4,3,3,9
"35385",0,0,8,10,9,0,3
"35386",10,0,0,0,3,9,6
"35387",0,6,10,10,4,0,2
"35388",4,0,0,8,10,3,5
"35389",10,0,2,4,4,7,8
"35390",0,10,9,8,2,0,0
"35391",4,1,6,8,9,0,2
"35392",5,0,5,8,10,0,2
"35393",0,10,6,7,2,0,2
"35394",8,0,5,5,6,7,10
"35395",10,0,3,6,6,6,6
"35396",1,9,5,10,7,0,3
"35397",0,9,9,7,0,0,0
"35398",10,0,0,6,6,8,6
"35399",10,0,0,5,5,10,5
"35400",5,0,2,7,10,6,10
"35401",5,0,5,7,6,5,2
"35402",0,10,9,5,1,0,0
"35403",10,0,5,6,5,9,5
"35404",10,0,0,3,5,8,8
"35405",0,3,9,10,6,0,0
"35406",0,5,10,9,4,0,0
"35407",0,10,9,3,0,0,0
"35408",10,0,0,0,0,8,8
"35409",0,10,5,6,1,0,0
"35410",1,9,3,10,5,2,2
"35411",0,8,6,8,0,0,0
"35412",0,4,7,7,0,0,0
"35413",0,6,2,6,6,0,0
"35414",4,7,6,8,0,0,0
"35415",0,6,5,8,4,0,0
"35416",3,7,6,7,4,0,0
"35417",10,0,2,2,1,5,4
"35418",0,0,10,6,5,0,0
"35419",10,0,0,0,0,4,3
"35420",10,0,0,0,0,4,3
"35421",0,10,0,4,2,0,0
"35422",0,0,0,0,0,0,0
"35423",10,0,1,0,1,5,4
"35424",0,10,0,4,3,0,0
"35425",10,0,0,0,0,5,3
"35426",0,0,0,10,2,0,0
"35427",10,0,0,0,0,4,3
"35428",0,0,0,0,0,0,0
"35429",0,0,4,2,3,0,0
"35430",8,0,0,0,0,4,4
"35431",0,8,3,3,3,0,0
"35432",0,1,1,5,9,0,0
"35433",6,1,1,1,0,8,6
"35434",0,0,0,0,5,0,0
"35435",0,0,8,3,3,0,0
"35436",9,0,0,0,0,4,6
"35437",0,0,0,0,0,0,0
"35438",10,0,0,0,0,3,5
"35439",0,3,3,0,2,0,0
"35440",0,0,10,3,1,0,0
"35441",10,0,0,0,0,10,0
"35443",5,5,5,5,5,5,6
"35445",1,8,6,5,5,5,5
"35446",1,8,8,8,1,1,1
"35448",4,4,2,0,1,3,0
"35449",0,0,0,0,0,7,0
"35450",1,4,3,2,3,2,3
"35451",9,0,0,0,0,6,0
"35452",8,1,1,1,4,6,0
"35453",1,0,0,0,0,0,0
"35454",0,0,0,0,0,0,0
"35456",10,3,4,1,10,7,3
"35458",3,3,3,2,2,4,3
"35461",6,0,3,3,3,4,3
"35462",3,0,0,0,0,0,0
"35463",0,0,0,0,0,0,0
"35464",5,5,5,8,5,6,0
"35465",10,7,7,7,6,7,5
"35466",10,4,4,4,3,5,10
"35467",9,3,4,3,6,2,6
"35468",4,2,2,3,5,4,10
"35469",4,3,2,4,1,3,7
"35470",3,3,2,2,1,3,5
"35471",1,2,2,2,1,4,6
"35472",3,4,0,5,3,5,8
"35473",0,0,0,0,5,3,8
"35474",9,1,2,3,6,5,9
"35475",10,4,5,6,8,4,10
"35476",10,5,5,7,7,4,9
"35477",9,4,4,4,3,4,7
"35478",8,5,5,6,5,7,7
"35479",9,7,6,5,8,8,5
"35480",9,8,2,2,3,2,5
"35481",9,4,3,5,5,5,5
"35482",4,0,5,4,3,4,8
"35483",5,3,4,4,4,5,10
"35484",6,3,3,4,0,3,10
"35485",10,3,3,4,3,4,3
"35486",10,3,4,3,3,3,7
"35487",10,4,3,3,0,3,3
"35488",10,4,5,4,3,4,7
"35489",5,3,4,4,5,6,10
"35490",4,3,4,4,3,4,9
"35491",5,3,3,4,4,4,10
"35492",4,3,4,3,2,4,9
"35493",9,2,5,4,3,3,6
"35494",2,3,0,3,8,3,4
"35495",3,1,2,3,10,3,5
"35496",3,3,4,4,10,3,4
"35497",9,4,3,3,4,3,4
"35498",9,3,4,3,4,2,4
"35499",10,1,3,3,3,3,5
"35500",3,2,3,4,4,4,9
"35501",6,4,3,4,3,4,10
"35502",3,1,2,2,2,4,7
"35503",7,5,4,4,5,4,10
"35504",9,1,2,5,6,2,9
"35505",9,6,6,7,4,5,7
"35506",9,6,6,7,5,5,8
"35507",9,3,4,4,3,4,7
"35508",9,6,4,4,3,5,8
"35509",9,6,4,4,8,5,9
"35510",9,4,4,6,4,4,9
"35511",10,7,5,5,7,5,9
"35512",9,6,5,6,3,5,10
"35513",5,4,7,3,4,5,10
"35514",9,6,6,8,10,5,7
"35515",9,6,4,6,4,0,9
"35516",9,6,5,4,5,5,8
"35518",10,3,6,8,10,9,3
"35519",5,5,5,5,5,5,5
"35520",3,7,4,7,3,3,3
"35521",6,0,0,1,3,2,2
"35522",0,0,0,0,0,0,0
"35523",10,0,0,1,3,3,4
"35524",8,0,0,0,4,5,10
"35525",0,0,0,0,1,1,0
"35526",0,0,1,0,1,0,0
"35527",8,1,1,2,4,4,4
"35529",0,0,0,6,0,0,0
"35530",10,0,0,1,3,4,4
"35532",10,0,1,4,5,5,5
"35533",1,4,6,7,2,4,0
"35534",10,0,0,3,0,5,0
"35535",6,2,3,6,4,4,4
"35536",1,1,1,5,1,0,0
"35537",5,8,10,10,8,3,2
"35538",9,0,5,9,5,6,10
"35539",10,8,8,9,7,1,7
"35540",10,7,7,5,6,3,4
"35541",10,1,1,2,2,5,10
"35542",10,0,0,2,5,6,9
"35544",8,1,1,0,6,8,4
"35545",8,4,5,4,2,5,7
"35548",1,1,1,1,8,1,1
"35559",1,4,5,2,3,1,2
"35561",3,6,5,9,4,1,2
"35562",5,7,5,7,5,5,3
"35563",3,10,5,6,4,6,4
"35564",9,5,4,6,4,9,7
"35565",5,8,7,9,8,4,5
"35566",9,5,4,6,5,7,5
"35567",10,3,3,5,4,8,7
"35568",0,10,4,8,5,0,1
"35569",0,7,6,10,5,0,3
"35570",3,6,5,8,10,2,5
"35572",8,2,4,6,4,6,5
"35573",10,0,4,5,5,8,7
"35574",0,10,6,8,4,0,0
"35575",3,8,5,8,3,2,3
"35576",2,5,4,9,6,3,3
"35577",9,2,3,6,6,8,8
"35578",4,7,6,8,5,2,4
"35580",0,5,0,8,0,0,0
"35581",0,3,0,7,0,0,0
"35582",8,0,0,0,1,5,5
"35585",0,0,0,0,0,0,0
"35588",0,6,0,9,0,0,0
"35590",0,9,0,7,0,0,0
"35591",0,5,0,8,0,0,0
"35594",0,0,0,0,0,0,0
"35598",0,7,3,8,0,0,0
"35599",3,7,6,5,5,2,2
"35600",4,6,6,6,7,9,9
"35601",0,10,2,10,0,1,3
"35602",2,5,2,6,5,3,3
"35603",2,8,6,5,6,2,2
"35604",10,3,6,4,3,7,5
"35605",0,10,2,5,3,0,0
"35606",8,3,3,3,5,7,1
"35610",9,0,0,0,0,0,10
"35618",1,1,10,3,5,0,0
"35619",10,1,1,3,1,6,5
"35620",0,10,0,4,5,0,0
"35621",0,0,0,0,0,0,0
"35622",10,0,1,1,2,7,4
"35623",0,0,2,2,10,0,0
"35625",0,10,4,4,1,0,0
"35626",5,10,7,8,8,7,0
"35627",10,6,6,5,4,1,2
"35628",5,9,9,5,0,2,1
"35629",10,4,4,0,6,1,0
"35630",9,7,8,4,6,2,2
"35631",4,7,4,4,6,4,1
"35632",9,5,7,7,7,3,7
"35633",2,7,0,3,5,2,1
"35634",10,6,8,7,8,3,3
"35635",10,8,0,6,7,6,0
"35636",9,5,5,6,4,4,1
"35637",10,5,3,6,5,5,3
"35638",0,0,0,7,0,0,0
"35639",10,0,0,0,0,0,0
"35641",0,0,4,3,4,3,4
"35642",0,0,4,5,2,1,1
"35643",10,0,0,1,7,8,8
"35644",0,0,3,10,6,1,1
"35647",10,0,0,0,1,7,3
"35651",0,10,7,7,0,0,0
"35652",0,0,0,1,0,0,0
"35653",0,8,8,10,0,0,0
"35658",7,5,7,7,4,5,4
"35668",5,10,9,5,3,1,2
"35669",10,3,3,5,6,4,2
"35670",4,9,7,7,3,3,2
"35671",10,6,5,5,4,6,2
"35672",9,6,6,5,5,6,6
"35673",9,5,3,5,6,8,1
"35674",9,7,7,7,4,1,2
"35675",10,5,5,5,2,6,3
"35676",10,5,6,3,0,6,3
"35677",2,10,6,4,3,4,0
"35678",10,8,6,6,7,7,1
"35679",10,6,8,7,4,5,1
"35681",10,0,0,0,0,0,0
"35685",7,4,7,8,8,4,9
"35686",9,0,0,0,0,0,0
"35687",4,1,1,1,1,1,1
"35688",10,0,0,0,0,4,0
"35692",10,0,0,0,0,0,0
"35694",3,0,0,0,9,0,0
"35695",0,3,3,5,0,0,0
"35696",8,2,2,2,2,2,2
"35697",8,0,0,0,0,3,0
"35699",0,9,3,8,0,0,0
"35700",0,10,6,8,0,0,0
"35701",3,3,3,6,2,2,2
"35702",10,0,0,0,0,0,0
"35703",10,0,0,0,0,0,0
"35704",0,0,0,0,0,0,0
"35706",1,10,8,2,2,1,0
"35707",0,0,0,5,0,0,0
"35709",0,0,0,0,0,0,0
"35711",2,0,0,0,0,1,0
"35719",6,1,1,1,2,2,2
"35720",8,1,3,6,3,5,4
"35721",4,0,3,5,10,10,10
"35722",8,0,0,4,3,6,3
"35723",3,3,4,5,3,3,3
"35724",5,0,2,2,3,3,3
"35725",8,0,1,3,4,4,4
"35726",3,6,6,8,7,3,7
"35727",4,1,1,2,2,4,3
"35728",0,8,0,5,0,0,0
"35729",0,0,0,0,0,0,0
"35730",0,0,0,0,0,0,0
"35731",0,0,7,0,0,0,0
"35732",10,0,0,0,0,0,0
"35733",0,0,0,0,0,0,0
"35735",1,7,3,5,1,1,1
"35736",3,4,3,5,9,1,3
"35737",3,3,3,7,4,2,4
"35738",2,3,3,10,3,2,2
"35739",0,3,4,5,1,0,0
"35740",0,2,4,6,2,0,0
"35741",0,4,9,6,3,0,2
"35742",0,8,6,5,3,2,2
"35743",0,0,0,6,0,0,0
"35744",0,9,5,5,0,0,0
"35746",0,9,5,4,0,0,0
"35747",0,0,0,0,0,0,0
"35748",0,0,0,8,0,0,0
"35749",0,0,3,3,0,0,0
"35750",8,2,2,2,2,2,7
"35751",0,1,4,0,0,0,0
"35752",0,0,0,0,0,0,0
"35753",0,0,0,0,0,0,0
"35755",0,2,0,0,0,0,0
"35756",6,0,0,0,0,0,0
"35757",1,1,0,0,0,0,0
"35758",0,0,0,0,0,0,0
"35759",3,2,4,4,0,2,7
"35760",3,1,2,1,3,2,8
"35761",10,3,2,3,2,2,3
"35762",8,3,3,4,3,3,4
"35763",10,3,1,2,3,3,3
"35765",6,2,2,3,3,0,5
"35766",9,4,3,2,4,4,4
"35767",8,3,4,5,5,5,5
"35768",10,1,0,0,3,4,9
"35769",9,0,0,1,2,3,9
"35770",9,3,2,6,4,5,9
"35771",8,6,4,4,3,5,5
"35772",9,1,2,4,6,4,10
"35773",5,5,3,3,10,6,6
"35774",3,3,4,4,9,4,4
"35775",8,1,1,2,8,5,10
"35776",10,7,5,4,4,3,10
"35777",4,4,3,3,4,4,8
"35778",4,4,3,4,3,4,8
"35779",9,0,0,5,6,6,10
"35780",9,3,2,3,3,3,4
"35781",4,4,5,3,3,4,8
"35782",10,3,4,4,6,5,9
"35783",0,3,3,4,0,0,0
"35784",9,0,0,0,3,4,0
"35785",0,8,8,7,0,0,0
