"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"36360",8,7,8,7,6,7,7,7,6
"36361",1,1,4,4,3,6,6,4,3
"36362",5,2,4,7,7,4,6,7,7
"36363",6,1,2,3,5,4,6,4,5
"36364",5,0,6,8,8,8,7,3,9
"36365",0,3,4,3,4,9,3,7,7
"36366",4,1,3,6,6,6,5,3,5
"36367",1,1,4,3,7,7,6,2,5
"36368",5,2,3,5,8,6,7,6,6
"36369",1,0,3,7,10,8,8,6,10
"36371",7,5,7,7,8,8,8,8,7
"36372",7,0,5,7,7,5,5,7,3
"36373",7,0,4,8,9,5,2,3,8
"36374",2,3,4,5,4,8,6,4,5
"36375",8,0,7,7,7,6,7,6,6
"36376",4,5,6,6,7,8,6,6,5
"36377",7,2,8,7,9,9,9,6,9
"36379",4,0,5,8,7,6,6,7,6
"36381",5,2,5,5,7,5,7,5,5
"36382",8,3,7,5,4,4,6,5,3
"36385",8,8,7,5,3,9,4,7,2
"36386",7,2,7,5,6,4,6,6,4
"36389",5,0,4,7,6,5,6,8,4
"36390",7,0,7,5,7,7,6,6,3
"36391",0,3,8,4,4,6,8,7,2
"36392",8,4,7,7,6,7,7,7,6
"36393",5,4,4,5,4,5,4,4,4
"36394",2,1,5,8,6,8,3,6,6
"36395",5,3,7,7,7,6,5,7,3
"36397",6,4,6,5,7,6,2,2,0
"36398",4,7,6,6,3,6,6,6,6
"36399",0,0,3,8,8,3,2,3,7
"36400",9,8,2,9,4,0,5,0,3
"36401",6,0,6,7,8,7,7,6,6
"36402",7,7,5,2,4,3,5,5,6
"36403",7,2,4,8,8,6,6,6,7
"36404",7,1,5,7,6,5,7,6,3
"36405",5,1,3,4,4,7,7,2,3
"36406",3,10,3,4,2,4,6,5,6
"36407",9,0,4,3,4,3,2,4,4
"36408",4,0,4,5,4,3,7,4,4
"36409",6,5,5,6,5,5,5,5,5
"36410",8,2,7,7,6,4,7,7,4
"36411",4,0,6,6,8,6,7,6,4
"36412",6,0,6,8,8,6,5,8,8
"36413",7,4,6,5,6,6,6,5,7
"36414",9,4,6,8,5,5,8,5,5
"36415",4,1,6,6,4,5,5,6,2
"36416",8,1,6,6,5,5,6,5,2
"36417",4,10,4,3,4,1,6,2,0
"36418",6,5,5,6,5,6,7,4,5
"36419",0,10,5,4,7,5,0,5,6
"36420",8,3,5,7,4,3,6,7,6
"36422",4,0,6,4,5,9,8,6,5
"36423",3,1,8,7,1,5,4,8,7
"36424",5,5,5,5,5,5,5,5,6
"36425",9,0,3,6,5,9,8,4,3
"36426",7,1,8,7,8,7,5,6,3
"36427",4,0,6,1,7,5,6,9,5
"36428",6,2,8,7,5,6,7,5,4
"36430",8,3,8,7,8,8,5,4,4
"36431",7,3,6,6,4,5,6,5,5
"36433",3,0,7,9,8,8,6,6,5
"36436",4,0,5,8,8,5,8,6,4
"36437",8,3,6,8,7,6,6,6,5
"36438",6,3,5,7,6,5,4,5,5
"36439",3,7,6,3,7,7,6,2,6
"36440",6,6,5,4,3,7,4,3,2
"36441",5,2,5,5,5,6,7,5,2
"36442",6,2,4,6,5,5,6,4,6
"36443",6,5,6,6,6,5,5,5,5
"36444",8,3,5,5,4,6,5,8,9
"36445",5,2,7,7,7,7,8,6,6
"36446",6,0,5,8,5,4,6,4,3
"36447",8,0,8,2,1,3,2,4,1
"36448",5,4,5,6,6,6,6,5,5
