"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"38210",7,5,2,0,7,7,2,9,2
"38211",2,7,6,3,0,0,1,1,2
"38212",4,2,0,3,2,1,1,1,1
"38213",7,0,1,5,2,1,2,0,0
"38214",2,3,5,3,1,3,2,0,2
"38215",7,4,6,4,6,3,3,5,4
"38216",3,5,1,3,3,3,8,3,2
"38217",6,1,0,8,8,4,4,6,6
"38218",6,9,8,5,4,7,4,2,1
"38219",8,3,2,8,5,4,3,5,3
"38220",3,6,7,6,1,4,7,1,0
"38221",4,8,8,3,3,3,5,0,1
"38222",8,6,0,4,6,9,0,9,6
"38223",4,7,2,7,6,5,5,3,3
"38224",5,4,0,2,8,4,1,6,8
"38225",5,7,7,7,1,3,0,0,0
"38226",10,3,0,5,5,0,5,3,4
"38227",0,10,10,3,0,5,0,0,0
"38228",7,4,0,6,10,10,0,7,7
"38229",7,1,0,5,8,2,1,5,7
"38230",5,3,0,3,9,3,0,2,9
"38231",0,5,9,0,0,0,2,0,0
"38232",1,8,9,4,2,1,3,1,2
"38233",6,6,2,6,2,2,3,0,2
"38234",8,7,4,6,5,2,5,5,4
"38235",5,5,5,5,5,5,5,5,5
"38236",2,4,2,3,3,9,3,9,6
"38237",2,7,2,3,5,4,5,5,2
"38238",3,8,7,5,2,7,3,6,2
"38239",8,9,8,8,4,10,5,2,2
"38240",8,5,4,8,3,5,6,7,2
"38241",3,6,3,4,2,4,1,4,2
"38242",8,6,0,1,5,9,2,6,3
"38243",1,10,4,4,1,7,4,0,0
"38244",3,0,0,10,2,7,7,7,3
"38245",9,5,3,9,6,5,3,4,6
"38246",4,9,7,3,1,7,5,0,0
"38247",3,10,7,2,0,7,7,0,2
"38248",4,7,4,4,4,7,3,4,0
"38249",6,2,0,5,9,5,3,8,8
"38250",7,8,0,4,5,4,5,6,5
"38251",7,4,5,7,7,7,2,7,2
"38252",3,8,7,3,1,5,8,1,1
"38253",6,4,0,6,7,6,5,3,8
"38254",8,4,0,4,8,7,4,10,9
"38255",3,5,6,1,4,1,4,0,1
"38256",3,9,7,0,0,0,0,4,1
"38257",10,0,0,10,0,0,0,5,5
"38258",6,4,2,8,4,6,4,2,2
"38259",7,7,3,5,5,5,4,0,1
"38260",4,2,0,6,10,4,7,5,9
"38261",4,10,6,5,3,5,7,0,0
"38262",5,5,5,5,5,5,5,5,5
"38263",5,10,8,8,5,8,6,5,5
"38264",6,2,4,7,4,6,6,1,2
"38265",3,9,7,1,3,1,1,0,0
"38266",6,10,3,8,5,5,3,2,3
"38267",10,8,7,8,1,4,4,1,2
"38268",5,7,2,2,1,6,5,8,1
"38269",7,4,2,5,4,4,3,2,2
"38270",7,10,8,3,2,5,5,7,2
"38271",1,6,6,3,1,4,5,1,1
"38272",10,1,0,2,9,3,1,0,1
"38273",2,1,1,6,5,8,2,0,1
"38274",7,5,0,4,4,0,1,2,1
"38275",4,4,4,3,2,3,3,2,2
"38276",0,10,10,7,0,7,0,0,2
"38277",7,8,10,5,4,5,7,0,5
"38278",8,8,6,3,2,7,1,0,5
"38279",7,4,0,5,8,6,5,5,7
"38280",6,8,0,1,0,3,0,0,0
"38281",8,5,0,7,7,6,4,4,3
"38282",5,3,2,7,1,1,5,2,0
"38283",2,0,0,2,10,5,4,9,9
"38284",7,4,3,6,3,0,5,0,4
"38285",5,3,5,4,3,5,5,8,3
"38286",0,9,10,3,0,7,8,0,0
"38287",4,10,8,2,1,2,1,0,0
"38288",0,7,6,0,2,0,0,1,2
"38289",3,10,4,0,0,1,4,0,1
"38290",5,8,7,5,2,5,8,8,1
"38291",7,8,6,5,4,5,3,2,2
"38292",8,6,0,10,3,3,5,6,0
"38293",5,10,1,2,3,9,8,3,0
"38294",9,8,2,7,8,7,6,6,5
"38295",8,6,0,6,8,3,8,4,3
"38296",4,9,10,0,0,6,5,0,0
"38297",5,9,5,1,4,9,5,5,0
"38298",8,5,1,5,5,5,4,7,6
"38299",10,3,0,8,7,5,3,5,5
"38300",9,4,3,7,8,6,7,1,5
"38301",8,8,5,4,1,5,4,0,2
"38302",2,9,8,5,3,4,3,2,1
"38303",10,4,10,5,10,1,0,0,0
"38304",3,8,6,3,1,2,3,1,1
"38305",2,3,2,6,7,5,4,3,8
"38306",8,4,2,5,5,2,2,4,6
"38307",8,6,4,3,4,1,3,3,2
"38308",8,7,6,6,3,5,3,2,3
