"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"40003",7,7,7,8,5,5,5,5
"40007",7,6,2,2,0,5,1,5
"40008",6,5,6,7,6,6,1,2
"40009",10,0,0,4,0,0,0,0
"40011",8,8,5,5,3,5,5,3
"40012",8,5,6,7,5,5,5,5
"40015",7,4,6,2,7,4,6,1
"40017",9,3,1,0,1,5,3,5
"40018",9,2,6,5,1,1,2,1
"40019",0,10,1,10,0,9,0,9
"40020",10,1,1,5,0,0,0,0
"40021",10,0,3,0,0,2,3,0
"40022",5,8,5,7,3,5,8,4
"40023",1,5,5,9,1,5,5,2
"40027",7,5,3,5,3,5,3,3
"40028",8,3,1,1,1,5,7,5
"40029",1,6,5,10,9,7,0,9
"40030",10,0,6,6,0,1,1,1
"40031",5,5,5,5,5,5,5,5
"40032",7,3,3,0,2,7,5,0
"40033",7,2,1,1,1,1,1,1
"40035",8,7,5,8,4,5,5,4
"40038",6,6,1,6,6,3,0,0
"40039",5,9,3,5,0,0,0,0
"40041",2,6,3,4,3,5,0,4
"40043",10,10,7,5,1,2,5,1
"40044",3,4,10,0,0,0,7,0
"40045",10,0,8,0,0,0,8,0
"40046",1,10,1,2,5,5,0,2
"40047",6,9,7,8,4,4,4,4
"40048",5,8,5,3,4,0,0,0
"40049",0,10,9,6,9,3,2,3
"40050",7,6,4,5,3,5,3,1
"40052",5,7,7,8,0,5,3,5
"40053",4,10,8,10,6,8,0,8
"40054",4,8,5,5,4,3,3,4
"40055",10,1,5,1,0,5,6,0
"40056",8,3,5,1,0,5,4,0
"40058",9,1,0,3,1,5,1,0
"40062",10,6,7,5,1,3,4,2
"40064",6,5,7,5,4,5,5,4
"40065",0,8,8,7,0,2,0,1
"40066",5,5,0,5,0,5,0,0
"40069",10,2,0,5,0,0,0,0
"40070",5,6,2,4,0,1,0,0
"40071",9,3,1,1,0,3,3,0
"40079",9,7,5,5,0,0,1,0
"40085",7,6,0,4,0,2,0,1
"40088",4,10,5,5,0,4,2,2
"40091",1,10,1,10,7,5,1,1
"40092",0,10,5,9,5,5,0,5
"40097",0,10,5,5,8,5,0,10
"40098",3,7,4,4,1,4,2,0
"40099",10,0,4,1,8,9,9,0
"40103",8,1,1,1,0,8,5,0
"40104",5,5,5,5,5,5,5,5
"40105",4,5,3,6,0,0,2,0
"40109",5,5,5,0,1,0,4,0
"40110",6,5,1,3,0,1,1,0
"40112",9,2,3,0,0,0,0,0
"40113",10,1,1,6,7,1,7,1
"40114",7,5,3,5,6,5,5,3
"40115",6,2,6,0,6,5,2,2
"40119",3,8,5,6,5,5,5,5
"40120",3,3,8,2,4,5,0,0
"40121",10,5,5,1,1,1,5,1
"40122",9,3,2,3,5,3,8,1
"40130",9,3,1,3,2,3,5,1
"40131",0,10,5,10,0,8,0,0
"40132",2,7,4,10,5,6,0,5
"40135",8,4,4,2,3,2,6,1
"40137",0,7,3,8,3,3,0,3
"40138",8,5,3,3,2,3,3,3
"40139",6,9,6,5,3,5,2,5
"40140",10,3,3,3,5,3,3,3
"40141",4,10,5,7,4,4,1,1
"40142",10,0,0,5,0,6,9,0
"40143",9,2,0,1,3,5,2,0
"40146",3,9,7,8,4,5,6,5
"40149",5,10,9,9,8,5,5,5
"40150",10,0,1,2,5,2,3,2
"40151",6,10,4,7,0,1,1,1
"40152",1,7,5,10,0,0,0,1
"40153",9,2,1,5,3,5,4,5
"40154",9,6,4,1,4,1,4,0
"40155",2,10,10,5,1,10,1,5
"40156",6,4,3,6,5,6,2,5
"40157",5,7,3,7,5,7,0,5
"40158",5,7,5,8,3,4,4,4
"40159",6,5,3,6,4,9,4,3
"40160",5,9,10,5,5,5,0,5
"40161",6,8,5,5,3,5,5,5
"40162",5,9,3,7,8,5,1,3
"40164",2,10,6,10,0,7,0,5
"40165",3,7,5,6,3,5,2,5
"40166",3,7,1,7,10,8,0,0
"40169",0,10,2,5,5,5,0,5
"40170",7,5,0,4,5,5,2,2
"40171",6,7,7,10,0,3,4,3
"40172",4,4,6,5,4,5,5,5
"40173",4,7,5,8,7,6,4,5
"40175",5,9,0,6,6,5,0,5
"40176",7,7,10,3,0,4,5,4
"40177",8,7,0,6,6,7,7,1
"40178",2,8,4,8,7,8,1,8
"40182",2,5,5,5,2,4,3,2
"40183",5,6,0,2,0,2,0,2
"40185",5,7,5,6,2,5,2,3
"40187",10,8,0,9,0,0,0,0
"40190",1,7,4,2,5,3,0,3
"40193",0,7,5,0,0,0,5,0
"40194",5,5,2,5,3,0,1,1
"40195",10,5,0,0,0,0,6,0
"40196",8,6,2,6,7,6,4,1
"40200",2,8,4,4,2,0,1,1
"40201",0,8,10,5,0,0,0,10
"40204",5,5,1,5,5,5,0,4
"40206",4,7,2,5,10,5,0,4
"40207",6,4,5,4,5,5,5,5
"40208",7,6,7,6,2,7,3,5
"40210",10,5,3,5,6,7,2,2
"40211",8,8,5,8,7,5,5,5
"40213",8,7,6,6,8,5,5,4
"40214",8,2,6,6,5,6,6,5
"40215",9,7,2,3,3,2,3,1
"40217",1,6,10,2,0,0,0,0
"40218",10,4,6,5,8,8,5,4
"40223",5,9,8,6,5,8,8,7
"40224",5,5,5,5,5,5,5,5
"40225",8,4,3,2,2,5,6,1
"40227",0,9,9,0,0,5,0,5
"40228",2,5,2,8,6,5,1,5
"40229",10,3,0,0,0,0,0,0
"40230",2,10,9,8,7,6,4,5
"40231",9,1,1,1,0,0,1,0
"40232",8,6,3,5,0,0,2,0
"40234",8,5,1,3,0,5,3,0
"40235",4,6,2,5,2,3,1,3
"40236",4,7,10,7,7,3,1,1
"40240",7,3,7,0,0,0,5,0
"40241",8,2,7,2,6,2,6,2
"40242",10,0,0,0,0,2,0,2
"40243",2,7,2,4,0,2,0,2
"40244",7,4,4,1,2,4,4,2
"40246",10,5,5,0,5,0,10,0
"40247",7,5,7,0,1,1,0,0
"40249",6,10,5,8,10,4,4,4
"40250",4,8,0,10,0,5,0,5
"40251",10,5,1,5,5,5,6,5
"40253",7,4,3,3,4,2,2,1
"40254",10,4,3,5,1,1,8,1
"40255",5,5,5,5,0,5,3,3
"40257",8,5,3,4,4,2,3,1
"40260",9,10,8,9,1,5,7,0
"40261",7,3,2,3,2,3,6,1
"40262",2,10,5,5,1,1,1,1
"40263",8,0,0,0,8,8,5,0
"40265",2,8,3,6,5,3,1,3
"40266",5,10,4,4,0,0,0,0
"40267",2,8,5,7,1,1,1,1
"40268",1,10,5,2,1,1,1,1
"40269",5,5,3,0,0,0,0,0
"40271",10,4,6,4,3,6,7,3
"40275",4,8,8,1,0,0,1,0
"40276",7,5,0,1,0,4,1,0
"40279",8,2,5,5,5,5,5,5
"40280",8,8,5,0,5,0,5,0
"40281",6,6,4,4,6,3,3,3
"40282",9,4,2,3,4,5,8,2
"40283",5,9,7,5,5,1,3,2
"40285",3,8,5,8,5,9,5,8
"40286",9,0,5,0,5,5,0,9
"40287",7,10,9,8,9,7,7,5
"40288",9,6,0,4,1,5,5,5
"40289",10,5,8,5,3,8,4,5
"40290",6,8,6,2,0,0,0,0
"40291",2,8,6,9,2,5,0,5
"40292",8,5,2,2,0,0,0,0
"40293",2,7,5,6,5,6,1,5
"40294",5,5,5,5,5,5,5,5
"40295",5,5,4,5,5,5,4,5
"40296",10,9,6,5,0,0,5,0
"40297",3,7,5,6,5,5,0,0
"40299",5,5,0,4,6,3,2,3
"40300",6,8,6,6,4,4,4,4
"40302",5,5,5,5,4,5,2,2
"40306",7,5,5,0,3,3,5,3
