"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"43468",4,2,3,2,1,1
"43469",3,2,4,3,2,4
"43470",8,5,7,5,2,3
"43471",5,1,5,1,1,1
"43472",5,5,7,5,2,3
"43477",5,5,5,5,5,5
"43478",7,4,3,2,2,5
"43479",5,8,5,5,5,5
"43480",9,6,5,5,5,5
"43481",5,7,1,0,5,0
"43482",1,1,1,1,1,1
"43483",10,2,8,3,1,4
"43486",0,0,0,0,0,0
"43488",5,5,5,2,5,5
"43489",10,0,0,0,0,0
"43491",6,3,9,6,1,5
"43492",10,5,5,5,5,5
"43493",10,2,9,9,2,6
"43494",2,1,7,10,6,9
"43495",2,5,3,2,2,2
"43496",7,5,5,5,3,2
"43497",1,1,8,5,1,1
"43498",4,3,8,3,4,2
"43499",5,5,5,5,5,5
"43500",5,6,3,3,5,1
"43501",5,5,5,5,5,5
"43502",8,4,5,8,4,5
"43503",5,5,5,5,5,5
"43504",5,3,6,2,3,3
"43505",9,5,5,5,5,5
"43506",6,2,10,8,1,7
"43507",5,5,5,5,5,5
"43508",7,5,5,5,5,5
"43509",4,9,1,1,7,2
"43511",7,3,1,1,3,1
"43512",6,1,2,1,1,1
"43513",5,5,5,5,5,5
"43514",7,4,3,2,5,5
"43515",5,5,5,5,5,5
"43516",8,6,5,1,4,6
"43517",7,4,3,1,4,6
"43518",6,5,1,1,2,1
"43519",7,5,3,1,1,4
"43520",8,6,3,2,7,5
"43521",7,5,3,1,4,7
"43522",5,5,5,5,5,5
"43523",5,5,9,3,5,7
"43524",5,7,3,3,5,5
"43525",5,8,3,2,7,5
"43526",6,5,5,5,5,5
"43527",7,4,4,3,2,5
"43528",5,5,2,1,4,2
"43529",6,4,5,4,4,4
"43531",5,6,4,4,5,4
"43532",5,6,4,4,5,5
"43533",5,5,5,5,5,5
"43534",2,3,2,2,2,2
"43535",5,5,4,3,4,4
"43536",6,4,4,3,4,4
"43537",6,5,6,8,5,6
"43538",6,6,5,5,4,7
"43539",4,4,4,4,4,4
"43540",5,6,3,3,5,5
"43541",5,6,2,2,4,2
"43542",6,4,4,4,4,4
"43543",5,7,3,2,6,3
"43544",5,8,3,3,6,5
"43545",6,6,6,6,6,6
"43546",6,4,4,4,4,4
"43547",5,5,5,5,5,5
"43548",5,2,6,8,2,5
"43549",6,5,5,5,5,5
"43550",6,4,4,4,4,4
"43551",5,5,5,5,5,5
"43552",7,3,5,4,2,4
"43553",9,3,4,4,2,3
"43554",3,3,3,3,3,3
"43555",5,5,5,5,5,5
"43556",5,5,5,5,5,5
"43557",5,5,5,5,5,5
"43558",5,5,5,5,5,5
"43559",5,5,5,5,5,5
"43560",4,6,3,2,4,3
"43561",5,5,5,5,5,5
"43562",5,5,5,5,5,5
"43563",5,5,5,5,5,5
"43564",4,6,4,4,4,4
"43565",5,2,5,7,2,2
"43566",5,7,4,3,6,5
"43567",6,2,3,3,2,4
"43568",8,5,5,5,5,5
"43570",10,3,5,3,3,10
"43571",3,3,3,4,3,10
"43572",8,2,8,6,0,0
"43573",2,2,0,0,2,0
"43574",5,5,0,0,0,0
"43575",5,0,6,6,6,10
"43576",8,0,8,6,0,8
"43577",5,5,5,5,5,5
"43578",5,6,0,0,0,5
"43579",8,5,7,4,4,4
"43580",3,7,7,3,7,0
"43581",0,7,1,1,0,8
"43582",5,5,4,2,2,4
"43583",7,6,0,0,0,0
"43584",3,10,3,3,3,5
"43585",5,5,5,5,5,5
"43586",4,9,0,0,5,1
"43587",2,4,10,5,0,8
"43588",0,0,0,0,0,0
"43589",9,0,8,2,0,9
"43590",10,0,5,5,0,10
"43591",5,5,2,0,2,8
"43592",10,0,5,3,0,3
"43593",3,2,1,1,1,1
"43594",8,7,4,3,3,1
"43595",5,0,4,4,4,6
"43596",3,2,3,5,2,3
"43597",5,1,2,2,1,1
"43598",5,1,1,1,1,1
"43599",8,2,2,2,2,2
"43600",4,1,4,3,2,2
"43601",5,5,5,5,5,5
"43602",4,1,2,2,1,1
"43603",5,5,5,5,5,5
"43604",7,5,5,5,5,5
"43606",7,5,5,5,5,5
"43607",8,5,4,4,4,5
"43608",7,3,2,3,2,0
"43609",7,6,5,5,5,6
"43610",7,4,3,3,3,3
"43611",9,9,9,9,9,9
"43612",7,4,4,5,4,6
"43613",8,5,6,7,5,6
"43614",5,5,5,5,5,5
"43615",7,8,6,7,5,6
"43616",10,0,3,3,0,0
"43619",2,10,0,0,2,0
"43620",0,10,0,0,5,0
"43621",5,5,5,5,5,5
"43622",8,3,0,6,5,2
"43623",10,4,8,6,4,8
"43625",5,5,5,5,5,5
"43626",8,2,2,2,2,0
"43628",5,10,4,2,2,2
"43629",7,5,5,5,5,2
"43631",4,10,4,8,6,5
"43632",5,0,2,5,2,5
"43636",0,0,0,0,0,0
