"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"44921",3,0,0,0,8,4,5
"44922",2,3,8,5,1,0,0
"44923",0,9,0,0,0,0,0
"44924",1,7,4,5,1,1,1
"44925",7,0,5,0,10,8,5
"44926",1,2,5,1,7,9,4
"44927",4,3,4,2,5,4,0
"44928",10,2,5,0,5,3,7
"44929",1,7,2,4,4,4,0
"44930",2,7,3,1,5,2,0
"44931",0,1,1,10,1,1,1
"44932",3,4,3,2,6,3,0
"44933",0,10,2,0,2,2,2
"44934",4,0,3,0,4,2,8
"44935",2,9,3,2,6,5,0
"44936",3,8,2,2,5,3,0
"44937",5,0,3,0,3,2,0
"44938",6,8,2,0,2,0,5
"44939",0,9,7,7,4,5,1
"44940",0,9,2,7,0,0,0
"44941",0,10,0,0,0,5,0
"44942",1,8,2,3,5,3,0
"44943",8,0,4,0,3,7,2
"44944",0,0,1,0,10,5,2
"44945",6,1,6,0,5,5,5
"44946",2,5,3,2,8,4,0
"44947",8,0,5,0,5,7,4
"44949",2,1,2,0,9,3,0
"44950",0,1,0,9,1,0,2
"44951",4,0,10,0,4,6,4
"44952",9,0,5,0,9,10,7
"44953",1,7,4,6,1,1,1
"44954",0,0,2,9,5,2,2
"44955",6,3,6,0,0,3,2
"44956",0,9,0,0,9,9,3
"44958",7,7,7,0,0,7,0
"44959",9,0,7,0,6,7,6
"44960",0,7,0,6,0,0,0
"44961",6,3,3,0,6,10,3
"44962",1,2,8,7,1,1,1
"44964",1,0,5,0,5,5,2
"44965",9,0,6,0,5,8,5
"44966",0,0,0,0,0,0,0
"44967",9,1,4,1,5,5,5
"44968",10,9,0,10,10,5,5
"44969",10,3,7,0,0,7,3
"44970",9,0,0,0,0,0,7
"44972",0,8,3,3,3,7,6
"44973",1,7,1,4,1,1,1
"44974",5,0,0,0,0,3,8
"44975",3,0,3,0,0,2,3
"44976",6,1,5,0,8,9,6
"44977",8,0,6,2,5,6,6
"44978",9,0,4,0,2,3,2
"44979",0,0,0,0,0,0,0
"44980",1,9,1,8,1,1,0
"44982",8,0,4,0,5,5,4
"44983",9,0,5,2,7,8,7
"44984",5,4,6,0,2,1,1
"44985",6,7,5,5,4,2,2
"44986",0,10,0,1,0,0,0
"44987",8,2,6,1,5,6,8
"44988",6,7,6,6,6,4,3
"44989",8,2,5,1,6,6,7
"44990",4,5,8,0,5,3,2
"44991",5,3,5,5,5,5,5
"44992",0,5,3,0,0,0,0
"44993",10,7,6,5,4,5,3
"44994",10,5,10,1,5,5,7
"44995",0,10,5,10,0,0,0
"44996",10,0,0,10,0,0,0
"44997",7,1,7,2,1,9,2
"44998",2,0,3,0,1,10,5
"44999",1,9,3,1,1,1,1
"45000",6,0,5,0,5,5,0
"45001",10,0,8,0,5,4,3
"45002",1,5,3,1,1,1,0
"45004",3,1,10,0,3,3,4
"45005",5,6,2,0,3,2,5
"45006",0,0,0,0,0,0,0
"45007",3,4,3,1,4,4,4
"45008",4,4,2,3,2,1,0
"45009",10,0,5,0,6,3,4
"45010",9,0,9,0,4,5,10
"45011",9,10,10,0,5,3,0
"45012",9,1,9,0,7,10,6
"45013",10,0,6,3,3,3,7
"45015",2,0,5,10,1,5,0
"45016",0,0,0,0,0,0,0
"45017",5,0,4,1,1,5,0
"45018",1,1,1,1,7,1,1
"45019",9,0,4,0,0,4,4
"45021",8,2,4,0,0,0,2
"45022",8,1,6,8,0,9,5
"45023",0,8,5,8,0,0,0
"45024",2,2,3,2,4,2,2
"45025",3,0,0,0,3,7,0
"45026",1,1,1,1,1,1,1
"45027",0,1,5,5,1,5,0
"45028",5,5,10,5,2,1,5
"45029",1,8,3,7,0,0,0
"45030",0,0,4,0,3,5,5
"45031",1,5,4,1,1,1,1
"45032",1,7,4,7,2,0,1
"45033",2,7,3,10,2,7,2
"45034",2,5,7,3,0,1,1
"45035",1,8,4,6,2,1,1
"45036",0,0,3,3,0,0,0
"45037",3,0,4,3,5,10,5
"45038",0,10,2,0,0,0,0
"45039",9,0,7,0,5,7,5
"45040",5,0,4,0,6,5,7
"45041",10,1,10,1,5,5,5
"45043",4,5,5,5,6,5,5
"45044",0,0,3,5,0,0,0
"45045",0,8,8,8,0,8,8
"45046",8,2,5,5,2,5,3
"45048",0,10,0,0,0,0,0
"45049",1,1,1,0,1,1,1
"45050",0,0,0,0,3,3,10
"45051",0,7,6,9,0,0,0
"45052",8,1,2,5,0,2,0
"45053",4,0,0,0,6,10,4
"45054",0,0,0,0,0,0,0
"45056",1,1,1,1,1,1,1
"45057",0,0,0,0,0,0,0
"45058",3,0,3,0,3,6,7
"45059",0,10,1,0,1,0,0
"45060",0,9,3,9,2,1,4
"45061",7,5,5,0,2,3,0
"45063",7,0,4,0,7,5,5
"45064",0,10,0,0,0,0,0
"45065",7,2,3,0,2,5,6
"45066",3,0,1,1,2,1,1
"45067",0,7,4,7,1,1,0
"45068",10,5,4,9,4,4,4
"45069",6,0,7,0,7,10,6
"45070",9,2,5,0,2,5,3
"45071",5,5,4,5,5,3,4
"45072",5,5,5,0,0,0,0
"45073",5,6,8,0,5,6,0
"45074",5,5,8,4,4,4,4
"45075",5,1,6,1,2,3,4
"45076",6,5,9,5,4,6,6
"45077",0,7,3,6,0,1,0
"45078",5,0,6,10,1,2,0
"45079",4,4,4,4,4,4,4
"45080",0,10,1,0,1,2,0
"45081",9,0,6,0,3,4,8
"45082",2,7,10,6,0,8,0
"45083",0,10,5,4,0,0,0
"45084",0,10,0,0,0,0,0
"45086",2,10,2,1,0,0,0
"45087",0,3,0,8,1,1,0
"45088",0,9,0,5,0,0,0
"45089",4,3,4,3,3,4,3
"45090",0,0,0,0,0,0,0
"45091",10,0,7,7,3,6,3
"45092",3,1,5,1,2,5,1
"45093",9,2,8,2,6,8,8
"45094",7,0,5,3,0,6,4
"45095",3,3,6,0,5,5,3
"45096",6,4,6,1,5,5,5
"45097",2,0,4,0,4,5,9
"45098",2,0,1,0,5,10,10
"45099",7,0,4,0,0,10,5
"45100",0,0,0,0,0,0,0
"45101",5,5,5,0,6,7,4
"45102",5,2,5,0,8,10,7
"45103",7,4,8,2,8,7,5
"45104",10,6,6,0,6,5,2
"45105",0,0,10,3,0,3,1
"45106",2,1,7,2,0,8,0
"45107",4,2,7,0,8,9,0
"45108",0,1,0,3,1,1,0
"45109",0,5,1,3,0,0,0
"45110",0,10,0,2,0,0,0
"45111",9,0,1,0,4,4,5
"45112",9,2,8,4,6,7,5
"45113",0,7,2,0,0,1,3
"45114",0,7,3,4,0,0,0
"45115",4,0,3,0,4,4,4
"45116",8,4,5,0,2,2,7
"45117",0,1,0,7,3,1,1
"45118",3,8,5,8,3,2,2
"45119",0,8,3,5,1,0,0
"45120",1,5,2,4,4,3,1
"45121",5,4,4,0,0,3,2
"45122",7,0,7,2,3,6,2
"45123",6,0,5,0,0,6,5
"45124",0,0,0,0,0,0,0
"45125",0,3,1,0,1,1,2
"45126",10,2,3,0,2,2,2
"45127",2,10,2,0,0,0,0
"45128",5,7,6,0,5,7,5
"45129",4,10,6,7,6,4,0
"45130",6,3,5,0,10,7,6
"45131",1,1,1,1,1,1,1
"45132",5,4,2,7,4,3,9
"45133",10,2,3,0,5,5,5
"45134",7,0,10,0,1,7,10
"45135",0,4,1,0,0,0,0
"45136",4,0,3,0,3,4,6
"45139",2,9,0,6,2,0,0
"45140",1,10,1,1,6,1,1
"45141",0,6,2,0,0,7,5
"45142",0,10,6,0,0,1,0
"45143",8,1,8,0,7,7,4
"45144",0,8,0,0,1,5,0
"45145",8,0,7,0,7,7,9
"45146",0,0,0,0,0,0,0
"45147",6,0,5,0,7,6,10
"45148",9,0,8,2,7,9,5
"45149",0,10,0,0,0,0,0
"45150",10,1,7,0,5,9,6
"45152",8,0,2,0,5,5,5
"45153",5,0,5,0,5,10,2
"45154",8,1,6,2,6,6,5
"45155",9,0,5,6,0,0,3
"45156",5,0,3,0,3,5,3
"45157",5,5,0,10,10,5,8
"45158",0,0,0,0,0,0,0
"45159",0,10,1,0,1,1,0
"45160",5,0,10,2,2,2,5
"45161",0,10,0,0,0,0,0
"45162",7,0,5,0,7,9,2
"45163",5,5,5,5,5,5,5
"45164",10,2,9,1,6,4,8
"45165",6,0,0,10,0,9,0
"45166",0,4,0,2,4,0,0
"45169",8,3,3,2,2,1,5
"45170",2,0,0,0,0,2,2
"45171",0,0,1,0,0,0,0
"45172",8,5,0,0,0,5,0
"45173",10,0,7,0,5,5,1
"45174",4,0,4,0,4,4,2
"45175",7,0,2,0,3,5,0
"45176",0,0,0,0,0,0,0
"45177",0,0,0,0,0,0,0
"45178",5,10,5,5,5,5,5
"45179",0,1,1,0,1,1,1
"45180",5,0,0,0,2,9,0
"45181",1,5,4,0,2,2,2
"45183",5,5,5,5,5,5,5
"45185",1,1,10,0,1,1,1
"45186",6,2,5,2,5,9,2
"45187",5,2,4,1,5,3,4
"45188",7,0,5,0,5,9,7
"45189",5,1,4,0,3,6,5
"45190",10,0,0,1,5,10,1
"45191",3,0,6,7,0,3,0
"45192",4,7,4,0,2,5,1
"45193",0,5,0,0,0,0,0
"45194",10,0,10,0,5,5,6
"45196",5,5,5,0,2,8,4
"45197",5,0,4,0,3,6,8
"45198",10,0,3,0,8,10,8
"45199",5,0,4,0,6,8,5
"45200",5,7,0,0,4,8,0
