"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"45886",2,8,7,2,0,6,2,1,0
"45888",10,2,3,3,0,1,1,0,4
"45889",3,9,9,9,7,7,8,3,3
"45890",2,8,1,4,0,7,6,1,0
"45891",4,7,0,7,1,7,8,1,0
"45892",3,8,3,5,1,3,5,1,1
"45893",1,8,9,4,0,8,6,0,0
"45894",7,8,4,8,2,7,7,4,2
"45895",10,1,0,3,9,0,3,8,3
"45898",3,8,0,7,0,8,7,2,0
"45899",4,8,2,6,2,6,6,0,0
"45900",6,6,10,0,0,6,0,0,0
"45901",5,9,5,5,0,10,5,3,0
"45902",3,8,6,6,6,6,6,1,2
"45904",9,3,0,5,7,1,5,7,2
"45905",5,7,1,5,5,2,5,5,5
"45906",1,10,4,5,0,9,7,1,0
"45907",4,8,5,6,0,6,5,0,1
"45908",2,7,10,1,0,9,0,0,0
"45909",0,7,7,0,0,6,0,0,0
"45911",1,9,0,5,0,6,6,0,0
"45912",8,6,0,8,0,5,7,5,4
"45913",7,1,1,4,9,1,1,8,8
"45914",8,3,0,7,1,3,6,6,3
"45915",1,6,8,1,0,0,1,0,0
"45916",2,8,9,5,0,7,6,2,2
"45917",5,7,7,6,2,5,6,2,2
"45918",6,7,8,0,0,6,0,0,0
"45920",5,9,10,5,0,10,5,0,0
"45921",5,5,0,5,1,5,8,0,0
"45922",5,8,10,0,0,2,0,0,0
"45923",5,8,0,9,3,7,8,5,4
"45924",5,5,3,5,0,4,5,0,0
"45925",4,7,9,6,1,8,8,1,2
"45926",4,8,6,5,0,6,8,1,0
"45927",5,6,1,8,2,6,7,4,3
"45928",1,6,1,8,0,5,6,0,0
"45929",4,6,0,7,7,1,9,2,5
"45930",3,9,5,7,0,8,7,2,0
"45931",3,5,0,8,0,7,6,2,1
"45932",7,5,0,8,0,6,6,4,0
"45933",1,1,0,5,4,1,3,7,4
"45934",0,8,8,0,0,0,0,0,0
"45935",3,10,0,10,0,10,10,0,0
"45936",4,5,1,7,2,4,6,4,3
"45937",4,6,8,3,0,6,3,0,1
"45938",0,0,7,0,0,6,1,0,0
"45939",8,6,0,8,5,6,10,5,0
"45940",0,10,7,10,0,10,10,0,0
"45941",8,1,0,1,8,0,5,7,3
"45942",10,1,0,4,5,1,4,7,5
"45943",8,6,0,8,2,4,8,3,1
"45944",9,1,0,3,7,0,3,3,1
"45945",7,5,0,10,3,5,9,3,7
"45946",3,9,5,10,0,9,9,0,0
"45947",4,4,0,7,5,3,5,8,4
"45948",3,9,0,7,0,9,8,1,3
"45949",6,8,6,5,0,5,5,0,0
"45950",9,6,0,7,1,3,8,2,0
"45951",1,9,10,0,0,9,3,0,0
"45952",4,10,1,7,0,7,8,3,2
"45953",3,8,0,7,2,6,5,4,0
"45954",4,8,8,0,0,8,6,0,0
"45955",5,8,2,7,3,6,7,3,1
"45956",4,9,4,8,0,8,8,2,0
"45957",2,10,8,8,0,10,8,1,2
"45958",3,10,0,8,3,3,8,3,1
"45959",3,8,5,7,2,10,5,1,1
"45960",5,8,0,8,2,2,9,6,0
"45961",3,8,4,5,1,2,4,0,0
"45962",4,7,1,3,3,3,8,0,2
"45963",6,10,7,5,0,5,7,0,0
"45964",0,8,5,6,0,6,5,0,0
"45965",2,10,2,4,0,2,8,0,0
"45966",9,5,0,5,5,3,6,6,3
"45967",4,6,5,7,0,6,5,2,1
"45968",4,8,6,8,0,8,8,1,0
"45969",9,6,0,7,4,2,8,7,3
"45970",5,5,0,9,1,4,8,6,1
"45971",7,8,2,8,1,1,6,2,5
"45972",6,10,0,5,0,5,5,3,1
"45973",1,10,2,8,0,10,8,0,1
"45974",10,1,0,4,5,1,6,5,0
"45976",4,4,0,8,6,2,9,6,2
"45977",5,8,1,7,3,5,7,5,1
"45978",8,8,3,3,1,5,3,1,0
"45979",1,9,0,7,0,6,8,0,0
"45980",2,9,0,7,0,8,7,1,3
"45981",3,6,0,10,1,4,8,2,1
"45982",2,8,3,7,0,7,8,3,0
"45983",4,3,0,5,3,6,7,3,5
"45984",7,8,1,7,5,6,7,7,7
"45985",3,5,0,7,1,5,9,5,0
"45986",2,9,0,10,0,9,6,2,0
"45987",5,7,3,7,3,7,8,3,2
"45988",5,7,0,7,0,7,7,3,5
"45989",10,5,0,5,7,5,5,5,1
"45990",10,3,0,5,4,3,5,8,5
"45991",6,1,0,3,8,1,3,8,10
"45992",7,8,8,0,5,8,3,0,0
"45993",8,3,2,3,6,3,5,7,2
"45994",2,8,9,5,0,5,0,0,0
"45995",3,3,0,8,3,3,3,4,4
"45996",4,5,0,10,3,5,7,5,2
"45997",8,1,0,5,7,0,2,6,8
"45998",7,7,0,7,1,4,9,8,4
"45999",1,6,4,8,0,3,2,2,0
"46001",6,5,0,7,4,5,7,5,4
"46002",4,5,3,2,0,10,10,0,0
"46003",2,10,1,7,0,6,6,0,1
"46004",7,3,0,8,6,3,5,7,6
"46005",5,8,0,7,0,6,8,2,0
"46007",1,8,9,5,0,8,3,0,0
"46008",2,8,9,2,0,8,3,1,0
"46009",2,7,8,1,2,7,3,1,1
"46010",6,5,0,7,3,3,5,6,4
"46011",1,5,10,2,0,6,2,3,1
"46012",4,8,0,7,0,4,6,3,0
"46013",1,8,8,1,0,6,4,0,0
"46014",8,4,0,7,4,5,6,10,5
"46015",10,2,0,6,5,3,6,5,1
"46016",2,10,5,7,0,8,7,5,0
"46017",0,10,5,5,0,10,5,0,5
"46018",2,5,9,3,1,7,3,1,0
"46019",1,8,4,6,0,8,6,0,0
"46020",3,9,5,8,0,8,8,1,1
"46021",7,3,0,5,4,2,5,3,0
"46022",4,7,0,8,1,5,9,3,1
"46023",6,6,0,9,1,2,8,1,2
"46024",1,8,4,2,0,8,7,0,0
"46025",0,9,5,8,0,8,8,0,0
"46026",1,10,5,6,0,7,7,1,0
"46027",6,7,0,7,2,3,9,2,5
"46028",2,8,6,3,1,6,4,0,0
"46029",8,1,8,6,6,3,3,1,1
"46030",6,2,0,8,1,2,7,7,3
"46031",8,5,0,6,5,1,6,3,5
"46032",10,6,4,6,7,6,7,9,1
"46033",8,6,0,9,4,5,7,7,0
"46034",4,9,0,9,1,8,8,2,1
"46035",3,7,0,8,1,4,7,4,0
"46036",3,8,7,7,3,7,6,2,1
"46037",0,10,0,8,0,9,7,0,0
"46038",4,7,1,7,1,6,8,3,1
"46039",7,3,0,8,4,3,4,6,1
"46040",6,7,4,7,4,7,8,4,4
"46041",6,1,0,3,8,1,1,8,8
"46042",10,1,0,4,8,6,7,5,2
"46043",5,4,0,7,6,2,5,5,4
"46044",0,6,10,0,0,0,0,0,0
"46045",5,10,1,10,1,10,10,6,1
"46046",5,10,0,10,1,6,8,3,0
"46047",8,1,0,7,8,1,4,7,7
"46048",7,1,0,3,8,1,4,6,5
"46049",6,2,0,8,2,0,6,7,6
"46050",2,8,6,6,0,7,7,0,0
"46051",4,7,6,3,0,2,5,1,0
"46052",1,7,10,2,0,8,2,0,0
"46053",3,9,0,7,1,7,7,3,1
"46054",2,8,2,7,2,7,5,1,0
"46055",5,10,0,6,1,0,9,3,2
"46056",8,8,0,9,1,2,9,9,0
"46057",7,8,5,7,2,5,8,4,1
"46058",2,7,9,9,2,7,5,6,0
"46059",2,9,4,6,0,6,9,1,1
"46060",5,6,0,7,3,4,9,2,3
"46061",8,6,0,7,3,2,7,7,0
"46062",5,5,1,7,2,2,3,5,0
"46063",3,7,0,9,0,10,10,1,5
"46065",0,9,0,8,0,9,9,0,0
"46066",6,6,0,6,2,5,6,5,2
"46068",6,9,0,8,0,10,6,1,0
"46069",5,9,2,7,2,9,7,2,0
"46070",9,7,0,6,4,7,6,8,4
"46071",7,5,0,5,6,3,6,6,4
"46072",7,8,2,7,0,7,7,1,0
"46073",7,5,1,6,7,3,4,9,3
"46074",3,5,0,7,1,5,9,2,0
"46075",0,4,10,0,0,4,0,0,0
"46076",2,10,0,9,0,2,9,0,2
"46077",9,4,0,7,8,5,3,7,5
"46078",6,2,0,7,5,1,6,5,6
"46079",4,0,0,2,0,0,4,0,0
"46080",7,6,0,10,3,5,8,8,2
"46081",4,8,3,5,0,4,6,2,1
"46082",3,8,4,7,0,6,6,5,5
"46083",6,5,1,6,4,4,6,6,4
"46084",5,6,0,8,1,4,10,6,1
"46085",8,4,0,6,2,3,7,3,0
"46086",7,5,0,4,2,2,4,2,1
"46087",4,9,0,7,0,5,7,2,0
"46089",3,10,0,6,0,9,8,1,0
"46090",7,6,2,3,3,3,3,1,0
"46091",7,5,0,6,4,5,7,8,5
"46092",6,5,0,7,4,7,4,4,2
"46093",1,10,10,3,0,8,2,0,0
"46094",5,8,1,6,4,7,3,2,1
"46095",0,0,6,0,0,6,6,0,0
