"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_I"
"49612",10,0,0,6,0,0,0,0
"49616",0,8,10,0,0,5,2,5
"49634",0,7,10,3,5,7,5,6
"49635",0,8,10,2,5,8,5,7
"49643",8,0,0,10,9,1,6,2
"49644",0,10,9,0,0,9,2,9
"49647",0,8,8,0,0,7,4,6
"49648",9,0,0,7,8,0,6,2
"49651",3,9,7,2,5,7,5,3
"49654",0,10,10,0,0,9,5,7
"49655",9,10,10,2,5,7,5,7
"49662",0,10,10,1,2,10,4,10
"49664",0,8,7,5,0,7,5,6
"49668",0,10,10,4,0,10,2,8
"49671",0,10,9,0,0,10,1,9
"49673",0,10,8,2,2,8,4,7
"49693",0,10,10,0,5,9,5,6
"49700",7,0,4,10,5,2,5,5
"49703",5,10,5,5,5,5,5,5
"49706",8,5,5,5,5,5,5,5
"49707",0,6,10,2,5,5,5,5
"49723",3,4,4,5,4,4,4,4
"49724",0,3,3,10,3,3,3,3
"49726",5,5,5,5,5,5,5,5
"49727",4,5,5,5,5,5,5,5
"49728",1,3,3,8,4,4,3,4
"49731",2,4,4,6,4,5,4,4
"49732",5,5,5,5,5,5,5,5
"49734",5,5,5,5,5,5,5,5
"49735",10,10,10,10,10,10,10,10
"49736",7,6,6,7,6,6,7,6
"49737",8,8,8,8,8,8,8,8
"49738",8,8,8,8,8,8,8,8
"49739",5,4,6,8,5,5,5,5
"49742",5,5,6,5,6,5,5,5
"49748",1,7,9,5,5,6,5,5
"49752",5,5,5,6,5,5,5,5
"49754",2,4,5,8,5,5,5,5
"49758",1,5,8,5,5,5,5,5
"49760",4,1,1,5,4,1,4,4
"49763",3,5,8,10,5,6,5,5
"49764",4,10,9,6,5,6,5,6
"49766",8,5,2,7,7,3,6,5
"49767",3,8,7,5,6,5,7,5
"49768",8,5,5,6,5,4,5,5
"49769",8,3,5,5,5,5,5,5
"49770",3,5,8,10,5,6,5,5
"49771",10,3,1,5,1,1,3,5
"49772",6,4,6,10,8,4,5,4
"49773",10,3,4,5,3,3,3,3
"49776",10,1,4,7,4,5,3,3
"49777",3,5,8,10,5,5,4,5
"49778",0,2,10,5,3,4,9,6
"49781",4,7,10,8,6,6,5,6
"49782",7,8,10,0,5,6,7,6
"49783",8,5,5,6,5,4,5,5
"49784",3,5,10,7,4,7,4,6
"49785",3,5,7,7,4,6,4,6
"49786",3,6,10,5,3,4,5,4
"49788",2,6,10,5,3,4,5,4
"49789",3,6,4,7,4,4,4,4
"49790",0,10,8,9,6,5,4,4
"49792",9,4,4,6,3,5,4,4
"49793",4,1,1,5,4,1,4,4
"49794",3,5,10,4,4,4,4,4
"49795",3,10,8,4,4,6,5,5
"49796",4,10,7,4,6,7,6,4
"49797",2,8,10,7,4,4,7,5
"49798",2,8,9,5,5,7,5,5
"49799",3,9,8,5,5,7,5,5
"49800",5,3,5,5,5,5,4,5
"49801",5,7,10,7,5,5,6,5
"49802",0,10,9,10,8,5,6,5
"49805",9,5,5,7,6,5,5,5
"49806",4,6,7,7,5,5,6,5
"49807",8,3,4,5,6,6,6,6
"49808",8,5,8,10,5,6,3,5
"49809",6,4,6,10,8,4,5,4
"49810",4,9,7,7,6,6,7,5
"49811",5,5,3,7,1,5,5,1
"49812",0,3,5,7,6,2,3,2
"49814",0,0,10,10,6,7,0,5
"49815",0,10,9,10,7,0,0,0
"49816",1,3,8,10,6,7,3,3
"49817",1,3,5,10,5,6,3,3
"49824",5,5,5,5,5,5,5,5
"49825",5,5,5,5,5,5,5,5
"49830",5,5,5,6,5,5,5,6
"49841",10,0,0,8,6,0,5,0
"49842",1,5,10,5,5,5,5,5
"49843",5,5,9,6,5,5,5,5
"49845",7,4,5,8,5,4,5,5
"49847",6,5,8,9,5,5,5,5
"49853",5,5,5,8,5,5,5,5
"49856",9,5,5,5,5,5,5,5
"49860",5,5,5,5,5,5,5,5
"49861",3,5,8,5,4,5,5,4
"49867",5,4,5,7,5,5,5,5
"49871",5,5,9,5,5,5,5,5
"49874",6,6,8,5,5,6,5,5
"49876",0,10,9,3,2,6,2,6
"49879",0,8,10,4,2,6,5,6
"49883",0,10,10,0,2,10,4,7
"49884",0,10,9,4,4,9,3,8
"49887",0,10,9,2,3,8,3,7
"49890",9,3,1,7,2,4,5,2
"49905",3,9,5,6,5,5,5,5
"49908",5,5,5,5,5,5,5,5
"49918",10,4,5,9,5,5,5,5
"49927",9,4,5,7,5,5,5,5
"49928",9,4,5,8,5,5,5,5
"49943",7,4,5,5,5,5,5,5
"49944",8,4,5,6,7,5,6,5
"49945",7,5,4,5,5,5,5,5
"49954",5,5,5,5,5,5,5,5
"49956",0,5,10,6,5,6,3,5
"49957",8,5,4,6,5,5,5,5
"49967",0,10,9,2,3,7,5,7
"49971",0,9,8,2,0,7,5,3
"49972",0,9,10,5,0,8,5,7
"49981",2,9,7,2,8,4,6,5
"49984",3,7,4,3,5,4,5,4
"49985",4,4,9,10,4,6,4,4
"49988",4,4,4,7,7,1,5,5
"49990",6,9,4,3,6,4,5,6
"50010",5,5,5,5,5,5,5,5
"50014",5,5,5,5,5,5,8,5
"50016",5,5,5,5,5,5,10,5
"50017",2,5,5,5,5,5,10,5
"50019",5,5,5,5,5,5,8,5
"50022",4,7,6,2,4,7,6,6
"50023",2,6,9,6,5,5,4,4
"50028",6,5,5,6,10,5,4,6
"50031",4,6,5,5,8,4,6,6
"50035",3,5,5,5,5,5,5,5
"50037",5,5,5,5,5,5,5,5
"50038",1,8,7,2,2,7,2,5
"50039",5,5,10,5,5,5,5,5
"50041",2,10,8,5,5,6,5,5
"50042",2,5,9,5,5,5,5,5
"50043",1,10,5,1,1,1,1,1
"50045",1,9,5,2,1,5,1,5
"50046",2,10,7,5,5,5,5,5
"50047",5,5,5,5,5,5,5,5
"50049",2,10,5,5,5,5,5,5
"50050",5,5,5,7,5,5,5,5
"50052",5,5,8,5,5,5,5,5
"50056",10,5,5,5,5,5,5,5
"50059",5,5,5,5,5,5,5,5
"50063",5,5,5,5,5,5,5,5
"50065",4,6,7,6,6,4,4,3
"50066",4,6,6,6,6,5,4,4
"50068",4,5,7,6,6,5,4,4
"50069",3,5,5,4,5,4,3,3
"50070",4,5,6,5,6,4,5,4
"50072",5,6,6,5,5,4,5,3
"50073",6,6,5,6,5,4,3,3
"50074",4,5,6,6,6,4,4,4
"50077",3,4,1,5,2,2,4,3
"50078",2,4,3,4,3,3,4,6
"50080",3,6,3,4,2,4,4,4
"50081",3,4,3,3,3,3,3,5
"50082",5,5,2,3,1,4,1,3
"50083",2,4,3,4,5,5,2,5
"50084",2,4,2,2,2,3,4,3
"50085",3,3,3,9,3,3,3,3
"50088",4,4,3,4,2,5,2,6
"50089",3,2,3,5,3,3,2,3
"50091",4,5,2,4,2,4,3,5
"50092",0,0,0,10,0,0,0,0
"50120",0,10,10,5,5,4,4,4
"50133",3,9,10,6,8,5,8,5
"50134",5,5,2,4,3,5,3,4
"50135",5,7,5,3,5,5,5,5
"50136",2,4,2,3,2,5,2,2
"50137",3,4,8,3,4,3,3,3
"50138",5,5,10,5,6,8,3,7
"50139",5,2,5,2,5,2,3,4
"50140",2,4,6,4,4,2,4,2
"50144",5,3,4,4,4,3,3,4
"50145",5,3,8,4,6,3,3,2
"50146",4,2,6,6,4,7,4,7
"50147",8,4,7,3,7,7,7,7
"50148",5,3,4,3,4,3,3,4
"50154",3,10,10,10,10,10,10,10
"50168",0,10,10,0,0,9,3,4
"50170",0,8,5,2,1,3,1,1
"50171",3,5,4,4,3,4,4,4
"50172",0,10,6,5,2,4,4,2
