"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"50903",0,0,0,0,0,0
"50904",1,0,0,0,1,0
"50905",0,0,10,0,0,0
"50906",0,0,2,0,0,4
"50908",0,5,5,0,0,10
"50909",4,3,1,4,2,2
"50910",0,0,0,0,1,2
"50912",0,0,7,5,0,0
"50913",0,0,0,0,0,0
"50914",0,2,2,0,2,2
"50915",3,4,4,3,0,5
"50916",0,0,0,0,0,0
"50920",10,0,0,2,5,0
"50921",5,0,0,10,7,6
"50922",0,0,0,0,0,0
"50923",0,0,0,0,0,0
"50924",0,0,0,0,0,0
"50925",1,0,0,5,0,7
"50926",0,0,10,10,0,0
"50927",0,5,0,3,8,0
"50928",9,5,6,3,8,2
"50929",0,1,5,0,0,1
"50930",10,0,0,0,0,0
"50932",0,0,0,0,0,0
"50933",0,0,2,0,0,0
"50936",4,3,10,7,10,10
"50937",0,0,0,0,0,0
"50939",0,0,0,0,0,0
"50940",0,6,6,0,0,0
"50941",0,0,0,0,0,0
"50943",1,0,0,0,0,0
"50945",3,0,0,8,5,5
"50946",9,7,9,6,4,1
"50947",1,9,5,5,7,8
"50948",0,0,0,4,0,0
"50950",3,2,0,7,0,3
"50951",3,2,5,1,0,2
"50952",6,5,3,3,3,3
"50953",0,0,0,0,0,0
"50954",0,0,0,0,0,0
"50955",0,0,0,0,0,0
"50956",0,5,0,0,0,2
"50957",0,0,2,0,0,5
"50960",0,0,0,0,0,0
"50961",3,0,0,0,0,1
"50962",3,1,0,3,4,1
"50964",1,1,1,1,1,1
"50965",0,0,0,0,0,0
"50966",2,1,7,2,2,8
"50967",8,0,4,7,8,6
"50968",0,0,0,0,5,0
"50969",4,3,1,2,0,1
"50971",0,5,7,2,0,4
"50972",5,1,0,0,0,0
"50973",1,3,0,4,0,0
"50974",0,2,1,2,2,5
"50975",0,1,4,0,0,9
"50976",0,6,10,2,0,5
"50977",0,0,0,0,0,5
"50978",0,0,10,0,0,5
"50979",0,0,10,0,0,2
"50980",0,0,0,0,1,1
"50981",0,0,0,8,0,10
"50982",0,0,0,0,0,5
"50983",7,0,0,7,8,6
"50985",0,0,0,0,2,1
"50986",0,0,0,5,10,5
"50987",0,0,0,0,0,0
"50989",0,8,5,3,0,6
"50990",0,10,0,10,10,10
"50992",0,0,0,0,0,0
"50993",0,0,0,0,0,0
"50994",0,5,6,5,4,7
"50996",3,8,5,3,2,6
"50997",3,5,5,2,2,2
"50998",0,0,0,0,0,0
"50999",0,0,2,0,2,5
"51000",0,0,0,0,0,0
"51001",1,1,7,1,4,5
"51003",0,10,10,0,0,0
"51005",5,0,0,0,8,7
"51007",0,10,7,0,0,0
"51008",0,0,0,0,0,0
"51011",0,4,7,5,1,6
"51012",0,0,7,8,0,7
"51014",10,10,10,10,10,9
"51018",0,0,5,0,0,0
"51020",0,0,8,4,0,7
"51022",9,0,0,7,9,0
"51023",0,0,5,0,0,0
"51025",0,0,0,0,0,0
"51028",0,0,0,0,0,0
"51030",1,2,0,1,0,0
"51031",1,1,1,1,1,1
"51032",0,0,0,0,0,0
"51033",0,10,4,6,5,6
"51035",5,5,0,0,0,4
"51036",0,0,0,0,0,0
"51037",0,0,0,0,0,0
"51039",0,0,0,0,0,0
"51040",0,5,0,0,0,0
"51043",0,3,5,4,4,6
"51045",0,10,0,0,9,10
"51047",0,0,0,0,0,0
"51048",0,10,0,10,0,0
"51049",0,0,7,0,0,0
"51051",6,3,0,5,4,2
"51052",0,5,3,7,4,6
"51054",0,0,0,0,0,10
"51056",0,0,0,0,0,0
"51058",10,0,10,10,0,0
"51059",0,10,10,3,4,7
"51060",8,5,0,2,8,0
"51062",0,0,0,0,0,0
"51064",6,2,1,4,4,5
"51065",1,0,0,0,5,0
"51066",0,3,2,2,2,3
"51067",0,10,0,0,0,0
"51069",0,4,8,7,2,0
"51070",0,9,0,0,0,0
"51071",0,1,2,6,3,7
"51072",0,0,0,0,0,0
"51074",1,2,5,3,9,4
"51075",0,8,7,5,4,3
"51078",3,8,5,2,1,7
"51079",0,0,0,0,0,0
"51080",0,0,0,0,0,0
"51081",0,0,0,0,0,0
"51082",0,0,0,0,0,0
"51083",0,10,0,3,0,4
"51086",0,0,10,0,0,0
"51087",6,1,0,0,2,3
"51088",0,0,0,0,0,0
"51089",5,3,0,2,4,0
"51091",0,0,10,0,0,0
"51092",0,10,0,0,0,0
"51093",0,0,3,0,1,0
"51094",0,0,1,2,1,0
"51095",0,1,1,0,0,0
"51097",0,0,10,0,0,10
"51099",0,0,0,0,0,0
"51100",0,5,0,0,0,0
"51101",0,0,0,0,0,0
"51102",7,6,5,5,4,8
"51103",4,0,0,0,2,0
"51105",6,0,6,0,0,7
"51106",0,0,0,0,0,0
"51107",6,0,2,0,1,0
"51108",0,0,0,0,0,0
"51109",3,0,0,0,8,3
"51112",1,9,5,7,0,5
"51113",4,5,4,2,3,4
"51114",0,0,5,0,0,0
"51115",1,0,0,1,0,1
"51116",3,0,0,10,4,7
"51117",0,2,0,0,0,0
"51118",5,2,0,2,10,3
"51119",0,0,7,3,0,5
"51121",0,0,0,0,0,0
"51122",0,10,5,3,4,7
"51126",0,0,0,4,0,0
"51127",3,2,0,0,0,3
"51128",3,8,8,5,7,9
"51129",4,1,0,3,3,3
"51130",10,4,0,0,5,7
"51131",1,9,3,1,1,4
"51132",0,0,0,6,0,5
"51133",0,5,1,10,6,0
"51135",1,1,1,1,1,8
"51136",0,2,7,1,3,0
"51139",0,0,5,2,0,5
"51140",7,5,0,5,5,5
"51141",0,1,1,0,0,0
"51143",0,0,10,1,0,1
"51144",7,0,0,0,9,0
"51146",0,3,6,4,2,7
"51147",2,1,1,3,0,1
"51149",0,0,0,0,0,0
"51151",0,0,0,6,3,2
"51152",0,10,4,2,3,10
"51153",0,0,3,0,0,1
"51154",10,0,0,0,0,10
"51155",10,3,4,2,8,1
"51159",7,10,4,3,3,5
"51161",0,0,10,0,0,0
"51162",9,10,6,7,8,5
