"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"52324",10,2,3,4,3,3
"52325",10,2,1,4,1,1
"52326",10,2,3,3,3,3
"52327",1,3,10,0,5,3
"52328",0,10,6,3,5,5
"52329",10,3,2,4,2,2
"52330",10,1,1,1,1,2
"52331",2,10,5,2,3,3
"52332",0,0,0,0,3,1
"52333",8,5,0,5,0,2
"52334",3,3,3,0,4,3
"52335",10,0,0,6,0,0
"52336",9,2,2,5,2,2
"52337",8,2,2,8,3,3
"52338",1,10,6,1,1,1
"52339",10,2,2,5,3,3
"52340",10,2,2,5,2,2
"52341",0,2,10,0,0,0
"52342",10,2,2,5,2,2
"52343",2,10,2,0,9,2
"52344",5,5,2,5,3,3
"52345",5,5,0,0,0,0
"52346",7,5,1,10,3,3
"52347",3,6,3,2,4,3
"52348",9,3,0,9,3,3
"52349",4,4,2,0,3,3
"52350",3,3,0,7,3,3
"52351",10,1,0,9,2,3
"52352",7,1,0,6,1,1
"52353",2,10,0,0,8,2
"52354",10,0,0,7,0,0
"52355",10,0,0,5,0,0
"52356",3,3,0,3,4,0
"52357",10,2,0,6,3,4
"52358",10,0,0,10,0,0
"52359",10,2,0,8,0,0
"52360",10,0,0,0,0,0
"52361",0,0,0,0,0,0
"52362",8,1,0,10,0,0
"52363",10,0,0,6,0,0
"52364",9,0,0,7,0,0
"52365",1,9,2,2,2,2
"52366",1,8,2,3,3,2
"52367",9,1,0,5,3,2
"52368",7,2,1,3,2,2
"52369",8,2,0,3,3,3
"52370",0,9,1,2,2,2
"52371",9,2,1,4,2,2
"52372",9,2,1,4,2,2
"52373",7,3,0,9,4,2
"52374",8,3,1,4,2,2
"52375",1,8,1,2,3,3
"52376",1,8,1,3,3,3
"52377",8,2,0,6,3,2
"52378",9,1,0,6,3,3
"52379",1,8,1,1,2,1
"52380",9,1,0,7,3,3
"52381",8,2,0,6,2,2
"52382",10,0,0,0,0,0
"52383",3,3,3,1,2,0
"52384",10,0,0,0,0,0
"52385",9,0,0,0,0,0
"52386",6,3,0,6,0,0
"52387",10,0,0,7,0,0
"52388",9,2,0,7,2,0
"52389",10,0,0,0,0,0
"52390",10,2,0,7,0,0
"52391",9,3,0,7,3,0
"52392",0,10,5,0,5,3
"52393",8,2,0,5,2,1
"52394",10,1,0,9,0,0
"52395",10,0,0,10,2,1
"52396",0,10,4,0,5,2
"52397",7,1,3,0,2,0
"52398",5,4,1,3,5,6
"52399",0,6,0,0,4,3
"52400",10,0,0,9,1,1
"52401",10,1,0,8,1,3
"52403",10,1,0,10,1,1
"52404",9,2,0,10,8,2
"52405",1,5,0,1,5,5
"52406",5,1,1,9,2,0
"52407",1,8,1,2,2,2
"52408",3,5,0,2,5,0
"52409",9,0,0,8,0,0
"52410",2,4,0,1,3,0
"52411",10,0,0,10,0,0
"52412",7,0,0,5,0,0
"52413",2,5,0,3,4,0
"52414",0,0,0,0,0,0
"52415",10,1,1,5,1,0
"52416",10,2,1,6,1,1
"52417",0,7,4,0,4,1
"52418",2,7,0,3,4,3
"52419",0,0,0,0,0,0
"52420",0,0,0,1,10,0
"52421",0,0,0,0,0,0
"52422",0,0,0,0,0,0
"52423",10,0,0,8,0,0
"52424",0,10,5,2,5,2
"52425",7,3,0,5,5,3
"52426",10,0,0,8,0,0
"52427",10,2,0,7,2,4
"52428",3,10,0,3,6,7
"52429",10,2,0,7,1,5
"52430",10,1,0,4,1,2
"52431",1,10,3,2,5,2
"52432",0,10,0,0,10,0
"52433",9,0,0,5,0,0
