"","cand_A","cand_B","cand_C","cand_F","cand_G"
"53342",6,3,6,5,5
"53343",7,5,7,6,6
"53344",0,7,0,2,0
"53345",0,9,3,2,2
"53346",5,3,1,1,0
"53347",7,1,7,4,5
"53348",5,0,4,1,4
"53349",7,6,4,5,6
"53350",4,4,6,5,5
"53351",5,6,3,5,5
"53352",5,5,5,5,5
"53353",8,2,8,1,6
"53354",6,5,4,3,2
"53355",5,5,5,5,5
"53356",9,2,6,1,2
"53359",9,5,8,7,6
"53360",8,5,3,5,3
"53361",10,0,8,3,7
"53363",5,8,6,7,6
"53365",1,7,7,4,4
"53366",9,1,8,6,5
"53367",8,7,9,4,3
"53368",6,2,7,5,6
"53369",5,7,4,3,2
"53370",10,0,9,3,8
"53371",5,5,5,5,5
"53372",7,3,6,5,5
"53373",4,3,5,0,0
"53374",7,2,6,2,5
"53375",0,0,3,0,0
"53376",9,2,8,7,9
"53379",5,10,1,5,5
"53380",7,5,7,6,7
"53381",4,6,0,0,0
"53382",5,5,1,1,1
"53383",3,1,2,1,1
"53384",8,5,6,5,6
"53385",4,9,0,5,4
"53386",6,2,3,2,1
"53387",0,10,0,0,0
"53388",5,5,4,3,3
"53389",6,1,7,0,4
"53391",9,0,7,5,5
"53392",9,1,9,2,7
"53394",5,3,5,3,3
"53395",8,2,6,5,5
"53396",6,3,2,4,2
"53397",8,5,6,4,3
"53398",8,3,6,7,5
"53400",2,5,1,3,0
"53401",6,3,7,5,3
"53402",10,5,10,5,5
"53403",8,0,8,3,8
"53405",5,5,5,3,3
"53407",3,6,4,1,0
"53408",7,4,3,3,3
"53409",6,4,3,2,6
"53410",8,6,8,7,5
"53412",2,5,1,3,0
"53413",0,7,1,5,1
"53414",8,6,6,6,6
"53416",10,4,7,7,7
"53417",0,3,0,4,0
"53418",4,6,6,4,5
"53419",5,5,5,3,0
"53420",8,6,4,4,4
"53423",0,7,0,1,0
"53425",4,8,3,2,5
"53429",1,1,0,5,1
"53430",5,5,1,3,3
"53431",8,3,5,4,5
"53432",5,0,5,3,5
"53433",8,6,9,5,4
"53434",5,5,5,5,3
"53435",4,3,2,5,2
"53436",4,5,1,4,1
"53438",5,10,1,2,1
"53439",5,6,4,5,4
"53441",8,2,3,4,5
"53442",3,5,0,6,2
"53444",1,1,1,1,1
"53445",5,4,5,5,5
"53446",6,7,6,7,7
"53447",2,6,2,5,2
"53449",5,5,5,5,5
"53450",6,4,5,5,5
"53451",2,5,0,0,0
"53452",2,4,2,5,2
"53453",5,5,5,5,4
"53455",3,7,0,2,0
"53456",6,5,6,6,4
"53457",5,5,5,5,5
"53458",4,4,5,5,4
"53460",5,3,5,5,5
"53461",5,6,6,5,4
"53463",4,8,3,2,1
"53464",5,5,3,4,4
"53466",6,5,5,6,6
"53467",4,4,1,4,3
"53468",5,0,5,1,1
"53469",4,7,3,5,3
"53470",7,5,3,5,9
"53471",8,3,3,5,2
"53472",4,6,1,3,2
"53473",3,3,2,1,1
"53474",7,3,7,5,6
"53475",8,0,7,2,0
"53476",0,5,0,3,0
"53477",5,5,5,5,5
"53478",5,5,6,5,5
"53479",2,4,0,5,0
"53480",5,5,5,5,5
"53481",7,3,6,5,4
"53482",5,5,6,5,5
"53484",5,6,0,3,3
"53486",5,5,3,5,5
"53487",5,5,3,5,5
"53488",5,5,5,5,5
"53489",5,6,5,5,5
"53490",5,8,2,6,3
"53492",5,5,5,5,5
"53494",0,0,0,0,0
"53495",10,0,5,4,4
"53496",3,3,0,3,3
"53497",4,7,2,5,1
"53498",5,3,4,2,1
"53499",2,10,3,5,3
"53500",3,2,3,3,2
"53502",5,4,2,5,3
"53506",4,3,2,3,2
"53507",5,5,5,5,5
"53508",10,0,6,0,6
"53509",9,1,5,5,4
"53510",9,1,7,1,9
"53511",3,5,2,3,2
"53512",5,4,3,4,2
"53514",5,5,5,5,5
"53515",5,2,7,4,4
"53516",6,2,3,3,3
"53518",6,8,7,9,6
"53519",5,5,4,5,4
"53521",5,3,4,2,3
"53522",0,8,0,0,0
"53523",8,3,6,10,7
"53525",2,7,4,7,5
"53527",0,8,0,6,0
"53528",9,8,4,4,5
"53532",1,2,0,8,0
"53533",9,3,7,4,5
"53534",3,4,1,3,2
"53535",6,0,5,3,0
"53536",8,1,2,2,1
"53537",1,6,0,4,0
"53538",3,5,1,6,2
"53540",0,8,0,3,0
"53541",7,2,5,4,3
"53542",4,5,2,3,1
"53544",7,6,5,5,5
"53545",8,1,8,6,6
"53546",8,0,7,1,5
"53547",4,7,2,3,3
"53548",5,4,5,6,5
"53549",7,0,3,6,2
"53550",9,1,5,4,4
"53551",6,5,7,5,5
"53552",6,8,6,3,3
"53553",7,3,6,5,5
"53554",8,1,9,3,7
"53555",3,5,0,0,0
"53556",5,5,3,5,4
"53557",8,4,5,2,4
"53559",2,9,0,0,0
"53560",8,5,8,6,7
"53562",7,6,7,9,6
"53563",4,6,3,4,2
"53564",0,10,0,10,0
"53566",7,0,5,4,5
"53567",6,0,5,0,0
"53568",5,3,5,4,1
"53569",5,5,5,5,5
"53571",6,4,6,5,5
"53572",4,3,2,1,2
"53573",0,0,0,0,0
"53574",3,3,2,2,2
"53575",6,5,6,5,5
"53576",7,5,5,5,6
"53578",3,3,5,3,3
"53581",8,2,3,5,2
"53582",6,4,4,5,4
"53583",7,3,7,0,6
"53585",10,1,5,2,2
"53586",3,0,6,2,0
"53587",6,4,6,4,3
"53588",5,2,7,3,1
"53590",0,6,0,2,0
"53591",8,0,7,6,7
"53592",3,6,1,4,2
"53593",6,6,8,5,3
"53595",8,3,6,3,2
"53596",6,2,5,2,5
"53597",5,5,5,5,5
"53598",8,6,7,2,1
"53599",0,8,0,3,0
"53601",5,3,6,5,5
"53602",5,10,5,5,5
"53603",9,0,6,5,6
"53604",10,3,3,3,3
"53605",5,3,2,2,2
"53606",0,7,0,3,0
"53607",6,5,5,5,5
"53608",5,5,3,4,3
"53609",6,8,1,4,2
"53610",6,3,4,4,2
"53611",10,5,7,8,6
"53612",10,0,6,1,1
"53613",5,5,5,5,5
"53615",3,9,2,3,3
"53616",3,3,3,2,2
"53617",5,5,5,5,5
"53619",9,5,5,5,5
"53620",4,6,5,5,2
"53622",4,4,4,4,4
"53623",6,3,1,3,0
"53624",7,2,6,4,5
"53626",5,5,5,5,5
"53627",6,3,8,8,6
"53629",5,0,5,5,5
"53630",6,2,4,1,3
"53631",10,2,5,2,5
"53632",5,5,5,5,4
"53633",8,7,3,6,5
"53635",2,0,6,2,2
"53636",5,6,5,6,5
"53637",5,5,5,5,5
"53639",6,3,6,4,4
"53640",7,1,6,2,2
"53644",2,7,0,5,5
"53646",5,6,1,4,1
"53647",5,4,7,3,3
"53648",5,8,0,7,2
"53649",8,4,5,6,3
"53650",6,2,7,4,5
"53651",3,5,2,3,3
"53652",4,5,4,4,2
"53653",5,2,5,4,3
"53655",7,0,6,1,1
"53656",5,3,3,5,3
"53657",5,5,5,5,5
"53658",0,8,1,3,0
"53659",6,1,7,4,5
"53660",2,10,1,2,1
"53661",5,5,5,5,5
"53662",6,0,7,4,3
"53663",5,5,5,5,5
"53664",6,2,4,3,3
"53665",5,5,4,4,4
"53666",3,8,5,7,3
"53667",5,10,4,5,5
"53668",5,4,2,2,0
"53669",4,5,1,3,2
"53670",7,3,6,5,5
"53671",5,5,5,5,5
"53672",7,1,7,1,6
"53673",5,5,5,5,5
"53674",5,5,1,3,2
"53675",7,3,6,6,6
"53676",4,5,2,3,1
"53677",3,0,5,1,3
"53678",5,0,5,0,0
"53679",5,5,6,5,5
"53680",4,6,1,5,3
"53681",9,2,9,5,7
"53682",5,5,5,5,5
"53684",4,6,0,3,0
"53685",10,0,9,5,3
"53686",8,1,1,1,1
"53687",8,0,8,3,5
"53688",6,0,5,4,5
"53689",6,1,3,3,4
"53690",0,10,0,0,0
"53691",8,2,8,7,7
"53692",7,1,5,6,3
"53695",8,0,4,4,9
"53696",6,6,5,3,3
"53699",6,4,7,5,5
"53700",5,5,5,5,5
"53701",7,0,5,1,3
"53702",6,3,8,5,6
"53706",7,5,6,5,6
"53708",5,6,5,4,3
"53709",10,0,5,3,2
"53710",5,5,1,5,2
"53711",7,3,7,7,1
"53712",4,0,5,3,3
"53713",6,4,6,3,3
"53714",5,5,5,3,3
"53716",7,2,8,7,2
"53717",5,2,3,2,1
"53718",5,9,2,6,4
"53719",3,4,3,2,0
"53720",5,3,0,1,0
"53721",7,2,5,5,5
"53723",5,8,5,5,5
"53724",0,0,0,0,0
"53726",10,0,5,5,10
"53729",4,4,2,5,1
"53730",4,5,3,6,0
"53731",5,5,3,5,3
"53732",7,3,4,3,2
"53733",0,1,0,1,0
"53734",6,1,7,3,1
"53735",5,10,5,6,3
"53736",8,0,4,3,6
"53737",8,2,8,6,7
"53738",1,0,5,1,1
"53739",4,5,5,5,5
"53740",9,0,7,3,6
"53742",5,3,7,4,6
"53744",4,10,2,3,9
"53745",5,5,5,5,5
"53746",4,1,4,0,4
"53747",8,3,4,2,1
