"","cand_A","cand_B","cand_C","cand_D","cand_E"
"54892",9,6,9,9,4
"54893",0,10,5,5,5
"54894",6,0,5,10,2
"54895",1,7,6,5,6
"54896",4,6,9,3,5
"54897",7,3,5,5,5
"54898",8,5,5,5,5
"54899",7,4,7,5,4
"54900",5,5,5,5,5
"54901",0,5,3,0,1
"54903",0,0,0,0,0
"54904",7,0,3,9,2
"54905",2,8,5,1,6
"54906",2,3,2,4,4
"54907",3,4,4,4,3
"54908",5,3,4,5,4
"54909",3,6,5,2,3
"54910",3,3,5,3,3
"54911",6,4,5,5,5
"54912",7,3,5,5,5
"54913",10,0,5,5,5
"54914",5,5,5,5,5
"54915",2,8,5,6,6
"54916",5,5,5,3,3
"54917",3,7,5,0,4
"54918",5,5,5,5,5
"54919",6,3,3,1,1
"54920",5,7,3,3,3
"54921",2,2,2,2,2
"54923",3,3,2,2,3
"54924",5,3,5,5,5
"54926",5,3,4,4,4
"54927",5,6,6,5,6
"54928",7,0,7,6,0
"54930",7,0,5,6,5
"54931",3,7,6,6,5
"54932",6,4,4,5,3
"54933",1,7,4,1,3
"54934",7,5,5,8,5
"54935",3,8,5,3,7
"54936",5,5,5,5,5
"54937",7,3,8,6,6
"54938",6,4,6,8,4
"54939",7,4,6,8,6
"54940",5,5,5,5,5
"54941",5,4,5,5,4
"54942",5,5,5,5,5
"54943",5,3,1,6,3
"54944",0,6,0,0,3
"54945",9,4,5,5,4
"54946",9,2,7,6,5
"54947",0,5,0,2,3
"54948",5,5,5,5,5
"54949",8,3,5,6,5
"54950",2,2,1,1,1
"54951",2,5,5,3,2
"54952",8,5,0,7,3
"54953",5,5,5,5,5
"54954",5,5,5,5,5
"54956",6,7,5,6,4
"54957",8,2,5,9,4
"54958",0,5,1,0,1
"54959",2,5,5,4,5
"54960",3,6,5,4,6
"54962",5,3,1,2,4
"54963",4,7,5,3,7
"54964",3,7,0,0,0
"54965",0,2,2,0,1
"54966",10,3,3,3,3
"54968",4,5,5,3,3
"54969",5,5,0,0,5
"54970",7,5,5,5,5
"54971",0,0,0,0,0
"54972",5,0,5,8,3
"54973",7,5,5,5,5
"54974",9,7,8,7,5
"54975",8,5,9,7,5
"54976",5,5,5,5,5
"54977",0,7,5,0,7
"54978",6,3,3,3,3
"54979",7,2,5,7,3
"54980",8,5,6,8,2
"54981",5,5,5,2,1
"54982",0,5,0,0,3
"54983",10,0,5,5,5
"54984",10,0,0,9,0
"54986",2,6,4,3,3
"54987",3,4,8,2,5
"54988",6,4,8,6,7
"54991",5,6,8,4,6
"54992",5,5,5,5,5
"54993",6,6,3,3,4
"54994",7,3,6,6,5
"54995",5,5,5,5,5
"54996",5,5,5,4,4
"54997",6,4,5,3,5
"54999",9,1,3,7,7
"55000",4,5,6,3,5
"55001",5,2,2,2,3
"55002",4,4,4,4,4
"55003",6,0,6,6,0
"55005",7,2,5,6,3
"55006",10,5,2,2,2
"55007",0,0,0,0,0
"55008",1,1,8,7,4
"55009",8,3,6,7,5
"55010",5,7,3,2,4
"55011",2,6,1,1,3
"55012",8,1,5,7,3
"55013",7,3,3,6,2
"55014",0,8,0,0,0
"55015",5,7,7,5,5
"55016",2,9,3,3,4
"55017",5,5,3,3,5
"55018",3,10,0,0,0
"55020",2,8,3,3,6
"55021",6,5,6,5,5
"55022",7,5,4,5,7
"55023",5,6,5,4,5
"55024",4,5,4,5,3
"55025",7,0,0,3,3
"55026",6,5,6,7,5
"55027",5,0,3,6,1
"55028",4,4,6,5,5
"55029",3,3,5,5,3
"55030",3,3,3,3,3
"55031",3,0,6,8,3
"55033",8,5,4,6,1
"55035",6,7,7,6,5
"55036",0,0,7,8,5
"55037",6,4,5,5,5
"55038",4,0,7,8,3
"55039",7,2,0,8,3
"55040",10,0,0,0,0
"55041",9,0,1,9,3
"55042",0,8,3,0,5
"55043",5,5,5,5,5
"55044",1,2,4,2,2
"55045",5,10,3,3,3
"55046",0,3,3,0,3
"55047",2,7,2,0,0
"55048",5,3,7,6,4
"55049",5,5,5,5,5
"55050",4,6,4,2,3
"55051",8,5,6,7,6
"55052",5,5,5,5,5
"55053",8,1,4,7,4
"55054",8,2,3,7,3
"55055",8,6,7,7,6
"55056",10,0,5,5,5
"55057",5,3,8,7,4
"55058",2,4,7,5,5
"55059",8,5,6,5,5
"55060",5,5,4,4,6
"55061",5,2,5,5,5
"55062",5,3,4,4,5
"55063",5,5,5,5,3
