"","cand_A","cand_B","cand_C","cand_D"
"56511",8,0,0,0
"56512",5,0,0,0
"56513",9,0,0,0
"56514",0,3,2,0
"56515",4,7,6,5
"56516",10,0,0,0
"56517",8,6,2,0
"56518",0,10,10,10
"56519",2,10,9,9
"56520",10,1,0,0
"56521",10,0,0,0
"56522",5,8,10,5
"56523",10,10,10,0
"56524",2,10,4,6
"56525",7,0,5,0
"56526",0,10,8,8
"56527",9,4,6,0
"56528",10,0,0,0
"56529",10,0,10,10
"56530",0,1,2,0
"56531",7,4,3,0
"56532",7,10,7,1
"56533",10,7,0,0
"56534",5,2,2,1
"56535",10,5,0,0
"56536",5,4,5,2
"56537",8,8,6,0
"56538",0,10,5,4
"56539",5,10,5,5
"56540",10,7,7,7
"56541",8,5,5,0
"56542",5,5,0,5
"56543",0,10,7,6
"56544",5,5,5,0
"56545",0,7,0,0
"56546",0,10,5,5
"56547",0,10,7,8
"56548",5,5,5,2
"56549",5,5,0,3
"56550",10,5,5,0
"56551",10,5,6,0
"56552",4,8,5,3
"56553",10,4,3,4
"56554",10,1,0,0
"56555",7,4,4,2
"56556",4,10,9,8
"56557",8,1,2,0
"56558",3,7,5,7
"56559",10,10,10,9
"56560",4,9,5,4
"56561",5,10,9,9
"56562",8,0,2,0
"56563",10,5,4,0
"56564",10,0,0,0
"56565",5,10,10,9
"56566",5,5,0,0
"56567",10,0,0,0
"56568",1,10,9,8
"56569",10,0,0,0
"56570",4,0,0,0
"56571",4,10,8,8
"56572",0,10,5,0
"56573",8,3,4,0
"56574",0,9,10,9
"56575",7,0,4,0
"56576",0,8,10,6
"56577",3,10,8,5
"56578",6,10,9,0
"56579",2,10,9,4
"56580",0,7,5,8
"56581",9,4,4,0
"56582",10,2,0,0
"56583",2,8,6,3
"56584",8,0,0,0
"56585",8,7,6,0
"56586",0,5,0,0
"56587",3,6,6,5
"56588",3,8,4,3
"56589",10,0,0,0
"56590",0,8,10,9
"56591",5,5,5,5
"56592",5,8,6,4
"56593",0,5,2,0
"56594",8,0,0,0
"56595",4,6,5,5
"56596",0,8,8,9
"56597",0,8,8,8
"56598",8,2,7,0
"56599",5,5,5,5
"56600",5,10,5,8
"56601",7,4,4,0
"56602",0,0,0,0
"56603",5,2,4,1
"56604",3,8,10,7
"56605",10,3,0,0
"56606",10,0,0,0
"56607",10,2,2,0
"56608",6,2,2,0
"56610",0,3,2,10
"56611",0,7,8,7
"56612",10,0,5,3
"56613",9,2,2,0
"56614",9,5,3,8
"56615",0,0,0,0
"56616",3,9,8,2
"56617",0,10,10,10
"56618",9,0,0,0
"56619",10,0,0,0
"56620",1,10,10,8
"56621",5,7,6,5
"56622",3,10,10,7
"56623",1,10,7,5
"56624",4,7,7,9
"56625",5,0,0,0
"56626",0,5,5,4
"56627",6,9,7,4
"56628",10,0,0,0
"56629",10,0,0,0
"56630",1,10,7,8
"56631",10,0,0,0
"56632",8,6,4,5
"56633",4,7,4,7
"56634",10,10,0,0
"56635",8,1,4,0
"56637",4,5,5,3
"56638",8,0,3,0
"56639",0,7,5,5
"56640",5,4,3,0
"56641",0,5,5,0
"56642",2,6,1,4
"56643",1,10,8,9
"56644",0,8,10,5
"56645",0,10,0,0
"56646",8,2,1,0
"56647",0,5,7,5
"56648",9,0,0,0
"56649",5,0,0,0
"56650",2,9,7,8
"56651",0,10,9,5
"56652",4,5,4,9
"56653",4,7,9,3
"56655",0,10,8,8
"56656",10,0,0,0
"56657",9,7,0,5
"56658",10,0,0,0
"56659",10,0,0,0
"56660",0,10,8,9
"56661",0,10,5,5
"56662",3,7,5,4
"56663",0,10,8,8
"56664",6,7,7,4
"56665",10,0,0,0
"56666",10,0,0,0
"56667",10,4,3,0
"56668",9,8,2,0
"56669",9,1,0,0
"56670",7,3,0,0
"56671",10,2,3,1
"56672",7,7,8,7
"56673",8,0,3,0
"56674",0,10,10,10
"56675",8,2,1,0
"56676",0,10,8,8
"56677",8,2,3,0
"56678",7,2,5,0
"56679",6,5,5,4
"56680",8,5,5,0
"56681",7,6,4,0
"56682",0,0,0,0
"56683",3,9,5,0
"56684",0,6,4,9
"56685",7,4,3,0
"56686",2,6,6,5
"56687",0,8,10,5
"56688",0,8,5,5
"56689",10,5,6,0
"56690",0,9,4,4
"56691",4,8,4,0
"56692",6,0,4,3
"56693",10,0,0,0
"56694",2,8,6,9
"56695",4,8,6,2
"56696",3,0,0,0
"56699",10,0,0,0
"56700",2,7,7,3
"56701",0,0,0,0
"56702",10,8,7,0
"56703",7,3,3,0
"56704",10,10,10,10
"56705",8,0,2,0
"56706",6,1,2,0
"56707",3,8,6,4
"56708",10,5,5,0
"56709",5,6,3,0
"56710",10,0,0,0
"56711",0,10,9,8
"56712",6,4,5,1
"56713",10,4,3,0
"56714",10,3,0,0
"56715",5,3,5,2
"56716",0,9,10,8
"56717",9,5,5,3
"56718",0,10,10,10
"56719",10,0,0,0
"56720",5,7,7,0
"56721",4,8,8,8
"56722",0,9,9,9
"56723",5,10,5,5
"56724",5,10,6,7
"56725",0,8,8,0
"56726",8,0,0,0
"56727",9,6,4,0
"56728",1,7,4,6
"56729",0,5,3,7
"56730",0,10,10,10
"56731",10,3,3,0
"56732",7,0,0,0
"56733",0,10,10,10
"56734",5,6,10,0
"56735",1,2,2,1
"56738",0,9,9,8
"56739",2,7,5,6
"56740",3,8,7,6
"56741",0,7,10,5
"56742",6,4,4,0
"56743",0,10,10,10
"56744",7,2,3,0
"56745",0,0,0,0
"56746",8,2,2,2
"56747",8,6,4,2
"56748",0,8,5,5
"56749",5,10,5,5
"56750",10,1,3,0
"56751",0,5,10,10
"56752",5,3,1,0
"56753",9,5,1,0
"56754",10,0,0,0
"56755",3,0,0,0
"56756",10,0,0,0
"56757",6,4,2,0
"56758",5,7,4,4
"56760",0,10,9,10
"56761",9,0,0,0
"56762",7,5,0,3
"56764",8,0,0,0
"56765",7,0,0,0
"56766",8,3,1,0
"56767",3,2,8,0
"56768",0,10,7,0
"56769",8,0,0,0
"56770",5,5,3,3
"56771",2,10,8,6
"56772",3,8,8,5
"56773",0,0,2,0
"56774",0,4,5,2
"56775",3,4,4,3
"56776",10,1,0,0
"56777",10,2,5,0
"56778",0,10,5,5
"56779",3,5,5,7
"56780",10,0,0,0
"56781",0,10,8,4
"56782",1,10,0,6
"56783",0,0,5,0
"56784",10,0,0,0
"56785",9,4,4,0
"56786",10,0,0,0
"56787",0,10,5,8
"56788",0,6,8,0
"56789",8,7,3,0
"56790",10,0,0,0
"56791",9,6,0,0
"56792",2,5,6,8
"56793",10,5,8,0
"56794",0,10,7,3
"56795",10,0,0,0
"56796",0,10,4,9
"56797",3,7,10,7
"56798",0,10,5,10
"56800",5,5,4,4
"56801",4,8,6,8
"56802",4,6,4,0
"56803",3,9,8,7
"56805",0,0,0,0
"56806",7,0,5,0
"56807",10,2,2,0
"56808",0,10,8,6
"56809",3,6,7,6
"56810",3,10,8,10
"56811",1,8,8,6
"56812",0,10,0,0
"56813",10,0,0,0
"56814",2,6,4,1
"56815",6,0,1,0
"56816",0,7,8,1
"56817",5,0,0,0
"56818",0,10,6,7
"56819",4,8,7,5
"56820",8,3,0,0
"56821",10,0,2,0
"56822",10,0,0,0
"56823",8,0,0,0
"56824",8,7,1,0
"56825",7,5,5,5
"56826",4,7,7,0
"56827",10,0,0,0
"56828",0,10,10,10
"56829",10,0,0,0
"56830",0,10,10,8
"56831",5,8,8,1
"56832",3,10,5,5
"56833",8,6,6,7
"56834",10,3,3,0
"56835",2,8,8,2
"56837",0,5,0,0
"56838",5,5,0,0
"56839",5,2,5,2
"56840",2,10,8,4
"56841",0,10,8,9
"56842",8,2,2,0
"56843",9,0,0,0
"56844",9,9,7,8
"56845",10,0,0,0
"56846",0,5,3,3
"56847",0,0,5,0
"56848",0,0,0,0
"56849",3,4,4,4
"56850",0,7,9,5
"56851",10,0,0,0
"56852",7,6,6,0
"56853",8,0,0,0
"56854",7,3,3,0
"56856",0,5,5,0
"56857",10,10,0,0
"56858",3,5,6,0
"56859",10,0,0,0
"56860",0,10,9,8
"56861",10,2,2,0
"56862",4,8,6,7
"56863",9,6,4,3
"56864",0,10,5,3
"56865",10,5,3,0
"56866",7,7,6,3
"56867",2,9,6,6
"56868",0,10,10,5
"56869",0,10,10,10
"56870",1,8,4,0
"56871",9,5,5,0
"56872",0,8,5,5
"56873",8,1,3,0
"56874",7,0,0,0
"56875",4,9,5,6
"56876",0,10,8,9
"56877",5,2,1,0
"56878",5,8,3,1
"56879",10,5,3,1
"56880",0,8,8,9
"56881",0,10,5,8
"56882",5,5,3,4
"56883",5,5,5,3
"56884",10,0,0,0
"56885",8,3,5,1
"56886",0,10,8,4
"56887",10,3,4,4
"56888",0,6,4,4
"56890",0,5,10,0
"56891",7,8,10,6
"56892",10,0,0,0
"56893",2,10,5,8
"56894",10,0,0,0
"56895",5,3,5,0
"56896",7,4,6,4
"56897",0,8,0,10
"56898",10,1,1,0
"56899",10,5,4,0
"56900",1,8,6,10
"56901",7,0,0,0
"56902",2,9,7,6
"56903",10,0,0,0
"56904",0,8,8,10
"56905",4,10,7,4
"56906",9,1,0,0
"56907",8,5,5,0
"56909",10,0,0,0
"56910",10,2,2,0
"56911",5,7,5,4
"56912",4,10,5,0
"56913",1,1,1,1
"56914",10,0,0,0
"56915",10,4,3,0
"56916",5,6,6,3
"56917",5,6,8,9
"56918",5,10,8,7
"56919",5,7,8,0
"56920",0,5,7,6
"56921",0,9,5,6
"56922",0,0,0,0
"56923",4,8,6,7
"56924",0,7,5,9
"56925",5,6,3,4
"56926",0,10,7,10
"56927",6,3,5,0
"56928",8,4,6,7
"56929",4,8,5,3
"56930",5,0,2,0
"56931",8,6,5,2
"56932",3,7,5,3
"56933",8,2,7,5
"56934",10,3,0,0
"56935",5,3,3,0
"56937",8,9,4,3
"56939",0,9,5,10
"56940",0,10,3,7
"56941",0,0,0,0
"56942",10,0,0,0
"56943",0,8,10,3
"56944",7,5,3,0
"56945",2,10,3,3
"56946",3,10,5,7
"56947",10,0,3,0
"56948",1,9,2,3
"56950",9,4,2,0
"56952",0,8,10,8
"56953",7,9,3,0
"56954",9,4,4,2
"56955",10,0,1,0
"56956",10,0,0,0
"56957",3,10,5,10
"56958",0,10,0,0
"56959",6,3,0,0
"56960",10,0,0,0
"56961",10,0,0,0
"56962",4,8,8,6
"56963",0,10,6,8
"56964",6,6,5,0
"56965",0,10,6,9
"56966",10,8,2,10
"56967",4,8,7,6
"56968",10,0,0,0
"56969",2,10,8,10
"56970",3,6,5,3
"56971",0,10,10,10
"56972",0,6,10,8
"56973",0,10,9,10
"56974",7,8,8,4
"56975",10,0,0,0
"56976",9,8,6,7
"56977",5,10,10,5
"56978",6,1,5,4
"56979",5,10,8,10
"56980",10,5,2,0
"56981",5,6,7,2
"56982",7,0,0,1
"56983",10,1,1,0
"56984",8,2,3,1
"56985",1,8,4,10
"56986",7,3,0,0
"56987",10,0,0,0
"56988",3,7,3,4
"56989",0,10,5,10
"56990",2,10,8,9
"56991",10,0,0,0
"56992",10,0,0,0
"56993",0,10,10,10
"56994",8,10,0,0
"56995",10,0,0,0
"56996",0,9,7,10
"56997",4,8,6,7
"56998",6,5,5,7
"56999",8,0,0,0
"57000",1,9,7,9
"57001",0,0,8,0
"57002",10,0,0,0
"57003",10,0,0,0
"57004",3,5,10,4
"57005",6,6,6,0
"57006",5,5,5,5
"57008",10,0,0,0
"57009",4,8,5,7
"57010",0,10,10,10
"57011",2,9,5,9
"57012",10,0,0,0
"57013",7,0,0,0
"57014",3,9,5,2
"57015",10,4,0,0
"57016",10,3,2,0
"57017",0,0,0,0
"57018",10,0,0,0
"57019",0,5,10,10
"57020",10,6,4,4
"57021",7,2,5,0
"57022",0,10,2,10
"57023",10,5,0,4
"57024",0,10,5,10
"57025",1,9,5,8
"57026",0,0,4,0
"57027",4,2,2,2
"57028",5,3,0,0
"57029",7,7,5,0
"57030",2,4,4,2
"57031",10,8,0,0
"57032",10,1,3,0
"57033",8,0,0,2
"57034",0,10,0,0
"57035",3,7,5,3
"57036",10,0,0,0
"57037",6,5,5,5
"57038",3,6,8,4
"57039",0,5,7,1
"57040",4,8,6,9
"57041",7,2,2,1
"57042",3,5,0,0
"57043",0,9,7,3
"57044",10,5,5,0
"57045",7,7,0,0
"57046",9,5,2,4
"57047",0,10,10,10
"57048",8,0,0,0
"57049",0,10,7,5
"57050",7,0,0,0
"57051",7,0,0,0
"57052",3,7,5,4
"57053",5,8,5,10
"57054",0,10,5,9
"57055",3,6,0,0
"57056",10,8,5,4
"57057",6,0,0,0
"57058",10,0,0,0
"57059",0,0,0,0
"57060",8,0,0,0
"57061",8,0,0,0
"57062",10,0,0,0
"57063",0,9,9,7
"57064",6,8,3,8
"57065",10,0,0,0
"57066",8,3,5,0
"57067",1,8,10,8
"57068",0,5,5,4
"57069",8,0,6,0
"57070",0,10,10,10
"57071",6,5,4,5
"57072",4,8,5,5
"57073",10,3,5,3
"57074",8,3,0,0
"57075",1,6,7,3
"57076",10,0,0,0
"57077",7,3,4,2
"57078",10,0,2,0
"57079",8,2,2,0
"57080",8,0,0,0
"57081",8,2,0,0
"57082",5,10,10,10
"57083",9,2,1,0
"57084",4,4,3,3
"57085",7,5,6,4
"57086",2,10,4,0
"57087",10,6,5,0
"57088",0,0,0,0
"57089",8,0,0,0
"57090",8,2,3,0
"57091",0,6,10,8
"57092",0,10,8,4
"57093",0,10,0,10
"57094",6,10,5,5
"57095",5,8,5,7
"57096",3,0,0,0
"57097",6,7,8,0
"57098",10,0,10,0
"57099",10,10,5,4
"57100",0,5,5,10
"57101",10,2,2,0
"57102",0,5,5,10
"57103",10,0,0,0
"57104",2,7,6,5
"57105",7,4,4,0
"57106",7,9,10,8
"57107",2,3,7,3
"57108",10,0,0,5
"57109",5,5,4,3
"57110",10,0,0,0
"57111",0,10,8,5
"57112",8,5,2,0
"57113",3,9,8,7
"57114",10,0,0,0
"57115",5,5,5,0
"57116",5,9,0,7
"57117",10,8,0,3
"57118",3,8,7,7
"57119",1,4,5,6
"57120",0,10,10,10
"57121",8,0,0,0
"57122",0,4,0,0
"57123",1,5,5,8
"57124",0,9,7,7
"57125",9,5,1,0
"57126",10,1,3,0
"57127",0,2,6,7
"57128",3,5,5,0
"57129",0,8,5,10
"57130",8,2,2,0
"57131",10,5,0,3
"57132",0,7,9,7
"57133",9,0,0,0
"57134",3,10,6,0
"57135",0,9,2,8
"57136",0,8,8,6
"57137",0,10,8,6
"57138",8,4,7,0
"57139",0,10,10,10
"57140",10,5,0,0
"57141",10,0,0,0
"57142",10,0,0,0
"57143",9,0,0,0
"57144",10,1,0,1
"57145",6,0,0,4
"57146",10,0,0,0
"57147",10,0,0,0
"57148",8,5,6,7
"57149",3,7,5,6
"57150",0,9,1,10
"57151",10,0,6,0
"57152",5,8,4,2
"57153",5,0,0,0
"57154",5,8,9,6
"57155",0,8,6,6
"57156",8,0,0,3
"57157",9,5,3,3
"57158",0,10,9,8
"57159",0,0,0,0
"57160",7,3,5,0
"57161",0,10,8,0
"57162",8,7,7,1
"57163",5,8,6,3
"57164",0,10,2,10
"57165",0,0,0,0
"57166",2,7,0,0
"57167",10,2,3,1
"57168",2,6,5,3
"57169",3,7,5,6
"57170",0,8,9,10
"57171",0,0,0,0
"57172",9,0,1,0
"57173",10,0,0,0
"57174",7,4,2,0
"57175",8,4,3,0
"57176",5,10,8,7
"57177",10,0,0,0
"57178",10,0,0,0
"57179",10,0,0,0
"57180",7,1,1,2
"57181",4,5,8,7
"57182",10,0,0,0
"57183",5,0,0,2
"57184",6,4,2,1
"57185",3,7,5,0
"57186",10,0,3,0
"57187",3,3,5,4
"57188",10,0,5,3
"57189",7,4,3,3
"57190",8,4,4,4
"57191",6,2,1,0
"57192",2,10,3,7
"57193",10,0,5,0
"57194",0,10,10,8
"57196",0,10,2,3
"57197",0,10,8,9
"57198",9,0,3,0
"57199",8,5,2,0
"57200",0,7,5,3
"57201",6,8,5,4
"57202",0,6,10,9
"57203",0,0,0,0
"57204",9,2,3,0
"57205",1,8,5,8
"57206",10,0,0,0
"57207",4,3,3,6
"57208",0,9,8,1
"57209",10,0,0,10
"57210",1,10,5,4
"57211",8,3,4,3
"57212",8,0,0,0
"57213",1,6,6,5
"57214",0,10,10,0
"57215",10,3,4,0
"57216",10,0,0,0
"57217",4,10,6,5
"57218",7,4,1,0
"57219",5,8,5,5
"57220",3,5,5,3
