"","cand_A","cand_B"
"57699",1,9
"57700",4,6
"57701",3,6
"57702",4,8
"57703",10,2
"57704",2,8
"57705",10,5
"57706",3,7
"57707",2,7
"57708",5,5
"57709",7,6
"57710",1,8
"57711",9,3
"57712",10,5
"57713",9,2
"57714",5,8
"57715",8,3
"57716",5,6
"57717",5,5
"57718",5,9
"57719",6,8
"57720",4,6
"57721",3,7
"57722",4,8
"57723",5,5
"57724",4,6
"57725",10,0
"57726",3,8
"57727",6,6
"57728",1,10
"57729",0,10
"57730",5,5
"57731",7,4
"57732",4,7
"57733",7,6
"57734",7,2
"57735",4,9
"57736",2,7
"57737",10,0
"57738",0,10
"57739",2,7
"57740",9,2
"57741",4,5
"57742",4,8
"57743",8,0
"57744",8,4
"57745",5,9
"57746",9,1
"57747",8,5
"57748",8,6
"57749",5,0
"57750",8,2
"57751",5,6
"57752",8,5
"57753",8,6
"57754",5,5
"57755",4,6
"57756",10,0
"57757",4,4
"57758",4,7
"57759",9,1
"57760",8,2
"57761",8,7
"57762",8,3
"57763",7,3
"57764",10,2
"57765",5,9
"57766",6,8
"57767",5,5
"57768",5,5
"57769",9,9
"57770",8,4
"57771",9,4
"57772",8,8
"57773",6,3
"57774",7,3
"57775",4,3
"57776",0,2
"57777",0,10
"57778",10,0
"57779",10,2
"57780",4,7
"57781",6,5
"57782",3,3
"57783",4,8
"57784",9,2
"57785",8,1
"57786",5,6
"57787",10,3
"57788",0,10
"57789",5,3
"57790",8,8
"57791",8,4
"57792",5,5
"57793",5,5
"57794",5,9
"57795",3,7
"57796",5,5
"57797",8,3
"57798",5,5
"57799",4,6
"57800",8,6
"57801",10,0
"57802",3,7
"57803",3,6
"57804",2,2
"57805",0,8
"57806",6,6
"57807",8,3
"57808",2,7
"57809",0,1
"57810",1,8
"57811",8,2
"57812",5,1
"57813",8,8
"57814",0,10
"57815",7,0
"57816",8,4
"57817",8,2
"57818",4,7
"57819",6,10
"57820",4,9
"57821",8,1
"57822",0,7
"57823",5,5
"57824",10,2
"57825",7,3
"57826",8,2
"57827",7,2
"57828",10,6
"57829",9,2
"57830",5,5
"57831",8,2
"57832",7,2
"57833",4,8
"57834",6,7
"57835",8,4
"57836",3,7
"57837",0,7
"57838",9,7
"57839",8,1
"57840",5,2
"57841",10,0
"57842",1,7
"57843",5,5
"57844",0,10
"57845",8,6
"57846",2,8
"57847",2,8
"57848",5,5
"57849",8,2
"57850",8,6
"57851",0,10
"57852",10,1
"57853",6,6
"57854",5,7
"57855",4,8
"57856",4,5
"57857",10,0
"57858",7,4
"57859",10,5
"57860",5,10
"57861",3,8
"57862",3,7
"57863",2,3
"57864",7,1
"57865",8,6
"57866",5,5
"57867",7,2
"57868",1,5
"57869",9,2
"57870",0,10
"57871",0,10
"57872",3,6
"57873",0,7
"57874",1,10
"57875",5,6
"57876",3,5
"57877",8,7
"57878",7,7
"57879",9,0
"57880",4,6
"57881",9,0
"57882",3,6
"57883",5,7
"57884",5,5
"57885",1,9
"57886",9,3
"57887",5,8
"57888",6,1
"57889",9,4
"57890",3,8
"57891",6,6
"57892",1,6
"57893",4,8
"57894",2,8
"57895",9,5
"57896",5,8
"57897",5,5
"57898",9,1
"57899",10,0
"57900",2,8
"57901",5,4
"57902",0,10
"57903",1,7
"57904",4,8
"57905",10,0
"57906",5,6
"57907",6,5
"57908",3,7
"57909",4,8
"57910",10,0
"57911",7,0
"57912",5,5
"57913",0,0
"57914",7,2
"57915",6,8
"57916",1,2
"57917",9,1
"57918",5,8
"57919",8,0
"57920",5,10
"57921",5,5
"57922",2,8
"57923",5,8
"57924",1,8
"57925",5,5
"57926",7,5
"57927",7,2
"57928",6,5
"57929",10,3
"57930",4,10
"57931",0,10
"57932",10,5
"57933",9,2
"57934",9,2
"57935",0,9
"57936",3,9
"57937",6,6
"57938",3,9
"57939",7,2
"57940",2,9
"57941",3,4
"57942",5,5
"57943",10,4
"57944",3,7
"57945",0,10
"57946",7,2
"57947",7,4
"57948",9,5
"57949",8,6
"57950",6,4
"57951",3,8
"57952",5,6
"57953",8,4
"57954",5,4
"57955",8,1
"57956",4,5
"57957",0,10
"57958",9,2
"57959",3,4
"57960",5,5
"57961",5,5
"57962",4,6
"57963",9,3
"57964",2,8
"57965",10,0
"57966",2,3
"57967",0,10
"57968",1,9
"57969",6,7
"57970",5,10
"57971",8,6
"57972",6,4
"57973",8,3
"57974",7,2
"57975",7,3
"57976",2,7
"57977",1,9
"57978",7,9
"57979",6,7
"57980",7,2
"57981",4,8
"57982",9,4
"57983",10,0
"57984",10,5
"57985",4,1
"57986",3,3
"57987",7,2
"57988",4,5
"57989",7,3
"57990",8,5
"57991",0,0
"57992",8,3
"57993",0,10
"57994",3,8
"57995",5,7
"57996",10,4
"57997",7,5
"57998",5,5
"57999",2,2
"58000",8,3
"58001",0,10
"58002",0,9
"58003",10,10
"58004",9,4
"58005",0,6
"58006",7,1
"58007",4,6
"58008",8,0
"58009",5,5
"58010",6,3
"58011",5,7
"58012",7,7
"58013",10,3
"58014",0,8
"58015",7,5
"58016",10,0
"58017",4,4
"58018",10,5
"58019",10,5
"58020",7,0
"58021",4,7
"58022",8,2
"58023",3,9
"58024",9,4
"58025",2,8
"58026",7,5
"58027",7,3
