,A,B,C,F
v1,0.6,0.5,0.6,
v2,0.7,0.3,0.8,0.2
v3,0.2,0.8,0.0,0.8
v4,0.7,0.8,0.6,0.6
v5,0.7,0.0,0.8,0.2
v6,0.5,0.3,0.8,0.2
v7,0.8,0.2,0.8,0.0
v8,1.0,0.0,0.5,0.1
v9,0.2,0.9,0.2,0.6
v10,0.5,0.9,0.1,0.8
v11,0.7,0.0,1.0,0.0
v12,0.7,0.5,0.7,0.4
v13,0.8,0.4,0.8,0.5
v14,0.8,0.5,0.4,0.5
v15,0.3,1.0,0.0,0.8
v16,0.7,0.7,0.5,0.3
v17,0.7,1.0,0.0,1.0
v18,0.3,0.7,0.3,0.6
v19,0.5,0.8,0.2,0.8
v20,1.0,0.0,0.0,0.0
v21,0.7,0.3,0.5,0.3
v22,0.9,0.7,0.8,0.8
v23,0.1,0.5,0.0,0.2
v24,0.8,0.0,1.0,0.0
v25,0.6,0.8,0.3,
v26,0.0,0.8,0.0,0.7
v27,0.0,0.0,0.0,0.3
v28,0.0,0.8,0.0,0.9
v29,0.5,0.5,0.5,0.5
v30,0.4,0.8,0.6,0.8
v31,0.8,0.2,0.8,0.2
v32,0.3,1.0,0.3,0.7
v33,0.7,0.0,1.0,0.0
v34,0.9,0.5,0.8,0.5
v35,0.7,0.8,0.8,0.6
v36,0.9,0.0,0.4,0.0
v37,0.5,0.0,0.5,0.3
v38,1.0,0.0,0.9,0.2
v39,1.0,0.0,1.0,0.0
v40,0.6,0.0,0.7,0.0
v41,0.5,0.9,0.0,0.8
v42,0.6,0.6,0.2,0.5
v43,0.2,0.7,0.0,1.0
v44,0.2,0.8,0.4,0.9
v45,0.1,0.1,0.0,0.1
v46,0.8,0.6,0.3,0.4
v47,0.8,0.0,0.7,0.0
v48,0.9,0.1,0.5,0.0
v49,0.8,0.2,0.8,0.0
v50,0.8,0.4,0.0,0.0
v51,0.2,1.0,0.0,1.0
v52,1.0,0.5,0.9,0.5
v53,0.5,0.5,0.5,0.5
v54,0.8,0.2,0.2,0.2
v55,0.3,1.0,0.6,0.7
v56,0.9,0.1,0.6,0.1
v57,0.8,0.5,0.4,0.7
v58,0.5,0.7,0.1,0.7
v59,0.7,0.8,0.6,0.7
v60,0.7,0.6,0.6,0.4
v61,0.4,0.0,0.7,0.0
v62,0.0,0.9,0.2,0.9
v63,0.2,0.8,0.2,0.6
v64,0.6,0.8,0.3,0.8
v65,0.5,0.3,0.7,0.3
v66,0.0,0.8,0.3,0.6
v67,0.3,0.9,0.1,0.7
v68,0.3,0.7,0.5,0.6
v69,0.6,0.4,0.5,0.3
v70,0.7,0.0,0.7,0.4
v71,0.0,0.8,0.0,0.7
v72,0.7,0.3,0.8,0.4
v73,0.1,0.9,0.0,0.9
v74,0.3,0.2,0.7,0.1
v75,1.0,0.5,0.2,0.5
v76,0.2,0.2,0.4,0.2
v77,0.5,0.7,0.5,0.5
v78,0.5,0.4,0.7,0.0
v79,0.5,0.4,0.5,0.1
v80,0.0,1.0,0.0,0.5
v81,0.3,1.0,0.0,1.0
v82,0.9,0.7,0.8,0.7
v83,0.6,0.0,1.0,0.0
v84,0.9,0.3,0.6,0.3
v85,0.7,0.0,0.8,0.0
v86,0.5,0.8,0.5,0.8
v87,0.0,0.9,0.1,0.7
v88,0.8,0.3,0.9,0.2
v89,0.8,0.1,0.1,0.1
v90,0.7,0.4,0.7,0.4
v91,0.8,0.4,0.8,0.4
v92,0.9,0.5,0.8,0.5
v93,0.5,0.5,0.0,0.5
v94,0.5,0.5,0.0,0.0
v95,0.7,0.0,1.0,0.0
v96,0.5,0.7,0.7,0.4
v97,0.5,0.7,0.7,0.3
v98,0.2,0.8,0.0,0.8
v99,0.7,0.0,1.0,0.0
v100,0.7,0.9,0.1,0.9
v101,0.6,0.5,0.8,0.5
v102,0.5,0.5,0.4,0.0
v103,0.6,0.5,0.3,0.5
v104,0.9,0.7,0.7,0.2
v105,0.8,0.5,0.6,0.3
v106,0.3,0.7,0.1,0.5
v107,0.4,0.8,0.2,0.8
v108,0.5,0.5,0.5,0.5
v109,0.6,0.0,0.5,0.0
v110,0.0,0.4,0.0,0.8
v111,0.5,0.2,0.7,0.1
v112,0.7,0.0,0.4,0.2
v113,0.6,0.5,0.6,0.3
v114,0.5,0.6,0.8,0.6
v115,0.4,0.9,0.3,0.8
v116,0.0,0.4,0.0,1.0
v117,0.5,0.2,0.8,0.1
v118,0.7,0.3,0.7,0.2
v119,1.0,0.0,0.7,0.0
v120,0.3,0.8,0.0,0.8
v121,0.9,0.3,0.8,0.1
v122,0.9,0.4,0.7,0.4
v123,0.8,0.3,0.5,0.2
v124,0.6,0.3,0.3,0.3
v125,0.6,0.8,0.4,0.4
v126,0.8,0.3,0.7,0.4
v127,0.4,0.3,0.4,0.5
v128,0.3,0.0,1.0,0.0
v129,0.7,0.3,0.9,0.1
v130,0.2,0.5,0.2,0.5
v131,1.0,0.0,1.0,0.0
v132,0.9,0.2,0.7,0.3
v133,0.0,0.4,0.0,0.5
v134,0.6,0.3,0.5,0.1
v135,0.3,0.7,0.2,0.6
v136,0.1,0.9,0.0,0.4
v137,0.0,0.8,0.0,0.8
v138,0.5,0.7,0.1,0.4
v139,0.6,0.9,0.8,0.9
v140,0.1,0.0,0.1,0.0
v141,0.3,0.1,0.2,0.3
v142,0.9,0.3,0.7,0.0
v143,0.5,0.5,0.5,0.5
v144,0.9,0.2,0.3,0.0
v145,0.5,0.3,0.7,0.0
v146,0.7,0.2,0.9,0.0
v147,0.7,0.3,0.6,0.0
v148,0.5,0.5,0.5,0.5
v149,0.0,0.6,0.0,0.6
v150,0.6,0.1,0.8,0.0
v151,0.7,0.5,0.6,0.5
v152,0.7,0.5,0.5,0.7
v153,0.0,0.7,0.2,0.7
v154,0.4,0.8,0.4,0.6
v155,0.5,0.3,0.3,0.3
v156,0.2,0.9,0.2,0.5
v157,0.7,0.0,0.8,0.0
v158,0.7,0.3,0.5,0.2
v159,0.0,1.0,0.4,0.6
v160,0.5,0.2,0.4,0.2
v161,0.7,0.0,0.7,0.0
v162,0.7,0.4,0.5,0.1
v163,0.2,0.5,0.0,0.2
v164,0.3,0.6,0.0,0.4
v165,0.5,0.3,0.6,0.5
v166,0.7,0.5,0.8,0.4
v167,0.1,0.8,0.0,0.6
v168,0.6,0.9,0.1,0.9
v169,0.4,0.1,0.9,0.0
v170,0.7,0.0,0.6,0.2
v171,0.6,0.6,0.8,0.0
v172,0.5,0.5,0.0,0.5
v173,0.0,0.0,0.3,0.0
v174,1.0,0.0,1.0,0.0
v175,0.4,0.0,0.8,0.2
v176,0.7,0.3,0.7,0.1
v177,0.6,0.3,0.5,0.2
v178,0.5,0.5,0.5,0.5
v179,0.5,0.6,0.0,0.6
v180,0.7,0.6,0.8,0.6
v181,0.9,0.0,0.7,0.0
v182,0.7,0.5,0.5,0.4
v183,0.4,0.7,0.7,0.6
v184,0.8,0.2,0.3,0.4
v185,0.5,0.5,0.6,0.5
v186,1.0,0.1,0.7,0.1
v187,0.2,0.3,0.1,0.4
v188,0.8,0.0,0.8,0.0
v189,0.8,0.1,1.0,0.0
v190,0.5,1.0,0.0,0.9
v191,0.6,0.8,0.3,0.6
v192,1.0,0.1,1.0,0.1
v193,0.6,0.3,0.8,0.1
v194,0.5,0.7,0.3,0.7
v195,0.6,0.3,0.7,0.1
v196,0.0,1.0,0.0,1.0
v197,0.7,0.7,0.9,0.7
v198,0.3,0.7,0.0,0.7
v199,0.7,0.4,0.1,0.0
v200,0.7,0.0,1.0,0.0
v201,0.0,0.7,0.2,0.5
v202,0.0,0.5,0.0,0.5
v203,0.4,0.7,0.7,0.5
v204,0.8,0.2,0.7,0.2
v205,0.6,0.6,0.3,0.6
v206,0.8,0.3,0.5,0.3
v207,0.6,0.6,0.4,0.4
v208,0.6,0.7,0.0,0.4
v209,1.0,0.0,0.7,0.0
v210,0.7,0.7,0.7,0.7
v211,1.0,0.2,0.8,0.1
v212,0.4,0.9,0.0,0.9
v213,0.6,0.1,0.6,0.1
v214,0.8,0.0,0.8,0.0
v215,0.6,0.2,1.0,0.2
v216,0.5,1.0,0.1,1.0
v217,0.0,1.0,0.0,1.0
v218,1.0,0.3,1.0,0.1
v219,0.8,0.0,0.5,0.0
v220,0.7,0.7,0.0,0.8
v221,0.7,0.6,0.5,0.3
v222,0.9,0.4,0.7,0.4
v223,0.7,0.1,0.6,0.0
v224,0.8,0.2,0.6,0.2
v225,0.8,0.8,0.7,0.7
v226,0.6,0.7,0.6,0.7
v227,0.0,0.0,0.0,0.0
v228,0.7,0.5,0.8,0.3
v229,0.0,1.0,0.0,1.0
v230,0.5,0.3,0.5,0.3
v231,0.5,0.5,0.5,0.2
v232,0.0,1.0,0.0,1.0
v233,0.5,0.0,0.6,0.0
v234,0.2,0.6,0.5,0.5
v235,0.5,0.5,0.8,0.1
v236,0.6,0.8,0.4,0.7
v237,0.8,0.2,0.6,0.3
v238,0.7,0.2,0.9,0.1
v239,0.3,0.4,0.6,0.3
v240,0.8,0.8,0.8,0.0
v241,0.7,0.0,0.5,0.0
v242,0.7,0.4,0.6,0.7
v243,0.3,0.3,0.3,0.3
v244,0.8,0.6,0.5,0.6
v245,0.3,0.7,0.0,0.8
v246,0.9,0.0,1.0,0.0
v247,1.0,0.5,0.7,0.1
v248,0.7,0.0,0.9,0.0
v249,1.0,0.0,0.9,0.0
v250,0.7,0.0,1.0,0.0
v251,0.5,0.5,0.5,0.5
v252,1.0,0.8,0.8,0.8
v253,0.0,1.0,0.0,1.0
v254,0.8,0.3,1.0,0.1
v255,0.0,1.0,0.0,0.0
v256,0.8,0.0,0.8,0.0
v257,0.8,0.2,0.8,0.2
v258,0.8,0.8,0.6,0.6
v259,0.2,0.2,0.3,0.2
v260,0.2,1.0,0.1,1.0
v261,0.0,0.9,0.1,0.1
v262,0.8,0.8,0.9,0.8
v263,0.6,0.5,0.5,0.6
v264,0.6,0.3,0.6,0.1
v265,0.4,1.0,0.1,0.8
v266,0.6,0.5,0.1,0.7
v267,0.6,0.4,0.3,0.3
v268,0.6,0.7,0.3,0.8
v269,0.9,0.0,0.9,0.0
v270,0.5,0.7,0.3,0.7
v271,1.0,0.5,0.9,0.5
v272,0.6,0.4,0.5,0.2
v273,0.7,0.7,0.7,0.7
v274,0.0,0.3,0.0,0.9
v275,0.3,0.2,0.0,0.3
v276,0.4,1.0,0.2,0.8
v277,0.6,0.0,1.0,0.0
v278,0.5,0.7,0.0,0.9
v279,0.7,0.4,0.5,0.4
v280,0.5,0.6,0.4,0.1
v281,0.5,0.5,0.0,0.5
v282,0.6,0.5,0.4,0.2
v283,0.5,0.0,0.0,0.0
v284,0.6,0.5,0.6,0.5
v285,0.5,0.5,0.0,0.4
v286,0.0,0.6,0.0,0.6
v287,0.6,0.3,0.5,0.5
v288,0.5,0.5,0.7,0.5
v289,0.3,0.5,0.0,0.5
v290,0.5,1.0,0.1,0.9
v291,0.7,0.8,0.3,0.7
v292,0.6,0.8,0.0,0.8
v293,0.8,0.4,0.3,0.3
v294,1.0,0.0,0.0,0.0
v295,0.6,0.5,0.5,0.4
v296,0.7,0.7,0.6,0.5
v297,0.9,0.1,0.3,0.1
v298,0.7,0.3,0.8,0.3
v299,0.4,0.0,0.4,0.0
v300,0.7,0.8,0.0,0.6
v301,0.5,0.0,1.0,0.0
v302,1.0,0.0,0.8,0.0
v303,0.4,0.2,0.7,
v304,0.4,0.7,0.3,0.9
v305,0.8,0.0,0.7,0.2
v306,0.8,0.3,0.9,0.1
v307,0.0,0.7,0.0,0.0
v308,0.6,0.5,0.5,0.7
v309,0.6,0.3,0.9,0.2
v310,0.0,0.6,0.0,0.6
v311,0.1,0.1,0.1,0.1
v312,0.5,0.9,0.7,0.7
