,A,B,C,D,E,F,G
v1,0.0,0.4,0.8,0.6,0.7,0.4,0.4
v2,1.0,0.0,0.2,0.1,0.0,0.1,0.2
v3,0.1,0.5,0.7,0.6,0.6,0.2,0.5
v4,0.1,0.4,0.9,0.4,0.0,0.1,0.1
v5,0.0,1.0,0.5,0.7,0.7,0.5,0.0
v6,0.0,0.5,0.7,0.3,0.5,0.6,0.2
v7,0.0,0.5,0.4,0.5,0.1,0.2,
v8,0.0,0.4,0.8,0.7,0.6,0.5,0.8
v9,0.0,0.4,0.3,0.3,0.3,0.4,0.2
v10,1.0,0.7,0.0,0.3,0.0,0.2,0.0
v11,0.9,0.1,0.0,0.8,0.0,0.5,0.1
v12,0.1,0.0,1.0,0.2,0.2,0.4,0.3
v13,0.0,0.5,0.7,0.7,0.9,0.6,0.5
v14,0.0,0.3,0.5,0.1,0.5,0.1,0.0
v15,0.0,0.3,0.0,0.5,0.2,0.0,0.4
v16,0.6,1.0,0.2,0.3,0.2,0.0,0.0
v17,0.0,0.0,0.7,0.6,0.7,0.7,0.0
v18,0.0,0.7,0.7,0.9,0.7,,0.5
v19,0.1,0.5,0.8,1.0,0.4,0.1,0.1
v20,0.0,0.1,0.5,0.9,0.9,0.0,0.6
v21,0.0,0.4,0.0,0.0,0.0,0.0,0.0
v22,0.8,0.6,0.0,0.2,0.1,0.1,0.2
v23,0.0,0.3,0.6,0.4,0.5,0.1,0.1
v24,0.0,0.0,0.7,0.1,0.1,0.5,0.2
v25,0.0,0.4,0.4,0.7,0.7,0.4,0.1
v26,0.6,0.6,0.4,0.7,0.5,0.1,0.2
v27,0.3,0.8,0.0,0.7,0.4,,0.0
v28,0.0,0.0,0.6,0.2,0.7,0.8,0.3
v29,0.0,0.5,0.0,0.0,0.0,0.0,0.0
v30,0.7,0.4,0.2,0.3,0.0,0.2,0.2
v31,0.0,0.1,0.7,0.7,0.3,0.0,0.5
v32,0.7,0.7,0.4,0.7,0.1,0.1,
v33,0.3,0.5,0.0,0.0,0.0,0.0,0.0
v34,0.0,0.3,0.3,0.0,0.0,0.0,0.0
v35,0.0,0.8,0.1,0.7,0.0,0.2,0.0
v36,0.5,0.5,1.0,0.0,1.0,0.3,0.7
v37,0.7,0.1,0.1,0.1,0.0,0.0,0.0
v38,0.1,0.2,0.9,0.6,0.5,0.4,0.6
v39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v40,0.7,0.5,0.7,0.6,0.6,0.7,0.2
v41,0.0,0.5,0.9,0.6,0.9,0.6,0.7
v42,0.0,0.1,0.9,0.5,0.7,0.8,0.4
v43,0.0,0.3,0.2,0.7,1.0,0.6,0.0
v44,0.5,0.1,0.4,0.6,0.8,0.5,0.1
v45,0.0,0.4,0.8,0.8,0.8,0.5,0.5
v46,0.7,0.5,0.3,0.6,0.5,0.1,0.3
v47,0.0,0.2,0.5,0.0,0.0,0.2,0.0
v48,0.5,0.7,0.5,0.5,0.0,0.0,0.0
v49,0.0,0.2,0.6,0.2,0.6,,0.0
v50,0.0,0.4,0.0,0.9,0.7,0.3,0.8
v51,0.7,0.3,0.1,0.3,0.1,0.1,0.4
v52,0.0,0.4,0.4,0.2,0.9,0.6,0.2
v53,0.0,0.5,0.8,0.8,0.7,0.9,0.7
v54,0.0,0.9,0.6,0.7,0.7,0.7,0.4
v55,0.0,0.4,0.7,0.7,0.6,0.5,0.0
v56,0.3,0.3,0.0,0.3,0.0,0.0,0.0
v57,0.0,0.3,0.9,0.7,0.9,0.7,0.5
v58,0.0,0.3,0.7,0.7,1.0,,
v59,0.5,0.0,0.0,0.1,0.0,0.2,0.0
v60,0.0,0.8,0.0,0.7,0.4,0.0,0.0
v61,0.0,0.3,0.6,0.6,0.9,0.4,0.6
v62,0.0,0.5,0.3,1.0,0.6,0.0,0.0
v63,0.0,0.5,1.0,1.0,0.5,0.0,0.3
v64,0.0,0.3,0.6,0.4,1.0,0.5,
v65,0.2,0.9,0.8,0.8,0.9,0.7,0.8
v66,0.0,0.0,0.7,0.5,1.0,0.7,0.8
v67,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v68,0.0,1.0,0.1,1.0,0.4,0.0,0.0
v69,0.3,0.7,0.5,0.6,0.6,0.0,0.3
v70,0.0,0.3,0.3,0.6,0.7,0.0,0.0
v71,0.0,1.0,0.0,0.4,0.0,,0.0
v72,0.0,0.5,0.7,0.0,0.2,0.0,0.0
v73,0.7,0.8,0.0,0.4,0.0,0.0,0.0
v74,0.0,0.5,0.8,0.5,1.0,0.0,0.0
v75,0.0,0.0,0.7,0.2,0.8,0.4,0.6
v76,0.0,0.4,0.4,0.6,0.0,0.0,0.0
v77,0.0,0.4,0.3,0.6,0.9,0.0,0.0
v78,0.0,0.1,0.4,0.5,0.6,0.7,0.6
v79,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v80,0.0,0.5,0.4,0.8,1.0,0.2,0.0
v81,0.0,0.4,0.8,0.8,1.0,0.8,0.3
v82,1.0,0.0,0.4,0.2,0.0,0.1,0.0
v83,0.9,0.5,0.6,0.7,0.6,,
v84,0.6,0.8,0.0,0.2,0.2,0.0,0.1
v85,0.7,0.0,0.5,0.0,0.1,0.3,0.0
v86,0.4,0.8,0.7,0.8,0.8,0.6,0.1
v87,0.0,0.9,0.4,0.6,0.2,0.0,0.4
v88,0.0,0.1,0.6,0.1,0.3,0.9,0.0
v89,0.0,0.4,0.0,0.6,0.0,0.0,0.0
v90,0.5,0.5,0.5,0.0,0.0,0.0,0.0
v91,0.0,0.5,0.4,0.0,0.0,0.0,0.1
v92,0.0,0.6,0.5,0.5,1.0,0.8,0.0
v93,0.0,0.6,0.7,0.3,0.9,0.0,0.0
v94,1.0,0.1,0.0,0.2,0.0,0.4,0.0
v95,0.2,0.6,0.8,0.6,0.4,0.0,0.3
v96,0.5,1.0,0.0,0.7,0.0,0.0,0.0
v97,0.1,0.2,0.0,0.1,0.0,0.4,0.0
v98,0.6,0.6,0.6,0.6,0.2,0.3,0.5
v99,0.0,0.5,0.9,0.8,0.7,0.6,0.8
v100,1.0,0.4,0.0,0.0,0.0,0.0,0.1
v101,0.0,0.5,0.2,0.8,0.8,0.0,0.8
v102,0.0,0.1,0.7,0.7,1.0,0.5,0.1
v103,0.4,0.6,0.7,,0.7,1.0,1.0
v104,,,,,1.0,,
v105,0.6,0.6,0.2,0.4,0.1,0.5,0.2
v106,0.0,0.4,0.4,1.0,0.7,0.2,0.0
v107,0.0,0.8,0.2,0.8,0.5,0.0,0.0
v108,0.0,0.0,1.0,0.3,0.5,0.3,0.3
v109,0.7,0.2,0.5,0.5,0.1,0.3,0.0
v110,0.0,0.3,0.3,1.0,0.9,0.4,0.0
v111,0.6,0.6,0.4,0.1,0.3,0.7,0.2
v112,0.2,0.7,0.7,0.4,0.7,0.2,0.5
v113,0.0,0.2,1.0,0.1,1.0,0.3,0.2
v114,0.0,0.4,0.8,0.3,0.9,0.6,0.4
v115,0.5,0.1,0.9,0.5,0.1,,0.5
v116,0.0,0.3,0.4,0.4,0.2,0.1,0.7
v117,0.0,1.0,0.0,0.0,0.0,0.0,0.0
v118,0.0,0.8,0.7,0.7,0.0,0.0,0.7
v119,0.8,0.8,0.0,0.1,0.1,0.0,0.0
v120,0.0,0.8,0.5,0.6,0.6,0.4,0.4
v121,0.1,0.5,0.2,0.5,0.5,0.1,0.0
v122,0.4,0.7,0.1,0.1,0.2,0.0,0.0
v123,0.0,1.0,0.3,0.2,0.0,0.0,0.0
v124,0.0,0.5,0.0,0.8,0.0,0.0,0.0
v125,1.0,0.0,0.0,0.0,0.3,0.0,0.0
v126,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v127,0.0,0.5,0.5,0.4,0.3,0.3,0.5
v128,0.2,0.1,0.8,0.3,0.6,0.5,0.6
v129,0.0,1.0,0.6,0.4,0.2,0.3,0.6
v130,0.3,0.3,0.9,0.3,0.6,0.8,0.0
v131,0.0,0.8,0.0,0.8,0.0,0.0,0.0
v132,0.0,0.0,0.9,0.0,0.5,0.0,0.0
v133,0.0,0.6,0.8,0.7,0.8,0.3,0.6
v134,0.4,0.3,0.1,0.3,0.0,0.3,0.1
v135,0.0,0.1,0.2,0.7,0.6,0.3,0.2
v136,0.0,0.4,0.6,0.6,0.4,0.4,0.4
v137,0.0,0.3,0.3,0.3,0.7,0.7,0.7
v138,0.0,0.2,0.8,0.7,1.0,0.8,0.8
v139,0.3,0.8,0.5,0.4,0.2,0.0,0.0
v140,0.0,0.7,0.7,0.7,0.7,0.3,0.3
v141,0.2,0.2,0.2,0.2,0.2,0.0,0.0
v142,0.0,0.9,0.2,0.5,0.4,0.0,0.0
v143,0.0,0.2,0.7,0.5,0.6,0.3,0.8
v144,0.0,0.2,0.9,0.5,1.0,0.5,0.0
v145,0.0,0.5,0.6,0.5,0.5,0.6,0.6
v146,0.2,0.6,0.8,0.8,0.4,0.2,0.3
v147,0.7,0.0,0.1,0.3,0.0,0.5,0.7
v148,0.0,0.4,0.5,0.7,0.8,0.1,0.2
v149,0.7,0.0,0.5,0.1,0.0,0.4,0.0
v150,0.0,1.0,0.5,0.6,0.4,0.0,0.0
v151,0.0,0.5,0.4,0.9,0.8,0.0,0.0
v152,0.0,0.7,0.5,0.0,0.5,0.1,0.2
v153,0.0,0.8,0.4,0.5,0.6,0.4,0.6
v154,0.2,0.3,0.4,0.8,0.7,0.7,0.5
v155,0.0,0.9,0.6,0.8,0.4,0.0,0.7
v156,0.0,0.7,0.2,0.7,0.2,0.2,
v157,0.1,0.8,0.1,0.1,0.7,0.1,0.1
v158,0.0,0.2,0.9,0.5,1.0,0.7,0.5
v159,0.5,0.5,0.4,0.3,0.3,0.5,0.3
v160,0.0,0.4,1.0,0.6,0.7,0.0,0.3
v161,,0.0,0.0,0.0,0.0,0.0,0.0
v162,0.0,1.0,0.2,0.7,0.1,0.0,0.0
v163,0.5,1.0,0.0,0.0,0.0,0.0,0.0
v164,0.0,0.3,0.5,0.7,0.9,0.8,0.8
v165,0.3,0.5,0.4,0.2,0.2,0.0,0.0
v166,0.3,0.8,0.0,0.5,0.5,0.0,0.0
v167,0.8,0.5,0.6,0.8,0.0,0.0,0.0
v168,0.3,0.5,0.5,0.7,0.0,0.5,0.1
v169,0.0,0.7,0.7,0.9,0.5,0.0,0.6
v170,0.0,0.0,0.7,0.5,1.0,0.8,0.5
v171,1.0,0.1,1.0,0.2,0.1,0.1,0.1
v172,0.0,0.0,0.8,0.2,0.9,0.9,0.6
v173,0.0,0.3,0.8,0.1,1.0,0.6,0.0
v174,0.0,0.0,1.0,0.2,0.8,1.0,0.4
v175,0.0,0.1,0.8,0.7,1.0,0.7,0.0
v176,0.0,0.9,0.7,0.6,0.7,0.6,0.0
v177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v178,1.0,0.1,0.0,0.1,0.0,0.0,0.4
v179,0.0,0.3,0.9,0.6,0.9,0.2,0.5
v180,0.0,1.0,0.7,1.0,0.4,0.3,0.0
v181,0.0,0.6,0.2,1.0,0.4,0.0,0.3
v182,0.6,0.6,0.2,0.4,0.0,0.2,0.4
v183,0.0,0.2,0.9,0.4,0.6,0.6,0.5
v184,0.0,0.9,0.1,0.9,0.1,0.5,0.1
v185,0.0,1.0,0.4,1.0,0.3,0.0,0.0
v186,0.7,0.5,0.0,0.0,0.3,0.0,0.8
v187,0.0,0.0,0.6,0.5,0.4,0.4,0.0
v188,1.0,0.2,0.2,0.1,0.0,0.0,0.0
v189,0.0,0.2,0.2,0.8,0.8,0.1,0.1
v190,0.0,0.1,0.7,0.8,0.7,0.0,0.0
v191,0.0,0.2,0.9,0.2,1.0,0.2,0.2
v192,0.0,0.8,0.4,0.5,1.0,,
v193,0.1,0.1,0.7,0.9,0.9,0.2,0.9
v194,0.0,0.0,0.8,0.5,0.7,0.8,0.4
v195,0.4,0.2,0.7,0.8,0.1,,0.0
v196,0.5,0.4,0.3,0.4,0.0,0.0,0.1
v197,0.0,0.4,0.7,0.7,1.0,0.6,0.6
v198,0.5,1.0,0.0,0.0,0.0,0.0,0.0
v199,0.0,0.4,0.3,1.0,0.9,0.1,0.3
v200,0.1,0.6,0.5,0.8,0.6,0.3,0.2
v201,0.0,0.0,0.9,0.2,0.8,0.8,0.3
v202,0.0,0.1,1.0,0.7,0.4,0.3,0.3
v203,0.0,0.0,0.7,0.1,0.4,0.4,0.0
v204,0.6,0.8,0.5,0.4,0.3,0.0,0.3
v205,0.0,0.4,0.3,0.5,0.3,1.0,0.2
v206,0.0,0.2,0.6,0.9,0.4,0.4,0.0
v207,0.0,0.2,0.8,0.3,0.8,0.9,0.6
v208,0.7,0.6,0.2,0.0,0.0,0.0,0.0
v209,0.0,0.4,0.9,0.5,0.5,0.6,0.7
v210,0.0,0.1,0.7,0.2,0.8,0.6,0.3
v211,0.0,0.6,0.6,0.8,0.8,0.5,0.0
v212,0.0,0.2,0.9,0.2,1.0,0.9,0.9
v213,0.6,0.8,0.2,0.9,0.2,0.2,0.7
v214,0.4,0.4,0.3,0.3,0.2,0.2,0.5
v215,0.8,0.8,0.3,0.2,0.2,0.5,0.8
v216,0.6,0.1,0.0,0.1,0.0,0.3,0.3
v217,0.1,0.4,0.5,0.6,0.7,0.4,0.5
v218,0.1,0.6,0.4,0.8,0.8,,0.3
v219,0.0,0.4,0.6,0.5,0.8,0.7,0.8
v220,0.3,,0.1,0.3,0.0,0.0,0.0
v221,0.5,0.5,0.0,0.0,0.0,0.0,0.0
v222,0.0,0.8,0.0,0.0,0.3,0.0,0.0
v223,0.3,0.4,0.4,0.6,0.5,0.1,0.5
v224,0.5,0.8,0.7,0.5,0.8,0.0,0.0
v225,0.0,0.5,0.6,1.0,0.7,0.8,1.0
v226,0.0,0.4,0.4,0.6,0.3,0.2,
v227,1.0,0.4,0.0,0.0,0.0,0.0,0.2
v228,0.0,1.0,0.5,0.0,0.5,0.0,0.0
v229,0.0,1.0,0.5,0.9,0.9,0.0,0.0
v230,0.8,0.8,0.5,0.3,0.1,0.0,0.0
v231,0.0,1.0,0.5,0.6,0.5,0.0,0.0
v232,0.0,0.2,0.9,0.5,0.8,0.7,0.3
v233,0.0,0.5,0.3,0.7,0.3,0.2,0.8
v234,0.0,0.5,0.9,0.6,0.9,0.9,0.9
v235,0.0,0.0,0.4,0.0,0.4,0.5,0.0
v236,0.2,0.7,0.5,0.7,0.7,,0.1
v237,0.6,0.2,0.0,0.3,0.0,0.0,0.0
v238,0.6,0.7,0.3,0.6,0.6,0.2,0.2
v239,0.0,0.3,0.7,0.7,0.7,0.3,0.3
v240,0.0,0.0,0.9,0.1,0.9,0.5,
v241,0.9,0.6,0.6,0.0,0.3,0.1,0.1
v242,0.1,0.5,0.5,0.3,0.3,0.8,0.7
v243,0.0,0.0,0.6,0.2,0.5,0.6,0.1
v244,0.1,0.6,0.3,0.7,0.5,0.2,0.3
v245,0.0,0.6,0.0,0.7,0.7,0.4,0.7
v246,0.0,0.5,0.3,0.2,0.4,0.2,0.0
v247,0.0,1.0,0.2,0.8,0.3,0.0,
v248,0.0,0.3,0.8,0.8,0.8,0.7,0.7
v249,0.0,0.2,0.8,0.3,0.6,0.3,0.0
v250,0.0,0.2,0.2,0.4,0.4,0.2,1.0
v251,0.0,0.2,0.3,0.5,0.2,0.4,
v252,1.0,0.0,0.2,0.3,0.0,0.0,0.1
v253,0.2,0.5,0.0,0.7,0.0,0.0,0.0
v254,0.0,0.3,0.9,0.8,0.8,0.9,0.4
v255,0.0,0.3,0.8,1.0,0.2,0.3,1.0
v256,,,,,1.0,,
v257,0.8,0.8,0.0,0.0,0.0,0.0,0.0
v258,0.0,1.0,0.4,0.6,0.6,0.0,0.0
v259,0.0,1.0,0.9,0.9,0.5,0.3,0.3
v260,0.0,0.1,0.1,0.0,0.1,0.0,0.0
v261,0.0,0.7,1.0,0.6,0.9,0.0,0.0
v262,0.0,0.6,0.0,1.0,0.8,0.0,0.1
v263,0.0,0.4,1.0,0.3,0.6,0.2,0.0
v264,0.0,0.2,0.6,0.7,0.5,0.5,0.4
v265,0.0,,,0.0,1.0,0.0,
v266,0.0,0.1,0.6,0.7,0.8,0.6,0.4
v267,0.0,1.0,0.0,0.4,0.0,0.0,0.0
v268,0.1,0.2,0.7,0.5,0.3,0.3,0.2
v269,,,0.3,,0.3,,
v270,0.0,0.8,0.5,0.6,0.5,0.2,0.2
v271,1.0,0.1,0.0,0.0,0.0,0.0,
v272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v273,0.0,0.7,0.3,0.5,0.1,0.6,0.9
v274,0.1,0.9,0.1,0.8,0.1,0.0,0.8
v275,0.8,0.6,0.0,0.6,0.0,0.0,0.0
v276,0.0,0.2,0.9,0.6,0.7,0.7,0.7
v277,0.0,0.7,0.9,0.7,1.0,0.8,0.2
v278,0.0,0.5,0.5,1.0,0.1,0.0,0.0
v279,0.2,0.0,1.0,0.8,0.0,0.0,0.0
v280,0.8,0.7,0.0,0.2,0.0,,0.0
v281,0.0,0.3,0.4,1.0,0.7,0.0,0.0
v282,0.0,0.0,0.5,0.2,0.8,0.8,0.5
v283,0.0,0.5,1.0,0.5,0.4,,
v284,0.3,0.3,0.3,0.3,0.3,0.3,0.3
v285,0.0,0.5,0.7,0.5,0.7,0.0,0.0
v286,0.9,0.9,0.3,0.2,0.1,0.2,0.3
v287,0.7,0.0,0.0,0.0,0.0,,
v288,0.8,0.5,0.3,0.6,0.3,,
v289,0.1,0.2,0.6,0.8,0.7,0.5,0.7
v290,0.0,0.0,1.0,0.4,0.2,0.0,0.2
v291,0.9,0.9,0.2,0.3,0.1,0.0,0.5
v292,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v293,0.0,0.0,0.8,0.6,0.0,0.0,0.0
v294,0.0,0.6,0.5,0.7,0.7,0.1,0.3
v295,0.0,0.4,0.8,0.2,0.4,0.0,0.5
v296,0.0,0.0,0.8,1.0,0.0,,
v297,0.3,0.1,0.8,0.4,0.5,0.8,0.6
v298,0.0,1.0,0.5,0.4,0.1,0.1,0.0
v299,0.0,0.1,0.5,0.3,0.9,0.8,0.5
v300,1.0,0.0,0.0,0.0,0.0,0.3,0.3
v301,0.0,0.0,0.8,0.0,0.9,1.0,0.6
v302,0.0,0.4,1.0,0.8,0.8,0.0,0.0
v303,0.0,0.5,0.0,1.0,0.3,0.0,0.0
v304,0.0,0.6,0.8,0.7,0.9,0.7,0.7
v305,0.0,0.2,0.5,0.5,0.5,0.5,0.0
v306,0.4,0.8,0.2,1.0,0.5,0.0,0.3
v307,0.5,0.6,0.9,0.5,0.9,0.5,0.3
v308,0.0,0.8,0.5,0.9,0.7,0.2,0.5
v309,0.5,0.2,0.1,0.0,0.0,0.0,0.0
v310,0.0,0.1,0.0,0.2,0.0,0.0,0.2
v311,0.7,0.8,1.0,0.9,1.0,0.9,1.0
v312,0.0,0.4,0.6,0.8,0.8,0.5,0.0
v313,0.0,0.2,0.7,0.5,0.6,0.6,
v314,0.0,0.0,0.7,0.7,0.0,0.0,0.1
v315,0.0,0.6,0.8,0.4,0.7,0.8,0.7
v316,0.0,0.2,0.8,0.3,0.9,0.5,0.5
v317,0.0,0.1,0.1,0.3,0.1,0.3,0.0
v318,0.0,,,0.5,0.5,,
v319,0.0,1.0,0.3,0.6,0.0,0.0,0.0
v320,0.0,0.6,0.3,0.5,0.7,0.0,0.3
v321,0.3,0.8,0.1,0.4,0.8,0.0,0.7
v322,0.8,0.9,0.0,0.0,0.0,0.0,0.0
v323,0.1,0.3,0.3,0.3,0.0,0.2,0.0
v324,0.1,0.6,0.6,0.6,0.6,0.6,0.3
v325,,,,,1.0,,
v326,0.0,0.7,0.8,0.6,0.8,0.1,0.0
v327,0.0,0.5,0.2,0.7,0.2,0.2,0.2
v328,0.5,0.4,0.1,0.5,0.0,0.0,0.1
v329,0.0,0.2,1.0,1.0,1.0,0.2,0.0
v330,0.0,0.0,0.8,0.5,0.7,1.0,0.7
v331,0.9,0.1,0.1,0.0,0.0,0.0,0.0
v332,0.1,0.7,0.7,0.9,0.7,0.3,0.7
v333,0.0,0.2,0.8,0.9,0.7,0.6,0.0
v334,0.0,0.3,0.6,0.7,0.8,0.8,0.5
v335,0.0,0.7,0.5,0.7,0.7,0.4,0.4
v336,0.4,0.5,0.1,0.3,0.4,0.4,0.4
v337,0.0,0.0,0.8,0.7,0.6,1.0,0.3
v338,0.0,0.2,0.7,0.6,0.8,0.8,0.4
v339,0.0,0.5,0.8,0.7,0.6,0.0,0.1
v340,0.0,1.0,0.7,0.2,0.3,,0.7
v341,0.0,0.2,0.3,0.2,0.8,0.6,0.8
v342,0.0,0.7,0.6,0.7,0.6,0.2,0.4
v343,0.2,0.6,0.8,0.9,0.9,0.9,0.4
v344,0.0,0.3,1.0,0.6,1.0,0.5,0.7
v345,0.0,0.3,0.8,0.7,0.8,0.4,0.0
v346,1.0,0.4,0.0,0.1,0.0,0.0,0.1
v347,0.3,0.1,0.1,0.1,0.0,0.1,0.0
v348,0.9,0.8,0.7,0.4,0.0,0.0,0.0
v349,0.0,0.4,0.4,0.7,0.9,0.3,0.1
v350,0.6,0.8,0.0,0.4,0.0,0.3,0.3
v351,,,,,1.0,,
v352,0.0,0.3,1.0,0.7,1.0,0.9,0.5
v353,0.8,0.0,0.0,0.1,0.0,0.3,0.5
v354,0.0,0.1,0.1,0.8,0.6,0.3,0.2
v355,0.5,0.3,0.3,0.9,0.5,0.5,1.0
v356,0.0,0.9,0.0,0.8,0.8,0.0,0.0
v357,0.0,0.4,0.6,0.8,0.7,0.2,0.1
v358,0.0,0.2,0.7,0.5,1.0,0.9,0.4
v359,0.0,0.3,0.2,0.7,0.7,0.3,
v360,0.5,0.5,0.1,0.1,0.3,0.0,0.2
v361,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v362,0.0,0.5,0.6,1.0,0.8,,1.0
v363,0.0,0.5,0.2,0.5,0.0,0.0,0.1
v364,0.0,0.4,0.4,0.9,0.7,0.2,0.2
v365,0.0,0.2,0.1,1.0,0.1,0.0,0.3
v366,0.5,0.0,0.0,0.0,0.0,0.0,0.0
v367,0.0,0.1,0.7,0.7,0.9,0.8,0.3
v368,0.0,0.2,0.8,0.4,0.9,0.0,0.2
v369,0.2,0.7,0.3,0.6,0.5,0.0,0.2
v370,1.0,0.1,0.0,0.0,0.0,0.0,0.0
v371,0.0,0.1,0.7,0.8,0.8,0.6,0.6
v372,0.5,0.4,0.4,0.5,0.3,,
v373,0.0,0.4,0.9,0.6,0.9,0.5,
v374,1.0,0.0,0.5,0.2,0.0,0.5,0.2
v375,0.0,0.2,0.9,0.3,0.8,0.4,0.0
v376,0.0,0.3,0.6,0.4,0.2,,
v377,0.2,0.7,0.7,0.5,0.5,0.2,0.0
v378,0.0,0.2,0.7,0.7,0.8,0.6,0.5
v379,0.0,0.8,1.0,0.8,0.3,0.1,0.7
v380,0.0,0.9,0.8,0.6,0.8,0.3,0.3
v381,0.0,0.9,0.2,0.5,0.5,,
v382,0.0,0.0,0.7,0.2,0.7,0.0,0.0
v383,1.0,0.3,0.1,0.3,0.0,0.0,0.1
v384,0.0,0.0,0.6,0.1,0.4,0.9,0.2
v385,0.2,0.1,0.1,0.1,0.2,0.2,0.0
v386,0.6,0.7,0.4,0.9,0.3,0.6,0.7
v387,0.0,0.7,0.7,1.0,0.6,0.0,0.4
v388,0.1,1.0,0.5,0.1,0.8,0.0,0.3
v389,0.0,0.3,0.7,1.0,0.7,1.0,1.0
v390,0.1,0.3,0.7,0.5,0.6,0.6,1.0
v391,0.1,0.7,0.6,0.6,0.3,,0.0
v392,0.0,0.3,0.9,0.2,0.5,0.7,0.5
