,A,B,C,D,E,F,G,H,I
v1,0.0,1.0,0.5,0.5,,,0.0,,0.5
v2,0.0,,0.4,0.4,,0.9,0.4,0.4,
v3,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0
v4,0.0,,,,0.0,,0.0,,
v5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v6,0.5,,,,,,,,
v7,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5
v8,0.0,0.0,,0.0,,,0.3,,
v9,0.1,0.4,0.4,0.4,,0.5,0.6,0.3,
v10,0.8,0.5,0.5,0.5,0.5,0.5,0.8,0.5,
v11,0.0,0.3,0.2,,,,0.2,,0.0
v12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v13,0.9,,,0.3,,0.9,,,
v14,1.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
v15,0.6,0.3,0.2,0.4,0.4,0.7,0.5,0.4,0.3
v16,1.0,0.0,0.2,0.9,0.2,0.2,0.2,0.2,0.2
v17,0.0,1.0,0.5,,,0.4,0.4,0.3,0.3
v18,0.3,0.6,,,,,0.3,,
v19,0.5,0.5,0.5,0.5,0.6,0.2,0.2,0.2,0.4
v20,0.0,0.8,,,,,,,
v21,0.4,,0.8,,0.7,0.5,,,
v22,0.4,,,,,,,,
v23,1.0,0.8,,,,,,,
v24,1.0,,,,,,,,
v25,1.0,0.0,0.8,0.9,0.9,0.5,0.6,0.8,
v26,0.7,,,,,0.4,,,
v27,0.0,0.5,,,,,,,
v28,1.0,0.0,,0.5,0.5,0.6,0.7,,
v29,1.0,,,,,,,,
v30,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v31,0.5,,,0.7,,0.8,0.8,,
v32,,0.0,,0.0,,,,,
v33,0.9,0.0,0.5,0.5,0.0,0.5,0.7,0.0,0.0
v34,0.8,,0.7,,,,0.5,0.5,
v35,0.8,,,,,,,,
v36,0.0,0.6,1.0,0.7,,,0.9,1.0,
v37,0.5,,,,,,,,
v38,0.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
v39,1.0,0.4,0.5,0.4,0.5,0.4,0.6,1.0,0.5
v40,0.2,,,,,,,,
v41,0.0,0.8,0.6,0.5,0.3,0.5,0.5,0.5,0.0
v42,0.7,0.0,,,,,,,
v43,0.8,0.0,0.5,0.2,0.3,0.5,0.5,0.2,0.2
v44,0.3,0.0,,,,,0.0,0.0,0.0
