,A,B,C,D,E,F,G,H,I
v1,0.6,0.6,0.2,0.3,0.4,0.2,0.5,0.2,0.3
v2,0.9,0.1,0.4,1.0,0.1,,0.6,0.9,0.3
v3,0.6,0.3,0.6,0.4,0.2,0.5,0.3,0.3,0.7
v4,0.8,0.6,0.7,0.7,0.5,0.4,0.7,0.0,0.5
v5,0.7,0.2,0.1,0.8,0.0,0.0,0.3,0.8,0.6
v6,0.2,0.7,0.6,0.0,0.5,0.8,0.4,0.1,0.1
v7,1.0,0.1,0.0,0.3,0.0,0.1,0.1,0.0,0.2
v8,0.2,0.7,0.2,0.2,0.8,0.5,0.3,0.2,0.2
v9,0.1,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0
v10,0.7,0.6,0.5,0.5,0.0,0.0,0.4,0.7,0.5
v11,0.2,0.5,0.3,0.6,,0.3,0.5,0.8,
v12,0.8,0.0,0.1,0.9,0.0,0.0,0.3,0.7,0.6
v13,0.7,0.0,0.0,1.0,0.0,0.0,0.2,0.5,0.3
v14,0.9,0.1,0.3,,0.3,,0.1,0.2,0.3
v15,0.5,0.5,0.2,0.4,0.0,0.4,0.3,0.4,0.6
v16,1.0,0.0,0.0,0.9,0.0,0.0,0.0,0.7,0.0
v17,1.0,0.3,0.4,0.4,0.0,0.2,0.2,0.2,0.3
v18,0.9,0.1,0.2,0.7,0.0,0.0,0.0,0.5,0.2
v19,0.0,0.9,0.9,0.2,0.7,1.0,0.5,0.1,0.1
v20,0.9,0.1,0.4,0.9,0.1,0.1,0.2,,0.5
v21,0.8,0.3,0.1,0.7,0.0,0.1,0.4,0.2,0.6
v22,0.3,0.8,0.7,0.2,0.7,0.8,0.9,0.1,0.2
v23,0.8,0.9,0.8,0.5,0.2,0.3,0.4,0.2,0.3
v24,0.0,0.5,0.5,0.3,1.0,0.3,0.4,0.0,
v25,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.2
v26,0.5,0.9,0.9,0.2,0.8,1.0,0.9,0.1,0.5
v27,0.9,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0
v28,0.6,0.4,0.0,0.6,0.0,0.2,0.2,0.8,0.5
v29,0.8,0.4,0.4,0.9,0.0,0.2,0.4,0.9,0.7
v30,0.3,0.8,0.4,0.2,0.0,0.8,0.4,0.6,0.1
v31,0.3,0.0,0.0,0.8,0.0,0.0,0.0,0.5,0.0
v32,0.3,0.4,0.0,,1.0,0.0,0.3,0.0,0.3
v33,0.7,0.3,0.0,0.9,0.0,0.0,0.0,0.3,0.3
v34,0.7,0.3,0.6,0.7,0.1,0.3,0.5,0.3,0.5
v35,0.0,,,0.2,0.5,0.1,0.2,,0.2
v36,0.9,0.5,0.5,0.8,0.2,0.6,0.3,0.2,0.0
v37,0.7,0.2,0.6,0.7,0.0,0.3,0.2,0.5,0.1
v38,0.8,0.8,,0.6,0.8,,0.6,0.5,0.0
v39,0.5,0.3,0.4,0.1,0.1,0.7,0.7,0.0,0.1
v40,0.9,0.6,0.7,0.6,0.0,0.3,0.4,0.5,0.4
v41,0.6,0.3,0.0,0.8,0.0,0.2,0.3,0.9,0.5
v42,0.3,0.7,0.5,0.3,0.8,0.5,0.9,0.0,0.4
v43,0.0,0.4,0.0,0.0,0.4,0.4,0.4,0.0,0.0
