,A,B,C,D,E,F,G
v1,0.2,0.2,0.4,0.0,0.1,0.2,0.1
v2,0.3,0.0,0.9,0.0,0.2,0.7,0.5
v3,0.4,0.0,0.4,,0.3,,0.3
v4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v5,0.3,0.1,0.1,0.2,0.3,0.4,0.3
v6,0.0,0.2,0.2,,0.2,0.1,0.0
v7,0.8,0.0,0.0,0.0,0.3,0.2,0.1
v8,0.5,0.0,0.0,0.0,0.1,0.3,0.7
v9,0.5,0.0,0.8,0.0,0.2,0.9,0.1
v10,0.4,0.2,0.2,0.2,0.8,0.5,0.3
v11,0.8,0.0,0.3,0.0,0.2,0.7,0.2
v12,0.1,0.5,0.0,1.0,0.2,0.0,0.0
v13,0.8,0.0,0.2,0.0,0.4,0.6,0.6
v14,0.8,0.0,0.2,0.0,0.9,0.5,0.2
v15,0.9,0.0,0.2,,0.6,0.7,0.3
v16,0.9,0.0,0.0,0.0,0.0,0.5,0.5
v17,0.8,0.0,0.1,0.0,0.2,0.9,0.4
v18,0.6,0.0,0.3,0.0,0.4,0.5,0.7
v19,0.8,0.4,0.5,0.2,0.8,0.6,0.6
v20,0.4,0.2,0.1,0.2,0.3,0.1,0.2
v21,0.3,0.0,0.5,0.0,0.2,0.7,0.7
v22,0.8,0.0,1.0,0.0,0.1,1.0,1.0
v23,0.5,0.6,0.2,0.5,0.7,0.4,0.2
v24,0.0,0.9,0.9,,0.2,,0.2
v25,0.9,0.0,0.0,0.0,0.4,0.0,0.3
v26,1.0,0.3,0.0,0.0,0.2,0.5,0.2
v27,0.9,0.0,0.3,0.0,0.8,0.3,0.3
v28,0.0,0.0,1.0,0.0,0.0,0.0,0.0
v29,0.7,0.0,0.0,0.0,0.5,0.5,0.4
v30,1.0,0.0,0.0,,0.5,0.5,0.5
v31,0.2,0.1,0.8,,0.2,0.9,0.7
v32,0.8,0.0,0.6,0.0,0.2,0.8,0.7
v33,0.9,0.0,0.2,0.0,0.5,0.2,0.7
v34,0.8,0.0,0.4,0.0,0.1,0.8,0.8
v35,0.5,0.1,0.7,0.0,0.4,0.5,0.5
v36,0.0,0.3,0.0,0.0,0.0,0.1,0.1
v37,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v38,0.6,0.0,0.4,,0.5,0.5,0.4
v39,0.5,0.0,0.5,0.0,0.5,0.8,0.6
v40,0.4,0.8,0.1,0.7,0.6,0.2,0.4
v41,0.5,0.0,0.2,,0.3,0.5,0.8
v42,0.7,0.0,0.2,0.0,0.2,0.6,0.6
v43,0.0,0.8,0.0,0.0,0.2,0.1,0.0
v44,0.9,0.0,0.3,0.0,0.3,0.8,0.8
v45,0.8,0.0,0.4,0.0,0.4,0.9,0.6
v46,0.0,0.6,0.9,0.2,0.0,0.6,0.5
v47,1.0,0.0,0.1,0.0,0.5,0.2,0.3
v48,0.5,0.2,0.4,0.3,0.5,0.7,0.7
v49,0.0,0.0,0.9,,0.7,0.9,0.8
v50,0.0,0.2,0.6,0.0,0.0,0.0,0.5
v51,0.9,0.3,0.5,0.3,0.5,0.9,0.5
v52,0.0,0.2,0.2,0.2,0.2,0.2,0.2
v53,0.2,0.0,1.0,0.0,0.0,0.6,0.8
v54,0.8,0.0,0.0,,0.5,0.4,0.4
v55,0.6,0.5,0.7,,0.5,0.8,0.7
v56,0.1,0.1,0.6,,0.1,0.5,0.2
v57,,0.0,1.0,0.0,,,
v58,0.8,0.0,1.0,0.4,0.5,,0.4
v59,0.1,0.0,0.8,0.0,0.0,0.8,0.5
v60,0.4,0.0,0.2,,0.3,0.5,0.4
v61,0.6,0.0,0.8,0.0,0.3,0.8,0.8
v62,0.3,0.0,0.0,0.0,0.0,0.3,0.3
v63,0.9,0.0,0.3,0.0,0.6,0.7,0.6
v64,0.2,0.3,0.1,0.3,0.8,0.6,0.1
v65,0.4,0.0,0.6,0.0,0.7,0.0,0.0
v66,0.6,0.0,0.0,0.0,0.6,0.0,0.0
v67,0.3,0.0,0.6,,0.1,0.1,0.2
v68,0.2,1.0,0.0,,0.2,0.2,0.2
v69,0.0,0.0,0.7,0.0,0.0,0.5,0.7
v70,0.4,0.0,0.6,0.0,0.3,1.0,0.4
v71,0.6,0.6,0.7,0.1,0.2,0.7,0.2
v72,0.8,0.0,0.0,,0.5,0.8,0.2
