,A,B,C,D,E,F
v1,0.0,0.0,0.8,,,0.0
v2,0.9,0.0,0.0,0.2,0.9,0.7
v3,0.0,0.6,0.8,0.0,0.0,0.0
v4,0.0,0.0,0.0,0.0,0.0,0.0
v5,1.0,0.2,0.0,0.0,0.0,0.2
v6,0.5,0.0,0.0,0.0,0.0,0.0
v7,0.3,0.0,0.0,0.8,0.0,0.0
v8,0.0,0.0,0.0,0.0,0.0,0.0
v9,0.0,0.2,0.2,0.2,0.0,0.1
v10,0.7,0.0,0.0,0.9,,
v11,0.2,0.7,0.1,0.1,0.2,0.3
v12,0.7,0.4,0.6,0.3,0.9,0.1
v13,0.0,0.0,0.0,0.0,0.0,0.0
v14,0.3,0.4,0.3,,,
v15,0.0,0.4,0.6,0.0,0.0,0.0
v16,0.4,0.2,0.1,0.1,0.6,0.5
v17,0.6,0.5,0.3,0.2,0.4,0.2
v18,0.4,0.2,0.0,0.0,0.0,0.4
v19,0.3,0.1,0.0,0.0,0.0,0.7
v20,0.5,0.2,0.1,0.0,0.6,1.0
v21,0.0,0.0,0.0,0.0,0.3,0.0
v22,0.0,0.9,0.0,0.1,0.0,0.3
v23,0.6,0.4,0.1,0.1,0.3,0.4
v24,0.0,0.5,0.5,0.2,0.0,0.0
v25,0.2,0.5,0.2,0.3,0.6,0.5
v26,0.0,0.0,0.0,1.0,0.0,0.0
v27,0.7,0.0,0.0,0.0,0.0,0.1
v28,0.0,0.0,0.0,0.0,0.0,0.0
v29,0.4,0.0,0.0,0.0,0.7,0.2
v30,0.0,0.9,0.0,0.0,0.1,0.3
v31,0.0,0.7,0.7,0.0,0.0,0.0
v32,0.1,1.0,0.6,0.9,0.6,0.3
v33,0.2,0.2,0.1,0.1,0.3,0.2
v34,0.4,0.2,0.1,0.1,0.1,0.2
v35,0.2,0.0,0.0,1.0,0.0,0.0
v36,0.1,0.8,0.3,0.3,0.6,0.4
v37,0.3,0.2,0.0,0.0,0.3,0.2
v38,1.0,0.0,0.0,0.0,0.1,0.1
v39,0.6,0.2,0.4,0.6,0.4,0.3
v40,0.0,0.3,0.0,0.0,0.1,0.3
v41,0.0,0.0,0.0,0.0,1.0,0.0
v42,0.0,0.0,0.0,0.0,0.0,0.0
v43,1.0,0.0,0.0,0.0,0.0,0.0
v44,1.0,0.0,0.0,0.0,0.0,0.0
v45,,0.0,0.0,0.2,0.0,
v46,0.0,0.2,1.0,0.0,0.0,0.0
v47,0.0,0.0,1.0,0.0,0.0,0.0
v48,0.4,0.0,0.8,0.0,0.0,0.0
v49,0.9,0.1,0.0,0.0,0.7,1.0
v50,0.2,0.2,0.3,0.8,0.0,0.3
v51,0.8,0.0,0.0,0.1,0.1,0.6
v52,0.0,0.0,0.8,0.0,0.0,0.0
v53,0.0,0.0,1.0,0.0,0.0,0.0
v54,0.0,0.0,0.0,0.0,0.0,0.0
v55,1.0,0.0,0.0,0.7,0.0,0.2
v56,0.0,0.0,0.0,0.0,0.0,0.0
v57,0.7,0.0,0.0,0.0,0.2,0.1
v58,0.0,0.0,0.8,0.0,0.0,0.0
v59,0.2,0.7,0.0,0.1,0.3,0.4
v60,0.0,0.2,0.0,0.0,0.0,0.0
v61,1.0,0.2,0.0,0.0,0.0,0.0
v62,0.7,0.3,0.1,0.2,0.2,0.3
v63,0.1,0.3,0.0,0.0,0.0,0.1
v64,0.3,0.6,0.1,0.1,0.1,0.2
v65,,,,0.7,,
v66,0.3,0.3,0.1,0.1,0.3,0.4
v67,0.8,0.0,0.0,1.0,0.0,0.9
v68,0.5,0.2,0.0,,,
v69,0.6,0.0,0.0,0.0,0.0,0.6
v70,0.1,0.1,0.6,0.2,0.3,0.4
v71,0.0,0.6,1.0,0.0,0.0,0.0
v72,0.4,0.8,0.6,0.7,0.7,0.4
v73,0.1,0.1,0.8,0.3,0.0,0.0
v74,0.3,0.3,0.0,0.9,0.0,0.0
v75,0.4,0.2,0.2,0.4,0.1,0.3
v76,,,0.0,0.0,,
v77,0.3,0.0,0.0,0.0,0.9,0.4
v78,0.8,0.8,0.0,0.2,0.1,0.2
v79,,0.0,0.0,0.1,0.0,0.9
v80,0.5,0.6,0.1,0.2,0.3,0.2
v81,0.0,0.0,1.0,0.0,0.0,0.0
v82,0.1,0.1,0.1,0.1,0.1,0.1
v83,0.0,0.0,0.0,0.4,0.0,0.0
v84,0.0,0.9,0.0,0.0,0.0,0.0
v85,0.5,0.5,0.5,0.5,0.5,0.5
v86,0.0,0.0,0.0,0.0,0.6,0.0
v87,0.3,0.5,0.8,0.7,0.4,0.4
v88,0.0,0.2,0.0,0.8,0.0,0.0
v89,0.2,0.1,0.2,0.0,0.0,0.1
v90,0.1,0.3,0.0,0.0,0.0,0.1
v91,1.0,0.0,0.0,0.0,0.7,0.3
v92,0.5,0.8,0.1,0.1,0.1,0.4
v93,0.0,0.3,0.0,0.0,0.0,0.6
v94,0.4,0.6,0.7,0.6,0.3,0.3
v95,1.0,0.0,0.0,0.0,0.0,0.4
v96,0.0,0.8,0.8,0.0,0.0,0.1
v97,0.3,0.9,0.6,0.5,0.0,0.3
v98,0.0,0.6,1.0,0.0,0.0,0.0
v99,0.5,0.5,0.5,0.5,0.5,0.5
v100,0.1,0.4,0.9,0.2,0.1,0.1
v101,0.7,0.0,0.0,0.0,0.0,0.0
v102,0.4,0.3,0.1,0.2,0.1,0.2
v103,0.9,0.0,0.0,0.0,0.5,0.6
v104,0.4,0.2,0.0,0.0,0.4,0.2
v105,0.0,0.0,0.0,0.0,0.0,0.0
v106,1.0,0.0,0.0,0.0,0.0,0.5
v107,0.8,0.4,0.3,0.3,0.3,0.1
v108,0.3,0.6,0.0,0.0,0.0,0.2
v109,0.0,0.3,0.2,1.0,0.0,0.0
v110,0.9,0.0,0.0,0.2,0.1,0.6
v111,0.2,0.9,0.0,0.0,0.0,0.2
v112,0.0,0.0,0.0,0.0,0.0,0.0
v113,0.0,0.0,1.0,,,
v114,0.0,0.0,0.0,0.0,0.0,0.0
v115,0.8,0.9,0.0,0.9,0.9,0.9
v116,0.8,0.1,0.0,0.0,0.1,0.1
v117,0.0,1.0,0.0,0.0,0.0,0.0
v118,0.5,0.0,0.0,0.0,0.0,0.0
v119,0.2,0.1,0.0,0.0,0.0,0.1
v120,0.6,0.1,0.0,0.1,0.2,0.3
v121,,,0.0,0.0,,
v122,0.9,0.0,0.0,0.0,0.7,0.6
v123,0.1,0.0,0.0,0.1,1.0,0.2
v124,0.4,0.9,0.7,0.2,0.2,0.5
v125,0.4,0.3,0.0,0.0,0.7,0.0
v126,0.4,0.0,0.0,,0.2,
v127,0.0,0.0,0.0,0.0,0.0,0.0
v128,,,,,0.8,
v129,1.0,0.0,0.0,0.3,0.0,0.6
v130,0.8,0.0,0.0,0.0,0.0,0.0
v131,0.3,0.1,0.0,0.0,1.0,0.2
v132,0.2,0.5,0.4,0.4,0.8,0.9
v133,0.0,0.3,0.2,0.5,0.3,0.2
v134,0.7,0.0,0.0,0.0,0.0,0.0
v135,0.0,0.4,0.8,0.0,0.0,0.0
v136,0.7,0.0,0.1,0.0,0.3,0.2
v137,0.5,0.0,0.0,0.0,0.3,0.2
v138,0.6,0.1,0.1,1.0,0.0,0.1
v139,0.0,0.2,0.0,0.0,0.0,0.1
v140,0.0,0.7,1.0,0.0,0.0,0.0
v141,0.9,0.1,0.0,0.2,0.2,0.4
v142,0.1,0.2,0.4,0.2,0.1,0.0
v143,0.5,0.5,0.0,0.0,0.0,0.5
v144,0.0,1.0,0.0,0.0,0.0,0.0
v145,,0.9,1.0,,0.0,
v146,1.0,0.1,0.0,,0.1,0.5
v147,0.0,0.8,1.0,0.1,0.7,0.4
v148,0.3,0.5,0.8,0.6,0.2,0.4
v149,0.9,0.0,0.0,0.0,0.9,0.7
v150,0.1,0.8,0.8,0.5,0.0,0.6
v151,0.7,0.5,0.1,0.6,0.0,0.0
v152,1.0,0.0,0.0,0.0,0.0,0.0
v153,,,0.0,,0.3,0.2
v154,0.1,0.3,0.0,0.0,0.0,0.2
v155,0.2,0.3,1.0,0.7,0.0,0.0
v156,0.0,0.0,0.0,0.0,0.0,0.0
v157,0.9,0.0,0.0,0.1,0.3,0.5
v158,0.0,0.0,0.0,0.0,0.9,0.0
v159,0.0,0.8,0.0,0.0,0.0,0.0
v160,0.1,0.9,0.1,0.2,0.2,0.3
v161,1.0,0.0,0.0,0.5,0.5,0.5
v162,0.0,0.4,1.0,0.2,0.0,0.0
v163,0.1,0.1,0.0,0.1,0.2,0.2
v164,0.9,0.3,0.3,0.3,0.2,0.2
v165,0.7,0.2,0.0,0.1,0.0,0.4
v166,0.2,0.1,0.0,0.1,0.1,0.2
v167,0.8,0.1,0.2,0.1,0.1,0.1
v168,0.0,0.0,0.0,1.0,0.0,0.0
v169,1.0,0.0,0.0,0.0,0.0,0.0
v170,0.7,0.4,0.1,0.4,0.0,0.9
v171,0.1,0.0,0.0,0.0,0.7,0.1
v172,,,0.0,0.0,,
v173,0.0,0.0,1.0,0.0,0.0,0.0
v174,1.0,0.1,0.1,0.0,0.2,0.1
v175,0.3,0.2,0.0,0.1,0.2,0.4
v176,0.0,0.0,0.0,0.0,0.0,0.0
v177,0.5,0.8,0.6,0.7,0.9,0.4
v178,0.1,0.0,0.0,0.0,0.4,0.1
v179,0.7,0.2,0.8,0.0,0.0,0.0
v180,0.3,0.0,0.0,0.0,0.1,0.0
v181,0.6,0.6,0.0,0.0,0.2,0.5
v182,0.0,0.2,1.0,,0.0,0.0
v183,0.0,0.4,0.0,1.0,0.0,0.0
v184,0.0,0.5,0.9,0.0,0.0,0.0
v185,0.2,0.3,0.3,0.5,0.3,0.2
v186,0.7,0.5,,,,
v187,,0.0,0.0,0.0,0.0,0.0
v188,0.8,0.2,0.7,0.8,0.6,0.4
v189,1.0,0.2,0.2,0.6,0.0,0.1
v190,1.0,0.2,0.0,0.0,0.6,0.8
v191,1.0,0.0,0.0,0.0,0.0,0.0
v192,0.0,0.0,0.0,0.2,0.0,0.0
v193,0.0,0.0,0.0,0.0,0.0,0.0
v194,1.0,0.1,0.1,0.7,0.2,0.8
v195,0.4,0.0,0.0,0.0,1.0,0.0
v196,0.0,0.8,0.0,0.0,0.1,0.2
v197,0.0,0.2,0.8,0.3,0.0,0.5
v198,0.6,0.3,0.0,0.1,0.6,0.4
v199,0.9,0.0,0.0,0.1,0.1,0.7
v200,1.0,0.0,0.0,0.0,0.0,0.9
v201,0.2,0.8,0.5,0.7,0.7,0.2
v202,0.0,0.5,0.0,0.0,0.0,0.0
v203,0.8,0.1,0.0,,,
v204,0.0,0.0,1.0,0.0,0.0,0.0
v205,1.0,0.0,0.0,0.1,0.1,0.5
v206,0.0,0.1,0.8,0.0,0.0,0.0
v207,0.0,1.0,0.0,0.0,0.0,0.0
v208,0.5,0.2,0.0,0.0,0.9,0.1
v209,0.0,0.0,0.0,0.0,0.0,0.0
v210,1.0,0.0,0.0,0.0,0.0,0.0
v211,0.0,0.3,1.0,0.6,0.0,0.0
v212,0.6,0.0,0.0,0.0,0.2,0.0
v213,0.0,0.0,0.0,0.0,0.0,0.0
v214,0.0,0.0,0.0,0.0,0.0,0.9
v215,0.3,0.7,0.7,0.2,0.0,0.4
v216,0.5,0.1,0.0,0.0,0.2,0.4
v217,0.0,0.0,1.0,0.0,0.0,0.0
v218,0.9,0.0,0.0,0.0,0.0,0.0
v219,0.8,0.2,0.0,0.0,0.2,0.0
v220,0.8,0.0,0.0,0.0,0.2,0.0
v221,0.0,0.0,0.0,0.0,0.0,0.0
v222,0.0,0.1,,,0.0,0.1
v223,1.0,0.0,0.0,0.0,0.0,0.0
v224,0.4,0.1,0.0,0.0,0.8,0.2
v225,0.6,0.0,0.0,0.0,0.4,1.0
v226,0.3,0.0,0.8,0.0,0.0,0.0
v227,0.8,0.0,0.0,0.0,0.0,0.5
v228,0.0,0.0,0.1,0.1,0.1,0.0
v229,0.6,0.0,0.0,1.0,0.3,0.1
v230,0.0,0.0,0.0,0.0,0.0,0.0
v231,0.6,0.3,0.2,0.1,0.2,0.4
v232,0.9,0.0,0.0,0.0,0.7,0.5
v233,0.3,0.4,1.0,0.6,0.1,0.1
v234,0.6,0.4,0.0,0.0,0.0,0.3
v235,0.8,0.0,0.0,0.0,0.6,0.5
v236,0.4,0.6,0.8,0.4,0.5,0.6
v237,0.0,0.0,0.0,0.0,0.0,0.0
v238,0.6,0.0,0.0,0.2,0.0,0.3
v239,,,,1.0,0.0,
v240,0.8,0.0,0.0,0.0,0.2,0.2
v241,0.0,0.0,1.0,0.0,0.0,0.0
v242,0.9,0.0,0.0,0.0,0.6,0.4
v243,0.0,0.9,0.0,0.0,0.0,0.0
v244,0.4,0.2,0.0,0.0,0.3,0.9
v245,0.0,0.0,0.0,0.0,0.0,0.0
v246,1.0,0.0,0.0,0.0,0.0,0.7
v247,0.7,0.0,0.0,0.0,0.3,0.2
v248,0.0,0.0,0.0,0.0,0.0,0.0
v249,0.0,0.9,0.6,0.0,0.0,0.0
v250,0.2,0.8,0.4,0.5,0.2,0.8
v251,0.0,0.0,0.0,0.0,0.0,0.0
v252,0.4,0.4,0.1,0.1,0.0,0.1
v253,0.0,0.0,0.0,0.0,0.0,0.0
v254,1.0,0.0,0.0,0.2,0.0,0.9
v255,0.4,0.0,0.0,0.0,0.7,0.0
v256,0.0,0.3,0.9,0.0,0.0,0.1
v257,0.5,0.4,0.0,0.0,0.1,0.5
v258,0.1,0.8,0.0,0.0,0.0,0.1
v259,0.4,0.3,0.0,0.0,0.4,0.4
v260,1.0,0.0,0.0,0.0,0.0,0.0
v261,0.5,0.2,1.0,0.2,0.2,0.3
v262,0.2,0.2,0.2,0.1,0.1,0.1
v263,0.9,0.2,0.0,0.0,0.0,0.1
v264,0.0,0.0,0.0,0.0,0.1,0.6
v265,0.2,0.0,0.0,0.0,0.1,0.1
v266,1.0,0.0,0.0,0.0,0.0,0.0
v267,0.9,0.2,0.0,0.1,0.1,0.1
v268,0.1,0.1,0.0,0.1,0.0,0.1
v269,0.0,0.0,1.0,0.0,0.0,0.0
v270,0.5,0.4,0.4,1.0,0.0,0.1
v271,0.0,0.0,0.0,0.0,0.9,0.0
v272,0.5,0.4,0.0,0.0,0.1,1.0
v273,0.9,0.1,0.0,0.0,0.1,0.0
v274,0.1,0.8,0.0,0.0,0.0,0.2
v275,0.2,0.7,0.0,0.0,0.1,0.2
v276,0.2,0.4,0.7,0.4,0.7,0.2
v277,0.0,0.3,0.1,1.0,0.3,0.1
v278,0.4,0.0,0.0,0.0,0.1,1.0
v279,0.9,0.0,0.0,0.7,0.3,0.5
v280,0.8,0.1,0.1,0.5,0.0,0.5
v281,0.0,0.9,0.0,0.0,0.0,0.2
v282,0.1,0.1,0.7,0.5,0.1,0.3
v283,0.0,0.2,0.0,0.0,0.0,0.9
v284,0.5,0.5,0.1,0.1,0.4,0.3
v285,0.0,1.0,0.5,0.0,0.5,0.0
v286,0.8,0.0,0.0,,0.0,
v287,0.7,0.2,0.0,0.3,0.0,0.3
v288,0.7,0.1,0.0,0.0,0.0,0.0
v289,0.8,0.5,0.0,0.0,0.0,0.0
v290,0.3,0.2,0.0,0.0,0.9,0.5
v291,1.0,0.0,0.0,0.0,0.0,0.2
v292,0.1,0.1,0.0,0.0,0.1,0.1
v293,0.0,0.0,0.0,0.0,0.0,0.0
v294,0.5,0.0,0.0,0.0,0.0,0.6
v295,0.6,0.6,0.3,0.3,0.6,0.5
v296,0.5,0.0,0.0,0.0,0.4,0.2
v297,0.5,0.3,0.0,0.0,0.2,0.4
v298,0.4,0.2,0.4,0.6,0.2,0.2
v299,0.3,0.0,0.0,0.0,0.8,0.6
v300,0.0,0.0,0.0,0.0,0.0,0.0
v301,1.0,0.0,0.0,0.0,0.0,0.0
v302,0.7,0.0,0.0,0.0,0.0,0.0
v303,0.0,0.0,,,0.0,0.0
v304,0.1,0.3,0.0,0.1,0.1,0.1
v305,0.2,0.4,0.1,0.0,0.0,0.1
v306,0.6,0.6,0.1,0.2,0.2,0.3
v307,1.0,0.0,0.0,0.1,0.0,0.2
v308,0.6,0.5,0.1,0.6,0.1,0.3
v309,0.5,0.4,0.8,0.1,0.0,0.2
v310,0.6,0.4,0.1,,,
v311,,,,,0.0,
v312,0.9,0.0,0.0,0.0,0.3,0.2
v313,0.3,0.5,0.6,0.4,0.0,0.0
v314,0.4,0.8,0.1,0.1,0.2,0.5
v315,0.0,0.0,0.0,0.0,0.0,0.0
v316,0.8,0.0,0.0,0.0,0.0,0.0
v317,0.0,0.4,0.4,1.0,0.0,0.0
v318,,,0.0,0.0,,
v319,0.5,0.4,0.0,0.2,0.2,0.5
v320,0.8,0.2,0.1,0.2,0.1,0.4
v321,0.1,0.7,0.0,0.0,0.0,0.2
v322,0.2,0.3,0.8,0.0,0.5,0.5
v323,0.9,0.0,0.0,0.0,0.0,0.5
v324,0.8,0.0,0.0,0.0,0.0,0.0
v325,0.9,0.0,0.0,0.0,0.0,0.7
v326,0.0,1.0,0.0,0.0,0.0,0.2
v327,0.0,0.0,0.0,0.0,0.0,0.0
v328,0.2,0.4,0.0,0.0,0.0,0.7
v329,0.3,0.3,0.0,0.0,0.2,0.0
v330,0.0,0.0,0.0,0.0,0.0,0.0
v331,0.7,0.2,0.1,0.2,0.2,0.4
v332,0.8,0.2,0.0,,0.4,
v333,0.6,0.4,0.3,0.4,0.1,0.1
v334,0.2,0.2,0.2,0.9,0.0,0.0
v335,0.0,0.0,0.0,1.0,0.0,0.0
v336,0.7,0.2,0.5,0.5,0.8,0.2
v337,1.0,0.0,0.0,0.0,0.0,0.0
v338,0.0,0.4,0.0,0.0,0.0,0.2
v339,0.0,0.8,0.1,0.9,0.3,0.2
v340,0.0,0.0,0.0,0.0,0.0,0.0
v341,0.9,0.4,0.4,0.9,0.7,0.7
v342,0.0,0.0,0.0,0.0,0.0,0.0
v343,0.0,1.0,0.0,0.0,0.0,0.0
v344,0.7,0.1,0.0,0.0,0.1,0.1
v345,0.8,0.6,0.1,0.1,0.0,0.1
v346,0.7,0.7,0.7,0.6,0.4,0.4
v347,0.8,0.6,1.0,0.8,0.5,0.5
v348,0.9,0.0,0.0,0.0,0.4,0.2
v349,0.0,0.0,1.0,0.0,0.0,0.0
v350,0.8,0.2,0.0,0.0,0.0,0.9
v351,0.0,0.2,0.0,0.0,0.2,0.3
v352,0.5,0.0,0.0,0.0,0.0,0.0
v353,0.3,0.5,0.0,0.0,0.3,0.4
v354,0.2,0.5,0.3,0.3,0.4,0.5
v355,0.0,0.9,0.0,0.0,0.1,0.1
v356,0.8,0.1,0.0,0.5,0.1,0.7
v357,0.1,0.6,0.1,0.0,0.2,0.0
v358,0.1,0.1,0.0,0.0,0.1,0.1
v359,0.8,0.0,0.0,0.0,0.0,0.2
v360,0.3,0.9,0.0,0.1,0.1,0.2
v361,0.0,0.0,0.0,0.0,0.0,0.0
v362,0.0,0.8,0.4,0.0,0.0,0.0
v363,0.9,0.0,0.0,0.0,0.0,0.0
v364,0.0,0.0,0.0,0.0,0.0,0.0
v365,0.1,0.1,0.0,0.0,0.1,0.0
v366,0.7,0.0,0.0,0.0,0.5,0.3
v367,0.0,0.7,0.0,0.0,0.0,0.1
v368,0.0,0.0,0.9,0.0,0.0,0.0
v369,0.9,0.0,0.0,0.0,0.4,0.0
v370,0.0,0.2,0.0,0.9,0.0,0.0
v371,0.4,0.4,0.0,0.0,0.2,0.3
v372,0.8,0.1,0.0,0.1,0.3,0.6
v373,0.0,0.0,0.0,0.0,0.0,0.0
v374,0.1,0.0,0.0,0.0,0.2,0.0
v375,0.0,0.0,0.0,0.0,0.0,0.0
v376,0.0,0.0,0.0,0.0,0.0,0.0
v377,0.1,1.0,0.0,0.0,0.0,0.3
v378,0.5,0.0,0.0,0.0,0.6,0.6
v379,0.9,0.0,0.0,0.0,0.1,0.1
v380,0.3,0.0,0.2,1.0,0.1,0.0
v381,0.8,0.2,0.0,0.6,0.6,1.0
v382,0.1,0.1,0.0,,0.1,0.1
v383,0.3,0.6,0.0,1.0,0.0,0.0
v384,0.0,0.5,0.0,0.0,0.0,0.1
v385,0.0,1.0,0.2,0.0,0.0,0.4
v386,1.0,0.1,0.0,0.1,0.1,0.3
v387,0.1,0.0,0.7,0.6,0.4,0.2
v388,0.0,0.0,1.0,0.5,0.0,0.0
v389,0.9,0.0,0.0,0.0,0.0,0.0
v390,1.0,0.0,0.0,0.0,0.7,0.2
v391,,,,,0.0,
v392,0.5,0.5,0.0,0.0,0.5,0.0
v393,1.0,0.0,0.0,0.6,0.0,0.6
v394,0.5,0.5,0.5,0.7,0.5,0.5
v395,0.4,0.0,0.0,0.9,0.0,0.2
v396,0.9,0.0,0.0,0.0,0.0,0.0
v397,1.0,0.1,0.1,0.1,0.9,0.5
v398,0.7,0.0,0.0,0.0,0.1,0.0
v399,0.4,0.4,0.0,0.0,0.2,0.2
v400,0.0,0.6,1.0,0.0,0.0,0.0
v401,0.0,0.8,0.0,0.0,0.5,0.3
v402,0.4,0.0,0.0,0.0,0.2,0.1
v403,0.4,0.7,0.5,0.9,0.4,0.8
v404,0.5,0.4,0.1,0.1,0.2,0.0
v405,0.0,0.0,0.0,0.0,0.0,0.0
v406,0.8,0.2,0.0,0.0,0.0,0.0
v407,0.8,0.0,0.0,0.1,0.0,0.5
v408,0.6,0.3,0.1,0.2,0.2,0.2
v409,1.0,0.0,0.0,0.6,0.0,0.9
v410,0.9,0.0,0.0,0.0,0.5,0.6
v411,0.3,0.6,0.4,0.3,0.6,0.7
v412,0.3,0.3,0.3,0.3,0.3,0.3
v413,0.2,0.4,0.4,0.4,0.4,0.1
v414,0.3,0.2,0.0,,0.0,
v415,1.0,0.0,0.0,0.0,0.0,0.0
v416,0.0,0.1,0.0,0.9,0.0,0.0
v417,0.4,0.7,0.0,1.0,0.0,0.0
v418,0.0,1.0,0.0,0.0,0.0,0.0
v419,0.7,0.6,0.6,0.8,0.0,0.1
v420,0.0,0.0,0.0,0.0,0.0,0.0
v421,0.0,,,,0.0,
v422,0.8,0.0,0.0,0.0,0.2,0.2
v423,0.9,0.0,0.0,0.0,0.3,0.6
v424,0.0,0.4,0.7,0.0,0.0,0.0
v425,0.2,0.2,0.0,0.0,0.0,0.2
v426,0.4,0.1,0.0,0.0,0.1,0.1
v427,0.6,0.0,0.0,0.3,0.0,0.4
v428,0.9,0.0,0.0,0.0,0.3,0.0
v429,1.0,0.0,0.0,0.0,0.1,0.4
v430,0.0,0.0,0.0,0.0,0.0,0.1
v431,0.5,0.5,0.1,0.1,0.3,0.4
v432,0.2,0.6,0.1,0.2,0.2,0.3
v433,0.2,0.3,0.5,0.1,0.0,0.1
v434,1.0,0.0,0.0,0.0,0.1,0.2
v435,0.7,0.1,0.1,0.1,0.1,0.4
v436,1.0,0.0,0.0,0.0,0.0,0.0
v437,0.0,0.0,0.0,0.0,0.1,0.3
v438,0.2,0.0,0.0,0.0,0.1,0.0
v439,0.1,0.0,0.0,0.0,0.1,0.2
v440,0.4,0.0,0.0,0.0,0.0,0.9
v441,0.4,0.6,0.2,0.4,0.5,0.9
v442,0.3,0.1,0.0,0.0,0.0,0.0
v443,0.2,0.0,0.0,0.0,0.8,0.1
v444,0.0,0.6,0.9,0.0,0.0,0.0
v445,0.5,0.3,0.0,,0.0,0.2
v446,1.0,0.3,0.2,0.2,0.4,0.6
v447,0.5,0.3,0.0,0.0,0.9,0.3
v448,0.0,0.0,0.0,0.0,0.0,0.0
