,A,B,C,D,E,F,G,H,I
v1,0.5,0.1,0.5,1.0,1.0,0.5,0.4,0.6,1.0
v2,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.4,0.8
v3,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.8
v4,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5
v5,1.0,0.0,0.3,0.6,0.4,0.3,0.3,0.3,0.7
v6,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
v7,0.3,0.7,0.1,0.1,0.1,0.0,0.1,0.2,0.0
v8,1.0,0.0,1.0,0.8,0.3,0.5,0.3,0.8,0.8
v9,0.0,1.0,0.0,0.5,0.8,0.0,1.0,0.0,0.0
v10,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
v11,0.5,0.0,0.5,0.4,0.2,0.6,0.2,0.6,0.5
v12,0.5,0.9,0.2,0.5,0.3,0.2,0.8,0.2,0.5
v13,1.0,0.0,0.9,0.9,0.0,0.6,0.0,0.9,0.7
v14,0.4,0.3,0.1,0.4,0.4,0.3,0.8,0.1,0.1
v15,0.3,0.1,0.3,0.0,0.0,0.0,0.0,0.2,0.2
v16,0.5,0.4,0.3,0.2,0.6,0.0,0.3,0.0,0.5
v17,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0
v18,0.8,0.0,0.8,0.6,0.4,0.6,0.2,0.7,1.0
v19,0.7,0.7,0.0,0.0,1.0,0.0,0.6,0.0,0.7
v20,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
v21,0.5,0.1,0.4,1.0,1.0,0.7,0.5,0.6,1.0
v22,0.8,0.0,0.5,0.7,0.0,0.7,0.2,0.5,1.0
v23,0.7,0.0,1.0,0.8,0.2,0.5,0.0,1.0,0.8
v24,0.9,0.5,0.4,1.0,0.8,0.9,0.5,0.5,1.0
v25,0.0,1.0,0.3,0.2,0.8,0.3,1.0,0.1,0.3
v26,0.5,0.6,0.4,1.0,0.6,0.4,0.5,0.3,1.0
v27,0.7,1.0,0.4,1.0,0.7,0.4,0.4,0.6,0.8
v28,1.0,0.0,0.5,0.6,0.5,0.8,0.3,0.3,0.8
v29,1.0,0.0,0.0,0.2,0.0,0.9,0.0,0.7,1.0
v30,0.4,0.3,0.0,0.0,0.1,0.1,0.1,0.0,0.1
v31,0.4,0.9,0.3,0.4,0.4,0.4,0.5,0.4,0.3
v32,0.8,0.0,0.7,1.0,0.3,0.3,0.2,0.7,0.8
v33,1.0,0.0,0.7,0.8,0.0,0.6,0.0,0.7,0.5
v34,0.9,0.2,1.0,0.5,0.3,0.7,0.1,0.7,0.7
v35,0.7,0.5,0.5,0.6,0.3,0.3,0.3,0.5,0.7
v36,0.5,0.1,1.0,0.5,0.2,0.7,0.2,1.0,0.5
v37,0.3,0.9,0.2,0.3,0.3,0.2,0.9,0.3,0.3
v38,0.4,0.7,0.8,0.3,0.6,0.4,0.3,0.3,0.4
v39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v40,0.5,0.0,0.7,0.6,0.2,0.6,0.2,0.5,0.7
v41,0.9,0.0,0.8,0.3,0.0,0.8,0.0,0.8,1.0
v42,0.8,0.5,0.1,,0.3,0.0,0.4,0.0,0.0
v43,0.9,0.3,0.8,0.9,0.8,0.0,0.0,1.0,0.8
v44,0.5,0.8,0.0,0.3,1.0,0.0,0.6,0.1,0.6
v45,0.0,0.7,0.0,0.0,0.4,0.0,0.5,0.0,0.5
v46,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
v47,0.3,0.9,0.2,0.5,0.8,0.2,0.8,0.2,0.5
v48,0.3,0.9,0.3,0.5,0.8,0.5,0.3,0.3,0.5
v49,0.3,0.0,0.4,0.7,0.4,0.4,0.0,0.6,1.0
v50,1.0,0.0,0.8,1.0,0.0,0.0,0.0,1.0,1.0
v51,0.5,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.2
v52,0.9,0.0,0.8,0.7,0.2,0.8,0.3,0.8,0.7
v53,1.0,0.0,1.0,0.5,0.4,0.4,0.0,0.8,0.8
v54,0.7,0.8,0.0,0.5,0.5,0.0,0.3,0.0,0.7
v55,0.1,0.1,0.0,0.0,0.2,0.0,0.4,0.0,0.0
v56,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
v57,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v58,1.0,0.0,0.9,0.0,0.4,0.4,0.4,0.9,0.9
v59,0.8,0.3,0.5,0.2,0.1,0.3,0.1,0.6,0.5
v60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v61,0.2,0.9,0.2,0.2,0.9,0.1,0.9,0.2,0.2
v62,0.4,1.0,0.0,0.4,0.6,0.2,0.9,0.1,0.4
v63,0.1,0.9,0.0,0.3,0.7,0.0,1.0,0.0,0.1
v64,0.8,0.2,0.5,0.7,0.4,0.6,0.3,0.6,0.9
