,A,B,C,D,E,F,G
v1,0.5,0.8,0.8,0.3,0.0,0.8,
v2,0.9,0.3,0.2,0.2,0.1,0.5,0.1
v3,0.2,0.7,0.4,0.2,0.3,0.4,0.3
v4,0.8,0.0,0.0,0.6,0.8,0.0,0.0
v5,0.5,0.5,0.5,,0.1,,
v6,0.2,0.6,0.9,0.2,0.0,0.5,1.0
v7,0.3,1.0,0.2,0.2,0.1,0.1,0.1
v8,0.7,0.4,0.7,0.7,0.3,0.4,0.4
v9,0.8,0.5,0.5,0.8,0.2,0.2,0.2
v10,1.0,0.5,0.2,0.9,0.9,0.0,0.2
v11,0.9,0.0,0.0,0.9,0.5,0.0,0.0
v12,0.6,0.7,0.0,0.6,0.5,,
v13,0.1,0.1,0.0,0.2,0.0,0.0,0.7
v14,1.0,0.0,0.0,0.7,0.3,0.2,0.6
v15,0.5,1.0,0.7,0.0,0.4,0.5,
v16,0.7,0.3,0.4,0.8,0.2,0.2,
v17,0.6,0.7,0.5,0.2,0.4,0.5,0.0
v18,0.6,0.0,0.1,0.5,0.2,0.0,0.5
v19,0.8,0.4,0.2,0.7,0.5,0.1,0.1
v20,0.5,0.5,0.5,0.0,,0.5,
v21,0.7,0.5,0.2,0.7,0.2,0.2,0.4
v22,0.7,0.0,0.0,0.7,0.1,,
v23,0.5,0.5,0.5,0.5,0.5,0.2,
v24,0.3,0.6,1.0,0.0,0.0,0.7,0.7
v25,0.9,0.2,0.3,0.9,0.5,0.5,0.3
v26,0.7,0.2,0.3,0.5,0.6,0.6,
v27,0.5,1.0,0.8,0.0,0.2,0.5,0.1
v28,0.0,1.0,,,,,
v29,0.9,0.2,0.4,0.2,0.0,0.6,
v30,0.7,0.8,0.5,0.4,0.4,0.4,0.4
v31,0.6,0.3,0.8,0.1,0.1,,
v32,0.5,0.5,0.5,0.5,0.4,,
v33,1.0,0.0,0.2,1.0,1.0,0.0,
v34,0.8,0.5,0.0,0.5,0.1,0.0,
v35,0.7,0.3,0.3,0.6,0.6,0.3,0.5
v36,0.8,0.8,0.8,0.8,0.5,0.5,
v37,0.2,0.7,0.4,0.4,0.5,,
v38,0.4,0.9,1.0,0.0,0.0,0.5,0.7
v39,,,,,,1.0,
v40,0.7,0.3,0.0,0.7,0.2,0.1,
v41,0.1,0.7,0.9,0.0,0.0,0.7,
v42,0.0,1.0,0.5,0.0,0.5,1.0,
v43,0.3,0.7,0.7,0.1,0.3,,
v44,0.9,0.3,0.0,0.9,0.5,0.0,0.2
v45,0.4,1.0,0.7,0.4,0.3,,
v46,0.3,0.3,0.3,0.3,0.3,0.3,
v47,0.9,0.1,0.1,0.8,0.2,,
v48,0.4,0.7,0.6,0.2,0.4,,
v49,0.9,0.1,0.1,0.9,0.8,0.0,0.0
v50,0.8,0.0,0.0,1.0,0.0,0.1,
v51,0.8,0.0,0.2,0.4,0.5,0.0,0.0
v52,0.7,0.0,0.0,0.6,0.6,0.0,0.5
v53,0.5,0.5,0.5,0.4,0.4,0.5,0.6
v54,0.5,0.0,0.0,0.7,0.7,0.0,
v55,0.8,0.5,0.1,0.7,0.6,0.2,
v56,0.8,0.4,0.3,0.7,0.3,0.3,0.5
v57,0.3,0.7,0.5,0.5,0.5,,
v58,0.9,0.2,0.1,0.8,0.5,0.1,0.1
v59,0.4,0.7,1.0,0.4,0.4,0.7,0.7
v60,0.2,0.6,0.2,0.0,0.6,0.2,
v61,0.1,0.8,0.9,0.0,0.0,0.9,0.8
v62,0.2,0.8,0.6,0.2,0.2,0.2,
v63,0.7,0.3,0.2,0.6,0.3,0.3,0.9
v64,0.2,0.6,0.7,0.1,0.0,0.5,
v65,0.3,0.5,0.5,0.2,,0.4,0.0
v66,0.7,0.9,0.7,0.3,0.4,0.4,0.0
v67,0.3,0.7,0.7,0.4,0.3,0.5,0.7
v68,0.8,0.5,0.6,0.6,0.5,0.4,
v69,0.5,0.5,0.0,0.0,0.0,0.0,0.0
v70,0.9,0.5,0.0,0.1,0.3,0.0,0.0
v71,0.0,0.9,0.5,0.0,0.0,0.5,0.5
v72,0.7,0.7,0.5,0.6,0.3,0.3,0.7
v73,0.7,0.3,0.0,0.8,0.3,0.0,
v74,0.3,0.7,0.5,0.3,0.5,,
v75,0.7,0.4,0.4,0.5,0.3,0.3,
v76,0.0,0.9,0.5,0.0,0.5,0.6,
v77,0.0,1.0,0.9,0.0,0.4,0.4,
v78,0.9,,,,0.9,,
v79,1.0,0.0,0.5,0.8,0.0,0.0,0.0
v80,0.0,0.8,0.3,0.0,0.0,0.2,0.0
v81,1.0,0.0,0.0,1.0,0.0,0.0,0.0
v82,0.9,0.0,0.0,0.6,0.0,0.0,0.0
v83,0.5,0.5,0.4,0.5,0.0,0.5,
v84,0.0,1.0,1.0,0.0,,,
v85,1.0,1.0,1.0,1.0,1.0,1.0,
v86,0.2,0.5,0.9,0.0,0.1,0.8,0.6
v87,0.0,1.0,1.0,0.0,0.5,0.5,
v88,0.9,0.5,0.3,0.8,0.7,0.3,0.4
v89,0.7,1.0,0.5,0.5,0.5,0.3,0.0
v90,0.0,0.7,1.0,1.0,0.5,0.2,
v91,0.8,0.6,0.3,0.9,0.4,0.2,0.4
v92,0.5,0.9,0.7,0.4,0.6,0.4,
v93,0.7,0.0,0.7,0.0,0.0,0.7,
v94,1.0,0.3,0.0,0.7,0.3,0.0,0.0
v95,0.6,0.0,0.0,0.6,0.3,0.0,0.0
v96,0.6,0.5,0.3,0.7,0.2,0.2,0.2
v97,0.0,0.8,0.6,0.0,0.1,0.7,0.0
v98,0.0,1.0,0.5,0.0,0.5,,
v99,0.5,0.5,0.6,,0.4,0.6,
v100,0.5,0.5,0.4,0.4,0.4,0.4,
v101,0.6,0.0,0.0,0.6,0.0,0.1,
v102,0.6,0.3,0.2,0.6,0.9,0.0,0.5
v103,0.0,1.0,1.0,0.0,0.0,1.0,0.0
v104,0.9,0.7,0.3,0.9,0.8,0.2,0.5
v105,0.6,0.6,0.1,0.6,0.1,0.0,0.1
v106,0.8,0.5,0.3,0.3,0.3,0.1,0.1
v107,0.8,0.4,0.0,1.0,0.0,0.0,0.0
v108,0.7,1.0,0.3,0.3,0.3,0.1,0.1
v109,0.8,0.1,0.5,0.5,0.1,0.0,0.0
v110,0.2,0.8,0.8,0.0,0.0,0.5,0.7
v111,0.3,0.7,0.6,0.3,0.2,,
v112,0.8,0.1,0.0,0.6,0.5,0.1,0.3
v113,0.1,0.8,0.8,0.2,0.0,0.4,0.2
v114,0.2,0.2,0.0,0.0,0.0,0.0,0.0
v115,0.5,0.5,0.2,0.4,0.5,0.3,
v116,0.2,0.8,0.5,0.4,0.3,,
v117,0.3,0.5,0.7,0.3,0.3,0.6,
v118,0.1,0.8,1.0,0.0,0.0,0.9,0.9
v119,0.6,0.5,0.3,0.5,0.3,0.5,0.5
v120,0.7,0.6,0.5,0.5,0.5,0.5,0.5
