,A,B,C,D,E,F,G,H
v1,0.1,0.7,0.5,0.5,0.5,0.1,0.1,0.5
v2,0.8,0.8,0.7,0.7,0.8,0.7,0.7,0.6
v3,0.1,0.8,0.8,0.8,0.8,0.0,0.0,0.8
v4,0.2,0.5,0.7,0.5,0.4,0.2,0.2,0.6
v5,0.0,1.0,0.8,0.2,0.5,0.4,0.3,0.4
v6,0.3,0.8,0.3,0.8,0.6,0.5,0.2,0.4
v7,0.7,0.7,0.3,0.8,0.2,0.5,0.5,0.4
v8,0.3,0.7,0.8,0.6,0.6,0.4,0.4,0.8
v9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v10,0.0,1.0,0.5,0.3,0.4,0.0,0.5,0.5
v11,0.3,0.2,0.5,0.2,0.2,0.3,0.5,0.3
v12,0.1,0.7,0.1,0.1,0.3,0.2,0.3,0.1
v13,0.3,0.4,0.7,0.4,,0.7,,0.5
v14,0.9,0.0,0.2,0.0,0.5,0.4,0.4,0.1
v15,1.0,0.0,0.2,0.0,0.6,0.2,0.7,0.0
v16,0.0,0.7,1.0,0.5,0.6,0.0,0.6,0.2
v17,1.0,0.0,0.3,0.0,0.3,1.0,1.0,0.0
v18,0.0,0.7,1.0,0.4,0.5,0.4,0.5,0.3
v19,1.0,0.1,0.5,0.5,0.5,0.5,0.5,0.5
v20,0.4,1.0,0.3,0.3,0.5,0.6,0.5,0.4
v21,0.6,0.5,0.6,0.8,0.6,0.1,0.1,0.8
v22,1.0,0.0,0.5,0.3,0.5,0.5,0.6,0.0
v23,0.0,0.6,0.6,0.7,0.6,0.6,,0.7
v24,1.0,0.2,,,0.7,,,0.2
v25,0.2,0.3,0.8,0.3,0.3,0.5,0.3,0.3
v26,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
v27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v28,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1
v29,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
v30,0.8,0.5,0.4,0.2,0.3,0.3,0.5,0.3
v31,0.6,0.0,0.3,0.0,0.5,0.3,0.5,0.1
v32,0.0,1.0,0.1,0.1,0.2,0.0,0.0,0.4
v33,0.9,0.0,0.1,0.3,0.1,0.6,0.2,0.1
v34,0.2,0.7,0.8,0.6,0.6,0.0,0.5,0.5
v35,0.1,0.0,0.1,0.1,0.1,0.7,0.1,0.1
v36,0.0,0.8,0.5,0.3,0.3,0.5,0.5,0.7
v37,0.3,0.8,0.8,0.6,0.8,0.3,0.3,0.6
v38,0.9,0.1,0.2,0.2,0.3,0.1,0.5,0.3
v39,0.0,0.7,1.0,0.1,0.6,0.1,0.3,0.5
v40,0.3,0.4,0.6,0.4,0.6,0.5,0.3,0.3
v41,0.4,0.4,0.3,0.3,0.5,0.5,0.2,0.4
v42,0.0,0.7,0.9,0.7,0.4,0.0,0.0,0.7
v43,0.7,0.2,0.3,0.0,0.1,0.5,0.4,0.0
v44,0.1,0.2,0.7,0.2,0.3,0.1,0.3,0.5
v45,0.1,0.7,0.9,0.3,0.9,0.3,0.0,0.3
v46,0.0,0.6,0.4,0.4,0.4,0.0,0.0,0.4
v47,0.0,1.0,0.6,0.8,0.7,0.0,0.2,0.6
v48,0.9,0.7,0.2,0.6,0.7,0.2,0.1,0.7
