,A,B,C,D,E,F,G,H,I
v1,0.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
v2,1.0,0.5,0.0,0.6,0.6,0.5,0.5,0.5,0.6
v3,0.5,,0.0,,,,,,
v4,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.7,0.5
v5,0.5,0.0,0.0,0.1,0.4,0.4,0.0,0.0,0.5
v6,0.5,0.1,0.0,0.1,0.5,0.5,0.1,0.5,0.5
v7,0.6,0.1,0.0,0.4,0.7,0.7,0.1,0.5,0.5
v8,0.5,0.9,0.0,1.0,0.0,0.0,0.5,0.5,0.0
v9,0.7,0.4,0.0,,0.2,0.2,0.5,0.2,
v10,1.0,0.3,0.0,0.2,0.8,0.8,0.2,0.9,0.6
v11,0.7,0.1,0.0,0.0,0.1,0.1,0.0,0.2,0.1
v12,0.9,0.6,0.0,0.6,0.8,0.0,0.5,0.5,0.6
v13,0.8,0.4,0.2,0.5,0.6,0.3,0.5,0.5,0.5
v14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v15,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.5
v16,0.9,0.3,0.8,0.1,0.3,0.5,0.1,0.6,0.5
v17,0.8,0.5,0.1,0.1,0.3,0.3,0.1,0.2,0.4
v18,0.5,0.8,0.4,0.5,0.2,0.5,0.4,0.5,0.5
v19,0.5,,,,,,,,
v20,0.6,0.6,0.0,0.7,0.3,0.2,0.2,0.2,0.4
v21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v22,0.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v23,0.5,0.6,0.6,0.5,0.4,0.5,0.4,0.6,0.5
v24,0.3,0.5,1.0,0.9,0.2,0.3,0.6,0.4,0.3
v25,0.8,0.5,0.6,0.5,0.2,0.2,0.1,0.6,0.5
v26,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v27,0.5,0.1,0.0,0.0,0.2,0.3,0.3,0.5,0.5
v28,0.1,0.6,0.2,0.2,0.0,0.0,0.6,0.1,0.1
v29,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v30,1.0,0.2,0.0,,0.6,0.6,0.2,,
v31,0.9,0.5,0.0,0.0,0.5,0.6,0.0,0.0,0.0
v32,0.5,0.3,0.0,0.2,0.4,0.3,0.3,0.2,0.1
v33,0.4,0.7,0.8,0.6,0.0,0.0,0.7,0.2,0.2
v34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v35,0.8,0.5,0.0,0.5,0.5,0.5,0.1,0.5,0.5
v36,0.6,0.4,0.0,0.6,0.6,0.6,0.1,0.6,0.5
v37,0.5,0.0,0.0,0.3,0.9,0.5,0.0,0.6,0.5
v38,1.0,0.5,0.0,0.1,0.0,0.1,0.0,0.1,0.0
v39,0.5,0.4,0.2,0.5,0.2,0.2,0.2,0.5,0.4
v40,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
v41,1.0,0.4,0.4,0.6,0.5,0.5,0.4,0.5,0.5
v42,1.0,0.0,0.0,0.2,1.0,0.8,0.0,0.9,0.5
v43,0.5,0.8,0.1,,0.5,0.3,0.8,,
v44,0.9,0.4,0.0,0.3,0.7,0.6,0.2,0.6,0.5
v45,0.7,0.6,,0.5,0.2,0.2,0.7,0.5,0.5
v46,0.6,0.3,0.1,0.1,0.3,0.2,0.3,0.2,0.8
v47,0.8,0.5,0.0,0.5,0.6,0.4,0.5,0.5,0.5
v48,0.3,0.2,0.1,0.2,0.1,0.2,0.1,0.0,0.1
v49,0.4,0.7,0.8,0.9,0.2,0.2,0.8,0.3,0.1
v50,0.5,0.7,0.8,0.7,0.1,0.1,0.6,0.2,0.2
v51,0.4,0.7,0.0,0.4,0.4,0.3,0.4,0.6,0.3
v52,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.6,
v53,0.5,0.0,0.0,0.2,0.9,0.0,0.0,0.0,0.0
v54,0.1,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.2
v55,0.3,0.8,0.3,0.6,0.3,0.3,0.7,0.5,0.5
v56,0.4,0.8,0.1,0.6,0.3,0.1,0.6,0.3,0.3
v57,0.4,0.5,0.3,0.5,0.1,0.0,0.2,0.6,0.2
v58,0.4,0.3,0.0,0.0,0.1,0.2,0.0,0.0,0.0
v59,0.4,0.2,0.0,0.0,0.5,0.7,0.0,0.0,0.3
v60,1.0,0.2,0.0,,0.5,0.3,0.0,0.4,
v61,0.9,0.5,0.0,0.5,0.5,0.5,0.6,,
v62,0.4,0.6,0.0,0.1,0.1,0.1,0.2,0.1,0.2
v63,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v64,0.0,0.7,0.4,0.6,0.0,0.0,0.3,0.2,0.0
v65,0.4,0.7,0.0,0.5,0.5,0.2,0.5,0.5,0.5
v66,0.5,0.7,0.7,0.4,0.0,0.2,0.4,0.1,0.1
v67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
v68,0.4,0.8,0.1,0.5,0.5,0.3,0.5,0.5,0.5
v69,1.0,0.4,0.1,0.3,0.6,0.4,0.3,0.6,0.5
v70,0.5,0.8,0.4,0.8,0.4,0.4,0.9,0.5,0.4
v71,0.8,0.2,0.0,,0.2,0.2,0.2,0.5,
v72,0.5,1.0,0.0,,0.4,0.2,0.3,0.3,
v73,0.8,0.3,0.4,0.4,0.4,0.2,0.5,0.3,0.3
v74,0.8,0.5,0.0,0.2,0.8,0.8,0.8,0.8,0.2
v75,0.5,0.3,0.5,0.0,0.3,0.0,0.1,0.2,0.2
v76,0.4,0.1,0.0,0.2,0.5,0.9,0.5,0.4,
v77,0.8,0.6,0.1,0.0,0.4,0.5,0.3,0.0,0.0
v78,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
