,A,B,C,D,E,F,G
v1,1.0,0.0,1.0,0.0,0.0,0.0,0.0
v2,0.0,1.0,0.0,0.0,0.8,0.9,0.0
v3,0.5,0.1,0.5,0.0,0.0,0.3,0.1
v4,0.2,0.4,0.3,0.2,0.6,0.1,0.1
v5,0.9,0.1,0.9,0.0,1.0,0.1,0.7
v6,0.5,0.2,0.7,0.1,0.4,0.2,0.3
v7,0.2,0.6,0.8,0.7,0.7,0.2,0.0
v8,0.0,0.8,0.2,0.1,1.0,0.6,0.0
v9,0.3,0.6,0.3,0.9,0.7,0.6,0.1
v10,0.7,0.0,0.8,0.0,0.1,0.3,0.5
v11,1.0,0.0,1.0,0.0,0.0,0.0,0.0
v12,0.0,1.0,0.0,0.2,0.5,0.9,0.0
v13,0.2,0.2,0.2,0.2,0.2,0.2,0.2
v14,0.8,0.1,0.8,0.0,0.0,0.4,0.7
v15,0.0,0.9,0.1,0.3,0.4,0.5,0.0
v16,0.0,0.2,0.6,0.0,0.3,0.5,0.1
v17,0.9,0.1,0.9,0.0,0.7,0.2,0.2
v18,0.0,0.4,0.3,0.9,0.5,0.6,0.6
v19,0.8,0.0,0.6,0.0,0.6,0.2,1.0
v20,0.0,,0.0,0.1,0.1,0.0,0.0
v21,0.0,0.6,0.0,0.4,0.8,1.0,0.1
v22,0.7,0.6,0.8,0.8,0.6,0.7,0.7
v23,0.7,0.1,0.7,0.0,0.0,0.7,0.0
v24,0.2,0.8,0.2,1.0,0.7,0.7,0.2
v25,0.5,0.1,0.7,0.0,0.5,0.3,0.3
v26,0.5,0.0,0.6,0.0,0.4,0.2,0.1
v27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v28,1.0,0.0,1.0,0.0,0.0,0.0,0.8
v29,0.0,0.0,0.5,0.0,0.1,0.3,0.0
v30,0.8,,0.8,0.0,0.3,0.2,0.4
v31,0.0,0.4,0.0,0.2,1.0,0.3,0.0
v32,0.4,0.5,0.5,0.0,0.4,0.5,0.4
v33,1.0,0.8,0.3,0.3,0.3,0.0,0.0
v34,0.0,0.8,0.2,0.3,0.4,1.0,0.1
v35,0.8,0.0,0.9,0.0,0.0,0.0,0.5
v36,0.8,0.0,1.0,0.0,0.2,0.0,0.4
v37,0.0,1.0,0.0,1.0,0.0,0.0,0.0
v38,0.3,0.0,0.1,0.8,1.0,0.5,0.5
v39,0.7,0.0,0.5,0.0,0.6,0.7,0.4
v40,1.0,0.0,1.0,0.0,0.1,0.0,0.4
v41,1.0,0.0,0.7,0.0,0.0,0.0,0.5
v42,0.6,0.3,0.3,0.7,1.0,0.4,0.7
v43,0.0,1.0,0.2,0.6,0.7,0.8,0.2
v44,0.3,0.6,0.4,0.8,1.0,0.7,0.5
v45,0.0,0.5,0.2,0.1,0.4,0.4,0.0
v46,0.2,0.6,0.1,0.3,0.4,0.3,0.4
v47,0.3,0.3,0.4,0.7,0.5,0.4,0.2
v48,0.3,0.8,0.3,0.5,0.4,0.5,0.4
v49,0.2,0.1,0.3,0.0,0.2,0.1,0.2
v50,0.0,1.0,0.3,0.5,0.6,0.8,0.3
v51,0.6,0.0,0.8,0.0,0.1,0.0,0.4
v52,0.5,0.9,0.7,0.0,0.3,0.5,0.1
v53,0.0,0.4,0.2,0.7,0.5,0.4,0.6
v54,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v55,0.9,0.0,0.6,0.0,0.1,0.0,0.5
v56,,,,,0.5,,1.0
v57,0.5,0.4,0.5,0.6,0.6,1.0,0.0
v58,0.4,0.7,0.5,0.5,0.0,0.5,0.2
v59,0.0,0.5,0.1,0.2,0.4,0.4,0.0
v60,0.6,0.4,0.7,0.1,0.5,0.1,0.5
v61,0.5,0.0,1.0,0.0,0.5,0.1,0.3
v62,0.1,0.4,0.4,0.3,0.6,0.9,0.0
v63,0.2,0.4,0.3,0.1,0.9,0.1,0.3
v64,0.7,0.0,1.0,0.0,0.5,0.0,0.5
v65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v66,0.2,0.0,0.7,0.1,0.3,0.1,0.6
v67,0.6,0.6,0.5,0.4,0.7,0.5,0.5
v68,1.0,0.0,1.0,0.0,0.5,0.0,0.0
v69,0.7,0.4,0.9,0.5,0.0,0.6,0.4
v70,0.7,0.0,0.7,0.0,0.3,0.0,0.6
v71,0.8,,0.5,0.0,0.5,0.5,0.3
v72,0.9,0.0,0.6,0.0,0.0,0.0,0.5
v73,0.0,0.5,0.5,0.5,0.5,0.2,0.2
v74,0.5,0.0,0.6,0.0,0.2,0.2,0.1
v75,0.4,0.4,0.4,0.2,0.3,0.4,0.2
v76,1.0,0.0,0.9,0.5,0.5,0.2,0.9
v77,0.0,0.3,0.4,0.2,0.3,0.7,0.2
v78,0.2,0.1,0.2,0.1,0.3,0.0,0.0
v79,1.0,0.0,1.0,0.0,0.0,0.0,1.0
v80,0.5,0.6,0.3,0.7,0.3,0.5,0.5
v81,0.1,0.0,0.2,0.0,0.0,0.1,0.2
v82,0.5,0.1,0.5,0.5,1.0,0.5,0.5
v83,0.4,0.5,0.4,0.6,0.2,0.7,0.6
v84,0.7,0.0,0.7,0.0,0.3,0.1,0.5
v85,0.4,0.0,0.5,0.0,0.4,0.4,0.5
v86,1.0,0.0,0.9,0.0,0.5,0.0,0.1
v87,0.0,0.5,0.5,0.4,0.7,0.3,0.0
v88,0.7,0.0,0.8,0.1,0.2,0.1,0.3
v89,0.6,0.2,0.4,0.3,0.2,0.0,
v90,0.8,0.0,1.0,0.0,0.5,0.5,0.5
v91,0.8,0.0,0.8,0.0,0.0,0.0,0.9
v92,,,,0.0,,0.0,
v93,0.0,0.7,0.0,0.5,0.5,0.2,0.0
v94,1.0,0.0,1.0,0.0,0.8,0.0,0.9
v95,1.0,0.1,0.5,0.0,0.2,0.5,0.6
v96,0.6,0.0,0.8,0.0,0.3,0.2,0.3
v97,0.0,0.7,0.0,0.2,0.3,0.1,0.1
v98,0.9,0.3,1.0,0.3,0.5,0.4,0.7
v99,0.2,0.3,0.3,0.2,0.7,0.4,0.2
v100,1.0,0.0,1.0,0.0,0.4,0.1,0.4
v101,0.5,0.0,0.8,0.0,0.2,0.0,0.0
v102,0.8,0.0,0.8,0.0,0.0,0.0,1.0
v103,0.0,0.9,0.0,0.4,0.5,0.7,0.3
v104,1.0,0.0,1.0,0.0,0.0,0.0,1.0
v105,0.4,0.9,0.4,1.0,1.0,1.0,0.4
v106,0.3,0.0,0.7,0.5,0.0,0.0,0.5
v107,1.0,0.0,0.9,0.4,0.4,0.2,0.7
v108,1.0,0.0,0.8,0.0,0.0,0.1,0.5
