,A,B,C,D,E,F,H,I
v1,0.4,,0.6,,,0.2,,
v2,1.0,,,,1.0,1.0,,1.0
v3,1.0,0.5,0.3,0.6,0.6,0.4,0.4,0.4
v4,1.0,0.0,,,,,,
v5,0.8,0.4,,0.8,0.3,,,0.0
v6,0.3,0.5,0.7,0.1,0.0,0.1,0.0,0.2
v7,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.2
v8,0.0,0.8,0.8,,0.0,0.0,,0.1
v9,0.6,0.1,0.2,0.3,0.2,0.1,0.0,0.4
v10,1.0,0.0,0.1,0.8,0.7,0.7,0.1,0.6
v11,0.9,0.2,0.4,0.9,0.6,0.6,0.4,0.4
v12,,0.7,0.5,0.0,0.0,0.0,0.0,0.0
v13,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0
v14,,0.6,0.0,,,0.5,0.4,0.4
v15,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.0
v16,0.7,0.5,0.1,0.6,0.6,,,0.4
v17,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
v18,,0.0,0.0,0.0,0.8,0.0,,
v19,1.0,0.0,0.0,0.9,0.7,0.9,0.3,0.7
v20,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0
v21,0.4,0.0,0.0,0.4,0.7,0.5,,0.4
v22,0.4,0.0,0.1,0.5,0.3,0.1,0.0,0.1
v23,0.5,0.0,0.0,0.1,0.0,0.1,,0.0
v24,0.0,0.9,0.6,0.0,0.0,0.0,0.0,0.0
v25,0.2,0.8,0.9,0.3,0.0,0.0,0.0,0.0
v26,0.9,0.0,0.0,0.7,0.7,0.9,0.0,0.8
v27,0.5,0.1,0.1,0.5,0.1,,0.3,
v28,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0
v29,0.8,0.4,1.0,0.6,,0.2,,0.2
v30,0.2,0.7,0.0,,0.0,0.2,,0.0
v31,0.5,0.5,0.0,0.0,0.0,0.0,0.8,0.0
v32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v33,0.1,1.0,0.9,0.3,0.0,0.1,0.1,0.1
v34,0.6,0.8,0.7,0.2,,0.4,0.3,0.2
v35,,,,,,0.0,,
v36,0.0,0.7,0.9,0.0,0.2,0.0,0.0,0.0
v37,1.0,0.0,0.0,0.7,0.3,0.5,0.2,0.3
v38,0.8,0.0,0.0,0.5,0.4,0.2,0.0,0.1
v39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v40,0.0,0.6,0.6,0.7,0.0,0.0,0.0,0.0
v41,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
v42,0.0,1.0,0.5,0.0,0.0,0.0,,0.0
v43,0.0,0.7,1.0,0.3,0.0,0.0,,0.0
v44,,,1.0,,,,,
v45,1.0,0.5,,1.0,0.4,0.5,,0.4
v46,0.7,0.0,0.1,0.3,0.8,0.7,0.3,0.9
v47,0.7,0.8,,,,0.1,0.5,
v48,,0.0,0.2,0.5,0.3,0.0,,0.0
v49,0.6,0.4,0.8,0.2,0.0,0.4,,0.1
v50,0.8,0.0,0.0,0.7,0.9,0.5,0.0,0.6
v51,0.9,0.0,0.3,0.8,0.9,0.6,0.9,0.9
v52,0.9,0.0,0.0,0.2,1.0,0.9,0.0,0.1
v53,0.2,0.7,0.9,0.6,0.0,0.1,,0.0
v54,0.0,0.5,0.4,0.2,0.0,0.3,0.0,0.0
v55,0.9,0.0,0.0,0.7,0.7,,,0.5
v56,0.3,0.1,0.5,0.0,0.0,0.5,0.2,0.0
v57,0.6,0.0,0.3,0.7,0.7,0.5,0.1,0.7
v58,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
v59,0.7,0.0,0.2,0.7,0.3,0.5,0.0,0.3
v60,1.0,0.2,0.4,0.6,0.2,0.1,,0.4
v61,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4
v62,,,,0.3,,,,
v63,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0
v64,0.7,0.0,0.5,0.8,0.2,0.7,0.0,0.3
v65,,,,,,,0.9,
v66,0.7,0.0,0.4,0.5,1.0,0.9,0.3,0.0
v67,0.9,0.0,0.0,0.9,0.0,0.6,0.0,0.0
v68,0.0,0.9,0.5,0.0,0.0,0.0,0.0,0.0
v69,0.8,0.0,0.0,0.8,0.4,0.7,0.0,0.0
v70,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0
v71,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v72,,0.0,0.2,0.1,0.0,0.5,0.0,0.1
v73,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0
v74,,0.4,0.5,,,,,
v75,0.3,0.3,0.3,0.5,0.2,0.1,0.3,0.2
v76,,0.2,,,,,,0.0
v77,0.4,0.4,0.5,0.2,0.0,0.3,0.0,0.0
v78,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v79,1.0,0.0,0.0,0.5,0.3,0.6,0.0,0.5
v80,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0
v81,0.4,0.4,,,0.0,,,
v82,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v83,0.7,0.0,0.4,0.7,0.2,0.2,0.2,0.5
v84,0.9,0.0,0.0,0.5,0.8,0.0,0.8,0.5
v85,0.7,0.5,0.4,0.7,0.5,0.7,0.0,
v86,0.0,0.7,1.0,0.2,0.0,0.0,0.0,0.0
v87,0.7,0.4,0.9,0.3,0.2,0.4,,0.0
v88,0.7,0.0,0.0,0.2,0.5,0.7,0.5,0.4
v89,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
v90,0.8,0.2,0.2,0.6,0.2,0.0,0.0,0.0
v91,0.7,0.0,0.1,0.6,0.8,0.5,0.3,0.6
v92,1.0,0.0,0.0,0.6,0.9,0.6,0.0,0.6
v93,0.0,1.0,0.0,0.7,0.0,0.6,0.6,0.3
v94,0.9,0.0,0.3,0.4,0.4,0.4,,0.4
v95,0.2,0.7,0.7,0.0,0.0,0.4,0.8,0.3
v96,0.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0
v97,0.9,0.0,0.1,0.7,0.7,0.7,0.3,0.5
v98,0.8,0.0,0.2,0.3,0.7,0.6,0.1,0.1
v99,0.1,0.1,0.4,0.6,0.6,0.8,0.3,0.4
v100,1.0,0.0,0.0,0.0,0.3,0.2,0.1,0.4
v101,0.3,0.0,0.2,0.6,0.2,0.2,,0.0
v102,0.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0
v103,,0.0,0.0,0.6,0.0,0.0,0.0,0.2
v104,1.0,0.0,0.0,0.8,0.9,0.8,0.9,
v105,1.0,0.0,0.0,0.6,0.4,0.4,0.2,0.3
v106,0.1,0.0,0.0,0.0,0.6,0.4,0.0,0.5
v107,0.6,0.4,0.5,0.6,0.5,0.6,,0.4
v108,0.9,,0.6,,0.5,,,0.5
v109,1.0,0.0,0.0,0.2,0.5,0.2,0.0,0.0
v110,0.0,1.0,0.9,0.0,0.0,0.0,0.1,0.0
v111,0.4,0.0,0.1,0.4,0.2,0.4,0.1,0.5
v112,0.5,0.0,0.1,0.7,0.9,0.7,0.0,0.7
v113,0.8,0.0,0.0,0.6,1.0,0.6,0.0,0.7
v114,0.5,0.7,0.0,0.4,0.2,0.2,0.3,0.2
v115,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0
v116,0.5,1.0,1.0,0.2,0.0,0.0,0.2,0.0
v117,0.8,0.0,0.0,,0.1,0.3,,0.1
v118,1.0,0.0,0.3,,0.6,0.4,,
v119,0.0,0.0,0.0,0.0,0.0,0.0,,0.2
v120,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0
v121,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.4
v122,0.3,0.0,0.1,0.3,0.4,0.4,0.3,0.2
v123,0.8,0.2,0.3,0.3,0.3,0.3,0.2,0.2
v124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v125,1.0,0.0,,0.6,0.9,0.6,0.0,0.4
v126,0.6,0.0,0.0,0.7,0.3,0.3,,0.0
