,A,B,C,D,E,F,G,H
v1,0.8,0.0,0.1,0.5,0.8,0.0,0.5,0.2
v2,0.8,0.3,0.9,0.5,0.8,0.5,0.8,0.6
v3,0.8,0.0,0.6,0.2,0.6,0.1,0.3,0.7
v4,0.7,0.0,0.8,0.2,0.3,0.4,0.3,0.6
v5,0.3,0.2,0.8,0.0,0.3,0.5,0.0,0.7
v6,0.6,0.1,0.8,0.0,0.8,0.9,0.0,1.0
v7,1.0,0.0,0.5,0.9,0.6,0.5,1.0,0.7
v8,0.7,0.0,0.7,0.7,0.7,0.6,0.1,0.7
v9,1.0,0.0,0.8,0.7,0.8,0.4,0.7,0.7
v10,0.1,0.6,0.4,0.2,0.0,0.5,0.0,0.3
v11,0.5,0.5,0.7,0.2,0.2,0.6,0.0,0.5
v12,1.0,0.0,0.1,0.1,0.8,0.1,0.1,0.0
v13,0.9,0.0,0.1,1.0,0.5,0.1,1.0,0.2
v14,0.9,0.0,0.1,0.9,0.5,0.1,0.9,0.1
v15,0.3,0.8,1.0,0.0,0.0,1.0,0.0,0.6
v16,0.8,0.0,0.1,1.0,0.5,0.0,0.7,0.3
v17,0.2,0.0,0.0,0.8,0.4,0.0,0.6,0.0
v18,0.1,0.5,,0.0,,0.7,0.1,0.7
v19,0.6,0.0,0.3,0.5,0.9,0.0,0.6,0.7
v20,,0.3,0.3,0.0,0.1,0.3,0.2,0.1
v21,0.9,0.2,0.8,0.5,0.5,0.1,0.5,0.5
v22,0.9,0.0,0.1,0.8,0.5,0.0,0.9,0.3
v23,0.9,0.0,0.1,0.5,0.7,0.3,0.3,0.3
v24,0.5,0.9,0.8,0.1,0.1,0.7,0.0,0.6
v25,0.9,0.1,0.5,0.3,0.8,0.2,0.2,0.2
v26,0.7,0.0,0.8,0.1,0.4,0.7,0.5,0.7
v27,0.7,0.7,0.7,0.6,0.6,0.7,0.5,0.6
v28,0.8,0.0,0.1,0.9,0.7,0.1,0.8,0.1
v29,0.4,0.0,0.0,1.0,0.4,0.0,0.7,0.6
v30,0.6,0.0,0.5,0.7,1.0,0.5,0.0,0.1
v31,0.8,0.0,0.5,0.4,0.9,0.5,0.7,0.7
v32,0.5,0.5,0.9,0.5,0.5,0.5,0.5,0.5
v33,0.7,0.0,0.6,0.5,1.0,0.0,0.0,0.4
v34,0.5,0.1,0.2,0.4,0.7,0.2,0.6,0.3
v35,0.5,0.4,0.6,0.5,0.4,0.6,0.4,0.8
v36,0.6,0.0,0.2,0.9,0.6,0.1,0.7,0.4
v37,0.9,0.2,0.6,0.2,0.8,0.2,0.3,0.9
v38,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v39,0.8,0.9,0.7,0.7,0.8,0.7,0.1,0.6
v40,0.9,0.0,0.3,0.5,0.8,0.0,0.9,0.1
v41,0.9,0.0,0.1,1.0,0.5,0.1,1.0,0.5
v42,0.5,0.0,0.5,0.8,0.5,0.1,0.5,0.3
v43,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
v44,0.6,0.0,0.8,0.0,0.6,0.5,0.1,0.8
v45,1.0,0.0,0.0,0.9,0.8,0.0,1.0,0.5
v46,0.7,,,,,,,
v47,0.6,0.7,0.8,0.1,0.4,0.9,0.1,0.5
v48,0.5,0.0,0.4,0.0,0.7,0.4,0.5,0.6
v49,1.0,0.0,0.6,1.0,0.7,0.1,0.9,0.3
v50,0.4,0.9,0.9,0.2,0.1,0.4,0.0,0.2
v51,0.4,0.0,0.1,0.9,0.5,0.0,0.7,0.5
v52,0.6,0.0,0.7,0.2,0.7,0.0,0.2,0.7
v53,0.3,0.1,0.8,0.1,0.7,0.8,0.1,0.8
v54,0.9,0.0,0.1,0.3,0.7,0.4,0.6,0.9
v55,0.5,0.3,0.2,0.4,0.3,0.3,0.1,0.2
v56,0.5,0.5,0.9,0.2,0.6,0.6,0.4,0.7
v57,0.8,0.0,0.6,0.4,0.6,0.6,0.6,0.5
v58,1.0,0.0,0.0,1.0,0.2,0.2,0.7,0.2
v59,0.9,0.0,0.7,0.5,0.6,0.4,0.4,0.8
v60,0.2,0.0,1.0,0.0,0.2,0.9,0.0,0.6
v61,0.7,0.0,0.1,1.0,0.6,0.0,0.8,0.2
v62,1.0,0.1,0.1,0.9,0.5,0.0,1.0,0.5
v63,0.8,0.5,0.9,0.3,0.4,0.7,0.5,0.4
v64,0.5,0.7,0.6,0.9,0.9,0.6,1.0,0.6
v65,0.3,0.0,0.1,0.7,0.2,0.1,0.5,0.2
v66,0.3,0.3,0.9,0.3,0.5,0.3,0.3,0.3
v67,0.1,0.7,0.7,0.1,0.4,0.7,0.4,0.5
v68,0.7,0.2,0.9,0.6,0.8,0.7,0.2,0.8
v69,0.5,0.5,0.6,0.2,0.4,0.5,0.5,0.9
v70,0.6,1.0,0.9,0.0,0.6,0.6,0.0,0.6
v71,0.8,0.4,0.3,0.7,0.7,0.5,0.5,0.5
v72,1.0,0.0,0.0,0.7,0.5,0.2,0.2,0.2
v73,1.0,0.5,0.5,0.5,0.8,0.5,0.8,0.5
v74,0.9,0.0,0.2,0.7,0.7,0.0,0.8,0.5
v75,0.7,0.0,0.6,0.6,0.8,0.6,0.6,0.7
v76,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5
v77,0.5,0.8,0.9,0.1,0.4,0.8,0.3,0.5
v78,0.8,0.0,0.8,0.0,0.2,0.0,0.0,0.2
v79,0.8,0.0,0.1,0.5,0.7,0.1,0.3,0.2
v80,0.0,1.0,0.9,0.7,0.0,1.0,0.5,0.8
v81,0.9,0.6,0.7,0.0,0.5,0.1,0.2,0.4
v82,0.8,1.0,0.1,0.1,0.1,0.2,0.0,0.0
v83,0.8,0.0,0.5,0.4,0.5,0.0,0.8,0.7
v84,0.4,1.0,0.8,0.0,0.3,0.9,0.0,0.5
v85,0.7,0.0,0.9,0.0,0.7,0.0,0.0,0.8
v86,0.7,0.3,0.4,0.4,0.4,0.3,0.4,0.3
v87,0.2,0.9,0.6,0.3,0.0,0.7,0.1,0.3
v88,0.8,0.0,0.4,0.7,0.8,0.3,0.5,0.4
v89,0.6,0.2,0.6,0.2,0.5,0.8,0.2,0.8
v90,0.8,0.0,0.6,0.5,0.8,0.2,0.4,0.8
v91,0.2,0.7,0.8,0.0,0.0,0.7,0.0,0.6
v92,0.0,1.0,0.7,0.0,0.0,0.7,0.0,0.5
v93,0.8,0.0,0.8,0.2,0.2,0.2,0.0,0.2
v94,0.5,0.0,0.5,0.3,0.5,0.3,0.5,0.5
v95,0.5,0.8,0.9,0.2,0.3,0.0,0.0,0.3
v96,0.9,0.0,0.3,0.5,0.5,0.0,1.0,0.5
v97,0.6,0.9,0.9,0.3,0.1,0.9,0.0,0.7
v98,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5
v99,0.7,0.7,0.7,0.6,0.5,0.7,0.5,0.8
v100,0.9,0.0,0.3,0.5,0.7,0.3,0.9,0.3
v101,0.8,0.5,0.6,0.3,0.8,0.6,0.1,0.5
v102,0.3,0.0,0.9,0.0,0.5,0.9,0.5,0.5
v103,0.7,0.0,0.1,1.0,0.6,0.0,0.9,0.3
v104,0.4,0.3,0.9,0.0,0.4,0.8,0.4,0.5
v105,0.8,0.2,,,,0.0,,0.0
v106,0.7,0.4,0.4,0.7,0.7,0.5,0.7,0.5
v107,1.0,0.0,0.4,0.0,0.3,0.2,0.4,0.0
v108,0.9,0.0,0.6,0.6,1.0,0.0,0.8,0.7
v109,0.8,0.0,0.3,0.9,0.8,0.4,0.6,0.5
v110,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
v111,0.8,0.0,0.5,0.9,0.7,0.4,1.0,0.4
v112,0.9,0.4,0.0,0.1,0.8,0.1,0.7,0.1
v113,0.2,0.9,,0.3,0.2,0.9,0.0,0.5
v114,0.9,0.0,0.5,0.1,0.9,0.0,1.0,0.7
v115,0.8,0.2,0.7,0.1,0.6,0.8,0.4,0.5
v116,0.2,0.7,0.9,0.0,0.0,,,0.5
v117,1.0,0.0,0.2,0.1,0.9,0.1,0.5,0.6
v118,0.4,0.6,0.9,0.3,0.3,0.8,0.2,0.6
v119,0.4,0.7,1.0,0.0,0.6,0.9,0.0,0.7
v120,1.0,0.0,0.5,0.8,0.5,0.5,0.5,0.5
v121,0.6,0.2,0.8,0.2,0.8,0.7,0.2,0.6
v122,1.0,0.0,0.0,0.8,0.8,0.0,0.9,0.0
v123,0.5,0.1,0.9,0.3,0.2,0.9,0.1,0.6
v124,0.5,0.8,0.9,0.3,0.6,0.4,0.2,0.6
v125,0.0,0.1,0.5,0.7,0.3,0.0,0.8,0.1
v126,0.3,1.0,0.9,0.0,0.0,0.1,0.3,0.3
v127,1.0,0.0,0.3,0.6,1.0,0.0,0.6,0.5
v128,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v129,0.8,0.0,0.4,0.5,0.8,0.2,0.5,0.5
v130,0.8,0.0,0.0,1.0,0.7,0.1,0.7,0.3
v131,0.7,0.5,0.7,0.5,0.5,0.5,0.5,0.5
v132,0.9,0.0,0.4,0.3,0.8,0.2,0.3,0.2
v133,0.7,0.0,0.3,0.1,0.6,0.1,0.6,0.5
v134,0.7,0.8,0.8,0.0,0.0,0.6,0.6,0.5
v135,0.3,0.0,0.6,0.4,0.7,0.0,0.3,0.9
v136,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5
v137,0.3,0.5,0.5,0.0,0.5,0.5,0.0,0.4
v138,0.9,0.0,0.9,0.0,0.1,0.2,0.1,0.1
v139,1.0,0.0,0.2,0.9,0.3,0.1,0.8,0.2
v140,0.4,0.0,0.7,0.3,0.4,0.3,0.0,0.8
v141,0.9,0.0,0.5,0.5,0.9,0.0,0.9,0.5
v142,0.8,0.0,0.3,0.4,0.6,0.1,0.6,0.3
v143,0.8,0.0,0.0,0.9,0.6,0.0,0.9,0.2
v144,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5
v145,1.0,0.0,0.2,0.7,0.7,0.0,1.0,0.3
v146,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5
v147,0.8,,,,,,,
v148,0.8,0.0,0.2,0.6,0.7,0.1,0.8,0.5
v149,0.9,0.0,0.1,0.5,0.5,0.0,0.8,0.3
v150,0.2,0.9,0.8,0.0,0.3,0.8,0.0,0.7
v151,0.7,0.0,0.0,1.0,0.2,0.0,0.7,0.3
v152,0.5,0.5,0.0,0.2,0.1,0.0,0.1,0.0
v153,0.6,0.6,0.8,0.2,0.5,0.6,0.1,0.7
v154,0.8,0.2,0.8,0.2,0.9,0.6,0.5,0.9
v155,0.9,0.0,0.0,0.9,0.4,0.0,0.7,0.5
v156,0.7,0.0,0.2,0.6,0.6,0.1,0.6,0.5
v157,0.8,0.0,0.4,0.1,0.5,0.1,,0.7
v158,0.2,0.0,0.7,0.0,0.8,0.6,0.4,0.6
v159,0.9,0.3,0.1,0.0,0.5,0.4,0.4,0.7
v160,0.2,0.8,0.9,0.0,0.3,,,0.9
v161,0.2,0.1,0.9,0.1,0.3,0.4,0.1,0.8
v162,0.8,0.5,0.8,0.2,0.7,0.3,0.5,
v163,,,,0.7,,,,
v164,0.5,0.2,0.9,0.1,0.5,0.5,0.0,0.3
v165,0.5,0.0,0.8,0.0,0.3,0.5,0.0,0.7
v166,1.0,1.0,0.7,0.2,0.2,0.7,0.0,0.5
v167,0.9,0.3,0.7,0.8,0.8,0.6,0.8,0.8
v168,0.8,0.1,0.2,0.5,0.6,0.2,1.0,0.5
