,A,B,F,G,H,I
v1,0.2,1.0,0.5,0.6,0.2,0.1
v2,0.1,0.3,0.1,0.2,0.3,0.1
v3,0.1,0.8,0.1,0.2,0.1,0.1
v4,0.0,0.3,0.0,0.0,1.0,0.0
v5,0.3,0.2,0.7,0.4,0.0,0.1
v6,0.1,0.8,0.2,0.4,0.5,0.1
v7,0.5,0.5,0.3,0.4,0.1,0.5
v8,0.0,0.8,0.0,0.3,0.2,0.0
v9,0.3,0.0,0.0,0.0,0.9,0.2
v10,0.8,0.5,0.4,0.2,0.2,0.7
v11,0.8,0.2,0.6,0.5,0.2,0.2
v12,0.0,0.4,0.0,0.4,0.0,0.0
v13,0.8,0.4,0.6,0.2,,
v14,0.4,0.2,0.4,0.2,0.0,0.0
v15,0.1,0.1,0.1,0.1,0.1,1.0
v16,0.1,,0.1,0.1,0.1,0.1
v17,0.1,0.8,0.2,0.3,0.4,0.1
v18,0.9,0.1,0.2,0.3,0.3,0.7
v19,0.9,0.1,0.1,0.1,0.1,0.1
v20,0.1,0.1,0.0,0.0,1.0,0.0
v21,0.9,0.1,0.3,0.4,0.1,0.5
v22,0.5,0.6,0.2,0.5,,
v23,0.7,0.4,0.3,0.4,0.4,0.1
v24,1.0,0.0,1.0,0.0,0.0,0.0
v25,1.0,0.0,1.0,0.0,0.0,0.0
v26,0.4,0.0,0.0,0.0,0.0,
v27,0.0,0.0,0.0,0.0,0.0,0.0
v28,0.0,0.3,0.0,0.0,0.4,0.0
v29,0.7,0.0,0.6,0.0,0.0,0.0
v30,0.0,1.0,0.0,0.4,0.0,0.0
v31,0.8,0.6,0.5,0.4,0.2,0.7
v32,1.0,0.0,0.0,0.0,0.0,0.0
v33,0.4,0.1,0.1,0.2,0.2,0.1
v34,0.0,0.8,0.0,0.3,0.5,0.0
v35,0.8,0.2,0.5,0.5,0.2,0.4
v36,1.0,0.0,1.0,0.0,0.0,0.7
v37,1.0,0.2,0.6,0.3,0.0,0.8
v38,0.5,0.0,0.5,0.0,0.0,0.0
v39,0.0,0.9,0.0,0.0,1.0,0.0
v40,1.0,0.6,0.0,0.0,0.0,0.0
v41,0.0,0.0,0.0,0.0,0.0,0.0
v42,0.0,0.0,0.0,0.0,0.0,0.0
v43,0.4,0.3,,,,
v44,0.0,0.3,0.0,0.2,0.1,0.0
v45,0.8,0.2,0.7,0.5,0.0,0.7
v46,0.0,1.0,0.0,0.5,0.5,0.0
v47,1.0,0.2,0.8,0.5,0.0,0.8
v48,0.5,0.2,0.3,0.1,0.1,0.1
v49,0.0,1.0,0.0,1.0,0.0,0.0
v50,0.9,0.7,0.4,0.4,0.0,0.2
v51,0.0,0.7,0.0,0.2,0.0,0.0
v52,0.9,0.1,0.1,0.1,0.1,0.1
v53,0.1,0.1,0.1,0.1,0.1,0.1
v54,0.1,0.8,0.1,0.1,0.1,0.1
v55,0.0,0.8,0.0,0.3,0.0,0.0
v56,0.3,0.3,0.0,0.0,0.0,0.0
v57,1.0,0.0,0.3,0.5,0.0,0.7
v58,0.9,0.1,0.1,0.2,0.1,0.1
v59,0.0,0.0,0.0,0.0,0.0,0.0
v60,0.5,0.4,0.4,0.5,0.3,0.2
v61,0.1,0.1,0.1,0.1,0.1,0.1
v62,0.0,0.7,0.0,0.0,0.0,0.0
v63,0.1,0.1,0.1,0.1,0.1,0.1
v64,0.1,0.6,0.1,0.4,0.9,0.1
v65,0.1,0.7,0.1,0.3,0.6,0.1
v66,0.1,0.3,0.1,0.1,0.0,0.1
v67,0.0,0.3,0.0,0.0,0.7,0.0
v68,0.0,0.8,0.1,0.6,0.1,0.1
v69,1.0,0.2,0.5,0.4,0.5,0.8
v70,0.0,0.7,0.0,0.0,0.0,0.0
v71,0.7,0.1,0.1,0.1,0.1,0.1
v72,1.0,0.1,0.3,0.2,0.2,0.1
v73,0.3,0.5,0.6,0.5,0.0,
v74,0.0,0.8,0.0,0.0,0.0,0.0
v75,0.0,1.0,0.0,0.5,0.0,0.0
v76,0.6,0.1,0.5,0.4,0.0,0.3
v77,0.0,0.7,0.0,0.4,0.0,0.0
v78,0.3,0.7,0.2,0.4,0.3,
v79,0.0,0.8,0.0,0.0,1.0,0.0
v80,0.1,0.8,0.1,0.4,0.3,0.1
v81,,0.0,,0.0,0.0,0.0
v82,0.5,0.5,0.5,0.5,0.5,0.5
v83,0.1,0.1,0.1,0.1,0.1,0.1
v84,0.8,0.1,0.7,0.1,0.2,0.8
v85,1.0,0.1,0.7,0.2,0.4,0.7
v86,0.0,1.0,0.0,0.0,0.0,0.0
v87,0.7,0.2,0.0,0.4,0.0,0.1
v88,0.5,0.6,0.0,0.2,0.5,0.0
v89,0.0,0.8,0.0,0.7,0.0,0.5
v90,0.0,0.8,0.0,0.7,0.2,0.0
v91,0.3,0.7,0.1,0.4,0.6,0.1
v92,0.1,0.8,0.1,0.3,0.1,0.1
v93,0.0,0.0,0.0,0.0,0.0,0.0
v94,0.6,0.2,0.3,0.0,0.0,0.0
v95,1.0,0.0,1.0,0.0,0.0,0.0
v96,0.0,0.0,0.0,0.0,0.0,0.0
v97,0.6,0.1,0.0,0.1,0.0,0.0
v98,1.0,0.0,0.6,0.0,0.0,0.0
v99,0.5,1.0,0.5,0.5,0.3,0.3
v100,0.3,0.8,0.5,0.5,,
v101,0.1,0.3,0.1,0.7,0.1,0.1
v102,0.1,0.8,0.1,0.5,0.5,0.1
v103,0.1,0.8,0.1,0.1,0.1,0.1
v104,0.1,0.5,0.0,0.2,0.0,0.0
v105,0.0,0.4,0.2,0.6,0.1,0.0
v106,0.5,0.2,0.2,0.2,0.0,0.2
v107,0.6,0.1,0.3,0.1,0.0,0.5
v108,0.0,0.0,0.0,0.0,0.0,0.0
v109,0.1,0.9,0.1,0.4,0.5,0.2
v110,0.0,0.0,0.0,0.0,0.0,0.0
v111,0.5,0.5,0.5,0.3,0.3,0.2
v112,0.8,0.1,0.1,0.1,0.1,0.1
v113,0.0,0.7,0.0,0.0,0.4,0.0
v114,0.0,0.0,0.0,0.0,0.0,0.0
v115,1.0,0.1,0.6,0.1,0.2,0.1
v116,0.0,0.7,0.0,0.0,0.0,0.0
v117,0.7,0.1,0.1,0.1,0.1,0.1
v118,0.0,0.0,0.0,0.1,1.0,0.0
v119,1.0,0.1,0.8,0.1,0.1,0.5
v120,0.5,0.8,0.0,0.0,0.0,0.0
v121,1.0,0.0,1.0,0.0,0.0,0.0
v122,0.1,0.1,0.1,0.1,0.1,0.1
v123,0.0,1.0,0.0,1.0,0.0,0.0
v124,0.4,0.2,0.2,0.0,0.4,0.0
v125,1.0,0.4,0.3,0.3,0.3,0.3
v126,0.5,0.5,,,,
v127,0.1,0.1,0.1,0.1,0.1,0.1
v128,0.8,0.1,0.4,0.6,0.3,0.7
v129,0.0,0.0,0.0,0.5,0.0,0.0
v130,1.0,0.1,0.2,0.1,0.1,0.1
v131,0.0,0.0,0.0,0.0,0.0,0.0
v132,0.7,0.1,0.1,0.1,0.1,0.1
v133,0.0,0.8,0.1,0.4,,
v134,0.0,0.5,0.0,0.0,0.0,0.0
v135,0.1,0.1,0.1,0.1,0.1,0.2
v136,0.0,0.6,0.0,0.6,0.1,0.0
v137,0.2,0.4,0.2,0.1,0.2,0.2
