,A,B,C,D
v1,0.3,0.6,0.5,0.4
v2,0.6,0.6,0.6,0.3
v3,0.7,0.4,0.4,0.4
v4,0.6,0.3,0.1,0.2
v5,0.3,0.3,0.3,0.3
v6,0.9,0.1,0.0,0.3
v7,1.0,0.0,0.0,0.0
v8,0.8,0.7,0.5,
v9,0.0,0.5,0.0,0.0
v10,0.8,0.2,0.5,0.6
v11,0.8,0.0,0.2,0.3
v12,0.7,0.6,0.6,0.6
v13,0.0,0.2,0.9,0.3
v14,0.9,0.0,0.0,0.3
v15,0.6,0.5,0.5,0.5
v16,0.6,0.2,0.0,0.3
v17,0.0,0.0,1.0,0.8
v18,0.4,0.5,0.5,0.5
v19,0.8,0.4,0.4,0.4
v20,1.0,0.0,0.0,0.7
v21,0.7,0.3,0.3,0.5
v22,0.8,0.3,0.1,0.5
v23,0.6,0.5,0.5,0.4
v24,0.5,0.5,0.0,0.0
v25,0.3,0.3,0.5,0.2
v26,0.8,0.3,0.3,0.8
v27,0.8,0.0,0.0,0.5
v28,0.4,0.3,0.7,0.5
v29,0.5,0.7,0.6,0.4
v30,0.3,0.6,1.0,0.5
v31,0.4,0.3,0.2,0.1
v32,0.8,0.4,0.4,0.6
v33,1.0,0.6,0.8,0.8
v34,0.4,0.3,0.6,0.4
v35,0.5,0.5,0.5,0.5
v36,0.9,0.8,0.6,0.6
v37,0.1,0.0,0.5,0.0
v38,0.5,0.5,0.6,0.2
v39,0.0,0.0,0.6,0.5
v40,0.7,0.4,0.6,0.6
v41,0.8,0.6,0.8,0.7
v42,0.7,0.5,0.9,0.8
v43,0.4,0.9,0.3,0.3
v44,0.6,0.3,0.8,0.6
v45,0.6,0.5,0.5,0.5
v46,0.0,0.9,0.0,0.0
v47,0.5,0.1,0.3,0.6
v48,0.1,0.3,0.8,0.4
v49,0.4,0.7,0.6,0.5
v50,0.2,0.7,0.1,0.0
v51,0.7,0.5,0.3,0.4
v52,0.8,0.0,0.0,0.8
v53,0.1,0.3,0.6,0.3
v54,0.3,0.5,0.6,0.5
v55,0.3,0.7,0.6,0.2
v56,0.7,0.6,0.0,0.0
v57,0.8,0.0,0.0,0.8
v58,0.4,0.7,0.3,0.2
v59,0.7,0.3,0.2,0.7
v60,0.5,0.5,0.5,0.1
v61,0.0,0.7,1.0,0.2
v62,0.1,0.8,0.3,0.2
v63,0.0,0.8,0.5,0.1
v64,0.1,0.5,0.4,0.3
v65,0.2,0.2,1.0,0.3
v66,0.3,0.6,0.4,0.4
v67,0.3,0.4,0.8,0.7
v68,0.0,0.5,0.6,0.0
v69,0.5,0.5,0.7,0.5
v70,0.6,0.4,0.4,0.4
v71,0.4,0.3,0.1,0.0
v72,0.0,1.0,0.2,0.2
v73,0.9,0.1,0.3,0.6
v74,0.2,0.1,0.3,0.0
v75,1.0,0.0,0.0,
v76,1.0,0.0,0.0,0.5
v77,0.0,0.0,0.5,0.5
v78,0.5,0.5,0.6,0.6
v79,0.2,0.6,0.6,
v80,0.8,0.2,0.0,0.4
v81,0.9,0.2,0.1,0.2
v82,0.8,0.0,0.0,0.4
v83,0.5,0.5,0.5,0.5
v84,0.8,0.8,0.8,0.8
v85,0.5,0.5,0.5,
v86,0.8,0.0,0.3,0.8
v87,0.6,0.6,0.3,0.1
v88,0.0,0.0,0.0,
v89,0.1,0.7,0.5,0.0
v90,0.7,0.2,0.5,0.5
v91,0.5,0.5,0.8,0.5
v92,0.5,0.5,0.5,0.5
v93,0.0,0.0,1.0,0.0
v94,0.5,0.3,0.7,0.2
v95,0.3,0.2,0.6,0.0
v96,0.1,0.8,0.0,0.0
v97,0.2,0.5,0.4,0.0
v98,0.8,0.0,0.0,0.7
v99,0.3,0.3,0.6,0.1
v100,0.5,0.5,0.5,0.5
v101,0.6,0.3,0.4,0.4
v102,0.0,0.5,1.0,0.5
v103,0.0,1.0,0.4,0.6
v104,0.0,0.8,0.1,0.0
v105,0.3,0.3,0.3,0.3
v106,0.9,0.0,0.5,0.3
v107,0.0,1.0,0.1,0.1
v108,0.5,0.5,0.5,0.5
v109,0.3,0.6,0.6,0.6
v110,0.0,0.0,0.1,0.1
v111,1.0,0.5,0.0,0.3
v112,0.1,0.5,0.2,0.0
v113,0.4,0.5,0.1,0.0
v114,0.7,0.3,0.4,
v115,0.4,0.8,0.5,0.3
v116,0.9,0.3,0.1,0.3
v117,0.7,0.4,0.2,0.5
v118,0.5,0.5,0.8,0.7
v119,0.2,0.5,0.5,0.3
v120,0.0,0.5,0.4,0.1
v121,0.3,0.7,0.7,0.6
v122,0.5,0.5,0.4,0.4
v123,0.0,0.0,1.0,0.0
v124,0.2,0.3,0.4,0.2
v125,0.5,0.0,0.3,0.3
v126,1.0,0.0,0.0,0.0
v127,0.5,0.5,0.3,0.3
v128,,0.2,,0.3
v129,0.1,0.3,0.1,
v130,0.4,0.4,0.3,0.2
v131,0.5,0.5,0.5,0.5
v132,0.6,0.0,0.7,0.0
v133,0.5,0.1,0.2,0.5
v134,0.6,0.4,0.3,
v135,0.5,0.2,0.4,0.4
v136,0.3,0.5,0.5,0.4
v137,0.2,0.6,1.0,0.5
v138,0.5,0.5,,
v139,0.2,0.7,,
v140,0.8,0.6,0.2,0.6
v141,0.6,0.6,0.7,0.7
v142,0.6,0.8,0.5,0.3
v143,0.9,0.4,0.2,0.4
v144,0.5,0.5,0.5,0.3
v145,0.8,0.5,0.0,0.0
v146,0.7,0.5,0.5,0.5
v147,0.1,0.7,0.3,0.1
v148,1.0,0.0,0.0,0.2
v149,0.0,0.2,0.0,0.0
v150,0.3,0.4,0.6,0.2
v151,0.4,0.9,0.3,0.2
v152,0.7,0.2,0.6,0.5
v153,0.5,0.5,0.5,0.5
v154,0.3,0.6,0.7,0.2
v155,0.3,0.8,0.1,0.0
v156,0.5,0.4,0.7,0.5
v157,0.5,0.8,0.8,0.3
v158,0.1,0.6,0.4,0.1
v159,1.0,0.7,0.6,0.5
v160,1.0,0.0,0.5,0.6
v161,0.6,0.4,0.4,0.4
v162,0.0,0.6,0.8,0.2
v163,0.6,0.5,0.0,0.3
v164,1.0,0.0,0.4,0.5
v165,0.6,0.5,0.7,
v166,0.4,0.8,0.3,
v167,0.8,0.4,0.8,
v168,0.6,0.6,0.5,
v169,0.2,0.6,0.1,0.0
v170,0.6,0.6,0.6,0.3
v171,1.0,0.1,0.0,0.0
v172,1.0,0.0,0.0,0.0
v173,0.6,0.7,0.1,0.1
v174,0.7,0.4,0.8,0.6
v175,1.0,0.0,0.0,0.5
v176,0.4,0.6,0.3,0.3
v177,0.2,0.6,0.2,0.1
v178,0.5,0.0,0.1,0.1
v179,0.4,0.4,0.3,0.1
v180,0.5,0.5,,
v181,0.0,0.2,1.0,0.4
v182,0.3,0.5,0.5,0.0
v183,0.6,0.3,0.6,0.6
v184,0.1,1.0,0.2,0.2
v185,0.6,0.3,0.5,0.6
v186,1.0,0.5,0.5,0.5
v187,0.0,0.7,0.2,0.1
v188,0.8,0.2,0.0,0.6
v189,0.2,0.8,0.5,0.0
v190,0.3,0.7,0.4,0.3
v191,0.4,0.5,0.6,0.5
v192,0.5,0.6,0.5,0.5
v193,0.7,0.5,0.4,0.5
v194,0.1,0.1,0.2,0.1
v195,0.8,0.2,0.2,0.2
v196,0.7,0.5,0.2,0.5
v197,0.8,0.2,0.2,0.2
v198,0.5,0.4,0.5,0.4
v199,0.5,0.5,0.5,0.5
v200,0.8,0.2,0.3,0.5
v201,0.4,0.7,0.8,0.5
v202,0.0,1.0,,
v203,0.4,0.6,0.7,0.5
v204,0.3,0.8,0.3,0.3
v205,0.0,0.3,0.7,0.0
v206,0.5,0.5,0.5,0.5
v207,0.5,0.5,0.5,0.0
v208,0.6,0.5,0.5,0.7
v209,0.3,0.4,0.5,0.5
v210,0.4,0.7,0.3,
v211,0.5,0.5,0.6,0.3
v212,0.8,0.7,,
v213,0.0,0.5,0.7,0.0
v214,0.2,0.4,0.3,0.1
v215,0.5,0.5,0.5,0.5
v216,0.7,0.3,0.5,0.5
v217,0.3,0.7,0.3,0.3
v218,0.4,0.6,0.5,0.5
v219,0.6,0.3,0.0,0.0
v220,0.5,0.7,0.4,0.3
v221,0.5,0.5,,
v222,0.4,0.8,0.5,
v223,0.4,0.6,0.6,0.3
v224,0.2,0.4,0.6,0.5
v225,0.2,0.8,0.0,0.0
v226,1.0,0.2,0.6,0.8
v227,0.9,0.0,0.0,0.0
v228,0.4,0.6,0.7,0.1
v229,1.0,0.5,0.2,0.5
v230,1.0,0.0,0.1,0.5
v231,1.0,0.0,,
v232,0.5,0.1,0.5,0.1
v233,1.0,0.5,0.5,0.5
v234,0.0,0.7,0.5,0.0
v235,1.0,0.5,0.8,0.5
v236,0.8,0.3,0.1,0.2
v237,0.4,0.2,0.6,0.1
v238,0.5,0.0,0.0,0.5
v239,0.9,0.0,0.0,0.0
v240,0.6,0.8,0.7,0.5
v241,0.1,0.9,0.0,0.0
v242,0.5,0.5,0.5,0.5
v243,0.3,0.4,0.8,0.7
v244,0.8,0.5,0.6,0.6
v245,0.5,0.5,0.6,0.6
v246,0.4,0.5,0.6,0.4
v247,1.0,0.4,0.2,0.8
v248,0.4,0.5,0.6,0.1
v249,0.5,0.5,0.3,0.0
v250,0.4,0.4,0.5,0.6
v251,0.6,0.0,0.8,0.7
v252,0.6,0.5,0.3,
v253,0.0,0.9,0.7,0.3
v254,0.0,0.9,,
v255,0.4,0.5,0.2,0.2
v256,1.0,0.0,0.5,0.8
v257,0.6,0.4,0.6,0.5
v258,0.7,0.0,0.3,0.1
v259,0.4,0.0,0.3,0.3
v260,0.5,0.6,0.6,0.6
v261,0.5,0.4,0.6,0.7
v262,0.8,0.4,0.4,0.5
v263,0.8,0.6,0.5,0.5
v264,0.6,0.0,0.0,0.4
v265,1.0,0.0,0.0,0.5
v266,0.5,0.6,0.5,0.4
v267,0.3,0.5,0.5,0.3
v268,0.5,0.3,0.1,0.2
v269,0.5,0.4,0.6,0.6
v270,0.8,0.4,0.7,0.5
v271,0.5,0.8,0.6,0.3
v272,0.3,0.5,0.5,0.5
v273,0.9,0.4,0.3,0.3
v274,0.5,0.5,0.5,0.5
v275,0.5,0.5,0.4,0.5
v276,0.4,0.3,0.5,0.3
v277,0.5,0.5,0.0,
v278,0.5,0.7,0.5,0.3
v279,0.9,0.3,0.3,0.3
v280,0.5,0.5,0.3,0.2
v281,0.8,0.5,0.4,0.6
v282,0.5,0.5,0.5,0.5
v283,0.7,0.3,0.3,0.5
v284,0.7,0.2,0.0,0.7
v285,0.5,0.5,0.5,0.3
v286,0.4,0.7,0.8,0.5
v287,0.5,0.3,0.1,0.6
v288,0.0,0.7,0.5,0.2
v289,0.3,0.7,0.6,0.3
v290,0.1,0.3,0.2,0.0
v291,0.8,0.0,0.0,0.0
v292,1.0,0.0,0.0,0.0
v293,0.3,0.7,0.4,0.4
v294,0.3,0.1,0.7,0.0
v295,0.2,0.5,0.7,0.0
v296,1.0,0.0,0.0,
v297,0.2,0.5,0.7,0.0
v298,0.4,0.6,0.7,
v299,0.5,0.3,0.6,0.2
v300,0.2,0.3,0.7,0.6
v301,0.3,0.2,0.4,0.2
v302,0.4,0.5,0.5,0.2
v303,0.6,0.7,0.6,0.3
v304,1.0,0.1,0.0,0.1
v305,0.4,0.6,0.7,0.4
v306,0.0,1.0,0.2,0.0
v307,0.3,0.5,0.1,0.5
v308,0.6,0.5,0.4,0.3
v309,0.0,0.5,0.2,0.0
v310,0.7,0.6,0.4,0.5
v311,0.0,0.6,0.2,0.1
v312,0.8,0.1,0.7,0.5
v313,0.5,0.5,0.6,0.5
v314,0.9,0.3,0.1,0.7
v315,0.2,0.8,0.5,0.2
v316,1.0,0.0,0.0,
v317,0.1,0.5,0.0,0.1
v318,0.7,0.4,0.3,0.2
v319,0.0,1.0,0.0,0.0
v320,0.9,0.3,0.1,0.5
v321,1.0,0.2,0.2,0.3
v322,0.8,0.7,0.8,0.3
v323,0.4,0.7,0.8,
v324,0.6,0.4,0.6,0.5
v325,0.1,0.5,0.1,0.1
v326,0.6,0.8,0.7,0.6
v327,0.3,0.6,0.7,0.2
v328,0.6,0.4,0.4,0.4
v329,0.7,0.4,0.3,0.5
v330,0.2,0.8,0.6,0.5
v331,0.3,0.9,0.2,0.1
v332,0.8,0.0,0.3,0.5
v333,0.5,0.5,0.0,
v334,0.8,0.6,0.5,0.3
v335,0.8,0.2,0.0,0.4
v336,0.6,0.4,0.4,0.4
v337,1.0,0.1,0.1,0.3
v338,0.3,0.8,0.0,0.0
v339,0.8,0.3,0.2,0.5
v340,0.5,0.7,0.5,
v341,0.8,0.2,0.5,0.5
v342,0.8,0.0,0.8,0.5
v343,0.2,1.0,0.2,0.6
v344,0.5,0.5,0.5,
v345,0.5,0.8,0.8,0.5
v346,0.2,0.9,0.6,0.2
v347,1.0,0.0,0.0,0.5
v348,0.5,0.5,0.5,0.5
v349,0.5,0.9,0.5,0.5
v350,0.1,0.1,0.5,0.5
v351,0.0,1.0,0.0,
v352,0.5,0.5,0.5,0.5
v353,0.7,0.6,0.5,0.5
v354,0.4,0.2,0.2,0.4
v355,0.1,0.5,0.2,
v356,1.0,0.3,0.2,
v357,0.5,0.7,0.3,0.2
v358,0.3,0.8,0.5,0.2
v359,0.3,0.4,0.2,0.1
v360,0.0,0.8,0.4,0.0
v361,0.5,0.5,0.3,0.1
v362,0.0,0.5,0.5,0.0
v363,0.2,0.6,0.3,0.1
v364,0.2,0.2,0.8,0.5
v365,0.0,1.0,0.5,0.3
v366,0.5,0.5,0.5,0.3
v367,0.9,0.2,0.2,0.6
v368,0.4,0.2,0.7,0.7
v369,0.3,0.9,0.5,0.4
v370,0.5,0.5,0.7,0.6
v371,0.5,0.6,0.8,
v372,0.2,0.6,0.2,0.2
v373,0.5,0.5,0.5,0.5
v374,0.3,0.2,0.7,0.3
v375,0.9,0.5,0.7,0.7
v376,0.3,0.6,0.5,0.0
v377,0.0,0.8,,
v378,0.7,0.4,0.5,0.6
v379,0.3,0.3,0.3,0.3
v380,0.0,0.8,0.3,0.0
v381,0.6,0.7,0.3,0.0
v382,0.5,0.5,0.5,0.5
v383,0.8,0.6,0.4,0.3
v384,0.5,0.4,0.1,0.1
v385,0.8,0.4,0.1,0.5
v386,0.4,0.3,0.4,0.3
v387,0.8,0.5,0.4,0.3
v388,0.6,0.0,0.3,0.4
v389,0.9,0.2,0.3,
v390,0.8,0.4,0.6,0.5
v391,0.0,0.0,0.0,0.0
v392,0.7,0.6,0.8,0.3
v393,0.7,0.5,0.6,0.6
v394,0.5,0.5,0.7,0.5
v395,0.5,0.5,0.5,0.5
v396,0.3,0.7,0.6,0.2
v397,0.7,0.4,0.2,0.4
v398,0.6,0.7,0.7,0.5
v399,0.3,0.6,0.1,0.0
v400,0.9,0.2,0.9,
v401,0.5,0.2,0.2,0.5
v402,0.9,0.1,0.1,1.0
v403,0.4,0.4,0.7,0.2
v404,0.0,0.3,0.5,0.0
v405,0.4,0.6,0.5,0.0
v406,0.4,0.8,0.5,0.5
v407,0.5,0.5,0.5,0.5
v408,1.0,0.0,0.0,0.5
v409,0.1,0.9,0.1,0.1
v410,0.0,0.0,0.9,0.9
v411,0.3,0.8,0.2,0.1
v412,0.8,0.5,0.5,0.5
v413,0.5,0.5,0.5,0.5
v414,0.9,0.5,0.5,0.5
v415,0.5,0.5,0.5,0.5
v416,0.8,0.6,0.6,0.7
v417,0.3,0.4,0.5,0.0
v418,0.4,0.8,0.3,0.2
v419,0.8,0.5,0.1,0.1
v420,0.6,0.3,0.9,0.3
v421,0.0,0.5,0.5,0.0
v422,0.5,0.4,0.5,0.5
v423,0.7,0.2,0.2,0.3
v424,1.0,0.0,0.2,0.3
v425,0.6,0.0,0.5,0.3
v426,0.7,0.5,0.5,0.5
v427,0.4,0.7,0.3,0.2
v428,0.0,1.0,0.0,0.0
v429,0.8,1.0,0.6,0.6
v430,0.6,0.0,0.0,0.8
v431,0.5,0.3,0.0,0.0
v432,0.8,0.0,0.0,0.7
