,A,B
v1,0.1,0.7
v2,0.6,0.4
v3,0.1,0.8
v4,0.5,0.1
v5,1.0,0.0
v6,0.5,1.0
v7,0.5,0.5
v8,0.8,0.2
v9,0.7,0.5
v10,0.1,0.8
v11,0.0,1.0
v12,0.3,0.7
v13,0.9,0.0
v14,0.3,0.7
v15,0.3,0.3
v16,0.3,0.4
v17,0.9,0.4
v18,1.0,0.0
v19,0.0,1.0
v20,0.0,1.0
v21,1.0,0.2
v22,0.9,0.4
v23,0.0,0.7
v24,0.0,1.0
v25,0.5,0.3
v26,0.7,0.2
v27,0.6,0.4
v28,0.0,0.8
v29,0.0,0.4
v30,0.4,0.0
v31,1.0,0.0
v32,1.0,0.0
v33,0.0,0.7
v34,0.5,0.5
v35,0.0,0.7
v36,0.2,0.6
v37,1.0,0.0
v38,0.0,1.0
v39,0.4,0.3
v40,1.0,0.0
v41,0.0,0.8
v42,0.4,0.8
v43,0.9,0.2
v44,0.3,0.3
v45,0.0,0.8
v46,0.2,0.8
v47,0.3,0.5
v48,0.0,0.6
v49,0.0,0.0
v50,0.5,0.5
v51,0.3,0.6
v52,1.0,0.3
v53,0.3,0.7
v54,0.7,0.5
v55,0.0,1.0
v56,1.0,0.0
v57,0.8,0.0
v58,0.3,0.3
v59,0.3,1.0
v60,0.4,0.6
v61,0.8,0.0
v62,0.0,0.8
v63,0.5,0.5
v64,1.0,0.0
v65,0.5,0.5
v66,0.3,0.8
v67,0.0,1.0
v68,0.9,0.1
v69,0.8,0.5
v70,0.7,0.2
v71,0.8,0.3
v72,0.5,0.8
v73,0.0,0.9
v74,0.3,0.7
v75,1.0,0.0
v76,0.0,0.1
v77,0.5,0.5
v78,0.0,0.6
v79,0.1,0.8
v80,0.8,0.0
v81,0.9,0.1
v82,0.0,0.9
v83,0.0,1.0
v84,0.8,0.2
v85,0.8,0.0
v86,0.5,0.5
v87,0.9,0.1
v88,0.0,1.0
v89,0.6,0.5
v90,0.0,0.5
v91,0.7,0.4
v92,0.3,0.2
v93,0.8,0.0
v94,0.2,1.0
v95,0.2,0.7
v96,0.0,0.8
v97,0.3,0.3
v98,0.4,0.1
v99,0.0,0.8
v100,0.4,0.8
v101,0.0,0.9
v102,0.0,0.0
v103,0.4,0.8
v104,0.9,0.1
v105,0.5,1.0
v106,0.7,0.9
v107,0.4,1.0
v108,0.0,0.9
v109,0.7,0.5
v110,0.8,0.5
v111,0.1,1.0
v112,0.0,0.8
v113,1.0,0.2
v114,0.6,0.3
v115,0.7,0.9
v116,0.5,0.5
v117,1.0,0.6
v118,0.8,0.0
v119,0.8,0.0
v120,0.2,0.8
v121,0.7,0.3
v122,0.3,0.5
v123,0.1,0.8
v124,0.1,0.1
v125,0.5,0.0
v126,0.0,0.8
v127,0.8,0.3
v128,0.9,0.1
v129,0.8,0.4
v130,0.5,0.4
v131,0.5,0.5
v132,0.6,0.0
v133,0.9,0.2
v134,1.0,0.5
v135,0.3,0.6
v136,0.9,0.2
v137,0.5,0.5
v138,0.8,0.3
v139,0.0,0.9
v140,0.1,1.0
v141,0.0,1.0
v142,0.1,0.7
v143,0.8,0.5
v144,0.0,0.6
v145,0.0,1.0
