rule,social_acceptability_mean,utility_mean_mean,utility_median_mean,utility_var_mean,rank_mean_mean,rank_median_mean,rank_var_mean,freq_first_mean,freq_last_mean,has_tie_mean,n_cowinners_mean
AP_T05,0.4598961378645437,0.503230668221808,0.4897959183673472,0.09354589641507209,3.1860028109496814,2.704081632653061,4.169167184610999,0.2986937557738622,0.07653155885687067,0.0,1.0
AP_T07,0.4578796657986736,0.5010239631401088,0.4816326530612248,0.09533264424597108,3.2108405675473075,2.7448979591836733,4.269532613027736,0.30240959130398576,0.08128569453069953,0.0,1.0
BALD,0.4572317987833675,0.5042714770768625,0.4918367346938779,0.0905742581449802,3.1643785615730313,2.7244897959183674,4.046106199411001,0.2933477334465823,0.0717269942198039,0.0,1.0
BLAC,0.4571877840531043,0.5043932511639235,0.4918367346938779,0.09034730709977062,3.1626326439392627,2.7244897959183674,4.039680787117808,0.2933477334465823,0.07138954795445378,0.0,1.0
BORD,0.45688583559748197,0.504570867902525,0.4918367346938779,0.08986821060350274,3.158281033843527,2.7448979591836733,3.9926497915747503,0.2903282488903577,0.07060803430460742,0.0,1.0
BUCK_I,0.45423479508408393,0.5028361272279098,0.4938775510204084,0.0892814312593479,3.172253835084477,2.7448979591836733,3.970540064687932,0.2872090764635353,0.07083625315007373,0.0,1.0
BUCK_R,0.4578274463513263,0.5035084213131622,0.4938775510204084,0.09055124864660281,3.1702186191066586,2.704081632653061,4.058688116981705,0.2974609218278582,0.07432574942701875,0.02040816326530612,1.0204081632653061
COOM,0.4472345491990589,0.49915075170471374,0.4897959183673473,0.08668067450080416,3.185056191914036,2.7857142857142856,3.8569326012113962,0.27780644956296147,0.06648973807009997,0.0,1.0
COPE,0.46244020853116297,0.5041770899330761,0.4918367346938779,0.09065922146980611,3.1650632351549004,2.7244897959183674,4.050180737344727,0.30091826705182884,0.07460262326365726,0.02040816326530612,1.0408163265306123
HARE,0.45843023500833224,0.5032832436169123,0.4918367346938779,0.09357629771310734,3.180110994370029,2.704081632653061,4.187468596830292,0.3005995336879108,0.07584051043571016,0.0,1.0
KIMR,0.4452958271332633,0.49807389020782583,0.4877551020408167,0.08612048494900483,3.186255876929727,2.826530612244898,3.7844376300143208,0.2726923526244873,0.06586846799048038,0.0,1.0
L4DV,0.457926072692239,0.5041304277825391,0.4897959183673472,0.09183697788015543,3.1720417301335235,2.7448979591836733,4.058172891349382,0.29339134326262,0.0737786522320381,0.0,1.0
L6DV,0.45584995905318565,0.5024626568010031,0.4816326530612248,0.09287413175800734,3.193965848542086,2.7653061224489797,4.1435986540147365,0.2943508692467481,0.0777123595838139,0.0,1.0
MJ,0.4557011365540743,0.5036253674617219,0.4938775510204084,0.09084748737907768,3.1685039532898562,2.704081632653061,4.081556836507854,0.2951935038716649,0.07213598408996179,0.0,1.0
MMIN,0.4572317987833675,0.5042714770768625,0.4918367346938779,0.0905742581449802,3.1643785615730313,2.7244897959183674,4.046106199411001,0.2933477334465823,0.0717269942198039,0.0,1.0
NANS,0.4572317987833675,0.5042714770768625,0.4918367346938779,0.0905742581449802,3.1643785615730313,2.7244897959183674,4.046106199411001,0.2933477334465823,0.0717269942198039,0.0,1.0
PLU1,0.443129675762943,0.4912429385812051,0.46530612244897973,0.0981852638464431,3.3059871958921407,2.9081632653061225,4.618856674236761,0.3102956359280376,0.0910437136989139,0.0,1.0
PLU2,0.45773816007110174,0.5029693956802614,0.4897959183673472,0.093871406290328,3.184311728291358,2.704081632653061,4.210526011886992,0.300937523773535,0.07640382724508374,0.0,1.0
RV,0.45808666892632677,0.5045844174632836,0.4918367346938779,0.09142130801250616,3.1624178297600998,2.7244897959183674,4.076725829644398,0.2955641021390206,0.07252848115846112,0.0,1.0
SCHU,0.4572317987833675,0.5042714770768625,0.4918367346938779,0.0905742581449802,3.1643785615730313,2.7244897959183674,4.046106199411001,0.2933477334465823,0.0717269942198039,0.0,1.0
STAR,0.4571877840531043,0.5043932511639235,0.4918367346938779,0.09034730709977062,3.1626326439392627,2.7244897959183674,4.039680787117808,0.2933477334465823,0.07138954795445378,0.0,1.0
WOOD,0.45843023500833224,0.5032832436169123,0.4918367346938779,0.09357629771310734,3.180110994370029,2.704081632653061,4.187468596830292,0.3005995336879108,0.07584051043571016,0.0,1.0
YOUN,0.4571877840531043,0.5043932511639235,0.4918367346938779,0.09034730709977062,3.1626326439392627,2.7244897959183674,4.039680787117808,0.2933477334465823,0.07138954795445378,0.0,1.0
AP_K2,0.4534250750552507,0.5001243933422205,0.4816326530612248,0.09454223377360793,3.221582960776887,2.7653061224489797,4.366319982994348,0.30378849278239356,0.07927941001323192,0.0,1.0
AP_K3,0.4595643844205421,0.5027692570112618,0.4897959183673473,0.08986860356146112,3.1674625777863503,2.7448979591836733,4.012815148978063,0.29515476226642556,0.0720179960375046,0.04081632653061224,1.0408163265306123
AP_KRP,0.4584577345997652,0.5040146911455579,0.49148979591836767,0.09226385147827852,3.170105890646247,2.7104081632653063,4.132204383910551,0.29976011319991297,0.07408961580320507,0.002653061224489796,1.00265306122449
