rule,social_acceptability_mean,utility_mean_mean,utility_median_mean,utility_var_mean,rank_mean_mean,rank_median_mean,rank_var_mean,freq_first_mean,freq_last_mean,has_tie_mean,n_cowinners_mean
AP_T05,0.506512025866215,0.5389390697166577,0.55,0.09216463242151487,3.2255356956562187,2.6,4.688423360404056,0.3075129718078153,0.05768419636182183,0.0,1.0
AP_T07,0.506512025866215,0.5389390697166577,0.55,0.09216463242151487,3.2255356956562187,2.6,4.688423360404056,0.3075129718078153,0.05768419636182183,0.0,1.0
AP_T0GE,0.8664606799825926,0.38433116833501835,0.38,0.08678951088085722,4.5,4.5,5.25,1.0,1.0,1.0,8.0
BALD,0.5008392821412149,0.5380502562340201,0.55,0.08971269259868075,3.2234193163901965,2.6,4.5645666518965164,0.29992559481426256,0.05434047753116713,0.0,1.0
BLAC,0.5008392821412149,0.5380502562340201,0.55,0.08971269259868075,3.2234193163901965,2.6,4.5645666518965164,0.29992559481426256,0.05434047753116713,0.0,1.0
BORD,0.5027363580852883,0.53977772111031,0.55,0.08611495279108676,3.183115042769996,2.6,4.205579049557775,0.28080835000511173,0.045486250817932596,0.0,1.0
BUCK_I,0.5008392821412149,0.5380502562340201,0.55,0.08971269259868075,3.2234193163901965,2.6,4.5645666518965164,0.29992559481426256,0.05434047753116713,0.0,1.0
BUCK_R,0.506512025866215,0.5389390697166577,0.55,0.09216463242151487,3.2255356956562187,2.6,4.688423360404056,0.3075129718078153,0.05768419636182183,0.0,1.0
COOM,0.5008392821412149,0.5380502562340201,0.55,0.08971269259868075,3.2234193163901965,2.6,4.5645666518965164,0.29992559481426256,0.05434047753116713,0.0,1.0
COPE,0.5008392821412149,0.5380502562340201,0.55,0.08971269259868075,3.2234193163901965,2.6,4.5645666518965164,0.29992559481426256,0.05434047753116713,0.0,1.0
HARE,0.5031354024895918,0.538081926859515,0.55,0.09341479939739612,3.240600630721154,2.6,4.809416445241297,0.313227257522101,0.06209978077740623,0.0,1.0
KIMR,0.5027363580852883,0.53977772111031,0.55,0.08611495279108676,3.183115042769996,2.6,4.205579049557775,0.28080835000511173,0.045486250817932596,0.0,1.0
L4DV,0.505032478433665,0.5398093917358049,0.55,0.08981705958980213,3.200296357100954,2.6,4.4504288429025545,0.29411001271295023,0.05324555406417171,0.0,1.0
L6DV,0.505032478433665,0.5398093917358049,0.55,0.08981705958980213,3.200296357100954,2.6,4.4504288429025545,0.29411001271295023,0.05324555406417171,0.0,1.0
MJ,0.506512025866215,0.5389390697166577,0.55,0.09216463242151487,3.2255356956562187,2.6,4.688423360404056,0.3075129718078153,0.05768419636182183,0.0,1.0
MMIN,0.5008392821412149,0.5380502562340201,0.55,0.08971269259868075,3.2234193163901965,2.6,4.5645666518965164,0.29992559481426256,0.05434047753116713,0.0,1.0
NANS,0.5008392821412149,0.5380502562340201,0.55,0.08971269259868075,3.2234193163901965,2.6,4.5645666518965164,0.29992559481426256,0.05434047753116713,0.0,1.0
PLU1,0.4791533794390913,0.5169363635252092,0.5000000000000001,0.09849331704952276,3.4369013182740296,3.1,5.35359512687427,0.3202197106131289,0.08594610647552592,0.0,1.0
PLU2,0.5031354024895918,0.538081926859515,0.55,0.09341479939739612,3.240600630721154,2.6,4.809416445241297,0.313227257522101,0.06209978077740623,0.0,1.0
RV,0.505032478433665,0.5398093917358049,0.55,0.08981705958980213,3.200296357100954,2.6,4.4504288429025545,0.29411001271295023,0.05324555406417171,0.0,1.0
SCHU,0.5008392821412149,0.5380502562340201,0.55,0.08971269259868075,3.2234193163901965,2.6,4.5645666518965164,0.29992559481426256,0.05434047753116713,0.0,1.0
STAR,0.5042159055178382,0.5389073990911629,0.55,0.0884625256227995,3.208354381325261,2.6,4.443573567059277,0.29421130909997684,0.049924893115582715,0.0,1.0
VETO,0.43515146261862625,0.5059460972709664,0.5200000000000001,0.07550211053734293,3.424659162639375,3.0,3.8048431689760576,0.2337375243749349,0.0383423629101992,0.0,1.0
WOOD,0.5031354024895918,0.538081926859515,0.55,0.09341479939739612,3.240600630721154,2.6,4.809416445241297,0.313227257522101,0.06209978077740623,0.0,1.0
YOUN,0.5008392821412149,0.5380502562340201,0.55,0.08971269259868075,3.2234193163901965,2.6,4.5645666518965164,0.29992559481426256,0.05434047753116713,0.0,1.0
AP_K2,0.5031354024895918,0.538081926859515,0.55,0.09341479939739612,3.240600630721154,2.6,4.809416445241297,0.313227257522101,0.06209978077740623,0.0,1.0
AP_K3,0.505032478433665,0.5398093917358049,0.55,0.08981705958980213,3.200296357100954,2.6,4.4504288429025545,0.29411001271295023,0.05324555406417171,0.0,1.0
AP_KRP,0.505032478433665,0.5398093917358049,0.55,0.08981705958980213,3.200296357100954,2.6,4.4504288429025545,0.29411001271295023,0.05324555406417171,0.0,1.0
COND,0.7835376503924362,0.45063775909326925,0.4600000000000001,0.08170203723460093,3.959650526319181,3.85,4.721006656045467,0.8124617068546067,0.7076527520205367,0.7,5.9
