,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,8.333333,88.88889,8.333333,8.333333,8.333333,16.666666,16.666666,16.666666,16.666666,8.333333,16.666666,41.666668,0.0,16.666666,8.333333,8.333333,8.333333,33.333332,16.666666,0.0,8.333333,0.0,58.333332,16.666666,8.333333,33.333332,0.0,0.0,8.333333,66.66667
AP_T07,8.333333,0.0,88.88889,16.666666,16.666666,16.666666,25.0,25.0,25.0,25.0,16.666666,25.0,50.0,8.333333,8.333333,16.666666,16.666666,16.666666,25.0,25.0,8.333333,16.666666,8.333333,58.333332,25.0,16.666666,25.0,8.333333,8.333333,16.666666,66.66667
AP_T0GE,88.88889,88.88889,0.0,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,87.96297,88.88889,88.88889,88.88889,88.88889,88.88889,88.88889,22.222223
BALD,8.333333,16.666666,88.88889,0.0,0.0,0.0,8.333333,8.333333,8.333333,25.0,0.0,8.333333,33.333332,8.333333,25.0,0.0,0.0,0.0,41.666668,25.0,8.333333,0.0,8.333333,54.166668,8.333333,0.0,41.666668,8.333333,8.333333,0.0,66.66667
BLAC,8.333333,16.666666,88.88889,0.0,0.0,0.0,8.333333,8.333333,8.333333,25.0,0.0,8.333333,33.333332,8.333333,25.0,0.0,0.0,0.0,41.666668,25.0,8.333333,0.0,8.333333,54.166668,8.333333,0.0,41.666668,8.333333,8.333333,0.0,66.66667
BORD,8.333333,16.666666,88.88889,0.0,0.0,0.0,8.333333,8.333333,8.333333,25.0,0.0,8.333333,33.333332,8.333333,25.0,0.0,0.0,0.0,41.666668,25.0,8.333333,0.0,8.333333,54.166668,8.333333,0.0,41.666668,8.333333,8.333333,0.0,66.66667
BUCK_I,16.666666,25.0,88.88889,8.333333,8.333333,8.333333,0.0,0.0,16.666666,16.666666,8.333333,16.666666,25.0,16.666666,33.333332,8.333333,8.333333,8.333333,50.0,33.333332,16.666666,8.333333,16.666666,45.833332,16.666666,8.333333,50.0,16.666666,16.666666,8.333333,66.66667
BUCK_R,16.666666,25.0,88.88889,8.333333,8.333333,8.333333,0.0,0.0,16.666666,16.666666,8.333333,16.666666,25.0,16.666666,33.333332,8.333333,8.333333,8.333333,50.0,33.333332,16.666666,8.333333,16.666666,45.833332,16.666666,8.333333,50.0,16.666666,16.666666,8.333333,66.66667
CAIR,16.666666,25.0,88.88889,8.333333,8.333333,8.333333,16.666666,16.666666,0.0,33.333332,8.333333,0.0,41.666668,16.666666,33.333332,8.333333,8.333333,8.333333,41.666668,16.666666,16.666666,8.333333,16.666666,54.166668,0.0,8.333333,33.333332,16.666666,16.666666,8.333333,66.66667
COOM,16.666666,25.0,88.88889,25.0,25.0,25.0,16.666666,16.666666,33.333332,0.0,25.0,33.333332,25.0,16.666666,33.333332,25.0,25.0,25.0,50.0,33.333332,16.666666,25.0,16.666666,41.666668,33.333332,25.0,50.0,16.666666,16.666666,25.0,66.66667
COPE,8.333333,16.666666,88.88889,0.0,0.0,0.0,8.333333,8.333333,8.333333,25.0,0.0,8.333333,33.333332,8.333333,25.0,0.0,0.0,0.0,41.666668,25.0,8.333333,0.0,8.333333,54.166668,8.333333,0.0,41.666668,8.333333,8.333333,0.0,66.66667
HARE,16.666666,25.0,88.88889,8.333333,8.333333,8.333333,16.666666,16.666666,0.0,33.333332,8.333333,0.0,41.666668,16.666666,33.333332,8.333333,8.333333,8.333333,41.666668,16.666666,16.666666,8.333333,16.666666,54.166668,0.0,8.333333,33.333332,16.666666,16.666666,8.333333,66.66667
KIMR,41.666668,50.0,88.88889,33.333332,33.333332,33.333332,25.0,25.0,41.666668,25.0,33.333332,41.666668,0.0,41.666668,58.333332,33.333332,33.333332,33.333332,75.0,58.333332,41.666668,33.333332,41.666668,45.833332,41.666668,33.333332,75.0,41.666668,41.666668,33.333332,75.0
L4DV,0.0,8.333333,88.88889,8.333333,8.333333,8.333333,16.666666,16.666666,16.666666,16.666666,8.333333,16.666666,41.666668,0.0,16.666666,8.333333,8.333333,8.333333,33.333332,16.666666,0.0,8.333333,0.0,58.333332,16.666666,8.333333,33.333332,0.0,0.0,8.333333,66.66667
L6DV,16.666666,8.333333,88.88889,25.0,25.0,25.0,33.333332,33.333332,33.333332,33.333332,25.0,33.333332,58.333332,16.666666,0.0,25.0,25.0,25.0,25.0,16.666666,16.666666,25.0,16.666666,66.666664,33.333332,25.0,16.666666,16.666666,16.666666,25.0,66.66667
MJ,8.333333,16.666666,88.88889,0.0,0.0,0.0,8.333333,8.333333,8.333333,25.0,0.0,8.333333,33.333332,8.333333,25.0,0.0,0.0,0.0,41.666668,25.0,8.333333,0.0,8.333333,54.166668,8.333333,0.0,41.666668,8.333333,8.333333,0.0,66.66667
MMIN,8.333333,16.666666,88.88889,0.0,0.0,0.0,8.333333,8.333333,8.333333,25.0,0.0,8.333333,33.333332,8.333333,25.0,0.0,0.0,0.0,41.666668,25.0,8.333333,0.0,8.333333,54.166668,8.333333,0.0,41.666668,8.333333,8.333333,0.0,66.66667
NANS,8.333333,16.666666,88.88889,0.0,0.0,0.0,8.333333,8.333333,8.333333,25.0,0.0,8.333333,33.333332,8.333333,25.0,0.0,0.0,0.0,41.666668,25.0,8.333333,0.0,8.333333,54.166668,8.333333,0.0,41.666668,8.333333,8.333333,0.0,66.66667
PLU1,33.333332,25.0,88.88889,41.666668,41.666668,41.666668,50.0,50.0,41.666668,50.0,41.666668,41.666668,75.0,33.333332,25.0,41.666668,41.666668,41.666668,0.0,33.333332,33.333332,41.666668,33.333332,75.0,41.666668,41.666668,16.666666,33.333332,33.333332,41.666668,75.0
PLU2,16.666666,25.0,88.88889,25.0,25.0,25.0,33.333332,33.333332,16.666666,33.333332,25.0,16.666666,58.333332,16.666666,16.666666,25.0,25.0,25.0,33.333332,0.0,16.666666,25.0,16.666666,66.666664,16.666666,25.0,16.666666,16.666666,16.666666,25.0,66.66667
RV,0.0,8.333333,88.88889,8.333333,8.333333,8.333333,16.666666,16.666666,16.666666,16.666666,8.333333,16.666666,41.666668,0.0,16.666666,8.333333,8.333333,8.333333,33.333332,16.666666,0.0,8.333333,0.0,58.333332,16.666666,8.333333,33.333332,0.0,0.0,8.333333,66.66667
SCHU,8.333333,16.666666,88.88889,0.0,0.0,0.0,8.333333,8.333333,8.333333,25.0,0.0,8.333333,33.333332,8.333333,25.0,0.0,0.0,0.0,41.666668,25.0,8.333333,0.0,8.333333,54.166668,8.333333,0.0,41.666668,8.333333,8.333333,0.0,66.66667
STAR,0.0,8.333333,88.88889,8.333333,8.333333,8.333333,16.666666,16.666666,16.666666,16.666666,8.333333,16.666666,41.666668,0.0,16.666666,8.333333,8.333333,8.333333,33.333332,16.666666,0.0,8.333333,0.0,58.333332,16.666666,8.333333,33.333332,0.0,0.0,8.333333,66.66667
VETO,58.333332,58.333332,87.96297,54.166668,54.166668,54.166668,45.833332,45.833332,54.166668,41.666668,54.166668,54.166668,45.833332,58.333332,66.666664,54.166668,54.166668,54.166668,75.0,66.666664,58.333332,54.166668,58.333332,0.0,54.166668,54.166668,75.0,58.333332,58.333332,54.166668,74.07407
WOOD,16.666666,25.0,88.88889,8.333333,8.333333,8.333333,16.666666,16.666666,0.0,33.333332,8.333333,0.0,41.666668,16.666666,33.333332,8.333333,8.333333,8.333333,41.666668,16.666666,16.666666,8.333333,16.666666,54.166668,0.0,8.333333,33.333332,16.666666,16.666666,8.333333,66.66667
YOUN,8.333333,16.666666,88.88889,0.0,0.0,0.0,8.333333,8.333333,8.333333,25.0,0.0,8.333333,33.333332,8.333333,25.0,0.0,0.0,0.0,41.666668,25.0,8.333333,0.0,8.333333,54.166668,8.333333,0.0,41.666668,8.333333,8.333333,0.0,66.66667
AP_K2,33.333332,25.0,88.88889,41.666668,41.666668,41.666668,50.0,50.0,33.333332,50.0,41.666668,33.333332,75.0,33.333332,16.666666,41.666668,41.666668,41.666668,16.666666,16.666666,33.333332,41.666668,33.333332,75.0,33.333332,41.666668,0.0,33.333332,33.333332,41.666668,75.0
AP_K3,0.0,8.333333,88.88889,8.333333,8.333333,8.333333,16.666666,16.666666,16.666666,16.666666,8.333333,16.666666,41.666668,0.0,16.666666,8.333333,8.333333,8.333333,33.333332,16.666666,0.0,8.333333,0.0,58.333332,16.666666,8.333333,33.333332,0.0,0.0,8.333333,66.66667
AP_KRP,0.0,8.333333,88.88889,8.333333,8.333333,8.333333,16.666666,16.666666,16.666666,16.666666,8.333333,16.666666,41.666668,0.0,16.666666,8.333333,8.333333,8.333333,33.333332,16.666666,0.0,8.333333,0.0,58.333332,16.666666,8.333333,33.333332,0.0,0.0,8.333333,66.66667
DODG_C,8.333333,16.666666,88.88889,0.0,0.0,0.0,8.333333,8.333333,8.333333,25.0,0.0,8.333333,33.333332,8.333333,25.0,0.0,0.0,0.0,41.666668,25.0,8.333333,0.0,8.333333,54.166668,8.333333,0.0,41.666668,8.333333,8.333333,0.0,66.66667
COND,66.66667,66.66667,22.222223,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,66.66667,75.0,66.66667,66.66667,66.66667,66.66667,66.66667,75.0,66.66667,66.66667,66.66667,66.66667,74.07407,66.66667,66.66667,75.0,66.66667,66.66667,66.66667,0.0
