,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,12.244898,85.80661,20.408163,20.408163,18.367348,22.44898,16.32653,16.32653,24.489796,20.408163,16.32653,34.69388,8.163265,14.285714,14.285714,20.408163,20.408163,28.571428,18.367348,12.244898,20.408163,14.285714,51.02041,16.32653,20.408163,18.367348,18.367348,14.285714,20.408163,69.973274
AP_T07,12.244898,0.0,85.80661,20.408163,20.408163,22.44898,22.44898,20.408163,16.32653,24.489796,20.408163,16.32653,34.69388,16.32653,16.32653,18.367348,20.408163,20.408163,24.489796,18.367348,16.32653,20.408163,18.367348,57.142857,16.32653,20.408163,22.44898,22.44898,14.285714,20.408163,69.973274
AP_T0GE,85.80661,85.80661,0.0,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.57985,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,15.833333
BALD,20.408163,20.408163,85.80661,0.0,0.0,10.204082,2.0408163,8.163265,8.163265,8.163265,0.0,8.163265,18.367348,20.408163,24.489796,12.244898,0.0,0.0,28.571428,12.244898,14.285714,0.0,8.163265,50.0,8.163265,0.0,22.44898,14.285714,12.244898,0.0,69.973274
BLAC,20.408163,20.408163,85.80661,0.0,0.0,10.204082,2.0408163,8.163265,8.163265,8.163265,0.0,8.163265,18.367348,20.408163,24.489796,12.244898,0.0,0.0,28.571428,12.244898,14.285714,0.0,8.163265,50.0,8.163265,0.0,22.44898,14.285714,12.244898,0.0,69.973274
BORD,18.367348,22.44898,85.80661,10.204082,10.204082,0.0,12.244898,10.204082,16.32653,18.367348,10.204082,16.32653,20.408163,10.204082,14.285714,8.163265,10.204082,10.204082,34.69388,18.367348,6.122449,10.204082,6.122449,41.836735,16.32653,10.204082,22.44898,12.244898,8.163265,10.204082,69.973274
BUCK_I,22.44898,22.44898,85.80661,2.0408163,2.0408163,12.244898,0.0,6.122449,10.204082,6.122449,2.0408163,10.204082,16.32653,22.44898,26.530613,14.285714,2.0408163,2.0408163,30.612246,14.285714,16.32653,2.0408163,10.204082,47.959183,10.204082,2.0408163,24.489796,16.32653,14.285714,2.0408163,69.973274
BUCK_R,16.32653,20.408163,85.80661,8.163265,8.163265,10.204082,6.122449,0.0,12.244898,12.244898,8.163265,12.244898,18.367348,16.32653,20.408163,8.163265,8.163265,8.163265,34.69388,16.32653,10.204082,8.163265,8.163265,45.918365,12.244898,8.163265,22.44898,10.204082,12.244898,8.163265,69.973274
CAIR,16.32653,16.32653,85.80661,8.163265,8.163265,16.32653,10.204082,12.244898,0.0,16.32653,8.163265,0.0,26.530613,18.367348,22.44898,12.244898,8.163265,8.163265,26.530613,6.122449,14.285714,8.163265,16.32653,52.040817,0.0,8.163265,16.32653,18.367348,12.244898,8.163265,69.973274
COOM,24.489796,24.489796,85.80661,8.163265,8.163265,18.367348,6.122449,12.244898,16.32653,0.0,8.163265,16.32653,14.285714,24.489796,28.571428,20.408163,8.163265,8.163265,32.65306,16.32653,18.367348,8.163265,12.244898,44.89796,16.32653,8.163265,26.530613,14.285714,16.32653,8.163265,69.973274
COPE,20.408163,20.408163,85.80661,0.0,0.0,10.204082,2.0408163,8.163265,8.163265,8.163265,0.0,8.163265,18.367348,20.408163,24.489796,12.244898,0.0,0.0,28.571428,12.244898,14.285714,0.0,8.163265,50.0,8.163265,0.0,22.44898,14.285714,12.244898,0.0,69.973274
HARE,16.32653,16.32653,85.80661,8.163265,8.163265,16.32653,10.204082,12.244898,0.0,16.32653,8.163265,0.0,26.530613,18.367348,22.44898,12.244898,8.163265,8.163265,26.530613,6.122449,14.285714,8.163265,16.32653,52.040817,0.0,8.163265,16.32653,18.367348,12.244898,8.163265,69.973274
KIMR,34.69388,34.69388,85.80661,18.367348,18.367348,20.408163,16.32653,18.367348,26.530613,14.285714,18.367348,26.530613,0.0,30.612246,34.69388,26.530613,18.367348,18.367348,46.938774,30.612246,24.489796,18.367348,22.44898,39.795918,26.530613,18.367348,40.816326,20.408163,22.44898,18.367348,72.01409
L4DV,8.163265,16.32653,85.80661,20.408163,20.408163,10.204082,22.44898,16.32653,18.367348,24.489796,20.408163,18.367348,30.612246,0.0,6.122449,14.285714,20.408163,20.408163,32.65306,16.32653,8.163265,20.408163,12.244898,46.938774,18.367348,20.408163,18.367348,14.285714,10.204082,20.408163,69.973274
L6DV,14.285714,16.32653,85.80661,24.489796,24.489796,14.285714,26.530613,20.408163,22.44898,28.571428,24.489796,22.44898,34.69388,6.122449,0.0,18.367348,24.489796,24.489796,30.612246,16.32653,12.244898,24.489796,16.32653,48.97959,22.44898,24.489796,16.32653,18.367348,14.285714,24.489796,69.973274
MJ,14.285714,18.367348,85.80661,12.244898,12.244898,8.163265,14.285714,8.163265,12.244898,20.408163,12.244898,12.244898,26.530613,14.285714,18.367348,0.0,12.244898,12.244898,32.65306,18.367348,6.122449,12.244898,8.163265,43.877552,12.244898,12.244898,18.367348,14.285714,8.163265,12.244898,69.973274
MMIN,20.408163,20.408163,85.80661,0.0,0.0,10.204082,2.0408163,8.163265,8.163265,8.163265,0.0,8.163265,18.367348,20.408163,24.489796,12.244898,0.0,0.0,28.571428,12.244898,14.285714,0.0,8.163265,50.0,8.163265,0.0,22.44898,14.285714,12.244898,0.0,69.973274
NANS,20.408163,20.408163,85.80661,0.0,0.0,10.204082,2.0408163,8.163265,8.163265,8.163265,0.0,8.163265,18.367348,20.408163,24.489796,12.244898,0.0,0.0,28.571428,12.244898,14.285714,0.0,8.163265,50.0,8.163265,0.0,22.44898,14.285714,12.244898,0.0,69.973274
PLU1,28.571428,24.489796,85.80661,28.571428,28.571428,34.69388,30.612246,34.69388,26.530613,32.65306,28.571428,26.530613,46.938774,32.65306,30.612246,32.65306,28.571428,28.571428,0.0,26.530613,30.612246,28.571428,30.612246,63.265305,26.530613,28.571428,22.44898,36.734695,28.571428,28.571428,72.01409
PLU2,18.367348,18.367348,85.80661,12.244898,12.244898,18.367348,14.285714,16.32653,6.122449,16.32653,12.244898,6.122449,30.612246,16.32653,16.32653,18.367348,12.244898,12.244898,26.530613,0.0,16.32653,12.244898,16.32653,53.061226,6.122449,12.244898,14.285714,18.367348,14.285714,12.244898,69.973274
RV,12.244898,16.32653,85.80661,14.285714,14.285714,6.122449,16.32653,10.204082,14.285714,18.367348,14.285714,14.285714,24.489796,8.163265,12.244898,6.122449,14.285714,14.285714,30.612246,16.32653,0.0,14.285714,6.122449,44.89796,14.285714,14.285714,16.32653,8.163265,2.0408163,14.285714,69.973274
SCHU,20.408163,20.408163,85.80661,0.0,0.0,10.204082,2.0408163,8.163265,8.163265,8.163265,0.0,8.163265,18.367348,20.408163,24.489796,12.244898,0.0,0.0,28.571428,12.244898,14.285714,0.0,8.163265,50.0,8.163265,0.0,22.44898,14.285714,12.244898,0.0,69.973274
STAR,14.285714,18.367348,85.80661,8.163265,8.163265,6.122449,10.204082,8.163265,16.32653,12.244898,8.163265,16.32653,22.44898,12.244898,16.32653,8.163265,8.163265,8.163265,30.612246,16.32653,6.122449,8.163265,0.0,46.938774,16.32653,8.163265,18.367348,10.204082,8.163265,8.163265,69.973274
VETO,51.02041,57.142857,85.57985,50.0,50.0,41.836735,47.959183,45.918365,52.040817,44.89796,50.0,52.040817,39.795918,46.938774,48.97959,43.877552,50.0,50.0,63.265305,53.061226,44.89796,50.0,46.938774,0.0,52.040817,50.0,53.061226,42.857143,46.938774,50.0,71.78733
WOOD,16.32653,16.32653,85.80661,8.163265,8.163265,16.32653,10.204082,12.244898,0.0,16.32653,8.163265,0.0,26.530613,18.367348,22.44898,12.244898,8.163265,8.163265,26.530613,6.122449,14.285714,8.163265,16.32653,52.040817,0.0,8.163265,16.32653,18.367348,12.244898,8.163265,69.973274
YOUN,20.408163,20.408163,85.80661,0.0,0.0,10.204082,2.0408163,8.163265,8.163265,8.163265,0.0,8.163265,18.367348,20.408163,24.489796,12.244898,0.0,0.0,28.571428,12.244898,14.285714,0.0,8.163265,50.0,8.163265,0.0,22.44898,14.285714,12.244898,0.0,69.973274
AP_K2,18.367348,22.44898,85.80661,22.44898,22.44898,22.44898,24.489796,22.44898,16.32653,26.530613,22.44898,16.32653,40.816326,18.367348,16.32653,18.367348,22.44898,22.44898,22.44898,14.285714,16.32653,22.44898,18.367348,53.061226,16.32653,22.44898,0.0,24.489796,18.367348,22.44898,72.01409
AP_K3,18.367348,22.44898,85.80661,14.285714,14.285714,12.244898,16.32653,10.204082,18.367348,14.285714,14.285714,18.367348,20.408163,14.285714,18.367348,14.285714,14.285714,14.285714,36.734695,18.367348,8.163265,14.285714,10.204082,42.857143,18.367348,14.285714,24.489796,0.0,10.204082,14.285714,69.973274
AP_KRP,14.285714,14.285714,85.80661,12.244898,12.244898,8.163265,14.285714,12.244898,12.244898,16.32653,12.244898,12.244898,22.44898,10.204082,14.285714,8.163265,12.244898,12.244898,28.571428,14.285714,2.0408163,12.244898,8.163265,46.938774,12.244898,12.244898,18.367348,10.204082,0.0,12.244898,69.973274
DODG_C,20.408163,20.408163,85.80661,0.0,0.0,10.204082,2.0408163,8.163265,8.163265,8.163265,0.0,8.163265,18.367348,20.408163,24.489796,12.244898,0.0,0.0,28.571428,12.244898,14.285714,0.0,8.163265,50.0,8.163265,0.0,22.44898,14.285714,12.244898,0.0,69.973274
COND,69.973274,69.973274,15.833333,69.973274,69.973274,69.973274,69.973274,69.973274,69.973274,69.973274,69.973274,69.973274,72.01409,69.973274,69.973274,69.973274,69.973274,69.973274,72.01409,69.973274,69.973274,69.973274,69.973274,71.78733,69.973274,69.973274,72.01409,69.973274,69.973274,69.973274,0.0
