,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,16.666666,69.44444,30.555555,30.555555,30.555555,30.555555,38.88889,16.666666,30.555555,30.555555,30.555555,30.555555,0.0,8.333333,25.0,30.555555,30.555555,30.555555,30.555555,16.666666,30.555555,16.666666,55.555553,30.555555,30.555555,30.555555,47.22222,22.222221,16.666666,55.555553
AP_T07,16.666666,0.0,69.44444,30.555555,30.555555,30.555555,30.555555,38.88889,16.666666,30.555555,30.555555,30.555555,30.555555,16.666666,16.666666,25.0,30.555555,30.555555,30.555555,30.555555,16.666666,30.555555,16.666666,55.555553,30.555555,30.555555,30.555555,47.22222,22.222221,16.666666,55.555553
AP_T0GE,69.44444,69.44444,0.0,83.33333,83.33333,83.33333,83.33333,83.33333,69.44444,83.33333,83.33333,83.33333,83.33333,69.44444,69.44444,69.44444,83.33333,83.33333,83.33333,83.33333,69.44444,83.33333,69.44444,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,69.44444,13.888888
BALD,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
BLAC,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
BORD,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
BUCK_I,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
BUCK_R,38.88889,38.88889,83.33333,8.333333,8.333333,8.333333,8.333333,0.0,22.222221,8.333333,8.333333,8.333333,8.333333,38.88889,38.88889,13.888888,8.333333,8.333333,41.666668,16.666666,22.222221,8.333333,22.222221,33.333332,8.333333,8.333333,25.0,8.333333,25.0,22.222221,69.44444
CAIR,16.666666,16.666666,69.44444,13.888888,13.888888,13.888888,13.888888,22.222221,0.0,13.888888,13.888888,13.888888,13.888888,16.666666,16.666666,8.333333,13.888888,13.888888,30.555555,13.888888,0.0,13.888888,0.0,47.22222,13.888888,13.888888,13.888888,30.555555,22.222221,0.0,55.555553
COOM,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
COPE,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
HARE,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
KIMR,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
L4DV,0.0,16.666666,69.44444,30.555555,30.555555,30.555555,30.555555,38.88889,16.666666,30.555555,30.555555,30.555555,30.555555,0.0,8.333333,25.0,30.555555,30.555555,30.555555,30.555555,16.666666,30.555555,16.666666,55.555553,30.555555,30.555555,30.555555,47.22222,22.222221,16.666666,55.555553
L6DV,8.333333,16.666666,69.44444,30.555555,30.555555,30.555555,30.555555,38.88889,16.666666,30.555555,30.555555,30.555555,30.555555,8.333333,0.0,25.0,30.555555,30.555555,30.555555,30.555555,16.666666,30.555555,16.666666,55.555553,30.555555,30.555555,30.555555,47.22222,22.222221,16.666666,55.555553
MJ,25.0,25.0,69.44444,22.222221,22.222221,22.222221,22.222221,13.888888,8.333333,22.222221,22.222221,22.222221,22.222221,25.0,25.0,0.0,22.222221,22.222221,38.88889,22.222221,8.333333,22.222221,8.333333,38.88889,22.222221,22.222221,22.222221,22.222221,30.555555,8.333333,55.555553
MMIN,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
NANS,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
