rule,social_acceptability_mean,utility_mean_mean,utility_median_mean,utility_var_mean,rank_mean_mean,rank_median_mean,rank_var_mean,freq_first_mean,freq_last_mean,has_tie_mean,n_cowinners_mean
AP_T05,0.2762343958210605,0.49974906123944446,0.4833333333333334,0.046059660333210184,4.370935816995386,4.25,6.070670953474885,0.5374818356941519,0.44352936277935284,0.4166666666666667,4.333333333333333
AP_T07,0.27571110958348855,0.4974073553263099,0.4666666666666666,0.048165776538900286,4.408481604541174,4.333333333333333,6.25109832307023,0.5410140177977626,0.4516402994617181,0.4166666666666667,4.333333333333333
AP_T0GE,0.48531597940088006,0.4300451329726875,0.4166666666666667,0.04884011416061068,5.0,5.0,6.666666666666667,1.0,1.0,1.0,9.0
BALD,0.2762343958210605,0.49974906123944446,0.4833333333333334,0.046059660333210184,4.318025373655512,4.25,6.10454634974143,0.17326012097759083,0.0693556340745564,0.0,1.0
BLAC,0.2762343958210605,0.49974906123944446,0.4833333333333334,0.046059660333210184,4.318025373655512,4.25,6.10454634974143,0.17326012097759083,0.0693556340745564,0.0,1.0
BORD,0.2762343958210605,0.49974906123944446,0.4833333333333334,0.046059660333210184,4.318025373655512,4.25,6.10454634974143,0.17326012097759083,0.0693556340745564,0.0,1.0
BUCK_I,0.26496090927534166,0.49406614262549137,0.4833333333333334,0.040776773232091876,4.346318314824023,4.25,5.756127879626315,0.15131041651160393,0.06558376494118312,0.0,1.0
BUCK_R,0.2660664028944469,0.4954902931875729,0.4833333333333334,0.04222102704154479,4.335819481277441,4.25,5.796458149875527,0.15945889449135583,0.06632666492523542,0.0,1.0
COOM,0.26496090927534166,0.49406614262549137,0.4833333333333334,0.040776773232091876,4.342564048612419,4.25,5.7767962624845905,0.1540407919382251,0.06586817904812282,0.0,1.0
COPE,0.2757186280639134,0.49687181396564545,0.4833333333333334,0.04304340739476068,4.322630465715128,4.25,5.922292930567914,0.1855498470966487,0.08319488883006448,0.16666666666666666,1.1666666666666667
HARE,0.2650177628371861,0.4959197487894424,0.4916666666666667,0.04439038246040041,4.331052456725699,4.25,6.073720945640358,0.16988131587464783,0.06904643656708305,0.0,1.0
KIMR,0.25835109814196505,0.4901594281152802,0.4833333333333334,0.04080718492210297,4.362934540200541,4.333333333333333,5.742175120229182,0.1477416563915989,0.06756668768959857,0.0,1.0
L4DV,0.2762343958210605,0.49974906123944446,0.4833333333333334,0.046059660333210184,4.370935816995386,4.25,6.070670953474885,0.5374818356941519,0.44352936277935284,0.4166666666666667,4.333333333333333
L6DV,0.27288513692313104,0.49612580958498503,0.4583333333333333,0.04937080322921797,4.420114096654738,4.333333333333333,6.325811361727861,0.5413426192698972,0.4532833068223911,0.4166666666666667,4.333333333333333
MJ,0.2688662850046738,0.49747968310799734,0.4916666666666667,0.04321974416941219,4.3710831792117135,4.25,5.958448957963765,0.5332820125288116,0.4418346972915839,0.4166666666666667,4.333333333333333
MMIN,0.2762343958210605,0.49974906123944446,0.4833333333333334,0.046059660333210184,4.318025373655512,4.25,6.10454634974143,0.17326012097759083,0.0693556340745564,0.0,1.0
NANS,0.2762343958210605,0.49974906123944446,0.4833333333333334,0.046059660333210184,4.318025373655512,4.25,6.10454634974143,0.17326012097759083,0.0693556340745564,0.0,1.0
PLU1,0.24042901039432626,0.4742483020199108,0.43333333333333335,0.05520236757357797,4.6080414178697415,4.666666666666667,7.082837070740123,0.18466779513299847,0.09570428186975204,0.0,1.0
PLU2,0.2695599009932153,0.4969075811795645,0.47500000000000003,0.04843532531451608,4.347276812207456,4.25,6.248665504170385,0.1752522374647305,0.0725772378582132,0.0,1.0
RV,0.2762343958210605,0.49974906123944446,0.4833333333333334,0.046059660333210184,4.370935816995386,4.25,6.070670953474885,0.5374818356941519,0.44352936277935284,0.4166666666666667,4.333333333333333
SCHU,0.2762343958210605,0.49974906123944446,0.4833333333333334,0.046059660333210184,4.318025373655512,4.25,6.10454634974143,0.17326012097759083,0.0693556340745564,0.0,1.0
STAR,0.2762343958210605,0.49974906123944446,0.4833333333333334,0.046059660333210184,4.370935816995386,4.25,6.070670953474885,0.5374818356941519,0.44352936277935284,0.4166666666666667,4.333333333333333
VETO,0.22538259838180255,0.4736585786447409,0.4583333333333333,0.03589620520813876,4.504229948962744,4.5,5.553454211003172,0.1294548150703597,0.06128042887893887,0.0,1.0
WOOD,0.2650177628371861,0.4959197487894424,0.4916666666666667,0.04439038246040041,4.347207768070635,4.25,6.0327317103128175,0.3139653254290736,0.21744640069078072,0.16666666666666666,2.3333333333333335
YOUN,0.2688662850046738,0.49747968310799734,0.4916666666666667,0.04321974416941219,4.3343280472167764,4.25,5.95133511890277,0.31314430736667626,0.21606093271048513,0.16666666666666666,2.3333333333333335
AP_K2,0.2558732795846522,0.4864525606949896,0.45,0.05371514270734054,4.481236084009057,4.416666666666667,6.83827933636023,0.1817466424192502,0.08301477907534556,0.0,1.0
AP_K3,0.2723858736535728,0.4981891269208895,0.4833333333333334,0.0472302986241984,4.333994114447591,4.25,6.183418695881827,0.18376942884622247,0.07979754687372306,0.08333333333333333,1.0833333333333333
AP_KRP,0.27340842316070296,0.4984675154981195,0.47500000000000003,0.04726468702352787,4.355551245859088,4.25,6.1575554283477905,0.17753352086188148,0.08198548998850087,0.08333333333333333,1.0833333333333333
COND,0.4548556905922158,0.4460340686592766,0.43333333333333335,0.04498140484908045,4.849127557160048,4.833333333333333,6.346083926691487,0.9341155234657039,0.9172683513838749,0.9166666666666666,8.333333333333334
