,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,8.163265,60.980724,35.029964,35.029964,37.07078,39.1116,41.152412,12.244898,41.152412,36.58892,37.07078,47.274864,6.122449,12.244898,12.244898,35.029964,35.029964,49.315678,35.029964,10.204082,35.029964,10.204082,65.64221,29.871235,28.121964,43.19323,45.00729,34.548103,12.244898,50.561226
AP_T07,8.163265,0.0,60.980724,35.029964,35.029964,37.07078,39.1116,41.152412,12.244898,41.152412,36.58892,37.07078,47.274864,10.204082,10.204082,12.244898,35.029964,35.029964,45.234047,35.029964,10.204082,35.029964,10.204082,67.68303,29.871235,28.121964,39.1116,45.00729,34.548103,12.244898,50.561226
AP_T0GE,60.980724,60.980724,0.0,85.80661,85.80661,85.80661,85.80661,85.80661,60.980724,85.80661,85.09799,85.80661,85.80661,60.980724,60.980724,60.980724,85.80661,85.80661,85.80661,85.80661,60.980724,85.80661,60.980724,85.80661,78.60706,76.85779,85.80661,85.57985,85.324745,61.20748,10.419501
BALD,35.029964,35.029964,85.80661,0.0,4.0816326,6.122449,12.244898,22.44898,35.029964,12.244898,10.204082,16.32653,22.44898,35.029964,39.1116,30.948332,2.0408163,0.0,42.857143,20.408163,28.907516,2.0408163,24.825884,53.061226,19.444445,10.9896345,24.489796,19.387754,28.571428,26.8667,75.38711
BLAC,35.029964,35.029964,85.80661,4.0816326,0.0,2.0408163,12.244898,20.408163,35.029964,14.285714,10.204082,16.32653,24.489796,35.029964,39.1116,30.948332,2.0408163,4.0816326,40.816326,20.408163,28.907516,2.0408163,24.825884,55.10204,19.444445,10.9896345,26.530613,17.34694,29.591837,26.8667,75.38711
BORD,37.07078,37.07078,85.80661,6.122449,2.0408163,0.0,14.285714,22.44898,37.07078,16.32653,12.244898,18.367348,22.44898,32.989147,37.07078,32.989147,4.0816326,6.122449,42.857143,22.44898,26.8667,4.0816326,26.8667,53.061226,21.48526,13.030451,28.571428,15.306123,27.55102,28.907516,75.38711
BUCK_I,39.1116,39.1116,85.80661,12.244898,12.244898,14.285714,0.0,24.489796,37.07078,10.204082,7.142857,22.44898,20.408163,39.1116,43.19323,32.989147,10.204082,12.244898,51.02041,30.612246,32.989147,10.204082,28.907516,51.02041,21.48526,13.030451,34.69388,27.55102,29.591837,28.907516,75.38711
BUCK_R,41.152412,41.152412,85.80661,22.44898,20.408163,22.44898,24.489796,0.0,39.1116,26.530613,19.387754,26.530613,32.65306,41.152412,45.234047,30.948332,22.44898,22.44898,51.02041,30.612246,35.029964,22.44898,30.948332,55.10204,27.60771,21.193716,38.77551,24.489796,37.7551,30.948332,75.38711
CAIR,12.244898,12.244898,60.980724,35.029964,35.029964,37.07078,37.07078,39.1116,0.0,39.1116,33.5277,24.825884,43.19323,14.285714,18.367348,8.163265,35.029964,35.029964,47.274864,30.948332,10.204082,35.029964,10.204082,67.68303,17.626337,24.04033,41.152412,40.925655,38.629738,10.204082,50.561226
COOM,41.152412,41.152412,85.80661,12.244898,14.285714,16.32653,10.204082,26.530613,39.1116,0.0,13.265306,24.489796,14.285714,41.152412,45.234047,35.029964,12.244898,12.244898,53.061226,32.65306,35.029964,12.244898,30.948332,46.938774,25.566895,17.112083,36.734695,25.510204,36.734695,30.948332,75.38711
