,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,0.0,87.5,10.0,10.0,20.0,10.0,0.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,0.0,10.0,10.0,40.0,0.0,10.0,10.0,10.0,50.0,0.0,10.0,0.0,10.0,0.0,10.0,61.25
AP_T07,0.0,0.0,87.5,10.0,10.0,20.0,10.0,0.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,0.0,10.0,10.0,40.0,0.0,10.0,10.0,10.0,50.0,0.0,10.0,0.0,10.0,0.0,10.0,61.25
AP_T0GE,87.5,87.5,0.0,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,86.25,87.5,87.5,87.5,87.5,87.5,87.5,26.25
BALD,10.0,10.0,87.5,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,20.0,20.0,10.0,0.0,0.0,40.0,10.0,20.0,0.0,0.0,45.0,10.0,0.0,10.0,20.0,10.0,0.0,61.25
BLAC,10.0,10.0,87.5,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,20.0,20.0,10.0,0.0,0.0,40.0,10.0,20.0,0.0,0.0,45.0,10.0,0.0,10.0,20.0,10.0,0.0,61.25
BORD,20.0,20.0,87.5,10.0,10.0,0.0,10.0,20.0,20.0,10.0,10.0,20.0,0.0,10.0,10.0,20.0,10.0,10.0,50.0,20.0,10.0,10.0,10.0,35.0,20.0,10.0,20.0,10.0,20.0,10.0,61.25
BUCK_I,10.0,10.0,87.5,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,20.0,20.0,10.0,0.0,0.0,40.0,10.0,20.0,0.0,0.0,45.0,10.0,0.0,10.0,20.0,10.0,0.0,61.25
BUCK_R,0.0,0.0,87.5,10.0,10.0,20.0,10.0,0.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,0.0,10.0,10.0,40.0,0.0,10.0,10.0,10.0,50.0,0.0,10.0,0.0,10.0,0.0,10.0,61.25
CAIR,0.0,0.0,87.5,10.0,10.0,20.0,10.0,0.0,0.0,10.0,10.0,0.0,20.0,10.0,10.0,0.0,10.0,10.0,40.0,0.0,10.0,10.0,10.0,50.0,0.0,10.0,0.0,10.0,0.0,10.0,61.25
COOM,10.0,10.0,87.5,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,20.0,20.0,10.0,0.0,0.0,40.0,10.0,20.0,0.0,0.0,45.0,10.0,0.0,10.0,20.0,10.0,0.0,61.25
