name,count
HUN_2018_cses,2
TWN_2016_cses,1
TWN_2020_cses,1
AUS_2019_cses,1
CAN_2019_cses,2
HKG_2016_cses,3
TUN_2019_cses,2
CRI_2018_cses,3
TUR_2018_cses,1
election_MKD_2024,1
AUT_2017_cses,1
PRT_2019_cses,1
election_TUR_2023,1
JPN_2017_cses,1
FRA_2017_cses,2
ITA_2018_cses,1
BELW2019_cses,2
MNE_2016_cses,1
IRL_2016_cses,1
BELF2019_cses,3
SVK_2020_cses,3
election_NZL_2023,2
election_SVK_2023,2
ISL_2016_cses,2
election_FRA_2022,2
election_AUT_2024,5
DEU_2017_cses,2
THA_2019_cses,2
election_SVN_2022,1
ISR_2020_cses,1
GRC_2015_cses,2
NZL_2020_cses,1
LTU_2016_cses,1
NZL_2017_cses,2
election_POL_2023,3
ISL_2017_cses,2
election_SWE_2022,1
BRA_2018_cses,2
election_PRT_2024,1
election_PRT_2022,1
DNK_2019_cses,2
CHL_2017_cses,2
election_MNE_2023,1
FIN_2019_cses,2
election_DNK_2022,1
NLD_2017_cses,3
NOR_2017_cses,2
election_BRA_2022,2
SWE_2018_cses,2
