name,count,elections_count
AUS_2019_cses,1,1
AUT_2017_cses,1,1
BELF2019_cses,3,1
BELW2019_cses,2,1
BRA_2018_cses,3,1
CAN_2019_cses,3,1
CHL_2017_cses,3,1
CRI_2018_cses,3,1
DEU_2017_cses,2,1
DNK_2019_cses,2,1
FIN_2019_cses,5,1
FRA_2017_cses,2,1
GRC_2015_cses,2,1
HKG_2016_cses,2,1
HUN_2018_cses,2,1
IRL_2016_cses,1,1
ISL_2016_cses,1,1
ISL_2017_cses,2,1
ISR_2020_cses,1,1
ITA_2018_cses,1,1
JPN_2017_cses,1,1
LTU_2016_cses,1,1
MNE_2016_cses,2,1
NLD_2017_cses,3,1
NOR_2017_cses,2,1
NZL_2017_cses,2,1
NZL_2020_cses,1,1
PRT_2019_cses,1,1
SVK_2020_cses,3,1
SWE_2018_cses,3,1
THA_2019_cses,2,1
TUN_2019_cses,2,1
TUR_2018_cses,1,1
TWN_2016_cses,1,1
TWN_2020_cses,1,1
election_AUT_2024,3,1
election_BRA_2022,2,1
election_DNK_2022,1,1
election_FRA_2022,2,1
election_MKD_2024,1,1
election_MNE_2023,1,1
election_NZL_2023,2,1
election_POL_2023,3,1
election_PRT_2022,1,1
election_PRT_2024,1,1
election_SVK_2023,2,1
election_SVN_2022,1,1
election_SWE_2022,1,1
election_TUR_2023,1,1
